the punishment should fit the crime
Basic
0.6 0.6
432 388.8
Began 515.3187 297 568 -0.1458333 0.4629629
Stationary 515.3494 297 568 -0.1458333 0.4629629
Stationary 515.3801 297 568 -0.1458333 0.4629629
Stationary 515.4109 297 568 -0.1458333 0.4629629
Stationary 515.4416 297 568 -0.1458333 0.4629629
Moved 515.4723 297 546.9243 -0.1458333 0.4087557
Moved 515.5031 311.38 524.2401 -0.1125463 0.3504116
Moved 515.5338 321.3933 506.8117 -0.08936734 0.3055856
Moved 515.5645 336.8129 484.2495 -0.05367378 0.2475551
Moved 515.5953 351.7393 463.565 -0.01912201 0.1943543
Moved 515.626 362.6565 449.4294 0.006149312 0.1579973
Moved 515.6567 374.2961 428.4079 0.0330927 0.1039297
Moved 515.6874 385.9139 408.1722 0.05998582 0.05188326
Moved 515.7181 394.0255 390.9233 0.07876286 0.007518838
Moved 515.749 398.0316 379.8734 0.08803625 -0.02090179
Moved 515.7797 400.9061 373.1878 0.09469002 -0.03809736
Moved 515.8104 401.78 368.4399 0.096713 -0.05030879
Moved 515.8411 402 365.5 0.09722222 -0.05787045
Moved 515.8719 402 362.7869 0.09722222 -0.06484868
Moved 515.9026 394.3663 361 0.07955173 -0.06944452
Moved 515.9333 384.1176 360 0.0558277 -0.07201654
Moved 515.9641 367.4434 364.0504 0.01723001 -0.06159888
Moved 515.9948 344.9841 381.6389 -0.03475909 -0.01636089
Moved 516.0256 324.2554 400.7446 -0.08274212 0.03277916
Moved 516.0562 306.2987 425.0519 -0.1243086 0.09529816
Moved 516.087 290.8972 446.9645 -0.1599602 0.1516577
Moved 516.1177 277.5521 466.427 -0.1908516 0.2017155
Moved 516.1484 266.5404 483.5543 -0.2163417 0.2457671
Moved 516.1792 259.2226 493.7031 -0.2332809 0.2718701
Moved 516.2099 253.4523 501.5477 -0.2466381 0.2920464
Moved 516.2407 250.3509 506.6491 -0.2538173 0.3051673
Moved 516.2714 247.4819 509.5181 -0.2604585 0.3125463
Moved 516.3021 244.9589 513.0822 -0.2662988 0.3217134
Moved 516.3328 244 514.9109 -0.2685185 0.326417
Moved 516.3636 242.5 516 -0.2719907 0.329218
Moved 516.3943 243 517 -0.2708333 0.33179
Ended 516.425 243 517 -0.2708333 0.33179
Began 517.1626 561 500 0.4652777 0.2880658
Stationary 517.1934 561 500 0.4652777 0.2880658
Stationary 517.2241 561 500 0.4652777 0.2880658
Stationary 517.2548 561 500 0.4652777 0.2880658
Stationary 517.2855 561 500 0.4652777 0.2880658
Stationary 517.3162 561 500 0.4652777 0.2880658
Stationary 517.347 561 500 0.4652777 0.2880658
Stationary 517.3777 561 500 0.4652777 0.2880658
Stationary 517.4085 561 500 0.4652777 0.2880658
Moved 517.4392 548.9743 509.5128 0.4374405 0.3125329
Moved 517.47 544.2227 513.7773 0.4264413 0.3235013
Moved 517.5007 538.0989 516.9011 0.412266 0.3315356
Moved 517.5314 529.5807 521.8065 0.3925478 0.3441523
Moved 517.5621 520.9739 526.3508 0.3726247 0.3558404
Moved 517.5928 514.9165 528.5417 0.358603 0.3614756
Moved 517.6236 507.8025 531.0659 0.3421353 0.3679676
Moved 517.6543 500.1919 533.936 0.3245183 0.3753498
Moved 517.685 488.7732 536.8067 0.2980861 0.3827332
Moved 517.7158 474.5 538 0.2650462 0.3858024
Moved 517.7465 458.5101 539 0.2280327 0.3883744
Moved 517.7773 442.2981 540 0.1905049 0.3909464
Moved 517.808 428.0264 540 0.1574686 0.3909464
Moved 517.8387 418.4135 540 0.1352165 0.3909464
Moved 517.8694 408.7935 540 0.1129478 0.3909464
Moved 517.9001 400.1749 540 0.09299735 0.3909464
Moved 517.9309 394.8509 540 0.0806734 0.3909464
Moved 517.9617 389.6838 540 0.06871253 0.3909464
Moved 517.9924 383.9383 540 0.05541275 0.3909464
Moved 518.0231 378.2118 533 0.04215698 0.3729423
Moved 518.0538 374.0848 531.0424 0.03260364 0.3679073
Moved 518.0845 370.1804 529.1804 0.02356569 0.3631183
Moved 518.1153 367.308 528.308 0.01691659 0.3608744
Moved 518.1461 364.4345 528 0.01026501 0.3600822
Moved 518.1768 363 527 0.006944438 0.3575102
Moved 518.2075 361 526 0.002314846 0.3549381
Moved 518.2382 359.6084 524.6084 -0.0009064873 0.351359
Moved 518.269 357.6491 522.649 -0.005441953 0.3463195
Moved 518.2997 357 516.1658 -0.006944438 0.3296446
Moved 518.3304 355 510.686 -0.01157408 0.3155504
Moved 518.3611 354 504.942 -0.01388888 0.3007765
Moved 518.3919 353 499.2937 -0.01620372 0.2862491
Moved 518.4226 353 491.6611 -0.01620372 0.2666181
Moved 518.4534 353 481.7511 -0.01620372 0.2411293
Moved 518.4839 353 466.8293 -0.01620372 0.2027502
Moved 518.5148 353 453.0925 -0.01620372 0.1674188
Moved 518.5455 360.5723 428.8497 0.001324713 0.105066
Moved 518.5763 365.4499 405.8506 0.01261552 0.04591208
Moved 518.607 371.9709 382.097 0.0277104 -0.01518249
Moved 518.6378 376.7238 359.9667 0.03871242 -0.07210202
Moved 518.6685 381.4902 339.7842 0.04974584 -0.1240118
Moved 518.6992 387.2403 321.2792 0.06305625 -0.1716071
Moved 518.7299 393.2835 305.1494 0.07704526 -0.2130931
Moved 518.7607 400.0294 288.9117 0.09266068 -0.2548567
Moved 518.7914 405.7628 274.7116 0.1059323 -0.2913797
Moved 518.8221 411 262.5 0.1180555 -0.3227881
Moved 518.8529 413.3319 254.6725 0.1234534 -0.3429206
Moved 518.8836 415 247.3816 0.1273148 -0.3616729
Moved 518.9143 417.0631 242.8738 0.1320906 -0.3732671
Moved 518.9451 418 240.3953 0.1342593 -0.3796418
Moved 518.9758 419 237.5223 0.1365741 -0.387031
Moved 519.0065 419 236.626 0.1365741 -0.3893365
Stationary 519.0373 419 236.626 0.1365741 -0.3893365
Moved 519.068 419 250.6837 0.1365741 -0.3531798
Moved 519.0988 410.7705 280.5328 0.1175243 -0.2764074
Moved 519.1295 406.0219 309.4014 0.1065322 -0.2021568
Moved 519.1602 405 334.2881 0.1041667 -0.1381479
Moved 519.1909 405 358.1841 0.1041667 -0.07668711
