why do you ask silly questions
Basic
0.6 0.6
432 388.8
Began 593.5302 245 574 -0.2662037 0.478395
Stationary 593.5609 245 574 -0.2662037 0.478395
Stationary 593.5916 245 574 -0.2662037 0.478395
Stationary 593.6224 245 574 -0.2662037 0.478395
Stationary 593.6531 245 574 -0.2662037 0.478395
Moved 593.6839 245 564.8046 -0.2662037 0.4547441
Moved 593.7146 251.7598 562.0343 -0.250556 0.447619
Moved 593.7454 254.5 558.5 -0.244213 0.4385287
Moved 593.7761 255 556.6279 -0.2430556 0.4337137
Moved 593.8068 257.2467 556 -0.2378549 0.4320986
Moved 593.8375 259.1116 552.8884 -0.2335379 0.4240956
Moved 593.8683 264.4507 547.5493 -0.2211789 0.4103632
Moved 593.899 268.9965 540.5052 -0.2106562 0.3922458
Moved 593.9297 274.7298 532.5405 -0.1973848 0.3717604
Moved 593.9604 281.7217 521.0377 -0.1811997 0.3421751
Moved 593.9913 289.3873 509.0211 -0.1634553 0.3112682
Moved 594.022 300.3451 497.3239 -0.1380901 0.2811828
Moved 594.0527 312.6592 485.8726 -0.1095852 0.2517299
Moved 594.0834 327.596 471.005 -0.07500922 0.2134902
Moved 594.1141 345.5104 453.4197 -0.03354073 0.1682604
Moved 594.1449 365.4252 434.3779 0.0125584 0.1192847
Moved 594.1757 389.3728 415.642 0.06799271 0.07109551
Moved 594.2064 402.9303 405.2557 0.09937575 0.04438196
Moved 594.2371 415.462 394.538 0.1283842 0.01681591
Moved 594.2678 422.9407 384.0791 0.1456961 -0.01008469
Moved 594.2986 427.7043 376.2957 0.156723 -0.03010369
Moved 594.3293 430.3916 371.6084 0.1629434 -0.04215955
Moved 594.3601 432.5 368 0.167824 -0.05144041
Moved 594.3908 434.068 368 0.1714536 -0.05144041
Moved 594.4215 435 368 0.1736111 -0.05144041
Stationary 594.4523 435 368 0.1736111 -0.05144041
Moved 594.483 436 382.905 0.1759259 -0.01310458
Moved 594.5137 425.265 402.96 0.1510764 0.03847723
Moved 594.5445 412.48 432.04 0.1214814 0.1132716
Moved 594.5752 399.3962 457.8585 0.09119491 0.1796771
Moved 594.606 387.4427 478.1145 0.06352484 0.2317759
Moved 594.6365 378.8148 498.1606 0.04355272 0.2833349
Moved 594.6674 373.1486 509.7028 0.03043661 0.3130214
Moved 594.6982 368.2136 520.1456 0.01901299 0.3398805
Moved 594.7289 364.3446 530.9663 0.01005689 0.3677116
Moved 594.7596 361.8255 540.698 0.004225671 0.3927417
Moved 594.7903 360 551.2748 0 0.4199455
Moved 594.8211 358.0358 558.9283 -0.004546692 0.4396304
Moved 594.8517 358 563.8491 -0.004629641 0.4522866
Ended 594.8826 358 565 -0.004629641 0.4552468
Began 595.5588 247 378 -0.2615741 -0.02572024
Stationary 595.5895 247 378 -0.2615741 -0.02572024
Moved 595.6202 259.0434 378 -0.2336957 -0.02572024
Moved 595.6509 271.6133 378 -0.2045989 -0.02572024
Moved 595.6817 288.7847 378 -0.1648503 -0.02572024
Moved 595.7124 304.0958 378 -0.1294079 -0.02572024
Moved 595.7432 316.1955 386.2989 -0.1013992 -0.004375324
Moved 595.7739 326.3753 388.8438 -0.07783493 0.002170257
Moved 595.8047 337.1346 393.4231 -0.05292907 0.01394821
Moved 595.8354 347.9334 399.1734 -0.02793183 0.02873809
Moved 595.8661 359.8857 404.9429 -0.0002644956 0.04357722
Moved 595.8968 374.8902 412.9341 0.03446798 0.06413079
Moved 595.9276 389.1893 419.6757 0.06756772 0.08147039
Moved 595.9584 402.5192 426.4077 0.09842416 0.09878515
Moved 595.989 416.4933 434.8533 0.1307715 0.1205075
Moved 596.0198 432.7458 446.4475 0.1683931 0.150328
Moved 596.0505 445.1377 455.1032 0.1970779 0.1725905
Moved 596.0813 453.7099 462.71 0.2169212 0.1921552
Moved 596.112 462.2934 467.8622 0.2367902 0.2054069
Moved 596.1427 471.8914 473.5943 0.259008 0.2201498
Moved 596.1735 482.6643 480.3322 0.2839452 0.2374797
Moved 596.2042 491.2813 487.2813 0.3038919 0.2553531
Moved 596.2349 501.6359 494.6359 0.3278608 0.2742691
Moved 596.2657 510.2326 501.8217 0.3477606 0.2927512
Moved 596.2964 516.5712 508.5712 0.3624333 0.3101109
Moved 596.3271 518.8375 511.8375 0.3676793 0.3185119
Moved 596.3579 521.7097 514.7097 0.3743279 0.3258992
Moved 596.3887 524.592 516.592 0.3810001 0.3307407
Ended 596.4194 525.5 517.5 0.3831019 0.3330761
Began 597.0648 330 511 -0.06944443 0.3163579
Stationary 597.0955 330 511 -0.06944443 0.3163579
Stationary 597.1263 330 511 -0.06944443 0.3163579
Stationary 597.157 330 511 -0.06944443 0.3163579
Stationary 597.1876 330 511 -0.06944443 0.3163579
Moved 597.2185 343.3217 511 -0.03860707 0.3163579
Moved 597.2493 349.0599 503.47 -0.02532423 0.2969907
Moved 597.28 353.0738 500.9262 -0.01603295 0.290448
Moved 597.3107 362.8733 497.0634 0.006651183 0.2805127
Moved 597.3414 377.272 493.1456 0.0399816 0.270436
Moved 597.3721 391.6206 489.2759 0.07319589 0.2604832
Moved 597.403 406.5481 486.484 0.1077502 0.2533024
Moved 597.4337 423.6233 485 0.1472761 0.2494856
Moved 597.4644 440.0023 481.9995 0.1851904 0.2417682
Moved 597.4951 451 480.5 0.2106482 0.2379114
Moved 597.5259 462.4682 481 0.2371948 0.2391974
Moved 597.5566 478.2077 480 0.273629 0.2366254
Moved 597.5873 492.4663 479 0.306635 0.2340534
Moved 597.618 502.2408 479 0.329261 0.2340534
Moved 597.6488 514 479 0.3564815 0.2340534
Moved 597.6795 522.159 479 0.375368 0.2340534
Moved 597.7103 525.2584 487 0.3825425 0.2546296
Moved 597.741 526 488 0.3842592 0.2572016
Moved 597.7717 526 490.6544 0.3842592 0.2640286
Moved 597.8025 520.2546 495.0446 0.3709598 0.2753205
Moved 597.8332 500.5018 500.1423 0.3252356 0.2884319
Moved 597.864 475.3392 506.9321 0.266989 0.3058953
Moved 597.8947 448.4577 509 0.2047631 0.3112139
Moved 597.9254 422.6051 509 0.1449192 0.3112139
