this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Began 1553.091 293 483 -0.1550926 0.2443414
Stationary 1553.112 293 483 -0.1550926 0.2443414
Stationary 1553.125 293 483 -0.1550926 0.2443414
Moved 1553.14 299.4863 468.3245 -0.140078 0.2065957
Moved 1553.156 308.1536 455.0773 -0.1200148 0.1725239
Moved 1553.172 321.6343 431.3106 -0.08880938 0.1113956
Moved 1553.187 333.6584 407.6832 -0.0609759 0.05062542
Moved 1553.203 342.0302 388.2628 -0.04159664 0.0006757351
Moved 1553.218 346.4865 376.1353 -0.03128136 -0.0305164
Moved 1553.233 351.5474 358.2629 -0.01956617 -0.07648429
Moved 1553.249 354.3007 350.2482 -0.01319284 -0.09709825
Moved 1553.265 355.5347 342.8611 -0.01033629 -0.116098
Moved 1553.279 356.9158 339.1684 -0.007139346 -0.1255958
Moved 1553.294 357 337.7009 -0.006944438 -0.1293702
Stationary 1553.31 357 337.7009 -0.006944438 -0.1293702
Moved 1553.326 365.2447 366.8565 0.01214057 -0.05438149
Moved 1553.341 377.7948 412.9407 0.04119167 0.06414798
Moved 1553.358 391.5954 459.6242 0.07313739 0.1842186
Moved 1553.371 402.0057 482.3484 0.09723534 0.2426656
Moved 1553.387 409.0348 500.6904 0.1135064 0.2898415
Moved 1553.403 414.7802 515.934 0.126806 0.3290483
Moved 1553.418 417.9517 525.8552 0.1341475 0.3545657
Moved 1553.433 418 531.4376 0.1342593 0.3689238
Moved 1553.449 418 533.9926 0.1342593 0.3754953
Moved 1553.464 418 536.6304 0.1342593 0.3822797
Moved 1553.48 418 538.2043 0.1342593 0.386328
Moved 1553.496 394.9225 533.8505 0.08083919 0.3751298
Moved 1553.511 359.9288 509.7047 -0.0001647572 0.3130263
Moved 1553.526 312.8072 473.6761 -0.1092425 0.2203602
Moved 1553.541 280.3085 443.0431 -0.184471 0.1415717
Moved 1553.558 261.6667 424.6667 -0.2276233 0.0943072
Moved 1553.573 245.1254 406.9691 -0.2659135 0.0487888
Moved 1553.589 230.5 392.5 -0.2997685 0.01157403
