in sharp contrast to your words
Basic
0.6 0.6
432 388.8
Began 343.0772 454 516 0.2175926 0.329218
Stationary 343.108 454 516 0.2175926 0.329218
Moved 343.1387 447.6202 501.7468 0.2028245 0.2925584
Moved 343.1694 439.0433 486.6083 0.1829706 0.2536221
Moved 343.2002 431.29 463.9668 0.1650232 0.1953878
Moved 343.231 424.9775 435.91 0.1504109 0.1232253
Moved 343.2617 420.1219 412.9268 0.1391712 0.06411214
Moved 343.2924 418.0737 397.442 0.1344298 0.02428494
Moved 343.3232 417 378.967 0.1319444 -0.02323307
Moved 343.354 416 364.8071 0.1296297 -0.05965267
Moved 343.3847 415 351.2379 0.1273148 -0.09455276
Moved 343.4155 412.7355 335.3097 0.1220729 -0.1355204
Moved 343.4462 409.6093 316.6557 0.1148363 -0.1834988
Moved 343.477 407.824 301.1202 0.1107038 -0.2234563
Moved 343.5077 407 286.4803 0.1087963 -0.2611105
Moved 343.5385 407 277.6707 0.1087963 -0.2837688
Moved 343.5693 407 267.5891 0.1087963 -0.309699
Moved 343.6 407 263.1481 0.1087963 -0.3211213
Moved 343.6308 407 259.5 0.1087963 -0.3305041
Moved 343.6615 407 256.9473 0.1087963 -0.3370698
Moved 343.6922 407 256 0.1087963 -0.3395062
Ended 343.7231 407 254.8088 0.1087963 -0.3425699
Began 343.9383 231 373 -0.2986111 -0.03858032
Stationary 343.9691 231 373 -0.2986111 -0.03858032
Moved 343.9999 259.3521 382.8057 -0.2329812 -0.01336
Moved 344.0306 298.8702 395.7293 -0.1415042 0.01987979
Moved 344.0613 330.1591 405.3566 -0.06907627 0.04464149
Moved 344.0921 356.037 410.7249 -0.009173652 0.05844866
Moved 344.1229 368.2491 412 0.01909504 0.06172835
Moved 344.1536 371 412 0.025463 0.06172835
Stationary 344.1844 371 412 0.025463 0.06172835
Moved 344.2151 352.6668 406.4001 -0.01697496 0.04732521
Moved 344.2459 295.888 394.861 -0.1484075 0.01764662
Moved 344.2767 247.3141 387.1543 -0.2608469 -0.002175162
Moved 344.3074 223.0788 384.4398 -0.3169472 -0.009156961
Moved 344.3381 211.696 384 -0.3432962 -0.01028807
Moved 344.3689 205.8171 384 -0.3569049 -0.01028807
Moved 344.3997 202.6417 384 -0.3642553 -0.01028807
Moved 344.4304 202 391.8 -0.3657407 0.009773709
Moved 344.4612 230.6936 421.6935 -0.2993205 0.08666027
Moved 344.4919 273.5743 454.6284 -0.2000595 0.1713692
Moved 344.5227 312.5435 474.6785 -0.1098529 0.2229385
Moved 344.5534 354.0664 489.7052 -0.01373524 0.2615874
Moved 344.5842 390.5014 496.7084 0.07060508 0.2795999
Moved 344.615 425.1886 499 0.1508996 0.2854938
Moved 344.6457 453.7825 500.8986 0.2170891 0.2903768
Moved 344.6765 482.631 502.6631 0.2838681 0.2949153
Moved 344.7072 502.9471 503 0.3308962 0.2957818
Moved 344.738 517.5091 503 0.3646044 0.2957818
Moved 344.7687 533.3004 503 0.4011582 0.2957818
Moved 344.7995 545.6938 503 0.4298467 0.2957818
Moved 344.8303 552.5 503 0.4456018 0.2957818
Ended 344.861 555 503 0.4513889 0.2957818
Began 345.1685 309 302 -0.1180555 -0.2211935
Stationary 345.1993 309 302 -0.1180555 -0.2211935
Moved 345.2301 334.0125 331.017 -0.06015629 -0.1465611
Moved 345.2608 376.2563 382.2579 0.0376302 -0.01476876
Moved 345.2916 418.1562 430.6296 0.1346208 0.1096439
Moved 345.3223 447.1702 464.0043 0.201783 0.1954842
Moved 345.3531 466.7195 487.3937 0.2470359 0.2556422
Moved 345.3838 484.57 506.57 0.2883565 0.304964
Moved 345.4146 494.6609 516.6609 0.3117151 0.3309178
Moved 345.4453 499 522.3011 0.3217593 0.3454246
Moved 345.4761 500.0333 523 0.3241512 0.3472221
Moved 345.5068 500 512.4344 0.324074 0.3200474
Moved 345.5376 467.8739 446.91 0.2497081 0.1515174
Moved 345.5684 444.4063 395.4421 0.195385 0.01914122
Moved 345.5991 433.5313 372.8284 0.1702114 -0.03902168
Moved 345.6299 424.9897 349.1732 0.150439 -0.09986328
Moved 345.6606 405.1 309.5625 0.1043981 -0.2017426
Moved 345.6913 391.572 288.465 0.07308333 -0.2560058
Moved 345.7222 385.2713 278.4069 0.05849838 -0.2818753
Moved 345.7529 381.7188 273.4376 0.05027502 -0.2946564
Moved 345.7836 376.9336 269.9668 0.0391982 -0.3035833
Moved 345.8144 367.1107 276.2228 0.01646002 -0.2874928
Moved 345.8451 352.5 304.5 -0.0173611 -0.2147634
Moved 345.8759 343.1349 340.1904 -0.03903945 -0.1229672
Moved 345.9066 340.304 370.2637 -0.04559254 -0.04561797
Moved 345.9374 339 393.0123 -0.04861111 0.01289171
Moved 345.9682 336.0681 415.387 -0.0553979 0.07043964
Moved 345.9989 334.3293 440.3659 -0.059423 0.1346859
Moved 346.0297 328.6934 460.0486 -0.07246891 0.1853102
Moved 346.0605 323.5977 467.6034 -0.08426447 0.2047411
Moved 346.0912 317.1325 474.245 -0.09923026 0.2218235
Moved 346.1219 306.128 478.7488 -0.1247038 0.2334075
Moved 346.1527 287.0085 481 -0.1689617 0.2391974
Moved 346.1834 267.6707 481 -0.2137253 0.2391974
Moved 346.2142 247.6338 481 -0.260107 0.2391974
Moved 346.2449 229.1571 466.6387 -0.3028772 0.20226
Moved 346.2757 213.6333 455.5067 -0.3388118 0.1736282
Moved 346.3065 202 444.5 -0.3657407 0.1453189
Moved 346.3372 191.8053 426.5456 -0.3893397 0.09913985
Moved 346.368 189 415.5478 -0.3958333 0.07085329
Moved 346.3987 189 407.8727 -0.3958333 0.05111286
Moved 346.4295 195.8335 403.0475 -0.380015 0.03870253
Moved 346.4603 217.4815 399.2798 -0.3299039 0.02901195
Moved 346.491 249.2958 399 -0.2562597 0.02829214
Moved 346.5217 280.7516 424.751 -0.1834455 0.09452403
Moved 346.5525 308.9216 447.2294 -0.1182371 0.1523389
Moved 346.5833 335.6178 478.0032 -0.05644028 0.2314895
Moved 346.614 347.8573 501.7145 -0.02810816 0.2924756
Moved 346.6448 352.9813 514.9253 -0.01624694 0.3264539
