I can play much better now
Basic
0.6 0.6
432 388.8
Began 745.6241 481 387 0.2800926 -0.002572055
Stationary 745.6548 481 387 0.2800926 -0.002572055
Stationary 745.6855 481 387 0.2800926 -0.002572055
Stationary 745.7162 481 387 0.2800926 -0.002572055
Stationary 745.747 481 387 0.2800926 -0.002572055
Stationary 745.7778 481 387 0.2800926 -0.002572055
Stationary 745.8085 481 387 0.2800926 -0.002572055
Moved 745.8392 481 398.1982 0.2800926 0.02622977
Moved 745.8699 481 404.2796 0.2800926 0.04187137
Moved 745.9006 481 411.07 0.2800926 0.0593364
Moved 745.9313 481 418.2184 0.2800926 0.0777223
Moved 745.962 481 424 0.2800926 0.09259254
Moved 745.9927 481 431.5424 0.2800926 0.1119918
Moved 746.0234 481 437.7133 0.2800926 0.1278634
Moved 746.0542 481 443.2638 0.2800926 0.1421393
Moved 746.0849 481 447.007 0.2800926 0.1517668
Moved 746.1156 473.2674 451.4651 0.2621931 0.1632333
Moved 746.1463 471.5411 455.9178 0.2581969 0.1746858
Moved 746.1771 469.8136 459.1864 0.2541981 0.1830925
Moved 746.2078 467.4041 463.1918 0.2486206 0.1933945
Moved 746.2385 464.6829 469.9515 0.2423214 0.2107805
Moved 746.2692 461.9543 479.183 0.2360052 0.2345242
Moved 746.2999 458.2354 492.0583 0.2273968 0.2676397
Moved 746.3306 455.8537 502.5852 0.2218836 0.294715
Moved 746.3613 454 509.5991 0.2175926 0.3127548
Moved 746.3922 453 515.1821 0.2152778 0.3271143
Moved 746.4228 453 520.621 0.2152778 0.3411032
Moved 746.4535 453 526.4849 0.2152778 0.3561853
Moved 746.4843 453 532.9166 0.2152778 0.3727277
Moved 746.515 453 538.3517 0.2152778 0.3867071
Moved 746.5457 453 542.6779 0.2152778 0.3978339
Moved 746.5764 453 546.5901 0.2152778 0.4078962
Moved 746.6071 460.1546 549.0221 0.2318393 0.4141514
Moved 746.6378 461 551 0.2337964 0.4192385
Moved 746.6685 462 552 0.2361111 0.4218106
Ended 746.6992 462 553.4811 0.2361111 0.4256201
Began 747.6821 252 161 -0.25 -0.5838477
Stationary 747.7129 252 161 -0.25 -0.5838477
Stationary 747.7436 252 161 -0.25 -0.5838477
Stationary 747.7743 252 161 -0.25 -0.5838477
Stationary 747.8051 252 161 -0.25 -0.5838477
Stationary 747.8358 252 161 -0.25 -0.5838477
Stationary 747.8665 252 161 -0.25 -0.5838477
Stationary 747.8972 252 161 -0.25 -0.5838477
Stationary 747.9279 252 161 -0.25 -0.5838477
Stationary 747.9587 252 161 -0.25 -0.5838477
Moved 747.9894 243.1415 168.8743 -0.2705058 -0.5635949
Moved 748.0201 241.5 175.5 -0.2743055 -0.5465536
Moved 748.0508 242 187.7186 -0.2731481 -0.5151271
Moved 748.0815 242 199.5006 -0.2731481 -0.4848236
Moved 748.1122 246.202 211.8009 -0.2634213 -0.453187
Moved 748.1429 252.0063 219.0189 -0.2499854 -0.4346221
Moved 748.1737 257.4671 228.2007 -0.2373447 -0.4110065
Moved 748.2044 265.3644 237.3644 -0.2190639 -0.3874373
Moved 748.235 276.7042 249.7041 -0.1928144 -0.3556994
Moved 748.2658 286.2314 255.6735 -0.1707608 -0.3403461
Moved 748.2966 295.8567 262.8567 -0.1484799 -0.3218707
Moved 748.3273 303.0211 266.0211 -0.1318957 -0.3137319
Moved 748.358 308.4711 267.7355 -0.1192799 -0.3093223
Moved 748.3887 311.1506 269.1506 -0.1130774 -0.3056827
Moved 748.4194 313 269.8835 -0.1087963 -0.3037977
Moved 748.4501 314.2357 270 -0.1059358 -0.303498
Moved 748.4809 315.3567 270 -0.103341 -0.303498
Moved 748.5115 316.1633 270 -0.1014738 -0.303498
Stationary 748.5423 316 270 -0.1018519 -0.303498
Stationary 748.573 316 270 -0.1018519 -0.303498
Stationary 748.6037 316 270 -0.1018519 -0.303498
Stationary 748.6345 316 270 -0.1018519 -0.303498
Moved 748.6651 308.6469 262.6469 -0.118873 -0.3224103
Moved 748.6959 305.4478 262 -0.1262784 -0.3240741
Moved 748.7266 301.8621 261 -0.1345785 -0.3266461
Moved 748.7573 296.1823 260 -0.1477261 -0.3292181
Moved 748.788 290.731 260 -0.1603449 -0.3292181
Moved 748.8187 284.2783 260 -0.1752817 -0.3292181
Moved 748.8494 277.0863 260 -0.1919298 -0.3292181
Moved 748.8802 268.6416 269.9056 -0.2114777 -0.3037408
Moved 748.9109 260.4742 276.3505 -0.2303838 -0.2871644
Moved 748.9417 249.3786 286.6214 -0.2560681 -0.2607475
Moved 748.9724 238.3988 298.6012 -0.2814842 -0.2299353
Moved 749.003 222.75 318.2916 -0.3177082 -0.1792912
Moved 749.0338 207.4328 338.0896 -0.3531648 -0.1283704
Moved 749.0645 189.5481 359.945 -0.3945646 -0.07215798
Moved 749.0952 176.4629 380.19 -0.4248545 -0.02008744
Moved 749.1259 168.7833 395.825 -0.4426312 0.02012598
Moved 749.1566 164.6676 402.6647 -0.4521582 0.03771782
Moved 749.1874 163.1816 406.8184 -0.4555982 0.04840124
Moved 749.2181 162 409.4877 -0.4583334 0.0552666
Moved 749.2488 162 412.2141 -0.4583334 0.0622789
Moved 749.2795 162 414.5 -0.4583334 0.0681584
Moved 749.3102 162 416.2667 -0.4583334 0.07270236
Moved 749.3409 169.5331 418.0762 -0.4408955 0.07735632
Moved 749.3716 187.3766 418 -0.3995913 0.07716041
Moved 749.4024 214.7164 401.3623 -0.3363046 0.03436803
Moved 749.433 239.7463 385.8358 -0.278365 -0.005566515
Moved 749.4639 267.2 366.04 -0.2148149 -0.05648145
Moved 749.4945 292.0721 347.952 -0.1572406 -0.1030042
Moved 749.5253 311.573 334.6418 -0.1120996 -0.1372381
Moved 749.556 327.3921 322.0864 -0.07548134 -0.169531
Moved 749.5867 343.2328 309.9726 -0.03881285 -0.2006878
Moved 749.6174 364.4388 289.5612 0.01027515 -0.2531863
Moved 749.6481 374.0831 281.5974 0.03259987 -0.2736693
Moved 749.6788 381.1924 274.8076 0.04905661 -0.2911329
Moved 749.7095 392.288 263.712 0.07474084 -0.3196709
