the bathroom is good for reading
Basic
0.6 0.6
432 388.8
Moved 666.8141 351 506.4908 -0.02083332 0.3047602
Moved 666.8449 353.4436 492.782 -0.01517683 0.2695009
Moved 666.8756 354 479.6321 -0.01388888 0.2356793
Moved 666.9063 356 466.694 -0.009259283 0.2024021
Moved 666.9371 357 456.0863 -0.006944438 0.175119
Moved 666.9678 358 447.5128 -0.004629641 0.1530679
Moved 666.9985 360 438.7496 0 0.1305288
Moved 667.0292 361.9526 431.1422 0.004519919 0.1109624
Moved 667.06 363.8253 421.6985 0.008854966 0.08667313
Moved 667.0907 366.7191 411.5618 0.01555343 0.06060129
Moved 667.1214 369.246 403.2618 0.02140284 0.03925366
Moved 667.1521 371.1028 396.7944 0.02570093 0.02261939
Moved 667.1829 372 392.2872 0.02777775 0.01102671
Moved 667.2136 373 388.5134 0.0300926 0.001320427
Moved 667.2443 374 385.6508 0.03240744 -0.00604237
Moved 667.275 375 383.5 0.03472219 -0.01157415
Moved 667.3057 375 382.6803 0.03472219 -0.01368252
Moved 667.3364 376.1902 380.8098 0.03747731 -0.01849335
Moved 667.3671 377.4903 377.5097 0.04048685 -0.02698129
Moved 667.3979 377 375.6375 0.03935188 -0.03179652
Moved 667.4286 378 373.116 0.04166663 -0.03828206
Moved 667.4594 379 371.2449 0.04398147 -0.04309438
Moved 667.4901 380.1889 369.811 0.04673362 -0.04678247
Moved 667.5208 381.0846 367.9154 0.04880697 -0.05165791
Moved 667.5515 381 366.9316 0.04861106 -0.05418817
Moved 667.5822 381 366 0.04861106 -0.05658444
Moved 667.6129 381 364.626 0.04861106 -0.06011821
Stationary 667.6437 381 364.626 0.04861106 -0.06011821
Moved 667.6744 368.7731 373.5588 0.02030819 -0.03714314
Moved 667.7051 355.5399 392.6441 -0.01032422 0.01194471
Moved 667.7358 343.5 409.5 -0.03819446 0.05529835
Moved 667.7665 324.884 434.674 -0.08128703 0.1200462
Moved 667.7972 319.1286 443.3071 -0.09460971 0.1422506
Moved 667.828 310 462 -0.1157407 0.1903292
Moved 667.8587 306.1481 468.0865 -0.1246573 0.2059838
Moved 667.8894 299.5324 481.446 -0.1399713 0.2403447
Moved 667.9201 296.6485 492.4059 -0.146647 0.2685336
Moved 667.9509 293 501 -0.1550926 0.2906378
Moved 667.9816 291 507.9625 -0.1597222 0.3085455
Moved 668.0123 289.4752 514.0497 -0.163252 0.3242018
Moved 668.043 289 518.7822 -0.1643519 0.336374
Moved 668.0737 288.0725 521.855 -0.1664988 0.3442771
Moved 668.1045 288 525.7576 -0.1666667 0.3543146
Moved 668.1352 288 528.6067 -0.1666667 0.3616426
Moved 668.1659 288 531 -0.1666667 0.3677982
Moved 668.1966 288 532.9637 -0.1666667 0.3728491
Moved 668.2272 288 534 -0.1666667 0.3755144
Moved 668.2581 302.3762 536.6752 -0.1333885 0.382395
Moved 668.2888 322 537 -0.08796295 0.3832304
Moved 668.3195 338.6902 537 -0.04932835 0.3832304
Moved 668.3502 373.4654 524.6337 0.03116985 0.351424
Moved 668.381 400.771 518.0327 0.09437729 0.3344462
Moved 668.4117 416.5838 515.488 0.1309811 0.3279013
Moved 668.4424 431.9471 513.6106 0.1665442 0.3230725
Moved 668.4731 447.3026 509.4789 0.2020894 0.3124457
Moved 668.5038 460.3951 507 0.2323959 0.3060699
Moved 668.5345 466.9594 505 0.2475912 0.3009258
Moved 668.5652 475.0896 504.4776 0.2664112 0.2995822
Moved 668.596 484.1676 504 0.287425 0.2983539
Moved 668.6267 489.9524 503 0.3008157 0.2957818
Moved 668.6574 495.68 503 0.3140739 0.2957818
Moved 668.6881 499.7133 503 0.3234103 0.2957818
Moved 668.7189 503.5 503 0.3321759 0.2957818
Moved 668.7496 505.1205 503 0.335927 0.2957818
Moved 668.7803 507.5 503 0.3414352 0.2957818
Moved 668.811 510.5 511.5 0.3483796 0.317644
Moved 668.8417 511.3709 512.371 0.3503957 0.3198842
Moved 668.8724 513.5 513.5 0.3553241 0.3227879
Moved 668.9032 515.5 514.5 0.3599537 0.32536
Moved 668.9339 516.2497 514 0.3616891 0.324074
Stationary 668.9646 516 514 0.3611111 0.324074
Stationary 668.9953 516 514 0.3611111 0.324074
Moved 669.0261 516 505.2507 0.3611111 0.3015706
Moved 669.0568 506.7642 492.0732 0.339732 0.2676778
Moved 669.0874 499.3228 474.6455 0.3225063 0.2228536
Moved 669.1182 491.8949 455.6846 0.3053122 0.1740859
Moved 669.149 485.1518 435.0312 0.2897031 0.1209649
Moved 669.1797 478.9948 414.9819 0.2754509 0.06939778
Moved 669.2103 473.2545 395.8909 0.2621633 0.02029552
Moved 669.2411 468.2642 376.8492 0.2506115 -0.02868016
Moved 669.2719 463.3869 357.3213 0.2393215 -0.07890622
Moved 669.3026 459.7054 341.969 0.2307996 -0.1183925
Moved 669.3333 457.9898 323.9284 0.2268282 -0.1647933
Moved 669.364 455.1156 305.5778 0.2201749 -0.2119913
Moved 669.3947 453.5 293.5 0.2164352 -0.2430556
Moved 669.4255 454 282.9755 0.2175926 -0.2701247
Moved 669.4561 454 274.7357 0.2175926 -0.2913178
Moved 669.4869 454 264.0289 0.2175926 -0.3188559
Moved 669.5176 454 256.383 0.2175926 -0.3385212
Moved 669.5483 454 248.7375 0.2175926 -0.3581853
Moved 669.579 454 244.4167 0.2175926 -0.3692985
Moved 669.6097 454 239.8337 0.2175926 -0.381086
Moved 669.6404 454 235.3214 0.2175926 -0.3926918
Moved 669.6712 457.8356 232.452 0.2264713 -0.400072
Moved 669.7019 461 230.7944 0.2337964 -0.4043353
Ended 669.7326 461 227.8213 0.2337964 -0.4119823
Began 670.8079 481 542 0.2800926 0.3960905
Stationary 670.8386 481 542 0.2800926 0.3960905
Stationary 670.8693 481 542 0.2800926 0.3960905
Stationary 670.9 481 542 0.2800926 0.3960905
Moved 670.9307 472 542 0.2592593 0.3960905
Moved 670.9615 469.3955 542 0.2532302 0.3960905
Moved 670.9922 465.0356 542 0.2431379 0.3960905
Moved 671.0229 459.9232 542 0.2313038 0.3960905
Moved 671.0536 454.3781 542 0.2184679 0.3960905
Moved 671.0844 449.2787 542 0.2066636 0.3960905
Moved 671.1151 440.5 542 0.1863426 0.3960905
Moved 671.1458 432.8912 532.9275 0.1687297 0.3727557
Moved 671.1765 423.3407 528.1703 0.146622 0.3605203
Moved 671.2072 413.6547 522.4365 0.1242008 0.3457727
Moved 671.2379 402.6288 517.4515 0.09867768 0.3329512
Moved 671.2686 390.8686 509.3212 0.07145505 0.31204
Moved 671.2993 378.8621 500.9172 0.04366219 0.2904249
Moved 671.3301 373 495 0.0300926 0.2752057
Moved 671.3608 353.355 477.355 -0.01538187 0.2298225
Moved 671.3915 340.4002 464.4001 -0.04536996 0.1965023
Moved 671.4223 328.9167 451.9167 -0.07195199 0.1643948
Moved 671.453 321.4866 442.4866 -0.08915146 0.1401403
Moved 671.4837 313.049 434.0491 -0.1086828 0.1184389
Moved 671.5144 302.9265 425.4449 -0.1321145 0.09630874
Moved 671.5452 289.5 413 -0.1631944 0.06430033
Moved 671.5759 283.1864 410.1864 -0.1778093 0.05706371
Moved 671.6066 272.7837 402.5878 -0.2018897 0.03751998
Moved 671.6373 262.9661 394.9661 -0.2246154 0.01791695
Moved 671.668 256 390.5 -0.2407407 0.006429962
Moved 671.6987 250.8736 385.8735 -0.2526075 -0.005469381
Moved 671.7295 245.129 382.129 -0.2659051 -0.01510039
Moved 671.7602 239.3809 378.1905 -0.2792108 -0.02523022
Moved 671.7909 235.7102 375.7103 -0.2877078 -0.03160948
Moved 671.8216 228.507 372.7535 -0.3043819 -0.03921438
Moved 671.8524 222.7601 371 -0.3176849 -0.04372435
Moved 671.8831 217.0174 370 -0.3309782 -0.04629637
Moved 671.9138 213.4711 369 -0.3391873 -0.04886839
Moved 671.9445 210.6032 369 -0.3458259 -0.04886839
Moved 671.9752 209.5 369 -0.3483796 -0.04886839
Moved 672.006 208.6492 367.6492 -0.3503489 -0.05234259
Moved 672.0366 208 368 -0.3518518 -0.05144041
Ended 672.0674 208 368 -0.3518518 -0.05144041
Began 673.1426 348 349 -0.0277778 -0.1003086
Stationary 673.1733 348 349 -0.0277778 -0.1003086
Stationary 673.204 348 349 -0.0277778 -0.1003086
Stationary 673.2348 348 349 -0.0277778 -0.1003086
Stationary 673.2654 348 349 -0.0277778 -0.1003086
Stationary 673.2962 348 349 -0.0277778 -0.1003086
Moved 673.327 354.7311 359.3463 -0.01219645 -0.07369798
Moved 673.3577 367.1913 364.4765 0.01664658 -0.06050282
Moved 673.3884 376.3983 371.2988 0.03795902 -0.042956
Moved 673.4191 385.9233 376.9489 0.06000767 -0.02842381
Moved 673.4498 392.8994 383.2663 0.07615606 -0.01217524
Moved 673.4805 401.1511 390.1511 0.09525716 0.005532724
Moved 673.5113 408.7751 398.7751 0.1129054 0.02771377
Moved 673.542 415.2595 406.2595 0.1279154 0.04696359
Moved 673.5727 422.2557 414.8835 0.1441104 0.06914484
Moved 673.6034 430.4766 424.9688 0.1631403 0.09508427
Moved 673.6342 443.8685 442.2422 0.1941401 0.1395118
Moved 673.6649 455.682 456.8184 0.2214861 0.1770021
Moved 673.6956 467.7143 470.3929 0.2493387 0.2119158
Moved 673.7263 481.7336 485.7336 0.2817908 0.2513725
Moved 673.757 493.2638 500.685 0.3084809 0.2898276
Moved 673.7878 499.9098 509.8647 0.3238653 0.313438
Moved 673.8185 504.8047 516.6093 0.335196 0.3307852
Moved 673.8492 507.6811 521.3621 0.3418543 0.3430095
Moved 673.8799 510.5485 525.097 0.348492 0.3526158
Moved 673.9106 513.1208 528.1208 0.3544462 0.360393
Moved 673.9413 514 530.5 0.3564815 0.3665122
Moved 673.972 515.8328 532.8328 0.3607241 0.3725123
Moved 674.0027 517.5 534 0.3645833 0.3755144
Moved 674.0335 517 536.2694 0.3634259 0.3813513
Stationary 674.0642 517 536 0.3634259 0.3806583
Moved 674.095 508.1627 537 0.3429692 0.3832304
Moved 674.1257 488.427 537 0.2972847 0.3832304
Moved 674.1564 442.5107 515.658 0.1909971 0.3283383
Moved 674.1871 414.6891 502.3445 0.1265952 0.294096
Moved 674.2178 392.9721 492.9896 0.07632434 0.2700348
Moved 674.2485 375.1329 482.7902 0.03502995 0.2438019
Moved 674.2793 356.0208 472.2975 -0.009211202 0.2168146
Moved 674.31 343.4897 463.7166 -0.0382182 0.1947441
Moved 674.3407 328.2711 452.2169 -0.07344653 0.1651668
Moved 674.3715 315.7934 442.5951 -0.1023301 0.1404194
Moved 674.4022 304.3206 432.9904 -0.1288876 0.1157161
Moved 674.4329 293.3695 422.3696 -0.1542372 0.08839902
Moved 674.4636 284.653 414.7687 -0.1744144 0.0688494
Moved 674.4943 275.074 405.074 -0.1965879 0.04391446
Moved 674.525 267.2906 396.4359 -0.2146051 0.02169711
Moved 674.5557 262.5 390 -0.2256944 0.005143954
Moved 674.5864 257.7314 383.4627 -0.2367329 -0.01166999
Moved 674.6172 253.8625 377.5876 -0.2456886 -0.0267809
Moved 674.6479 250.9906 373.9812 -0.2523365 -0.03605658
Moved 674.6786 249.4888 371.4888 -0.2558131 -0.04246723
Moved 674.7094 247.6142 370 -0.2601523 -0.04629637
Moved 674.7401 248 367.5 -0.2592593 -0.05272634
Ended 674.7708 248 368 -0.2592593 -0.05144041
Began 676.2147 349 337 -0.02546296 -0.1311728
Stationary 676.2454 349 337 -0.02546296 -0.1311728
Stationary 676.2761 349 337 -0.02546296 -0.1311728
Stationary 676.3069 349 337 -0.02546296 -0.1311728
Stationary 676.3375 349 337 -0.02546296 -0.1311728
Stationary 676.3683 349 337 -0.02546296 -0.1311728
Stationary 676.399 349 337 -0.02546296 -0.1311728
Moved 676.4297 349 348.3578 -0.02546296 -0.1019603
Moved 676.4604 357.1929 353.1929 -0.006497999 -0.08952458
Moved 676.4911 361.0572 358.0572 0.002447268 -0.07701356
Moved 676.5218 364.6884 362.3769 0.01085291 -0.06590305
Moved 676.5526 367.4556 367.9112 0.01725833 -0.05166882
Moved 676.5833 371.3261 372.6522 0.0262178 -0.03947489
Moved 676.6141 374.1944 379.5832 0.03285736 -0.02164817
Moved 676.6448 377.6981 387.7923 0.04096776 -0.0005342931
Moved 676.6755 383.1423 403.4269 0.05357017 0.03967815
Moved 676.7062 390.3321 422.5522 0.07021318 0.08886894
Moved 676.7369 397.9439 436.5732 0.0878332 0.1249311
Moved 676.7676 406.4662 453.0659 0.1075607 0.1673505
Moved 676.7983 417.9196 467.6495 0.1340732 0.2048598
Moved 676.8291 432.0011 482.0011 0.1666691 0.2417723
Moved 676.8598 436.5 486.5 0.1770833 0.2533436
Moved 676.8905 449.9922 500.9922 0.2083152 0.2906177
Moved 676.9212 460.5975 510.5975 0.2328646 0.3153228
Moved 676.952 470.2155 518.477 0.2551284 0.3355889
Moved 676.9827 477.9031 523.6021 0.2729239 0.3487708
Moved 677.0134 487.7107 527.1777 0.2956266 0.3579671
Moved 677.0441 498.2069 531.0518 0.3199234 0.3679314
Moved 677.0748 507.3828 534 0.341164 0.3755144
Moved 677.1056 513.9085 536.4543 0.3562697 0.3818268
Moved 677.1363 519.6578 538.3289 0.3695783 0.3866484
Moved 677.167 523.2007 539.2007 0.3777794 0.3888905
Moved 677.1978 528.137 539 0.3892059 0.3883744
Moved 677.2285 529.5759 539.5759 0.3925367 0.3898556
Moved 677.2592 530.5 540.5 0.3946759 0.3922324
Moved 677.2899 531 540 0.3958333 0.3909464
Stationary 677.3206 531 540 0.3958333 0.3909464
Moved 677.3513 501.1949 540 0.32684 0.3909464
Moved 677.3821 469.1959 540 0.2527683 0.3909464
Moved 677.4128 448.1218 530.0135 0.2039857 0.3652611
Moved 677.4435 425 527 0.150463 0.3575102
Moved 677.4742 403.0811 525 0.09972472 0.3523662
Moved 677.5049 384.9334 523.3867 0.05771617 0.3482166
Moved 677.5356 372.14 523 0.0281018 0.3472221
Moved 677.5663 358 522 -0.004629641 0.3446501
Moved 677.5971 344.3698 522 -0.03618091 0.3446501
Moved 677.6278 336 522 -0.05555556 0.3446501
Moved 677.6585 328 522 -0.07407407 0.3446501
Moved 677.6893 321 522 -0.09027779 0.3446501
Moved 677.72 315 522 -0.1041667 0.3446501
Moved 677.7507 311 522 -0.113426 0.3446501
Moved 677.7814 305 522 -0.1273148 0.3446501
Moved 677.8121 300 522 -0.1388889 0.3446501
Moved 677.8429 295.9793 522 -0.148196 0.3446501
Moved 677.8736 294 522 -0.1527778 0.3446501
Moved 677.9043 292 522 -0.1574074 0.3446501
Moved 677.935 291 529 -0.1597222 0.3626543
Moved 677.9658 291 530 -0.1597222 0.3652262
Ended 677.9965 291 530 -0.1597222 0.3652262
Began 678.9182 410 443 0.1157407 0.1414608
Stationary 678.9489 410 443 0.1157407 0.1414608
Moved 678.9796 400.0336 443 0.09267032 0.1414608
Moved 679.0102 394.3289 443 0.07946511 0.1414608
Moved 679.041 385.0158 443 0.057907 0.1414608
Moved 679.0717 377.4003 443 0.04027844 0.1414608
Moved 679.1024 368.8047 443 0.02038111 0.1414608
Moved 679.1332 363.1173 443 0.007216037 0.1414608
Moved 679.1639 356.3785 443 -0.008383095 0.1414608
Moved 679.1946 348.9442 443 -0.02559205 0.1414608
Moved 679.2253 341.5 443 -0.04282405 0.1414608
Moved 679.256 337.8741 443 -0.05121738 0.1414608
Moved 679.2868 333.0652 443 -0.06234919 0.1414608
Moved 679.3174 326.3875 443 -0.07780667 0.1414608
Moved 679.3482 321.4734 443 -0.08918206 0.1414608
Moved 679.3789 314.5406 443 -0.1052301 0.1414608
Moved 679.4097 310.5 443 -0.1145833 0.1414608
Moved 679.4404 296.5801 443 -0.1468052 0.1414608
Moved 679.4711 287.5273 443 -0.1677609 0.1414608
Moved 679.5018 280.2762 451.2413 -0.1845458 0.1626575
Moved 679.5325 274.9016 454.0984 -0.1969869 0.1700061
Moved 679.5632 269.5219 456.4781 -0.2094401 0.1761269
Moved 679.594 266.4574 458 -0.2165337 0.180041
Moved 679.6247 263.5895 459 -0.2231725 0.1826131
Moved 679.6554 261.5 460.5 -0.2280093 0.1864711
Moved 679.6862 259.1905 461 -0.2333554 0.1877571
Moved 679.7169 257.332 462 -0.2376575 0.1903292
Moved 679.7476 254.4793 463.5207 -0.2442609 0.1942404
Moved 679.7783 252 465 -0.25 0.1980452
Moved 679.809 249.0759 466 -0.2567689 0.2006171
Moved 679.8397 246.2064 467 -0.263411 0.2031892
Moved 679.8705 242.6375 467 -0.2716725 0.2031892
Moved 679.9012 238 467 -0.2824074 0.2031892
Moved 679.9319 226 459 -0.3101852 0.1826131
Moved 679.9626 214.058 450.0435 -0.3378287 0.1595769
Moved 679.9933 204.546 442.4095 -0.3598473 0.139942
Moved 680.0241 195.4235 433.4235 -0.380964 0.11683
Moved 680.0547 182.9547 423.216 -0.4098272 0.09057613
Moved 680.0855 174.7313 413.597 -0.4288627 0.06583583
Moved 680.1163 166.7639 404.7639 -0.4473058 0.04311699
Moved 680.1469 160.6124 395.9186 -0.4615454 0.02036668
Moved 680.1777 157.0119 390.5179 -0.4698799 0.006475998
Moved 680.2084 153.5466 384.0931 -0.4779014 -0.01004859
Moved 680.2391 152.0167 380.0333 -0.4814429 -0.02049042
Moved 680.2698 151 377.1553 -0.4837963 -0.02789289
Moved 680.3005 151 374.2857 -0.4837963 -0.03527347
Moved 680.3313 151 372.8508 -0.4837963 -0.03896415
Moved 680.362 151 372 -0.4837963 -0.04115226
Moved 680.3928 151 370 -0.4837963 -0.04629637
Stationary 680.4235 151 370 -0.4837963 -0.04629637
Moved 680.4542 163.5646 370 -0.4547115 -0.04629637
Moved 680.4849 171.5099 370 -0.4363196 -0.04629637
Moved 680.5156 183.597 370 -0.4083402 -0.04629637
Moved 680.5463 199.9758 381.9879 -0.3704264 -0.01546326
