I can play much better now
Basic
0.6 0.6
432 388.8
Began 1185.635 449 562 0.2060185 0.4475308
Stationary 1185.666 449 562 0.2060185 0.4475308
Stationary 1185.697 449 562 0.2060185 0.4475308
Stationary 1185.727 449 562 0.2060185 0.4475308
Stationary 1185.758 449 562 0.2060185 0.4475308
Moved 1185.789 449 551.1086 0.2060185 0.4195178
Moved 1185.819 449 549.2404 0.2060185 0.4147129
Moved 1185.85 449 546.7412 0.2060185 0.4082849
Moved 1185.881 449 543.7974 0.2060185 0.4007134
Moved 1185.912 449 540.92 0.2060185 0.3933126
Moved 1185.942 449 539.049 0.2060185 0.3885004
Moved 1185.973 459.4258 536.5106 0.2301524 0.3819717
Moved 1186.004 457.3621 533.6379 0.2253753 0.3745829
Moved 1186.034 458.2297 529.7703 0.2273836 0.3646354
Moved 1186.065 459 525.3861 0.2291666 0.3533593
Moved 1186.096 460.608 518.7841 0.2328889 0.3363787
Moved 1186.127 463.4809 511.5572 0.2395391 0.317791
Moved 1186.157 467.7194 502.9209 0.2493505 0.2955784
Moved 1186.188 471.7894 497.2106 0.2587718 0.2808914
Moved 1186.219 476.5272 491.4728 0.2697389 0.2661338
Moved 1186.25 480.6339 487.7321 0.2792453 0.2565126
Moved 1186.28 486 484.5 0.2916667 0.2481995
Moved 1186.311 489.0581 480.9419 0.2987456 0.239048
Moved 1186.342 495.7004 473.3994 0.3141213 0.2196486
Moved 1186.372 504.3227 460.1288 0.3340802 0.1855165
Moved 1186.403 512.8027 446.6622 0.3537098 0.1508801
Ended 1186.434 524 434 0.3796296 0.1183127
Began 1188.001 260 140 -0.2314815 -0.6378601
Stationary 1188.032 260 140 -0.2314815 -0.6378601
Stationary 1188.063 260 140 -0.2314815 -0.6378601
Stationary 1188.093 260 140 -0.2314815 -0.6378601
Moved 1188.124 250.0699 154.8602 -0.2544679 -0.5996393
Moved 1188.155 245.388 161.6119 -0.2653054 -0.5822738
Moved 1188.185 240.6467 169.3533 -0.2762807 -0.562363
Moved 1188.216 234.433 177.567 -0.2906643 -0.5412371
Moved 1188.247 227.8291 186.1709 -0.3059511 -0.5191078
Moved 1188.278 221.1761 194.7358 -0.3213516 -0.4970787
Moved 1188.308 214.2067 203.7933 -0.3374845 -0.4737826
Moved 1188.339 208.3264 211.6736 -0.3510963 -0.4535145
Moved 1188.37 201.5641 224.8718 -0.3667497 -0.4195684
Moved 1188.401 195.8591 236.2819 -0.3799559 -0.3902216
Moved 1188.431 190.8138 245.3724 -0.3916348 -0.3668405
Moved 1188.462 187.0476 254.9049 -0.4003529 -0.3423228
Moved 1188.493 183.6431 267.7845 -0.4082336 -0.3091962
Moved 1188.524 178.7906 281.8376 -0.4194662 -0.2730516
Moved 1188.554 174.4392 294.1216 -0.4295388 -0.2414569
Moved 1188.585 169.6852 311.574 -0.4405435 -0.196569
Moved 1188.616 168 333.7308 -0.4444444 -0.1395813
Moved 1188.646 167 354.3605 -0.4467593 -0.08652133
Moved 1188.677 167 377.438 -0.4467593 -0.02716551
Moved 1188.708 175.6077 397.627 -0.426834 0.02476064
Moved 1188.739 178.6777 410.0332 -0.4197275 0.05666964
Moved 1188.769 181.1813 418.7253 -0.4139321 0.07902608
Moved 1188.8 184.0582 426.1747 -0.4072725 0.09818595
Moved 1188.831 185.9269 431.8538 -0.402947 0.1127925
Moved 1188.861 187 436.2095 -0.4004629 0.1239955
Moved 1188.892 189.3414 439.3414 -0.3950431 0.1320507
Moved 1188.923 190 443.2158 -0.3935185 0.1420159
Moved 1188.954 191 445 -0.3912037 0.1466049
Moved 1188.984 192 447.592 -0.3888888 0.1532714
Moved 1189.015 193.027 449.027 -0.3865117 0.1569624
Moved 1189.046 194 449 -0.3842593 0.156893
Moved 1189.077 196.2032 449 -0.3791592 0.156893
Moved 1189.107 202.3408 441.9777 -0.3649519 0.1388313
Moved 1189.138 217.9158 422.4316 -0.3288987 0.08855847
Moved 1189.169 236.1093 399.8543 -0.2867841 0.03048944
Moved 1189.199 252.3042 382.7393 -0.2492959 -0.01353079
Moved 1189.23 275.4317 362.3552 -0.19576 -0.06595878
Moved 1189.261 300.443 346.9731 -0.1378634 -0.1055217
Moved 1189.292 324.0782 333.6232 -0.0831522 -0.1398582
Moved 1189.322 347.0099 321.9037 -0.03006965 -0.1700008
Moved 1189.353 369.3362 308.8079 0.02161155 -0.2036835
Moved 1189.384 394.3141 297.3049 0.07943065 -0.2332694
Moved 1189.415 414 287 0.125 -0.2597736
Moved 1189.445 437.3537 276.9913 0.1790595 -0.2855163
Moved 1189.476 455.2927 271.5691 0.220585 -0.2994623
Moved 1189.507 470.522 267.826 0.255838 -0.3090895
Moved 1189.537 486.6441 262.7853 0.2931577 -0.3220544
Moved 1189.568 501.4339 258.0441 0.3273933 -0.3342488
Moved 1189.599 510.0561 254.6479 0.3473521 -0.3429837
Moved 1189.63 515.4396 250.7802 0.359814 -0.3529318
Moved 1189.661 517.801 250 0.36528 -0.3549383
Ended 1189.691 518.5 250 0.3668982 -0.3549383
Began 1191.135 602 612 0.5601852 0.5761316
Stationary 1191.166 602 612 0.5601852 0.5761316
Moved 1191.197 588.5037 612 0.5289437 0.5761316
Moved 1191.228 582.1865 612 0.5143206 0.5761316
Moved 1191.258 569.0129 601.7532 0.4838261 0.5497767
Moved 1191.289 553.2802 597.88 0.4474079 0.5398148
Moved 1191.32 539.1023 593.0409 0.4145886 0.5273685
Moved 1191.35 522.6651 589.0472 0.3765396 0.5170965
Moved 1191.381 508.5807 584.6452 0.3439369 0.5057746
Moved 1191.412 499.5544 580.7772 0.3230425 0.495826
Moved 1191.443 494.169 580 0.3105765 0.4938271
Moved 1191.474 491 578.3538 0.3032407 0.4895929
Moved 1191.504 488.4831 576.4831 0.2974147 0.4847815
Moved 1191.535 486.6162 572.2325 0.2930931 0.4738489
Moved 1191.566 487 564.3536 0.2939814 0.4535842
Moved 1191.596 487 552.0841 0.2939814 0.422027
Moved 1191.627 498.3108 530.4123 0.3201638 0.3662867
Moved 1191.658 504 507.5 0.3333333 0.3073559
Moved 1191.688 508.098 482.0198 0.3428195 0.2418203
