why do you ask silly questions
Basic
0.6 0.6
432 388.8
Moved 377.1273 439.1282 516 0.1831672 0.329218
Moved 377.158 454.795 516 0.2194327 0.329218
Moved 377.1887 471.1987 516 0.2574044 0.329218
Moved 377.2195 482.7804 516 0.2842138 0.329218
Moved 377.2502 491.6908 516 0.3048399 0.329218
Moved 377.2809 498.8754 516 0.3214708 0.329218
Moved 377.3117 505.6295 516 0.3371054 0.329218
Moved 377.3424 509.8921 516 0.3469726 0.329218
Moved 377.3731 512.764 516 0.3536204 0.329218
Moved 377.4039 515.6332 516 0.3602621 0.329218
Moved 377.4346 517.0734 516 0.3635958 0.329218
Moved 377.4653 519.0218 516 0.368106 0.329218
Moved 377.4961 519 509 0.3680556 0.3112139
Moved 377.5268 519 508.2141 0.3680556 0.3091924
Moved 377.5576 519 506.5 0.3680556 0.3047839
Moved 377.5883 500.1699 500.5019 0.3244672 0.2893567
Moved 377.619 489.8832 496.9611 0.3006555 0.2802496
Moved 377.6497 481.9463 492.3154 0.282283 0.268301
Moved 377.6805 470.2146 485.1073 0.2551263 0.2497615
Moved 377.7113 462.4712 481.2356 0.2372018 0.2398034
Moved 377.742 458.4009 479.8003 0.2277798 0.2361118
Moved 377.7727 453.5533 480 0.2165586 0.2366254
Moved 377.8034 446.2146 479 0.1995708 0.2340534
Moved 377.8342 439.0714 479 0.1830357 0.2340534
Moved 377.8649 433.3195 479 0.169721 0.2340534
Moved 377.8956 430.0929 479 0.1622521 0.2340534
Moved 377.9264 427.2208 479 0.1556038 0.2340534
Moved 377.9571 424.3474 479 0.1489523 0.2340534
Moved 377.9879 424 486.5862 0.1481481 0.2535653
Moved 378.0186 423 487 0.1458333 0.2546296
Moved 378.0493 423 490.8906 0.1458333 0.2646362
Ended 378.08 432.7159 500.7159 0.1683239 0.2899072
Began 379.3709 129 331 -0.5347222 -0.146605
Stationary 379.4016 129 331 -0.5347222 -0.146605
Stationary 379.4324 129 331 -0.5347222 -0.146605
Stationary 379.4632 129 331 -0.5347222 -0.146605
Stationary 379.4939 129 331 -0.5347222 -0.146605
Moved 379.5247 140.985 331 -0.5069792 -0.146605
Moved 379.5553 148.9241 331 -0.4886016 -0.146605
Moved 379.5861 157.1682 331 -0.469518 -0.146605
Moved 379.6168 164.7829 331 -0.4518913 -0.146605
Moved 379.6476 171.2606 331 -0.4368969 -0.146605
