just in time for the party
Basic
0.6 0.6
432 388.8
Moved 730.1174 533.4162 514.9442 0.4014263 0.3265024
Moved 730.1481 539.8813 519.9406 0.4163919 0.3393534
Moved 730.1788 542 524.6239 0.4212962 0.3513988
Moved 730.2096 542 529.051 0.4212962 0.3627855
Moved 730.2402 511.0842 534 0.3497319 0.3755144
Moved 730.271 464.5937 535 0.242115 0.3780863
Moved 730.3017 415.3622 513.8267 0.1281532 0.3236283
Moved 730.3324 383.9385 499.9692 0.05541315 0.2879867
Moved 730.3632 358.6807 489.006 -0.003054043 0.2597889
Moved 730.3939 344.0428 484.2086 -0.03693784 0.2474499
Moved 730.4246 331.7557 480.5511 -0.06538029 0.238043
Moved 730.4553 318.1214 475.6486 -0.09694114 0.2254335
Moved 730.486 304.5201 472.104 -0.1284258 0.2163168
Moved 730.5167 294.9783 469.7446 -0.1505132 0.2102483
Moved 730.5474 282.77 467.9425 -0.1787732 0.2056133
Moved 730.5781 275.4228 467 -0.1957805 0.2031892
Moved 730.6088 270.5 465.5 -0.2071759 0.1993312
Moved 730.6395 268.0847 466 -0.212767 0.2006171
Stationary 730.6702 268 466 -0.212963 0.2006171
Ended 730.7009 268 466 -0.212963 0.2006171
Began 731.0389 420 591 0.1388889 0.5221192
Stationary 731.0696 420 591 0.1388889 0.5221192
Stationary 731.1003 420 591 0.1388889 0.5221192
Stationary 731.131 420 591 0.1388889 0.5221192
Stationary 731.1617 420 591 0.1388889 0.5221192
Moved 731.1924 412.5354 580.7361 0.1216097 0.4957205
Moved 731.2231 412 559.9801 0.1203704 0.4423355
Moved 731.2539 412 530.4625 0.1203704 0.3664157
Moved 731.2845 426.2065 509.7853 0.1532559 0.3132336
Moved 731.3152 432 483.5 0.1666667 0.2456274
Moved 731.346 437.5085 460.7118 0.1794178 0.1870158
Moved 731.3766 442.9069 431.4654 0.1919141 0.1117936
Moved 731.4074 446.3698 408.3024 0.19993 0.0522181
Moved 731.4381 450.1731 392.4808 0.208734 0.01152458
Moved 731.4689 452.6154 379.9614 0.2143876 -0.02067542
Moved 731.4995 454 364.5 0.2175926 -0.06044246
Moved 731.5303 455 354.1 0.2199073 -0.08719134
Moved 731.561 450.1311 347.6089 0.2086368 -0.1038867
Moved 731.5917 424.0005 347 0.1481494 -0.1054527
Moved 731.6224 398.5062 361.3724 0.08913477 -0.06848653
Moved 731.6531 368.9366 374.3073 0.02068649 -0.03521782
Moved 731.6838 340.479 391.9608 -0.04518757 0.01018728
Moved 731.7145 319.9174 406.059 -0.09278366 0.0464479
Moved 731.7452 305.0138 418.4187 -0.1272829 0.07823728
Moved 731.776 283.4543 438.5457 -0.1771892 0.1300044
Moved 731.8067 270.5 455.5 -0.2071759 0.173611
Moved 731.8374 258.5 475 -0.2349537 0.2237653
Moved 731.8681 248.5561 494.0268 -0.2579719 0.2727026
Moved 731.8989 240.2573 508.9045 -0.2771822 0.3109683
Moved 731.9296 233.437 518.8445 -0.2929699 0.3365342
Moved 731.9603 229.9784 524.0432 -0.3009759 0.3499052
Moved 731.991 227.5774 527.8452 -0.3065338 0.3596839
Moved 732.0217 222.6976 531.1512 -0.3178298 0.3681873
Ended 732.0524 222 533.5 -0.3194444 0.3742283
Began 732.9739 630 533 0.6250001 0.3729423
Stationary 733.0046 630 533 0.6250001 0.3729423
Moved 733.0353 621.7574 533 0.6059198 0.3729423
Moved 733.0659 595.3903 533 0.544885 0.3729423
Moved 733.0967 572.0641 533 0.4908891 0.3729423
Moved 733.1274 552.4493 533 0.4454846 0.3729423
Moved 733.1581 526.8939 523.149 0.3863284 0.3476053
Moved 733.1888 476.8134 506.8412 0.2704014 0.3056616
Moved 733.2195 408.0275 481.611 0.1111748 0.240769
Moved 733.2502 357.5387 460.8155 -0.005697459 0.1872826
Moved 733.281 318.0525 445.021 -0.09710079 0.1466588
Moved 733.3117 289.5 433 -0.1631944 0.1157406
Moved 733.3424 267.2559 423.7209 -0.2146853 0.09187474
Moved 733.3731 243.9622 411.0703 -0.2686061 0.05933702
Moved 733.4039 225.6859 402.3429 -0.3109124 0.03689016
Moved 733.4345 210.1714 393.1143 -0.3468255 0.01315384
Moved 733.4653 190.4879 383.244 -0.3923892 -0.0122327
Moved 733.496 174.8877 374.7326 -0.4285007 -0.03412404
Moved 733.5267 163.4155 369.7078 -0.4550566 -0.04704801
Moved 733.5574 153.875 366.4688 -0.4771413 -0.0553788
Moved 733.5881 143.2156 365 -0.5018159 -0.05915646
Moved 733.6188 135.0409 365 -0.5207387 -0.05915646
Moved 733.6495 130.2924 365 -0.5317305 -0.05915646
Moved 733.6802 127.8411 375.4767 -0.5374049 -0.03221001
Moved 733.711 128 391.1512 -0.5370371 0.008104975
Moved 733.7417 147.6088 419.6129 -0.4916462 0.0813087
Moved 733.7724 170 450 -0.4398148 0.1594649
Moved 733.8031 216.1404 496.7545 -0.3330083 0.2797182
Moved 733.8338 240.0747 517.3915 -0.2776048 0.3327969
Moved 733.8646 264.5985 535.399 -0.2208368 0.3791125
Moved 733.8953 281.5 547 -0.181713 0.4089505
Moved 733.926 303.6438 562.6524 -0.1304541 0.4492088
Moved 733.9567 310.5798 566.7198 -0.1143987 0.4596703
Moved 733.9874 317.4346 570.7173 -0.098531 0.4699518
Moved 734.0181 322.1804 572 -0.08754546 0.4732509
Moved 734.0488 327.6534 574 -0.07487649 0.478395
Moved 734.0795 334.6549 574 -0.05866915 0.478395
Moved 734.1103 344.396 574 -0.03612046 0.478395
Moved 734.141 356.6565 563.3391 -0.007739514 0.450975
Moved 734.1717 370.9565 554.8261 0.02536217 0.4290795
Moved 734.2024 383.4596 545.6553 0.0543047 0.4054919
Moved 734.2332 396.192 539.4848 0.08377781 0.3896213
Moved 734.2638 404.8235 534.451 0.103758 0.3766744
Moved 734.2946 409.9878 531.0061 0.1157125 0.3678139
Moved 734.3253 412 529.2814 0.1203704 0.3633781
Moved 734.356 414.4393 527.5607 0.1260169 0.3589524
Moved 734.3867 415.8557 525.1443 0.1292956 0.3527373
Ended 734.4174 416.5 524.5 0.130787 0.3510802
PhraseEnd 735.5538
