a subject one can really enjoy
Basic
0.6 0.6
432 388.8
Began 418.3171 141 372 -0.5069445 -0.04115226
Stationary 418.3478 141 372 -0.5069445 -0.04115226
Stationary 418.3785 141 372 -0.5069445 -0.04115226
Stationary 418.4093 141 372 -0.5069445 -0.04115226
Ended 418.44 141 372 -0.5069445 -0.04115226
Began 419.0237 294 369 -0.1527778 -0.04886839
Stationary 419.0545 294 369 -0.1527778 -0.04886839
Stationary 419.0852 294 369 -0.1527778 -0.04886839
Stationary 419.1159 294 369 -0.1527778 -0.04886839
Moved 419.1466 307.3104 392.9656 -0.1219667 0.01277154
Moved 419.1773 322.6268 415.603 -0.08651197 0.07099517
Moved 419.2081 340.6273 438.8065 -0.04484415 0.1306752
Moved 419.2388 353.5383 457.2305 -0.01495759 0.178062
Moved 419.2695 363.1858 469.4822 0.007374486 0.2095735
Moved 419.3003 374.2122 481.2122 0.03289868 0.2397433
Moved 419.331 383.3012 490.3012 0.05393803 0.2631203
Moved 419.3617 390 496 0.06944448 0.2777777
Moved 419.3924 395.0036 502.0071 0.08102675 0.2932281
Moved 419.4232 398.7724 504 0.08975089 0.2983539
Moved 419.4539 399 505.1539 0.09027779 0.3013217
Moved 419.4846 400.2401 505 0.09314825 0.3009258
Stationary 419.5154 400 505 0.09259263 0.3009258
Moved 419.5461 400 492.2248 0.09259263 0.2680678
Moved 419.5768 400 465.4053 0.09259263 0.1990875
Moved 419.6075 390.2841 432.2615 0.07010202 0.1138411
Moved 419.6382 387.5 404 0.06365737 0.04115226
Moved 419.669 386 375.8627 0.06018519 -0.03121733
Moved 419.6997 386 356.271 0.06018519 -0.0816076
Moved 419.7304 385 342.2061 0.05787035 -0.1177827
Moved 419.7612 385 325.4937 0.05787035 -0.1607674
Moved 419.7919 385 309.786 0.05787035 -0.2011678
Moved 419.8226 385 298 0.05787035 -0.2314816
Moved 419.8533 385 291.9052 0.05787035 -0.2471574
Moved 419.8841 385 285.4135 0.05787035 -0.2638542
Moved 419.9148 385 280.9268 0.05787035 -0.2753942
Moved 419.9455 385 277.0426 0.05787035 -0.2853842
Moved 419.9762 385 274.306 0.05787035 -0.292423
Moved 420.0069 385 271.5685 0.05787035 -0.2994637
Moved 420.0377 385 269.5 0.05787035 -0.304784
Stationary 420.0684 385 269.5 0.05787035 -0.304784
Moved 420.0991 406.7899 296.0532 0.1083099 -0.2364888
Moved 420.1298 431.4095 337.4666 0.1652998 -0.1299727
Moved 420.1606 440.7861 360.501 0.1870049 -0.07072794
Moved 420.1913 444.7509 372.8773 0.1961827 -0.03889586
Moved 420.222 447.1216 381.3649 0.2016704 -0.01706551
Moved 420.2527 448 386.7237 0.2037037 -0.00328268
Moved 420.2834 448 389.5 0.2037037 0.003857946
Moved 420.3142 448 393.0238 0.2037037 0.01292123
Moved 420.3449 430.8889 402.8195 0.1640947 0.03811581
Moved 420.3756 402.2004 417.1382 0.09768616 0.074944
Moved 420.4063 375.2253 429.8873 0.03524373 0.1077348
Moved 420.4371 345.4979 446.3347 -0.03356968 0.1500378
Moved 420.4678 321.2486 463.2825 -0.08970241 0.1936277
Moved 420.4985 304.3999 475.3715 -0.1287039 0.2247209
Moved 420.5292 289.0348 484.6435 -0.1642714 0.2485685
Moved 420.5599 278.38 493.215 -0.1889353 0.2706147
Moved 420.5907 270.4979 498.3347 -0.2071808 0.2837827
Moved 420.6214 264.2538 501.8308 -0.2216348 0.2927747
Moved 420.6521 260.6221 503.3779 -0.2300414 0.2967538
Moved 420.6829 255.874 505 -0.2410324 0.3009258
Moved 420.7136 253.1258 507 -0.247394 0.3060699
Moved 420.7443 250.5 508 -0.2534722 0.3086419
Moved 420.7751 250 498.5175 -0.2546296 0.2842526
Moved 420.8058 268.2115 437.9618 -0.2124735 0.1285025
Moved 420.8365 287.2876 378.233 -0.1683157 -0.02512104
Moved 420.8672 299.8056 344.5055 -0.139339 -0.1118686
Moved 420.8979 312.0963 310.0125 -0.1108883 -0.2005853
Moved 420.9286 318.933 291.6675 -0.09506246 -0.2477689
Moved 420.9594 321.2095 280.162 -0.0897929 -0.2773611
Moved 420.9901 323 275.3459 -0.08564815 -0.2897482
Moved 421.0209 324.4037 272.5964 -0.08239896 -0.2968201
Moved 421.0516 331.8757 286.7513 -0.06510263 -0.2604134
Moved 421.0823 363.8083 387.7299 0.008815528 -0.0006948478
Moved 421.113 394.208 481.3002 0.07918517 0.2399697
Moved 421.1437 405.3482 507.8706 0.1049727 0.3083091
Moved 421.1745 410.8375 526.0251 0.1176794 0.3550027
Moved 421.2051 413 540.3881 0.1226852 0.3919445
Moved 421.2359 413 543.1552 0.1226852 0.3990615
Moved 421.2666 413 547.8428 0.1226852 0.4111183
Moved 421.2974 413 549.2228 0.1226852 0.4146676
Moved 421.3281 413 552.0415 0.1226852 0.4219173
Ended 421.3588 413 552.0415 0.1226852 0.4219173
Began 422.2191 516 544 0.3611111 0.4012345
Stationary 422.2498 516 544 0.3611111 0.4012345
Moved 422.2806 483.7578 502.1367 0.2864763 0.2935613
Moved 422.3113 450.6321 449.7283 0.2097966 0.1587661
Moved 422.342 422.7667 394.7635 0.1452934 0.01739576
Moved 422.3727 401.3404 345.3509 0.09569525 -0.1096943
Moved 422.4034 390.2987 316.3214 0.07013589 -0.1843586
Moved 422.4342 380.4251 291.4669 0.04728039 -0.2482848
Moved 422.4646 372.7507 276.2521 0.02951553 -0.2874176
Moved 422.4956 367.2148 265.8221 0.01670092 -0.3142435
Moved 422.5263 364.8427 261.8427 0.01120995 -0.3244786
Moved 422.557 354.451 262 -0.01284495 -0.3240741
Moved 422.5878 332.0461 271.5162 -0.06470819 -0.2995984
Moved 422.6185 296.6349 300.2601 -0.1466786 -0.2256684
Moved 422.6492 265.3156 346.9536 -0.2191769 -0.1055721
Moved 422.68 246.5 385 -0.2627315 -0.007716127
Moved 422.7107 234.6599 431.3605 -0.2901392 0.1115238
Moved 422.7414 232 463.6074 -0.2962963 0.1944633
Moved 422.7721 230.4059 483.9703 -0.2999862 0.246837
Moved 422.8029 230 494.0234 -0.3009259 0.2726939
