we run the risk of failure
Basic
0.6 0.6
432 388.8
Began 976.5315 247 425 -0.2615741 0.09516452
Stationary 976.5621 247 425 -0.2615741 0.09516452
Moved 976.5929 241.7466 425 -0.2737347 0.09516452
Moved 976.6235 230.7883 425 -0.2991012 0.09516452
Moved 976.6543 224.0624 425 -0.3146703 0.09516452
Moved 976.685 219.322 425 -0.3256436 0.09516452
Moved 976.7157 217.7201 425 -0.3293517 0.09516452
Moved 976.7465 214.7452 438.7645 -0.336238 0.130567
Moved 976.7772 215 448.3693 -0.3356481 0.1552708
Moved 976.8079 215 459.9707 -0.3356481 0.1851097
Moved 976.8386 227.8918 474.153 -0.3058061 0.2215867
Moved 976.8693 237.4659 490.1988 -0.2836438 0.2628569
Moved 976.9 244.6983 503.9311 -0.266902 0.2981766
Moved 976.9307 251.2078 513.3117 -0.2518337 0.3223037
Moved 976.9614 256.9349 520.5798 -0.2385767 0.3409974
Moved 976.9921 262.5201 531.0401 -0.2256481 0.3679014
Moved 977.0228 264 537.7856 -0.2222222 0.3852509
Moved 977.0536 265 543.5219 -0.2199074 0.4000048
Moved 977.0842 265 545.7776 -0.2199074 0.4058067
Stationary 977.115 265 546 -0.2199074 0.4063785
Moved 977.1457 265 547.374 -0.2199074 0.4099123
Stationary 977.1764 265 547 -0.2199074 0.4089505
Moved 977.2071 270.9174 547 -0.2062098 0.4089505
Moved 977.2379 279.5071 538.3286 -0.1863262 0.3866476
Moved 977.2686 285.4089 534.2955 -0.1726646 0.3762744
Moved 977.2993 288.2369 533 -0.1661184 0.3729423
Moved 977.33 290 529.8816 -0.162037 0.3649217
Ended 977.3607 292 526 -0.1574074 0.3549381
Began 977.7292 344 472 -0.03703703 0.2160493
Stationary 977.7599 344 472 -0.03703703 0.2160493
Moved 977.7906 331.6742 472 -0.06556908 0.2160493
Moved 977.8213 324.0674 472 -0.08317728 0.2160493
Moved 977.852 317.4363 472 -0.09852707 0.2160493
Moved 977.8828 311.2006 472 -0.1129615 0.2160493
Moved 977.9134 306.4774 472 -0.123895 0.2160493
Moved 977.9441 304.1585 472 -0.1292627 0.2160493
Moved 977.9749 303 472 -0.1319445 0.2160493
Moved 978.0056 301.9171 472 -0.134451 0.2160493
Moved 978.0363 300.751 472 -0.1371504 0.2160493
Stationary 978.067 300.751 472 -0.1371504 0.2160493
Moved 978.0977 301 478.7397 -0.1365741 0.233384
Moved 978.1285 301 495.97 -0.1365741 0.2777007
Moved 978.1591 301 510.5 -0.1365741 0.3150719
Moved 978.1899 309.9601 524.7201 -0.115833 0.3516462
Moved 978.2206 321.9494 540.9393 -0.08808002 0.3933624
Moved 978.2513 338.9365 554.2404 -0.04875804 0.4275728
Moved 978.282 355.81 565.0343 -0.009699016 0.455335
Moved 978.3127 380.532 571.4377 0.04752765 0.4718046
Moved 978.3434 396.4667 574 0.08441379 0.478395
Moved 978.3741 408.8448 574 0.1130667 0.478395
Moved 978.4048 419.5427 570.4004 0.1378303 0.4691367
Moved 978.4355 430.5176 559.8618 0.1632353 0.4420311
Moved 978.4662 440.7854 548.2147 0.1870032 0.4120746
Moved 978.4969 447.835 528.155 0.2033218 0.3604809
Moved 978.5276 435.4255 475.5834 0.174596 0.2252659
Moved 978.5583 407.2297 402.8366 0.1093281 0.03815996
Moved 978.5891 387.0862 343.2586 0.06269951 -0.1150757
Moved 978.6198 382.0447 312.5367 0.05102952 -0.1940928
Moved 978.6505 381 293.8411 0.04861106 -0.2421784
Moved 978.6812 380.2972 282.5945 0.04698436 -0.2711047
Moved 978.7119 380 277.5 0.04629632 -0.2842079
Moved 978.7427 380 272.7766 0.04629632 -0.2963565
Moved 978.7734 380 270.0201 0.04629632 -0.3034464
Moved 978.8041 380 268.1462 0.04629632 -0.3082658
Moved 978.8348 378.7396 267 0.04337857 -0.311214
Moved 978.8655 379 263.7712 0.04398147 -0.3195186
Ended 978.8962 378 262 0.04166663 -0.3240741
Began 979.3569 367 481 0.01620372 0.2391974
Stationary 979.3876 367 481 0.01620372 0.2391974
Stationary 979.4183 367 481 0.01620372 0.2391974
Moved 979.449 351.7839 490.608 -0.01901865 0.2639094
Moved 979.4797 335.6133 497.5547 -0.05645066 0.2817764
Moved 979.5104 327.536 502.1547 -0.07514814 0.2936076
Moved 979.5411 321.9478 507.0522 -0.08808385 0.3062041
Moved 979.5718 316.3717 511.0855 -0.1009914 0.3165779
Moved 979.6025 310.1864 518.2205 -0.1153093 0.3349291
Moved 979.6332 305.7155 522.2845 -0.1256586 0.3453818
Moved 979.6639 304 524.8865 -0.1296296 0.3520742
Moved 979.6946 303 526.7272 -0.1319445 0.3568085
Moved 979.7254 303 527.5 -0.1319445 0.3587962
Moved 979.756 303 527 -0.1319445 0.3575102
Moved 979.7868 331.1246 499.8442 -0.06684119 0.2876652
Moved 979.8175 352.2052 470.2489 -0.01804347 0.2115455
Moved 979.8482 363.268 447.9519 0.007564922 0.1541972
Moved 979.8789 368.5 432 0.01967589 0.1131687
Moved 979.9097 373.1447 409.842 0.03042767 0.05617793
Moved 979.9404 373 394.9852 0.0300926 0.01796608
Moved 979.9711 373 383.4882 0.0300926 -0.01160445
Moved 980.0018 373 376.0383 0.0300926 -0.03076569
Moved 980.0325 348.2237 375 -0.02725998 -0.03343629
Moved 980.0632 321.3758 391.1369 -0.08940782 0.008068045
Moved 980.0939 297.6993 410.2147 -0.1442145 0.05713659
Moved 980.1246 279.7124 430.4314 -0.1858509 0.1091342
Moved 980.1553 265.7823 449.6612 -0.2180964 0.1585935
Moved 980.186 258.098 466.8041 -0.2358844 0.2026853
Moved 980.2167 252.1863 486.348 -0.2495688 0.2529527
Moved 980.2475 248.2563 498.975 -0.2586661 0.2854294
Moved 980.2782 246 507.2327 -0.2638889 0.3066685
Moved 980.3089 244.506 510.494 -0.2673474 0.3150565
Ended 980.3396 244 511 -0.2685185 0.3163579
Began 980.7081 364 473 0.009259283 0.2186213
Stationary 980.7388 364 473 0.009259283 0.2186213
Stationary 980.7696 364 473 0.009259283 0.2186213
Stationary 980.8003 364 473 0.009259283 0.2186213
