travel at the speed of light
Basic
0.6 0.6
432 388.8
Began 396.4745 378 557 0.04166663 0.4346707
Stationary 396.5052 378 557 0.04166663 0.4346707
Stationary 396.5359 378 557 0.04166663 0.4346707
Moved 396.5666 366.9442 557 0.01607438 0.4346707
Moved 396.5973 363.0697 557 0.007105768 0.4346707
Moved 396.6281 359.3881 557 -0.001416504 0.4346707
Moved 396.6588 356.5 557 -0.008101861 0.4346707
Moved 396.6895 353.7819 548.7819 -0.01439383 0.4135335
Moved 396.7202 350.9109 548 -0.02103959 0.4115225
Moved 396.7509 348.0365 547 -0.02769331 0.4089505
Moved 396.7816 345.0792 545.5396 -0.03453895 0.4051942
Moved 396.8123 339.3163 544 -0.04787882 0.4012345
Moved 396.8431 331.3629 539.5753 -0.0662897 0.389854
Moved 396.8738 322.721 536.907 -0.08629397 0.3829911
Moved 396.9045 314.082 533.3607 -0.1062917 0.37387
Moved 396.9352 305.4574 530.4858 -0.126256 0.3664756
Moved 396.9659 298.2257 527.6129 -0.142996 0.3590864
Moved 396.9966 294.0708 527 -0.1526138 0.3575102
Moved 397.0274 289.2215 525.2215 -0.1638391 0.3529358
Moved 397.0581 285.3421 524.3421 -0.1728192 0.3506741
Moved 397.0887 283 523.473 -0.1782407 0.3484386
Moved 397.1195 279.8106 521.9053 -0.1856237 0.3444065
Moved 397.1502 273.1161 514.1548 -0.2011202 0.3244721
Moved 397.1809 259.8099 497.2958 -0.2319215 0.2811106
Moved 397.2116 248 481 -0.2592593 0.2391974
Moved 397.2424 237.269 464.7816 -0.2840996 0.1974835
Moved 397.2731 227.7774 452.6661 -0.3060708 0.1663223
Moved 397.3038 219.0254 440.0424 -0.3263301 0.1338537
Moved 397.3345 214.2922 431.5845 -0.3372865 0.1120999
Moved 397.3652 207.2583 421.8875 -0.3535686 0.08715916
Moved 397.3959 201.5256 412.2884 -0.3668389 0.0624701
Moved 397.4267 197.8916 404.7832 -0.3752509 0.0431666
Moved 397.4573 193.7052 398.0578 -0.3849417 0.02586871
Moved 397.4881 191.4797 392.4797 -0.3900934 0.01152168
Moved 397.5188 190 389.6025 -0.3935185 0.004121757
Moved 397.5496 189 388.0631 -0.3958333 0.0001623209
Stationary 397.5803 189 388 -0.3958333 -3.924585E-08
Moved 397.611 189 386.3311 -0.3958333 -0.004292476
Moved 397.6417 192.7852 385 -0.3870712 -0.007716127
Moved 397.6724 202.3402 382.8866 -0.3649533 -0.01315184
Moved 397.7031 212.9162 379.0209 -0.3404718 -0.02309438
Moved 397.7339 229.0956 370.4522 -0.3030196 -0.04513328
Moved 397.7646 246 359 -0.2638889 -0.07458848
Moved 397.7952 268.8722 342.6627 -0.210944 -0.1166082
Moved 397.826 286.7544 332.4971 -0.1695501 -0.1427545
Moved 397.8567 300.9717 322.0226 -0.1366395 -0.1696951
Moved 397.8874 314.0097 311.4919 -0.106459 -0.1967801
Moved 397.9181 326.5148 299.1065 -0.07751212 -0.2286355
Moved 397.9488 338.0403 287.9597 -0.05083268 -0.2573053
Moved 397.9795 345.394 282.7373 -0.03381009 -0.2707374
Moved 398.0103 350.6813 278.3187 -0.02157107 -0.2821022
Moved 398.041 354.547 274.453 -0.01262262 -0.2920448
Moved 398.0717 357.4186 273 -0.005975515 -0.295782
Moved 398.1024 358.5 271.5 -0.003472219 -0.2996399
Moved 398.1331 360.3748 271 0.0008677443 -0.300926
Moved 398.1638 360 280.7006 0 -0.2759759
Moved 398.1945 340.3289 315.6841 -0.04553482 -0.1859976
Moved 398.2253 331.6202 344.266 -0.06569396 -0.1124847
Moved 398.256 325.9962 371.014 -0.07871255 -0.04368825
Moved 398.2867 321.2342 398.0634 -0.08973573 0.02588307
Moved 398.3174 316.5 416.5 -0.1006944 0.07330243
Moved 398.3481 309.4238 432.4404 -0.1170744 0.1143014
Moved 398.3788 304.8419 445.6323 -0.1276807 0.1482312
Moved 398.4096 299.9342 454.0987 -0.1390412 0.1700068
Moved 398.4403 295.9063 460.6406 -0.1483651 0.1868328
Moved 398.471 291.174 469.239 -0.1593193 0.2089479
Moved 398.5017 285.1359 479.1522 -0.1732966 0.2344447
Moved 398.5324 278.5172 491.6437 -0.1886175 0.2665732
Moved 398.5631 274.5802 500.1298 -0.1977311 0.2883995
Moved 398.5938 271.4239 506.1522 -0.2050373 0.3038894
Moved 398.6246 267.1072 511.8928 -0.2150295 0.3186541
Moved 398.6553 265.037 515.9259 -0.2198216 0.3290274
Moved 398.686 262.1738 518.8262 -0.2264495 0.336487
Moved 398.7167 259.5 521.5 -0.2326389 0.3433641
Moved 398.7475 259 523 -0.2337963 0.3472221
Moved 398.7782 257.94 524.06 -0.2362499 0.3499484
Stationary 398.8089 258 524 -0.2361111 0.3497942
Moved 398.8396 298.4625 503.82 -0.1424479 0.2978909
Moved 398.8703 353.5 482 -0.0150463 0.2417695
Moved 398.9011 402.5626 453.9218 0.09852449 0.1695519
Moved 398.9318 430.6299 433.7323 0.1634951 0.1176241
Moved 398.9625 453.3751 415.6785 0.216146 0.07118955
Moved 398.9932 469.823 400.7231 0.25422 0.03272413
Moved 399.0239 486.1161 385.8839 0.2919355 -0.005442811
Moved 399.0547 498.9266 373.7645 0.3215894 -0.03661411
Moved 399.0854 508.5157 364.4843 0.3437865 -0.06048296
Moved 399.1161 514.1493 359.5671 0.3568271 -0.07312978
Moved 399.1468 519.5906 354.8188 0.3694226 -0.08534255
Moved 399.1775 524.9237 349.0763 0.3817679 -0.1001124
Moved 399.2082 527.9877 346.0123 0.3888603 -0.107993
Moved 399.239 529 344.1422 0.3912036 -0.1128032
Ended 399.2697 530 343 0.3935185 -0.1157408
Began 399.6996 154 386 -0.4768519 -0.005144111
Stationary 399.7304 154 386 -0.4768519 -0.005144111
Stationary 399.7611 154 386 -0.4768519 -0.005144111
Moved 399.7918 177.1003 406.9169 -0.4233791 0.0486545
Moved 399.8225 189.8056 420.0445 -0.3939686 0.08241889
Moved 399.8532 201.5389 431.9042 -0.366808 0.1129222
Moved 399.884 212.9789 442.9789 -0.3403267 0.1414065
Moved 399.9147 226.129 453.1032 -0.3098865 0.1674465
