hands on experience with a job
Basic
0.6 0.6
432 388.8
Began 890.4334 425 399 0.150463 0.02829214
Stationary 890.4642 425 399 0.150463 0.02829214
Stationary 890.4949 425 399 0.150463 0.02829214
Stationary 890.5256 425 399 0.150463 0.02829214
Stationary 890.5564 425 399 0.150463 0.02829214
Moved 890.5871 410.9427 399 0.1179228 0.02829214
Moved 890.6179 398.7346 391.3469 0.08966337 0.008608304
Moved 890.6486 380.2002 389.6 0.04675974 0.004115242
Moved 890.6793 355.5869 387 -0.01021549 -0.002572055
Moved 890.7101 333.8318 386 -0.06057467 -0.005144111
Moved 890.7408 309.3732 384.3066 -0.1171917 -0.00949942
Moved 890.7715 286.0209 384 -0.1712478 -0.01028807
Moved 890.8023 263.8578 384 -0.2225513 -0.01028807
Moved 890.833 246.4082 384 -0.2629441 -0.01028807
Moved 890.8638 231.883 383.1766 -0.2965672 -0.01240601
Moved 890.8945 219.2262 383 -0.3258652 -0.01286016
Moved 890.9252 209.2954 383 -0.3488533 -0.01286016
Moved 890.956 202.7867 381.8933 -0.3639198 -0.01570658
Moved 890.9867 196.9822 382 -0.377356 -0.01543218
Moved 891.0174 194.1102 382 -0.3840043 -0.01543218
Moved 891.0482 192.682 382 -0.3873102 -0.01543218
Moved 891.0789 191.6271 382 -0.3897521 -0.01543218
Stationary 891.1096 192 382 -0.3888888 -0.01543218
Moved 891.1404 215.332 382 -0.3348796 -0.01543218
Moved 891.1711 241.6877 380.6625 -0.2738712 -0.01887231
Moved 891.2018 275.1943 369.7417 -0.1963095 -0.04696065
Moved 891.2325 303.5561 353.58 -0.1306571 -0.088529
Moved 891.2633 327.1412 337.1848 -0.07606193 -0.1306975
Moved 891.2941 345.3279 325.0782 -0.03396307 -0.1618358
Moved 891.3248 363.4434 310.1306 0.007970731 -0.2002816
Moved 891.3555 379.7357 295.7202 0.04568458 -0.2373452
Moved 891.3862 392.3128 283.6872 0.07479817 -0.2682942
Moved 891.417 403.1912 275.4853 0.09997963 -0.2893897
Moved 891.4477 414.1375 263.15 0.1253183 -0.3211163
Moved 891.4785 420.168 255.832 0.1392779 -0.3399383
Moved 891.5092 424.2335 250.6498 0.1486886 -0.3532671
Moved 891.5399 426 246.9714 0.1527777 -0.3627279
Moved 891.5707 428 243.0966 0.1574074 -0.3726941
Moved 891.6014 429 240.2211 0.1597223 -0.3800899
Stationary 891.6321 429 240 0.1597223 -0.3806585
Moved 891.6629 421.6432 240 0.1426926 -0.3806585
Moved 891.6936 403.5826 271.7652 0.1008856 -0.2989578
Moved 891.7243 392.9191 294.5491 0.07620165 -0.2403574
Moved 891.7551 382.6444 318.6148 0.05241771 -0.1784599
Moved 891.7858 373.9916 339.3529 0.03238797 -0.1251211
Moved 891.8165 366.4198 354.9669 0.01486073 -0.08496162
Moved 891.8472 359.7705 370.459 -0.0005313257 -0.04511562
Moved 891.8781 349.1627 387.4498 -0.02508645 -0.001415088
Moved 891.9088 339.5401 400.4598 -0.04736081 0.03204679
Moved 891.9395 329.5088 411.4912 -0.07058148 0.06041966
Moved 891.9702 320.4656 418.6508 -0.09151479 0.07883433
Moved 892.001 310.9677 426.2742 -0.1135008 0.09844187
Moved 892.0317 302.1198 432.2535 -0.133982 0.1138206
Moved 892.0624 293.3849 439.4613 -0.1542015 0.1323592
Moved 892.0931 284.7844 445.1437 -0.1741101 0.1469745
Moved 892.1239 279.1032 448.8967 -0.187261 0.1566273
Moved 892.1547 274.3587 451 -0.1982438 0.162037
Moved 892.1854 271.6365 453.3635 -0.2045452 0.168116
Moved 892.2161 268.7617 454 -0.2111997 0.169753
Moved 892.2468 265.8883 455 -0.2178511 0.172325
Moved 892.2776 261.5583 455 -0.2278743 0.172325
Moved 892.3083 252.0576 440.572 -0.2498667 0.1352159
Moved 892.3391 241.5557 420.1114 -0.2741766 0.08259094
Moved 892.3698 234.5142 402.7855 -0.2904764 0.03802857
Moved 892.4005 230.4319 390.8638 -0.2999263 0.007365544
Moved 892.4313 228 381.0622 -0.3055556 -0.01784415
Moved 892.462 227 376.4851 -0.3078704 -0.02961657
Ended 892.4926 227 374 -0.3078704 -0.03600823
Began 893.6915 547 534 0.4328704 0.3755144
Stationary 893.7222 547 534 0.4328704 0.3755144
Stationary 893.7529 547 534 0.4328704 0.3755144
Stationary 893.7837 547 534 0.4328704 0.3755144
Moved 893.8144 518.7906 504.3322 0.3675709 0.2992083
Moved 893.8451 499.3946 477.4176 0.3226727 0.2299835
Moved 893.8759 482.6949 449.9927 0.2840159 0.1594461
Moved 893.9066 458.5764 410.3646 0.2281861 0.05752198
Moved 893.9373 441.3187 379.0239 0.1882378 -0.02308661
Moved 893.9681 428.0358 353.0717 0.1574904 -0.08983627
Moved 893.9988 414.0851 326.1702 0.125197 -0.1590274
Moved 894.0295 404.4155 301.1081 0.1028137 -0.2234875
Moved 894.0602 397.5271 282.5813 0.08686829 -0.2711387
Moved 894.091 391.5 263.5 0.07291664 -0.3202162
Moved 894.1218 386.8474 246.0844 0.06214669 -0.3650094
Moved 894.1525 384.9709 234.9126 0.05780299 -0.3937433
Moved 894.1832 384 228.1915 0.0555556 -0.4110301
Moved 894.2139 384 223.3768 0.0555556 -0.4234135
Ended 894.2448 384 222 0.0555556 -0.4269547
Began 896.427 235 547 -0.2893518 0.4089505
Stationary 896.4578 235 547 -0.2893518 0.4089505
Stationary 896.4885 235 547 -0.2893518 0.4089505
Stationary 896.5192 235 547 -0.2893518 0.4089505
Stationary 896.5499 235 547 -0.2893518 0.4089505
Stationary 896.5807 235 547 -0.2893518 0.4089505
Stationary 896.6114 235 547 -0.2893518 0.4089505
Stationary 896.6422 235 547 -0.2893518 0.4089505
Stationary 896.6729 235 547 -0.2893518 0.4089505
Stationary 896.7036 235 547 -0.2893518 0.4089505
Moved 896.7343 235 534.6302 -0.2893518 0.3771353
Moved 896.7651 235 526.6458 -0.2893518 0.356599
Moved 896.7958 235 514.4246 -0.2893518 0.3251659
Moved 896.8265 245.3724 497.6967 -0.2653417 0.2821415
Moved 896.8573 250.1941 477.4921 -0.2541803 0.2301752
