I can play much better now
Basic
0.6 0.6
432 388.8
Began 971.8042 439 514 0.1828703 0.324074
Stationary 971.8349 439 514 0.1828703 0.324074
Stationary 971.8657 439 514 0.1828703 0.324074
Stationary 971.8964 439 514 0.1828703 0.324074
Stationary 971.9271 439 514 0.1828703 0.324074
Stationary 971.9578 439 514 0.1828703 0.324074
Moved 971.9886 439 502.1058 0.1828703 0.2934819
Moved 972.0193 439 499.5486 0.1828703 0.2869049
Moved 972.05 439 496.3242 0.1828703 0.2786114
Moved 972.0807 430.4213 493.7745 0.1630121 0.2720536
Moved 972.1115 432 491.2225 0.1666667 0.26549
Moved 972.1423 431 489.6728 0.1643519 0.261504
Moved 972.173 431 488.5 0.1643519 0.2584876
Moved 972.2037 431 487.7097 0.1643519 0.256455
Moved 972.2345 431 486.861 0.1643519 0.254272
Moved 972.2653 431 485.7786 0.1643519 0.2514881
Stationary 972.296 431 485.7786 0.1643519 0.2514881
Moved 972.3267 431 484.8461 0.1643519 0.2490896
Stationary 972.3575 431 485 0.1643519 0.2494856
Stationary 972.3881 431 485 0.1643519 0.2494856
Stationary 972.4189 431 485 0.1643519 0.2494856
Stationary 972.4496 431 485 0.1643519 0.2494856
Stationary 972.4803 431 485 0.1643519 0.2494856
Moved 972.5111 438.4504 494.0643 0.1815982 0.2727991
Moved 972.5419 440.2449 497.2449 0.1857521 0.2809797
Moved 972.5726 442.8469 501.6938 0.1917753 0.2924224
Moved 972.6033 445.4088 504.4088 0.1977056 0.2994053
Moved 972.634 448 508.9543 0.2037037 0.3110963
Moved 972.6648 450.1339 511.1339 0.2086432 0.3167022
Moved 972.6956 453.7273 514.7272 0.2169613 0.3259445
Moved 972.7263 456.2783 518.5566 0.2228664 0.3357936
Moved 972.757 458.8277 520.8277 0.2287679 0.341635
Moved 972.7877 461.0674 523.0674 0.2339523 0.3473955
Moved 972.8185 463 524.6354 0.2384259 0.3514284
Moved 972.8492 465.1863 526 0.2434869 0.3549381
Moved 972.8799 466.4588 527.4588 0.2464324 0.3586902
Moved 972.9106 467.3318 528.3318 0.2484533 0.3609357
Moved 972.9414 469.2599 530.2599 0.2529165 0.3658948
Moved 972.9722 470.0238 531.0239 0.2546848 0.3678596
Stationary 973.0029 470.0238 531.0239 0.2546848 0.3678596
Moved 973.0336 471 532 0.2569444 0.3703703
Ended 973.0644 471 532 0.2569444 0.3703703
Began 974.0172 212 211 -0.3425926 -0.455247
Stationary 974.0479 212 211 -0.3425926 -0.455247
Stationary 974.0786 212 211 -0.3425926 -0.455247
Stationary 974.1093 212 211 -0.3425926 -0.455247
Moved 974.1401 203.6315 222.0527 -0.361964 -0.4268191
Moved 974.1708 198.5337 229.6995 -0.3737646 -0.4071516
Moved 974.2015 192.4346 238.348 -0.3878827 -0.3849074
Moved 974.2323 185.9947 247.0052 -0.40279 -0.3626409
Moved 974.2631 181.8902 253.6647 -0.4122912 -0.3455127
Moved 974.2938 174.7019 264.3975 -0.4289309 -0.3179077
Moved 974.3245 167.7246 278.1885 -0.4450819 -0.2824371
Moved 974.3553 162.6313 288.7374 -0.456872 -0.2553051
Moved 974.386 159.3075 298.3849 -0.4645658 -0.2304916
Moved 974.4167 152.0135 315.9596 -0.4814503 -0.1852892
Moved 974.4474 148 333.5 -0.4907407 -0.140175
Moved 974.4781 145.9007 345.4966 -0.4956003 -0.1093195
Moved 974.5089 143.7451 355.0198 -0.5005902 -0.08482575
Moved 974.5396 143 363.6475 -0.5023148 -0.06263497
Moved 974.5704 142 370.2783 -0.5046296 -0.04558069
Moved 974.6011 142 373.9561 -0.5046296 -0.03612118
Moved 974.6318 140.7998 376.2003 -0.5074079 -0.03034921
Moved 974.6626 141 377.5 -0.5069445 -0.02700625
Moved 974.6934 141 379.0778 -0.5069445 -0.02294823
Moved 974.7241 141 380.3077 -0.5069445 -0.01978478
Moved 974.7548 141 382.0573 -0.5069445 -0.01528477
Moved 974.7856 146.4518 383 -0.4943247 -0.01286016
Moved 974.8163 162.6081 384 -0.4569257 -0.01028807
Moved 974.847 185.1025 384 -0.4048552 -0.01028807
Moved 974.8778 209.1217 373.9696 -0.3492554 -0.03608648
Moved 974.9084 232.5 365.5 -0.2951389 -0.05787045
Moved 974.9393 254.758 349.4586 -0.2436158 -0.09912914
Moved 974.97 278.9365 336.0317 -0.1876471 -0.1336633
Moved 975.0007 301.3374 323.3614 -0.135793 -0.1662516
Moved 975.0314 327.2945 309.6142 -0.07570719 -0.2016097
Moved 975.0621 349.2163 299.8918 -0.02496232 -0.2266156
Moved 975.0929 367.4767 292.8411 0.0173071 -0.2447503
Moved 975.1237 377.4484 288.2758 0.04038989 -0.2564925
Moved 975.1544 388.0958 281.9042 0.06503651 -0.2728801
Moved 975.1851 395.8278 276.1722 0.0829346 -0.2876228
Moved 975.2159 401.9289 272.0711 0.09705772 -0.2981711
Moved 975.2463 405.8007 267.3986 0.1060202 -0.3101889
Moved 975.2773 409.3003 262.3994 0.1141211 -0.3230469
Moved 975.308 412.8468 259.1532 0.1223306 -0.3313961
Moved 975.3388 415.3906 256.6094 0.1282189 -0.3379388
Moved 975.3696 416.7202 254.2798 0.1312969 -0.3439306
Moved 975.4003 417 252.8121 0.1319444 -0.3477055
Ended 975.431 417 251.5463 0.1319444 -0.3509614
Began 976.1379 549 512 0.4375 0.31893
Stationary 976.1686 549 512 0.4375 0.31893
Stationary 976.1993 549 512 0.4375 0.31893
Moved 976.2302 549 500.5731 0.4375 0.2895399
Moved 976.2609 549 486.6053 0.4375 0.2536144
Moved 976.2916 549 471.2434 0.4375 0.2141033
Moved 976.3224 549 455.0635 0.4375 0.1724883
Moved 976.3531 549 441.029 0.4375 0.1363913
Moved 976.3838 549 424.8799 0.4375 0.09485558
Moved 976.4146 549 417.0046 0.4375 0.07460029
Moved 976.4453 549 405.8213 0.4375 0.04583665
Moved 976.476 549 393.4641 0.4375 0.01405374
Moved 976.5068 549 381.1099 0.4375 -0.01772147
Moved 976.5375 549 371.6361 0.4375 -0.0420882
Moved 976.5682 549 364.0133 0.4375 -0.06169425
