a good response to the question
Basic
0.6 0.6
432 388.8
Began 844.8363 135 311 -0.5208333 -0.1980453
Stationary 844.8671 135 311 -0.5208333 -0.1980453
Stationary 844.8978 135 311 -0.5208333 -0.1980453
Ended 844.9285 135 311 -0.5208333 -0.1980453
Began 845.9423 409 301 0.113426 -0.2237656
Stationary 845.973 409 301 0.113426 -0.2237656
Stationary 846.0037 409 301 0.113426 -0.2237656
Stationary 846.0344 409 301 0.113426 -0.2237656
Stationary 846.0652 409 301 0.113426 -0.2237656
Stationary 846.0959 409 301 0.113426 -0.2237656
Stationary 846.1266 409 301 0.113426 -0.2237656
Stationary 846.1573 409 301 0.113426 -0.2237656
Stationary 846.188 409 301 0.113426 -0.2237656
Stationary 846.2188 409 301 0.113426 -0.2237656
Stationary 846.2495 409 301 0.113426 -0.2237656
Moved 846.2802 409 319.8458 0.113426 -0.1752937
Moved 846.3109 423.0954 339.2225 0.1460541 -0.1254565
Moved 846.3417 435.6386 363.2772 0.1750893 -0.06358755
Moved 846.3724 447.8819 386.4502 0.2034304 -0.003986162
Moved 846.4031 474.1416 426.3654 0.2642168 0.09867648
Moved 846.4338 496.0254 452.1963 0.3148736 0.1651138
Moved 846.4645 510.2 471.3 0.3476851 0.2142488
Moved 846.4952 519.8671 482.1118 0.3700627 0.2420569
Moved 846.526 526.9849 491.4774 0.3865392 0.2661456
Moved 846.5567 531.3712 495.3712 0.3966925 0.2761603
Moved 846.5874 535.8459 500.8459 0.4070507 0.2902414
Moved 846.6182 537.7758 503 0.4115179 0.2957818
Moved 846.6489 539.6575 505.6575 0.4158737 0.3026169
Moved 846.6796 540.5233 507.5233 0.4178779 0.3074157
Moved 846.7103 542.0106 509.0106 0.4213207 0.311241
Moved 846.741 542 509.91 0.4212962 0.3135544
Moved 846.7717 542 510 0.4212962 0.3137859
Stationary 846.8024 542 510 0.4212962 0.3137859
Moved 846.8332 530.6048 510 0.3949185 0.3137859
Moved 846.864 516.6288 498.7773 0.3625666 0.2849209
Moved 846.8946 497.3358 489.1918 0.3179069 0.2602669
Moved 846.9254 480.5086 478.2204 0.278955 0.2320483
Moved 846.9561 450.8143 458.2302 0.2102183 0.1806331
Moved 846.9868 431.702 444.1346 0.1659769 0.1443791
Moved 847.0175 409.0945 428.3963 0.1136446 0.1038999
Moved 847.0482 391.2567 415.6119 0.07235348 0.07101832
Moved 847.079 375.2914 403.8331 0.03539681 0.04072299
Moved 847.1097 360.9103 393.7462 0.002107223 0.01477932
Moved 847.1404 352.1413 386.106 -0.01819139 -0.004871353
Moved 847.1711 341.5221 380.3481 -0.04277293 -0.01968085
Moved 847.2018 333.5872 374.5872 -0.06114075 -0.03449797
Moved 847.2325 327.841 371.4205 -0.07444213 -0.04264274
Moved 847.2633 323.8284 369.9142 -0.08373047 -0.04651709
Moved 847.294 321.0396 368.0396 -0.0901861 -0.05133845
Moved 847.3247 318.1671 366.1671 -0.09683555 -0.05615469
Moved 847.3555 315.5 366 -0.1030092 -0.05658444
Moved 847.3862 314 363.7424 -0.1064815 -0.06239086
Moved 847.4168 310.8717 362.8717 -0.1137229 -0.06463046
Moved 847.4476 309.626 363 -0.1166064 -0.06430049
Stationary 847.4783 310 363 -0.1157407 -0.06430049
Ended 847.509 310 363 -0.1157407 -0.06430049
Began 848.062 332 520 -0.06481484 0.3395061
Stationary 848.0927 332 520 -0.06481484 0.3395061
Stationary 848.1235 332 520 -0.06481484 0.3395061
Stationary 848.1541 332 520 -0.06481484 0.3395061
Stationary 848.1849 332 520 -0.06481484 0.3395061
Stationary 848.2156 332 520 -0.06481484 0.3395061
Moved 848.2463 319.1078 520 -0.09465774 0.3395061
Moved 848.277 310.4409 520 -0.1147202 0.3395061
Moved 848.3077 294.7331 520 -0.1510808 0.3395061
Moved 848.3385 280.4441 520 -0.1841572 0.3395061
Moved 848.3692 267.5 520 -0.2141203 0.3395061
Moved 848.3999 257.7979 520 -0.236579 0.3395061
Moved 848.4306 251.6612 520 -0.2507842 0.3395061
Moved 848.4614 246.966 513 -0.2616527 0.321502
Moved 848.4921 244.4257 512 -0.2675332 0.31893
Moved 848.5226 241.5549 510.5549 -0.2741784 0.3152132
Moved 848.5535 240 511 -0.2777777 0.3163579
Moved 848.5842 237.9058 511 -0.2826254 0.3163579
Moved 848.6149 238 509.7985 -0.2824074 0.3132677
Moved 848.6456 235.4176 503.6705 -0.2883851 0.2975065
Moved 848.6765 231.0806 484.8628 -0.2984245 0.2491326
Moved 848.7071 226.9748 453.6976 -0.3079287 0.1689752
Moved 848.7379 224 414.9096 -0.3148148 0.06921183
Moved 848.7686 223 397.3115 -0.3171296 0.02394931
Moved 848.7993 222 387.7006 -0.3194444 -0.0007701214
Moved 848.83 222 381.6349 -0.3194444 -0.01637109
Moved 848.8607 222 376.9138 -0.3194444 -0.02851408
Moved 848.8915 222 374.0877 -0.3194444 -0.03578264
Moved 848.9222 235 374 -0.2893518 -0.03600823
Moved 848.9529 262.9659 383.0761 -0.2246161 -0.0126644
Moved 848.9836 299.3007 401.3147 -0.1405077 0.03424554
Moved 849.0143 339.6419 424.3851 -0.04712522 0.09358311
Moved 849.045 384.6808 449.4244 0.05713154 0.1579846
Moved 849.0757 433.1227 473.3239 0.1692655 0.2194544
Moved 849.1065 468.0566 494.7044 0.250131 0.2744454
Moved 849.1372 491.6115 508.0072 0.3046562 0.3086604
Moved 849.168 511.1094 520.6495 0.3497902 0.3411767
Moved 849.1987 534.8465 532.8174 0.4047373 0.3724728
Moved 849.2294 553.8807 541.4404 0.4487981 0.394651
Moved 849.2601 566.1596 547.0798 0.4772213 0.4091557
Moved 849.2908 577.7722 551.8481 0.5041023 0.42142
Moved 849.3215 587.3982 555.7994 0.5263847 0.4315827
Moved 849.3522 596.0359 558 0.5463794 0.4372427
Moved 849.3829 603.6457 560.2152 0.5639946 0.4429403
Moved 849.4137 608.0928 561.0928 0.5742889 0.4451973
Moved 849.4444 610.5 561 0.5798612 0.4449587
Moved 849.4752 611.1981 561 0.581477 0.4449587
Stationary 849.5059 611 561 0.5810185 0.4449587
