the union will go on strike
Basic
0.6 0.6
432 388.8
Moved 1301.277 499.7921 442.5199 0.3235927 0.1402261
Moved 1301.308 507.2649 423.9604 0.3408909 0.09249063
Moved 1301.338 517.9017 402.1966 0.3655133 0.03651379
Moved 1301.369 525.3176 384.8198 0.3826795 -0.008179739
Moved 1301.4 530.6315 371.1054 0.3949804 -0.04345317
Moved 1301.431 534.3368 364.3264 0.4035574 -0.060889
Moved 1301.461 536.5 360 0.4085648 -0.07201654
Ended 1301.492 537.2026 358.5948 0.4101914 -0.07563076
Began 1302.015 300 430 -0.1388889 0.1080246
Stationary 1302.045 300 430 -0.1388889 0.1080246
Moved 1302.076 307.236 430 -0.1221389 0.1080246
Moved 1302.107 322.6391 430 -0.0864835 0.1080246
Moved 1302.137 337.419 430 -0.05227084 0.1080246
Moved 1302.168 353.4312 430 -0.01520554 0.1080246
Moved 1302.199 368.1323 442.2529 0.01882474 0.1395393
Moved 1302.23 382.9984 450.4992 0.05323718 0.1607489
Moved 1302.26 394.5 459 0.07986108 0.1826131
Moved 1302.291 406.72 466.832 0.1081482 0.202757
Moved 1302.322 418.4614 473.4769 0.1353274 0.2198478
Moved 1302.353 441.57 483.628 0.1888196 0.2459567
Moved 1302.383 449 489 0.2060185 0.2597736
Moved 1302.414 463.1293 499.2744 0.2387252 0.2861995
Moved 1302.445 478.4661 512.0551 0.2742271 0.3190715
Moved 1302.476 491.8693 521.902 0.305253 0.344398
Moved 1302.506 500.5 530.5 0.3252315 0.3665122
Moved 1302.537 504.7664 536.5327 0.3351074 0.3820285
Moved 1302.568 507 539 0.3402778 0.3883744
Moved 1302.599 508.8809 541 0.3446316 0.3935184
Ended 1302.629 510.1652 541 0.3476047 0.3935184
Began 1303.213 547 549 0.4328704 0.4140946
Stationary 1303.244 547 549 0.4328704 0.4140946
Stationary 1303.275 547 549 0.4328704 0.4140946
Moved 1303.305 535.2133 543.0444 0.4055863 0.3987766
Moved 1303.336 528.468 528.819 0.3899723 0.3621888
Moved 1303.367 520.7526 513.5052 0.3721126 0.3228013
Moved 1303.398 515.0994 502.1988 0.3590265 0.2937211
Moved 1303.428 509.0081 491.0162 0.3449262 0.2649594
Moved 1303.459 502.6576 482.096 0.330226 0.2420164
Moved 1303.49 497.4685 471.9371 0.3182142 0.2158874
Moved 1303.521 493.1733 465.3466 0.3082715 0.1989367
Moved 1303.551 488.2576 458.8864 0.2968925 0.1823207
Moved 1303.582 480.8417 451.8417 0.2797262 0.1642019
Moved 1303.613 473.4457 444.4457 0.2626058 0.1451793
Moved 1303.644 466.8238 437.8238 0.2472773 0.1281475
Moved 1303.674 458.8875 428.8875 0.2289063 0.1051633
Moved 1303.705 452.5 418.5 0.2141203 0.07844638
Moved 1303.736 442.7463 405.6829 0.1915424 0.04548065
Moved 1303.766 433.1683 392.9471 0.169371 0.0127241
Moved 1303.797 422.4026 378.1039 0.1444505 -0.02545306
Moved 1303.828 409.5 360 0.1145834 -0.07201654
Moved 1303.859 398.0998 345.1198 0.08819401 -0.1102888
Moved 1303.889 389.5 332 0.06828706 -0.144033
Moved 1303.92 383.8642 312.5927 0.05524129 -0.193949
Moved 1303.951 380.5 300.5 0.04745374 -0.2250515
Moved 1303.982 377.1286 282.9005 0.03964961 -0.2703178
Moved 1304.012 377 267.8608 0.03935188 -0.309
Moved 1304.043 377 260.063 0.03935188 -0.3290561
Ended 1304.074 377 255 0.03935188 -0.3420782
Began 1304.903 216 468 -0.3333333 0.2057612
Stationary 1304.934 216 468 -0.3333333 0.2057612
Stationary 1304.965 216 468 -0.3333333 0.2057612
Stationary 1304.996 216 468 -0.3333333 0.2057612
Moved 1305.027 227.6784 468 -0.3063 0.2057612
Moved 1305.057 236.2233 468 -0.2865201 0.2057612
Moved 1305.088 248.7153 468 -0.2576036 0.2057612
Moved 1305.119 261.5 468 -0.2280093 0.2057612
Moved 1305.15 270.1909 468 -0.2078915 0.2057612
Moved 1305.18 278.8687 468 -0.1878041 0.2057612
Moved 1305.211 285.6682 473.8386 -0.1720645 0.2207782
Moved 1305.242 293.1535 476.3845 -0.1547373 0.2273264
Moved 1305.272 298.4694 476 -0.1424319 0.2263374
Moved 1305.303 305.6324 477 -0.125851 0.2289094
Moved 1305.334 311.5134 478 -0.1122376 0.2314814
Moved 1305.365 318.9156 478 -0.09510273 0.2314814
Moved 1305.396 324.9669 479.6556 -0.08109524 0.2357397
Moved 1305.426 331.3169 481.1057 -0.06639615 0.2394692
Moved 1305.457 337.2943 482.6471 -0.05255962 0.2434338
Moved 1305.488 341.4076 485.2038 -0.04303803 0.2500096
Moved 1305.518 346 489 -0.03240739 0.2597736
Moved 1305.549 348.9881 492.9761 -0.02549057 0.2700003
Moved 1305.58 351.5 499 -0.01967594 0.2854938
Moved 1305.611 354.1021 505.2042 -0.01365259 0.301451
Moved 1305.641 355 511 -0.01157408 0.3163579
Moved 1305.672 356 515.8279 -0.009259283 0.3287753
Moved 1305.703 357 520.9438 -0.006944438 0.3419336
Moved 1305.734 357 524.0029 -0.006944438 0.3498017
Moved 1305.764 357 526.5 -0.006944438 0.3562242
Moved 1305.795 357 528.5 -0.006944438 0.3613682
Moved 1305.826 357 530.3278 -0.006944438 0.3660692
Moved 1305.856 358.8839 530.8839 -0.002583564 0.3674997
Moved 1305.887 361.4513 531 0.003359516 0.3677982
Moved 1305.918 371.8714 531 0.02748003 0.3677982
Moved 1305.949 383.3934 531 0.05415142 0.3677982
Moved 1305.979 394.0338 531 0.07878195 0.3677982
Moved 1306.01 404.4318 524 0.1028515 0.3497942
Moved 1306.041 414.8598 521.3801 0.1269902 0.3430557
Moved 1306.072 424.6981 518.8254 0.1497641 0.3364851
Moved 1306.102 433.9323 517.267 0.1711394 0.3324767
Moved 1306.133 442.7987 514.7338 0.1916637 0.3259613
Moved 1306.164 450.4799 514 0.2094443 0.324074
Moved 1306.195 459.1525 511.9619 0.2295197 0.3188319
Moved 1306.225 465.1892 511 0.2434936 0.3163579
Moved 1306.256 470.3018 509.8491 0.2553283 0.3133977
Moved 1306.287 473.4178 510 0.2625411 0.3137859
Moved 1306.318 474 509 0.2638889 0.3112139
Moved 1306.348 475.2495 509 0.2667812 0.3112139
Stationary 1306.379 475 509 0.2662037 0.3112139
Stationary 1306.41 475 509 0.2662037 0.3112139
Stationary 1306.44 475 509 0.2662037 0.3112139
Moved 1306.471 475 504.0996 0.2662037 0.2986101
Moved 1306.502 455.0728 492.0873 0.2200759 0.2677143
Moved 1306.533 437.5 458.5 0.1793981 0.181327
Moved 1306.563 433.3674 444.4698 0.169832 0.1452412
Moved 1306.594 430 418.4501 0.162037 0.07831804
Moved 1306.625 429 395.8526 0.1597223 0.02019694
Moved 1306.656 429 377.5496 0.1597223 -0.02687854
Moved 1306.686 442.8435 358.0238 0.1917674 -0.07709935
Moved 1306.717 456.2936 339.1889 0.2229019 -0.125543
Moved 1306.748 461.6186 331.3813 0.2352283 -0.1456242
Moved 1306.779 464.0317 327.9683 0.2408142 -0.1544027
Moved 1306.809 464 326.6966 0.2407408 -0.1576734
Moved 1306.84 455.4803 335.5197 0.2210193 -0.1349804
Moved 1306.871 435.9268 353.3984 0.1757564 -0.08899586
Moved 1306.901 410.9503 374.1854 0.1179405 -0.03553139
Moved 1306.932 388.1752 392.3467 0.06522039 0.01117969
Moved 1306.963 365.8188 409.1359 0.01346936 0.0543619
Moved 1306.994 340.9968 425.4313 -0.04398892 0.09627393
Moved 1307.024 323.7428 440.2573 -0.08392881 0.1344064
Moved 1307.055 303.1459 456.1406 -0.1316066 0.1752586
Moved 1307.086 285.5891 467.6072 -0.1722474 0.204751
Moved 1307.117 270.3436 477.7709 -0.207538 0.2308922
Moved 1307.147 259.4051 486.157 -0.2328587 0.2524614
Moved 1307.178 248.2186 495.7814 -0.2587532 0.2772154
Moved 1307.209 236.7782 506.2217 -0.2852355 0.3040682
Ended 1307.24 232.7815 513.4371 -0.2944873 0.3226261
PhraseEnd 1308.131
