that is a very odd question
Basic
0.6 0.6
432 388.8
Ended 688.1945 197 419 -0.3773148 0.07973251
Began 689.086 385 249 0.05787035 -0.3575103
Stationary 689.1168 385 249 0.05787035 -0.3575103
Stationary 689.1475 385 249 0.05787035 -0.3575103
Stationary 689.1782 385 249 0.05787035 -0.3575103
Stationary 689.2089 385 249 0.05787035 -0.3575103
Stationary 689.2397 385 249 0.05787035 -0.3575103
Stationary 689.2704 385 249 0.05787035 -0.3575103
Moved 689.301 385 258.5016 0.05787035 -0.3330721
Stationary 689.3319 385 259.0864 0.05787035 -0.3315681
Moved 689.3626 385 260.0145 0.05787035 -0.329181
Moved 689.3932 385 261.226 0.05787035 -0.3260649
Moved 689.4241 385 265.6603 0.05787035 -0.3146597
Moved 689.4549 385 276.7823 0.05787035 -0.2860537
Moved 689.4856 376.3712 291.6288 0.03789624 -0.2478683
Moved 689.5163 370.7791 308.6628 0.0249515 -0.2040565
Moved 689.5471 362.0624 328.8752 0.004774034 -0.1520699
Moved 689.5778 354.5 345 -0.0127315 -0.1105968
Moved 689.6086 341.5537 366.5311 -0.04269983 -0.05521844
Moved 689.6393 322.0137 394.3105 -0.08793116 0.01623063
Moved 689.67 315.5079 403.689 -0.102991 0.0403522
Moved 689.7008 307.0146 416.3091 -0.1226515 0.07281139
Moved 689.7316 292.8795 437.1808 -0.1553716 0.1264937
Moved 689.7623 282.8245 450.5673 -0.1786469 0.1609241
Moved 689.793 273.1984 462.0688 -0.2009296 0.190506
Moved 689.8238 265.5904 472.2128 -0.2185408 0.2165967
Moved 689.8545 258.9736 480.7019 -0.2338575 0.2384307
Moved 689.8852 254.4711 489.5867 -0.2442798 0.2612825
Moved 689.916 250.9541 495.046 -0.2524212 0.2753239
Moved 689.9467 249 500.9039 -0.2569445 0.2903907
Moved 689.9774 247 504.7726 -0.2615741 0.3003409
Moved 690.0082 246 507.6364 -0.2638889 0.3077068
Moved 690.0389 246 510.1805 -0.2638889 0.3142501
Moved 690.0697 244.954 513.046 -0.2663102 0.3216204
Moved 690.1005 245 516.8206 -0.2662037 0.3313287
Moved 690.1312 245 518.5 -0.2662037 0.335648
Moved 690.1619 245 521.291 -0.2662037 0.3428266
Moved 690.1926 245 524.1639 -0.2662037 0.3502157
Moved 690.2234 255.1057 528.0352 -0.2428109 0.3601727
Moved 690.2542 263.7997 530.5999 -0.2226858 0.3667692
Moved 690.2849 275.8978 532 -0.1946809 0.3703703
Moved 690.3156 289.611 533 -0.1629374 0.3729423
Moved 690.3464 305.2175 533 -0.1268114 0.3729423
Moved 690.3771 316.2059 533 -0.1013752 0.3729423
Moved 690.4078 329.6343 528.7599 -0.07029096 0.3620369
Moved 690.4386 343.4035 523.5193 -0.03841773 0.3485577
Moved 690.4694 356.8879 520.0374 -0.007203917 0.3396021
Moved 690.5001 373.2073 516.1586 0.03057241 0.3296259
Moved 690.5308 385.8595 511.5703 0.05986005 0.3178246
Moved 690.5615 396.73 506.8467 0.08502314 0.3056756
Moved 690.5923 404.3621 503.8793 0.10269 0.2980435
Moved 690.623 411.9756 500.0122 0.120314 0.2880971
Moved 690.6537 415.8591 497.1409 0.1293034 0.2807122
Moved 690.6845 420 495.5 0.1388889 0.2764916
Moved 690.7153 423.2378 493.7622 0.1463838 0.2720221
Moved 690.746 428.212 491.894 0.1578982 0.267217
Ended 690.7767 428.212 491.894 0.1578982 0.267217
Began 691.4223 547 533 0.4328704 0.3729423
Stationary 691.4531 547 533 0.4328704 0.3729423
Stationary 691.4838 547 533 0.4328704 0.3729423
Stationary 691.5145 547 533 0.4328704 0.3729423
Moved 691.5453 537.0938 533 0.4099392 0.3729423
Moved 691.576 530.4507 533 0.3945618 0.3729423
Moved 691.6068 521 524.5 0.3726852 0.3510802
Moved 691.6375 509.3026 519.6513 0.345608 0.3386092
Moved 691.6682 494.8579 513.929 0.312171 0.3238913
Moved 691.699 482.3617 508.1808 0.2832447 0.309107
Moved 691.7297 472.8051 504.7013 0.2611229 0.3001576
Moved 691.7604 453.4206 497.4735 0.2162514 0.2815676
Moved 691.7912 439.4405 490.7203 0.1838901 0.2641982
Moved 691.8219 422.9898 482.9949 0.1458097 0.2443283
Moved 691.8527 403.6145 473.8073 0.1009595 0.2206976
Moved 691.8834 381.0206 461.2975 0.04865875 0.1885223
Moved 691.9142 358.4545 447.5859 -0.003577471 0.1532557
Moved 691.9449 338.0124 437.5785 -0.05089726 0.1275167
Moved 691.9756 310.9102 422.6168 -0.1136338 0.0890348
Moved 692.0063 286.5 409.5 -0.1701389 0.05529835
Moved 692.0371 265.549 398.366 -0.2186367 0.0266614
Moved 692.0679 251.0997 392.0499 -0.2520839 0.01041628
Moved 692.0986 237.6049 386.1512 -0.2833221 -0.004755106
Moved 692.1294 227.8593 381.2864 -0.3058812 -0.01726747
Moved 692.1601 220.5 377.5 -0.3229167 -0.02700625
Moved 692.1909 215.7659 374.8829 -0.3338753 -0.03373738
Moved 692.2216 213.0128 374 -0.340248 -0.03600823
Moved 692.2523 211.6266 372.6266 -0.343457 -0.03954075
Moved 692.283 211 371.7253 -0.3449074 -0.04185892
Ended 692.3138 210 372 -0.3472222 -0.04115226
Began 693.4205 162 427 -0.4583334 0.1003086
Stationary 693.4512 162 427 -0.4583334 0.1003086
Stationary 693.4819 162 427 -0.4583334 0.1003086
Stationary 693.5128 162 427 -0.4583334 0.1003086
Moved 693.5435 171.4761 427 -0.4363979 0.1003086
Moved 693.5742 176.6959 427 -0.4243151 0.1003086
Moved 693.6049 183.633 435.211 -0.4082569 0.1214273
Moved 693.6357 192.2087 441.4066 -0.3884057 0.1373625
Moved 693.6664 204.3809 447.7856 -0.3602295 0.1537696
Moved 693.6971 214.3914 452.9276 -0.337057 0.1669948
Moved 693.7279 222.9957 457.6638 -0.3171395 0.1791764
Moved 693.7587 231.6793 461.7862 -0.2970386 0.1897792
Moved 693.7894 241.0465 465.5233 -0.2753552 0.199391
Moved 693.8201 253.1401 470.256 -0.247361 0.2115638
