I want to hold your hand
Basic
0.6 0.6
432 388.8
Began 1024.769 420 528 0.1388889 0.3600822
Stationary 1024.8 420 528 0.1388889 0.3600822
Stationary 1024.831 420 528 0.1388889 0.3600822
Ended 1024.861 420 528 0.1388889 0.3600822
Began 1025.66 252 569 -0.25 0.4655349
Stationary 1025.691 252 569 -0.25 0.4655349
Stationary 1025.722 252 569 -0.25 0.4655349
Moved 1025.752 239.0583 535.1516 -0.2799576 0.3784761
Moved 1025.783 226.4137 506.3102 -0.3092275 0.3042958
Moved 1025.814 214.8135 473.0451 -0.3360798 0.2187374
Moved 1025.845 206.4876 444.4379 -0.3553528 0.145159
Moved 1025.875 201.3421 429.8553 -0.3672636 0.1076524
Moved 1025.906 197.3657 414.194 -0.3764684 0.0673714
Moved 1025.937 194.5045 402.5137 -0.3830913 0.03732929
Moved 1025.968 191.619 391.4761 -0.3897708 0.008940638
Moved 1025.998 189.0852 385.2555 -0.3956362 -0.007058916
Moved 1026.029 188 377.2075 -0.3981482 -0.02775867
Moved 1026.06 187 372.6751 -0.4004629 -0.03941602
Moved 1026.09 187 369.5 -0.4004629 -0.04758238
Moved 1026.121 186 367.9769 -0.4027778 -0.05149982
Moved 1026.152 199.7302 365.1693 -0.370995 -0.05872106
Moved 1026.183 245.9439 357.8793 -0.2640187 -0.07747085
Moved 1026.213 286.2661 346.9113 -0.1706803 -0.105681
Moved 1026.244 326.2944 333.3117 -0.07802223 -0.1406593
Moved 1026.275 348.6967 321.5646 -0.026165 -0.1708731
Moved 1026.306 371.782 306.218 0.0272732 -0.2103446
Moved 1026.336 386.5521 295.9584 0.06146312 -0.2367326
Moved 1026.367 397.1482 286.8518 0.08599122 -0.2601549
Moved 1026.398 407.9738 278.0262 0.1110504 -0.2828545
Moved 1026.428 415.6352 272.3648 0.1287853 -0.2974157
Moved 1026.459 421.253 268.3735 0.1417893 -0.3076813
Moved 1026.49 423.0514 266.9486 0.1459523 -0.3113462
Moved 1026.521 425 265 0.150463 -0.3163581
Stationary 1026.551 425 265 0.150463 -0.3163581
Moved 1026.582 398.1117 332.5096 0.08822153 -0.1427223
Moved 1026.613 379.0142 392.6052 0.04401435 0.01184448
Moved 1026.644 364.5 438 0.01041671 0.1286007
Moved 1026.674 354.8379 470.5945 -0.01194939 0.2124345
Moved 1026.705 348.1412 494.435 -0.02745082 0.2737525
Moved 1026.736 344.1937 506.4189 -0.03658866 0.3045752
Moved 1026.766 340.7213 514.8362 -0.04462664 0.3262247
Moved 1026.797 337.763 520.474 -0.05147452 0.3407253
Moved 1026.828 337 525.22 -0.05324075 0.3529321
Moved 1026.859 336 528.9792 -0.05555556 0.3626009
Moved 1026.889 335 531.5218 -0.05787035 0.3691404
Moved 1026.92 333.8024 533.1976 -0.06064251 0.3734504
Moved 1026.951 334 535 -0.06018519 0.3780863
Ended 1026.981 334 536 -0.06018519 0.3806583
Began 1027.381 293 494 -0.1550926 0.2726337
Stationary 1027.412 293 494 -0.1550926 0.2726337
Moved 1027.442 311.8534 494 -0.1114505 0.2726337
Moved 1027.473 343.8865 494 -0.03729984 0.2726337
Moved 1027.504 371.9034 494 0.02755413 0.2726337
Moved 1027.535 397.8036 494 0.08750836 0.2726337
Moved 1027.565 418.3505 494 0.1350706 0.2726337
Moved 1027.596 437.9983 494 0.1805517 0.2726337
Moved 1027.627 454.3897 494 0.2184947 0.2726337
Moved 1027.657 469.714 494 0.2539676 0.2726337
Moved 1027.688 484.1183 494 0.287311 0.2726337
Moved 1027.719 493.965 494 0.3101041 0.2726337
Moved 1027.75 503.579 494 0.3323588 0.2726337
Moved 1027.78 511.1942 494 0.3499866 0.2726337
Moved 1027.811 515.5 494 0.3599537 0.2726337
Moved 1027.842 519.2675 494 0.3686747 0.2726337
Moved 1027.873 521.0049 494 0.3726965 0.2726337
Moved 1027.903 522 494 0.375 0.2726337
Ended 1027.934 523.1569 494 0.3776781 0.2726337
Began 1028.487 344 361 -0.03703703 -0.06944452
Stationary 1028.518 344 361 -0.03703703 -0.06944452
Moved 1028.548 367.2247 372.1123 0.01672377 -0.04086349
Moved 1028.579 387.1997 382.222 0.06296227 -0.01486099
Moved 1028.61 409.7751 394.7889 0.11522 0.01746119
Moved 1028.641 424.392 404.2352 0.1490555 0.04175704
Moved 1028.671 434.8525 410.8525 0.1732698 0.05877706
Moved 1028.702 444.8748 415.9374 0.1964693 0.07185536
Moved 1028.733 455.3474 424.0105 0.2207114 0.09261955
Moved 1028.763 471.0036 435.8029 0.2569527 0.1229496
Moved 1028.794 485.8182 450.987 0.2912458 0.1620036
Moved 1028.825 498.6145 463.6145 0.3208668 0.1944817
Moved 1028.856 511.088 476.61 0.3497407 0.2279062
Moved 1028.886 519.7805 487.1707 0.3698623 0.2550686
Moved 1028.917 523.9268 490.9268 0.3794602 0.2647294
Moved 1028.948 526 493.8018 0.3842592 0.2721238
Moved 1028.979 527.238 495.238 0.3871249 0.2758177
Moved 1029.009 529.2742 496 0.3918385 0.2777777
Moved 1029.04 530.0628 496 0.3936639 0.2777777
Moved 1029.071 530 487.6906 0.3935185 0.2564058
Moved 1029.101 530 448.1519 0.3935185 0.1547117
Moved 1029.132 518.2429 419.2241 0.366303 0.08030891
Moved 1029.163 516.7939 396.5577 0.362949 0.02201057
Moved 1029.194 516 385.7553 0.3611111 -0.005773458
Moved 1029.224 515.045 379.09 0.3589005 -0.0229166
Moved 1029.255 513.5173 373.0347 0.3553642 -0.03849116
Moved 1029.286 507.9604 367.3069 0.342501 -0.05322295
Moved 1029.317 486.8895 367 0.2937256 -0.05401234
Moved 1029.347 460.5793 377.3683 0.2328224 -0.02734502
Moved 1029.378 419.0099 396.328 0.1365971 0.02141972
Moved 1029.409 385.041 411.653 0.05796522 0.0608359
Moved 1029.439 356.7798 422.688 -0.007454107 0.08921823
Moved 1029.47 337.3479 427.9006 -0.05243535 0.1026249
Moved 1029.501 321.7111 432.6445 -0.08863176 0.1148262
Moved 1029.532 309.908 434.6973 -0.1159536 0.1201063
Moved 1029.562 300.5 436 -0.1377315 0.1234567
