the union will go on strike
Basic
0.6 0.6
432 388.8
Began 334.7346 350 545 -0.02314816 0.4038065
Stationary 334.7653 350 545 -0.02314816 0.4038065
Stationary 334.7961 350 545 -0.02314816 0.4038065
Stationary 334.8268 350 545 -0.02314816 0.4038065
Stationary 334.8574 350 545 -0.02314816 0.4038065
Stationary 334.8882 350 545 -0.02314816 0.4038065
Stationary 334.9189 350 545 -0.02314816 0.4038065
Moved 334.9496 339.1591 545 -0.04824271 0.4038065
Moved 334.9803 338 545 -0.05092591 0.4038065
Moved 335.0111 336 532.7915 -0.05555556 0.3724061
Moved 335.0417 336 515.2244 -0.05555556 0.3272231
Moved 335.0725 336 490 -0.05555556 0.2623456
Moved 335.1032 350.9382 464.1649 -0.02097647 0.1958973
Moved 335.134 357.4544 447.6368 -0.005892565 0.1533867
Moved 335.1647 364.4322 433.1357 0.01025965 0.1160896
Moved 335.1954 374.7977 413.3541 0.0342539 0.06521103
Moved 335.2261 386.7939 395.5076 0.0620229 0.01930967
Moved 335.2568 392.9205 387.0795 0.07620484 -0.002367467
Moved 335.2876 396.2258 381.5484 0.08385599 -0.0165937
Moved 335.3183 398.6556 379.3444 0.08948068 -0.02226245
Moved 335.349 400.4206 376.5794 0.09356617 -0.02937403
Moved 335.3797 401 374.8126 0.09490739 -0.03391823
Stationary 335.4105 401 374.8126 0.09490739 -0.03391823
Moved 335.4412 369.9535 400.6583 0.02304048 0.03255742
Moved 335.4719 346.5511 423.4489 -0.03113161 0.09117499
Moved 335.5026 329.5039 440.4961 -0.07059276 0.1350208
Moved 335.5334 315.5 455.5 -0.1030092 0.173611
Moved 335.5641 305.6518 468.4643 -0.1258061 0.2069554
Moved 335.5948 297.3361 479.5518 -0.1450552 0.2354727
Moved 335.6255 288.0872 489.5504 -0.1664647 0.2611891
Moved 335.6562 281.932 496.068 -0.1807129 0.2779526
Moved 335.687 275.1877 502.6246 -0.1963248 0.2948163
Moved 335.7177 270.4215 507.157 -0.2073577 0.3064738
Moved 335.7484 266.3384 510.3307 -0.2168092 0.3146366
Moved 335.7791 263.214 512.786 -0.2240417 0.3209516
Moved 335.8099 260.447 515.553 -0.2304469 0.3280685
Moved 335.8406 259 517.3188 -0.2337963 0.3326101
Moved 335.8713 259 520.0902 -0.2337963 0.3397381
Ended 335.902 259 520.0902 -0.2337963 0.3397381
Began 336.8851 410 549 0.1157407 0.4140946
Stationary 336.9159 410 549 0.1157407 0.4140946
Stationary 336.9466 410 549 0.1157407 0.4140946
Stationary 336.9773 410 549 0.1157407 0.4140946
Moved 337.008 405.4904 543.9266 0.1053017 0.4010458
Moved 337.0387 395.3284 514.9777 0.08177866 0.3265885
Moved 337.0695 390.8855 470.6259 0.07149418 0.2125151
Moved 337.1002 389.3491 432.2371 0.06793777 0.1137783
Moved 337.1309 389 403.9188 0.06712963 0.04094328
Moved 337.1616 389 378.5593 0.06712963 -0.0242818
Moved 337.1924 389 357.1288 0.06712963 -0.07940128
Moved 337.2231 389 344.1995 0.06712963 -0.1126558
Moved 337.2538 389 329.1227 0.06712963 -0.1514333
Moved 337.2845 389 317.0299 0.06712963 -0.1825363
Moved 337.3153 389 303.4996 0.06712963 -0.2173364
Moved 337.346 389 294.1843 0.06712963 -0.2412955
Moved 337.3767 389 286.5619 0.06712963 -0.2609006
Moved 337.4074 389 282.0511 0.06712963 -0.2725024
Moved 337.4382 389 277.5495 0.06712963 -0.2840806
Moved 337.4689 389 276.8058 0.06712963 -0.2859933
Moved 337.4996 389 274.9861 0.06712963 -0.2906737
Moved 337.5303 389 287.8077 0.06712963 -0.2576962
Moved 337.5611 413.2521 344.0084 0.1232688 -0.1131472
Moved 337.5918 425.1534 395.7668 0.1508179 0.01997622
Moved 337.6225 433.453 430.812 0.1700301 0.110113
Moved 337.6532 440.748 456.2441 0.1869168 0.1755248
Moved 337.6839 444.5409 468.3523 0.1956965 0.2066673
Moved 337.7147 448.2354 482.5883 0.2042485 0.2432826
Moved 337.7454 450.8898 493.6694 0.210393 0.2717832
Moved 337.7761 453 500.9716 0.2152778 0.2905647
Moved 337.8068 455.0604 505.1208 0.2200472 0.3012365
Moved 337.8375 456 509.6642 0.2222222 0.3129222
Moved 337.8683 460.2059 513.2059 0.2319581 0.3220317
Moved 337.899 471.8406 517.7363 0.2588903 0.3336838
Moved 337.9297 489.7513 517 0.3003502 0.33179
Moved 337.9604 510.1252 517 0.3475122 0.33179
Moved 337.9911 523.4232 507.5095 0.3782944 0.3073804
Moved 338.0219 528.6594 507.1703 0.3904153 0.3065079
Moved 338.0526 532.9063 500.1875 0.400246 0.288548
Moved 338.0833 533 484.3137 0.4004629 0.2477202
Moved 338.1141 515.3257 454.0972 0.3595503 0.170003
Moved 338.1447 491.6849 410.1985 0.3048262 0.05709495
Moved 338.1755 482.0251 393.6146 0.2824656 0.01444075
Moved 338.2062 460.7399 351.4797 0.2331941 -0.0939308
Moved 338.2676 447.8006 319.2017 0.2032422 -0.1769503
Moved 338.2983 436.1306 289.2612 0.1762282 -0.253958
Moved 338.3291 431.6168 275.4673 0.1657797 -0.2894359
Moved 338.3598 426.7264 263.5896 0.1544593 -0.3199857
Moved 338.3906 425.4691 254.4072 0.1515488 -0.3436028
Moved 338.4212 424 247.4423 0.1481481 -0.3615169
Moved 338.452 422.5 244 0.144676 -0.3703704
Moved 338.4825 421.5 241 0.1423611 -0.3780865
Moved 338.5134 420.7827 241 0.1407006 -0.3780865
Ended 338.5441 421 241 0.1412037 -0.3780865
Began 339.22 201 571 -0.3680556 0.4706789
Stationary 339.2507 201 571 -0.3680556 0.4706789
Stationary 339.2815 201 571 -0.3680556 0.4706789
Stationary 339.3122 201 571 -0.3680556 0.4706789
Moved 339.3429 218.7502 571 -0.3269671 0.4706789
Moved 339.3736 236.6102 574.5857 -0.2856246 0.4799013
Moved 339.4044 266.4183 579.2849 -0.2166243 0.4919877
Moved 339.435 300.5334 580 -0.1376542 0.4938271
Moved 339.4658 328.6989 580 -0.07245615 0.4938271
Moved 339.4965 356.6155 580 -0.007834385 0.4938271
