taking the train is usually faster
Basic
0.6 0.6
432 388.8
Stationary 829.9254 409 566 0.113426 0.4578188
Stationary 829.9561 409 566 0.113426 0.4578188
Stationary 829.9868 409 566 0.113426 0.4578188
Stationary 830.0176 409 566 0.113426 0.4578188
Moved 830.0483 409 553.8881 0.113426 0.4266667
Moved 830.079 400.6011 541.0056 0.09398401 0.3935329
Moved 830.1096 399 525.3285 0.09027779 0.353211
Moved 830.1404 399 511.7745 0.09027779 0.31835
Moved 830.1711 399 501.2581 0.09027779 0.2913017
Moved 830.2019 399 491 0.09027779 0.2649176
Moved 830.2327 399 478.6295 0.09027779 0.2331006
Moved 830.2634 399 466.2256 0.09027779 0.2011976
Moved 830.2941 399 455.5237 0.09027779 0.1736721
Moved 830.3248 399 445.821 0.09027779 0.1487165
Moved 830.3555 406 435.9743 0.1064815 0.1233906
Moved 830.3862 408.1261 425.4957 0.111403 0.0964395
Moved 830.417 410.9979 412.0107 0.1180506 0.06175583
Moved 830.4477 416.0734 398.8533 0.1297995 0.02791467
Moved 830.4785 420.3998 387.4009 0.1398143 -0.001540949
Moved 830.5092 424.2719 375.9125 0.1487775 -0.03108939
Moved 830.5399 429.6658 362.0026 0.1612635 -0.06686591
Moved 830.5706 433.6407 352.0777 0.1704647 -0.09239275
Moved 830.6013 435.5157 346.4843 0.1748048 -0.1067791
Moved 830.6321 436 343.6187 0.1759259 -0.1141496
Moved 830.6628 437 341.0711 0.1782407 -0.120702
Moved 830.6935 437 339 0.1782407 -0.1260288
Moved 830.7242 437 337.7699 0.1782407 -0.1291927
Moved 830.7549 437 337 0.1782407 -0.1311728
Stationary 830.7857 437 337 0.1782407 -0.1311728
Moved 830.8164 427.0713 337 0.1552576 -0.1311728
Moved 830.8471 419.6145 337 0.1379965 -0.1311728
Moved 830.8779 409.6127 351.1098 0.1148442 -0.09488219
Moved 830.9086 399.3114 359.6886 0.0909986 -0.07281747
Moved 830.9393 384.4836 372.4131 0.05667498 -0.04008972
Moved 830.97 370.1471 388.8284 0.0234886 0.002130657
Moved 831.0007 356.0314 405.4634 -0.009186615 0.04491621
Moved 831.0314 342.1204 424.6315 -0.04138808 0.09421666
Moved 831.0622 326.7401 442.5119 -0.07699047 0.1402055
Moved 831.0929 313.9271 457.702 -0.1066502 0.1792747
Moved 831.1237 301.1535 475.0775 -0.1362188 0.2239647
Moved 831.1544 292.5342 485.9544 -0.1561708 0.2519403
Moved 831.1851 283.9434 496.0566 -0.176057 0.2779234
Moved 831.2158 280.5 504 -0.1840278 0.2983539
Moved 831.2465 270.7218 516.9174 -0.2066626 0.3315775
Moved 831.2773 266 524 -0.2175926 0.3497942
Moved 831.308 261.2966 534.0551 -0.2284801 0.375656
Moved 831.3387 258.1397 539.7206 -0.2357877 0.3902277
Moved 831.3694 254.2696 544.7303 -0.2447462 0.4031129
Moved 831.4001 250.4163 549.5837 -0.253666 0.4155959
Moved 831.4309 246.4486 554.5515 -0.2628506 0.428373
Moved 831.4616 244.5927 556.4073 -0.2671466 0.4331464
Moved 831.4924 244 557 -0.2685185 0.4346707
Moved 831.5231 244 560.5096 -0.2685185 0.4436975
Ended 831.5538 244 561 -0.2685185 0.4449587
