they might find your comment offensive
Basic
0.6 0.6
432 388.8
Began 752.9999 321 489 -0.09027779 0.2597736
Stationary 753.0307 321 489 -0.09027779 0.2597736
Stationary 753.0615 321 489 -0.09027779 0.2597736
Moved 753.0922 310.1709 489 -0.1153451 0.2597736
Moved 753.1229 308.3884 489 -0.1194713 0.2597736
Moved 753.1536 304.6662 489 -0.1280875 0.2597736
Moved 753.1843 299.8797 489 -0.1391674 0.2597736
Moved 753.215 298.5839 489 -0.1421669 0.2597736
Moved 753.2457 293.9606 489 -0.152869 0.2597736
Moved 753.2764 292.6653 489 -0.1558672 0.2597736
Moved 753.3071 291.3883 489 -0.1588233 0.2597736
Stationary 753.3378 291 489 -0.1597222 0.2597736
Moved 753.3686 290 496.7542 -0.162037 0.2797176
Moved 753.3993 290 499.4838 -0.162037 0.2867382
Moved 753.43 290 503.3986 -0.162037 0.2968069
Moved 753.4608 303.9462 507.1785 -0.1297542 0.3065289
Moved 753.4915 322.2338 510.3191 -0.08742183 0.3146067
Moved 753.5222 355.4538 501.7208 -0.0105237 0.2924916
Moved 753.5529 383.843 487.438 0.05519202 0.2557562
Moved 753.5836 407.6239 462.9702 0.1102405 0.1928244
Moved 753.6143 417.8399 441.6405 0.1338886 0.1379642
Moved 753.645 422 415.4632 0.1435185 0.07063567
Moved 753.6757 422 394.4384 0.1435185 0.01655959
Moved 753.7065 412.6955 370.8547 0.1219804 -0.04409806
Moved 753.7372 403.0306 354.046 0.099608 -0.08733043
Moved 753.7678 390.895 343.337 0.07151614 -0.114874
Moved 753.7986 372.7213 341 0.02944757 -0.1208849
Moved 753.8293 347.4334 341 -0.0290894 -0.1208849
Moved 753.86 324.5315 357.2083 -0.08210312 -0.07919696
Moved 753.8907 308.6071 369.6224 -0.118965 -0.04726747
Moved 753.9214 292.1408 385.8593 -0.1570815 -0.005506115
Moved 753.9522 276.4254 405.4895 -0.1934597 0.0449832
Moved 753.9828 264.4661 424.4344 -0.2211434 0.0937098
Moved 754.0136 257.4268 439.261 -0.2374379 0.131844
Moved 754.0443 253.5 450 -0.2465278 0.1594649
Moved 754.0751 243.9507 477.1479 -0.2686327 0.2292899
Moved 754.1058 241 494.3786 -0.275463 0.2736074
Moved 754.1365 241 501.5569 -0.275463 0.2920702
Moved 754.1672 241 505.4197 -0.275463 0.3020054
Ended 754.1979 241 508 -0.275463 0.3086419
Began 754.6893 522 290 0.375 -0.2520577
Stationary 754.72 522 290 0.375 -0.2520577
Stationary 754.7508 522 290 0.375 -0.2520577
Moved 754.7815 507.3572 299.6428 0.3411047 -0.2272561
Moved 754.8122 496.3528 306.9178 0.3156315 -0.2085448
Moved 754.843 482.7551 322.1429 0.2841552 -0.1693857
Moved 754.8736 469.3074 351.7315 0.2530263 -0.09328324
Moved 754.9044 458.3542 392.5834 0.2276717 0.01178855
Moved 754.9351 448.1786 451.2021 0.2041172 0.162557
Moved 754.9658 445.0164 486.9014 0.1967974 0.2543758
Moved 754.9965 440.5894 513.6424 0.1865496 0.3231542
Moved 755.0272 437.9101 535.809 0.1803475 0.380167
Moved 755.0579 435.1564 555.9051 0.1739731 0.4318545
Moved 755.0887 433.4402 567.6794 0.1700005 0.4621382
Moved 755.1194 430.72 577.12 0.1637037 0.4864196
Moved 755.1501 429.3391 580.3218 0.1605072 0.4946549
Moved 755.1808 427.8079 582.1921 0.1569628 0.4994651
Moved 755.2115 425.8877 582 0.1525179 0.4989711
Moved 755.2422 420.3282 541.2826 0.1396487 0.3942452
Moved 755.2729 415.4557 495.8289 0.1283696 0.2773377
Moved 755.3036 406.9924 459.9746 0.1087787 0.1851197
Moved 755.3344 390.6794 427.0789 0.07101715 0.1005116
Moved 755.3651 374.6997 403.7796 0.0340272 0.04058535
Moved 755.3958 362.7761 392.6208 0.006426076 0.01188486
Moved 755.4265 349.1217 381.273 -0.02518117 -0.01730201
Moved 755.4572 338.8171 373.1128 -0.04903455 -0.03829022
Moved 755.488 331.7248 366.7248 -0.06545182 -0.05472026
Moved 755.5187 323.7981 361.1987 -0.08380075 -0.06893338
Moved 755.5494 317.7632 356.8817 -0.09777024 -0.08003698
Moved 755.5801 311.3227 352.1613 -0.112679 -0.09217768
Moved 755.6108 306.8059 349.8059 -0.1231345 -0.09823583
Moved 755.6415 303.5 349 -0.130787 -0.1003086
Moved 755.6722 304 349 -0.1296296 -0.1003086
Moved 755.703 325.5985 359.0793 -0.07963309 -0.07438463
Moved 755.7337 351.9176 365.4794 -0.0187093 -0.05792351
Moved 755.7644 375.4012 371.5502 0.03565093 -0.04230923
Moved 755.7951 391.658 375.5527 0.07328232 -0.03201481
Moved 755.8258 401.9831 383.9832 0.09718318 -0.01033147
Moved 755.8565 405 397.1558 0.1041667 0.02354893
Moved 755.8873 392.2871 422.7129 0.07473867 0.08928204
Moved 755.918 373.785 445.215 0.03190975 0.1471579
Moved 755.9487 358.5 460.5 -0.003472219 0.1864711
Moved 755.9794 345.9467 470.04 -0.03253087 0.2110081
Moved 756.0101 336.7787 478.2214 -0.0537531 0.2320507
Moved 756.0408 326.1299 490.3376 -0.07840306 0.263214
Moved 756.0716 320.2314 499.5372 -0.09205689 0.2868754
Moved 756.1023 315.8539 508.1461 -0.10219 0.3090177
Moved 756.133 312.7006 514.5989 -0.1094895 0.3256143
Moved 756.1637 312 518.0229 -0.1111111 0.3344209
Ended 756.1945 310.617 519.3829 -0.1143124 0.337919
Began 756.7473 362 331 0.004629592 -0.146605
Stationary 756.778 362 331 0.004629592 -0.146605
Stationary 756.8087 362 331 0.004629592 -0.146605
Stationary 756.8395 362 331 0.004629592 -0.146605
Stationary 756.8701 362 331 0.004629592 -0.146605
Moved 756.9008 349.1355 323.3785 -0.02514924 -0.1662076
Moved 756.9316 343.3048 320.6524 -0.03864626 -0.1732192
Moved 756.9623 340.164 319 -0.04591668 -0.1774692
Moved 756.993 338.5 319 -0.04976853 -0.1774692
Moved 757.0237 339 319 -0.04861111 -0.1774692
Moved 757.0544 351.8441 351.6491 -0.01887952 -0.09349517
Moved 757.0851 359.1227 374.0873 -0.00203083 -0.03578366
