id,mode,cand,block,phrase,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,All,Top1(ratio),Top2(ratio),Top3(ratio),Top4(ratio),Top5(ratio),Top6(ratio),Top7(ratio),Top8(ratio),Top9(ratio),Top10(ratio),Top11(ratio),Top12(ratio),Top13(ratio)
4,FixStart,Radial,3,30,48,54,56,57,57,58,58,58,58,58,59,59,59,60,0.8,0.9,0.933333,0.95,0.95,0.966667,0.966667,0.966667,0.966667,0.966667,0.983333,0.983333,0.983333
4,FixStart,Radial,4,40,45,52,54,54,54,55,55,55,55,55,55,55,55,55,0.818182,0.945455,0.981818,0.981818,0.981818,1,1,1,1,1,1,1,1
4,Basic,Radial,1,10,46,50,53,54,54,55,56,56,56,56,56,56,56,56,0.821429,0.892857,0.946429,0.964286,0.964286,0.982143,1,1,1,1,1,1,1
4,Basic,Radial,2,20,44,46,48,48,49,49,49,49,50,50,50,50,50,51,0.862745,0.901961,0.941176,0.941176,0.960784,0.960784,0.960784,0.960784,0.980392,0.980392,0.980392,0.980392,0.980392
4,Basic,Radial,3,30,41,49,53,55,57,57,57,57,58,58,58,58,59,59,0.694915,0.830508,0.898305,0.932203,0.966102,0.966102,0.966102,0.966102,0.983051,0.983051,0.983051,0.983051,1
4,Basic,Radial,4,40,41,44,48,49,50,53,55,55,56,56,56,56,56,59,0.694915,0.745763,0.813559,0.830508,0.847458,0.898305,0.932203,0.932203,0.949153,0.949153,0.949153,0.949153,0.949153
5,Basic,Radial,1,10,47,50,54,54,55,56,56,58,59,59,59,59,59,64,0.734375,0.78125,0.84375,0.84375,0.859375,0.875,0.875,0.90625,0.921875,0.921875,0.921875,0.921875,0.921875
5,Basic,Radial,2,20,42,47,50,51,52,52,54,54,55,55,55,55,55,64,0.65625,0.734375,0.78125,0.796875,0.8125,0.8125,0.84375,0.84375,0.859375,0.859375,0.859375,0.859375,0.859375
5,Basic,Radial,3,30,43,49,55,57,57,58,59,59,59,59,59,60,60,67,0.641791,0.731343,0.820895,0.850746,0.850746,0.865672,0.880597,0.880597,0.880597,0.880597,0.880597,0.895522,0.895522
5,Basic,Radial,4,40,45,49,54,54,56,56,57,57,57,57,58,58,58,61,0.737705,0.803279,0.885246,0.885246,0.918033,0.918033,0.934426,0.934426,0.934426,0.934426,0.95082,0.95082,0.95082
