id,mode,cand,block,phrase,WPM,N(words),correct,uncorrected,cancel,uncorrectCancel,delete,noexpand,wrongCancel(noexpand)
2,FixStart,List,4,39,27.9527,5,5,0,0,0,0,0,0
2,FixStart,List,4,40,46.3609,7,7,0,0,0,0,0,0
2,Basic,List,1,1,36.4951,6,6,0,0,0,0,0,0
2,Basic,List,1,2,48.5453,4,4,0,0,0,0,0,0
2,Basic,List,1,3,20.885,4,4,0,0,1,1,1,1
2,Basic,List,1,4,26.8049,5,5,0,0,0,0,0,0
2,Basic,List,1,5,24.0355,5,5,0,0,0,0,0,0
2,Basic,List,1,6,16.9833,5,5,0,0,0,1,0,0
2,Basic,List,1,7,27.2782,6,6,0,0,1,1,1,1
2,Basic,List,1,8,35.1376,6,6,0,0,0,0,0,0
2,Basic,List,1,9,28.8725,6,6,0,0,0,0,0,0
2,Basic,List,1,10,35.4797,4,4,0,0,0,0,0,0
2,Basic,List,2,11,26.3118,6,6,0,0,0,1,0,0
2,Basic,List,2,12,44.1847,3,3,0,0,0,0,0,0
2,Basic,List,2,13,28.8338,6,6,0,0,1,1,1,1
2,Basic,List,2,14,39.3319,6,6,0,0,0,0,0,0
2,Basic,List,2,15,42.8166,5,5,0,0,0,0,0,0
2,Basic,List,2,16,44.6041,5,5,0,0,0,0,0,0
2,Basic,List,2,17,48.7848,5,5,0,0,0,0,0,0
2,Basic,List,2,18,35.9223,5,5,0,0,0,0,0,0
2,Basic,List,2,19,48.3037,4,4,0,0,0,0,0,0
2,Basic,List,2,20,21.608,4,4,0,0,1,1,0,0
2,Basic,List,3,21,32.6753,6,6,0,0,0,2,1,0
2,Basic,List,3,22,40.0668,5,5,0,0,0,0,0,0
2,Basic,List,3,23,57.3287,3,3,0,0,0,0,0,0
2,Basic,List,3,24,22.4616,6,6,0,0,0,0,0,0
2,Basic,List,3,25,37.0184,8,8,0,0,0,0,0,0
2,Basic,List,3,26,38.076,8,8,0,0,0,0,0,0
2,Basic,List,3,27,28.1131,4,4,0,0,0,0,0,0
2,Basic,List,3,28,42.336,5,5,0,0,0,0,0,0
2,Basic,List,3,29,54.9844,8,8,0,0,0,0,0,0
2,Basic,List,3,30,42.9066,6,6,0,0,0,0,0,0
2,Basic,List,4,31,37.3689,6,6,0,0,0,0,0,0
2,Basic,List,4,32,37.6187,8,8,0,0,0,0,0,0
2,Basic,List,4,33,42.0046,6,6,0,0,0,0,0,0
2,Basic,List,4,34,48.2391,6,6,0,0,0,0,0,0
2,Basic,List,4,35,40.1962,6,6,0,0,0,0,0,0
2,Basic,List,4,36,51.1557,5,5,0,0,0,0,0,0
2,Basic,List,4,37,45.8303,6,6,0,0,0,0,0,0
2,Basic,List,4,38,47.0445,5,5,0,0,0,0,0,0
2,Basic,List,4,39,43.5443,6,6,0,0,0,0,0,0
2,Basic,List,4,40,37.5974,5,5,0,0,0,0,0,0
3,FixStart,Radial,1,1,20.7157,9,9,0,0,0,0,0,0
3,FixStart,Radial,1,2,20.0353,6,6,0,1,1,0,1,1
3,FixStart,Radial,1,3,23.6296,5,5,0,0,0,0,0,0
3,FixStart,Radial,1,4,17.1805,5,5,0,0,0,0,0,0
3,FixStart,Radial,1,5,21.9984,7,7,0,0,0,0,0,0
3,FixStart,Radial,1,6,19.0164,8,8,0,0,0,0,0,0
3,FixStart,Radial,1,7,16.0045,7,7,0,0,0,0,0,0
3,FixStart,Radial,1,8,23.5999,5,5,0,0,0,0,0,0
3,FixStart,Radial,1,9,20.4305,5,5,0,0,0,0,0,0
3,FixStart,Radial,1,10,21.0427,6,6,0,0,0,0,0,0
3,FixStart,Radial,2,11,22.5002,6,6,0,0,0,0,0,0
3,FixStart,Radial,2,12,14.1531,5,5,0,1,1,0,1,1
3,FixStart,Radial,2,13,25.4751,5,5,0,0,0,0,0,0
3,FixStart,Radial,2,14,21.8468,5,5,0,0,0,0,0,0
3,FixStart,Radial,2,15,21.1394,6,6,0,0,0,0,0,0
3,FixStart,Radial,2,16,14.2041,6,6,0,1,0,0,0,0
3,FixStart,Radial,2,17,19.9289,6,6,0,0,0,0,0,0
3,FixStart,Radial,2,18,23.5176,5,5,0,0,0,0,0,0
3,FixStart,Radial,2,19,14.2138,5,5,0,2,0,0,2,0
3,FixStart,Radial,2,20,22.5029,7,7,0,0,0,0,0,0
3,FixStart,Radial,3,21,23.635,6,6,0,0,0,0,0,0
3,FixStart,Radial,3,22,22.7869,5,5,0,0,0,0,0,0
3,FixStart,Radial,3,23,24.3663,4,4,0,0,0,0,0,0
3,FixStart,Radial,3,24,11.3575,7,7,0,0,0,2,0,0
3,FixStart,Radial,3,25,16.3252,5,5,0,1,1,0,0,0
3,FixStart,Radial,3,26,30.3275,4,4,0,0,0,0,0,0
3,FixStart,Radial,3,27,26.1991,6,6,0,0,0,0,0,0
3,FixStart,Radial,3,28,21.2003,7,7,0,0,0,0,0,0
3,FixStart,Radial,3,29,26.5377,5,5,0,0,0,0,0,0
3,FixStart,Radial,3,30,16.1457,4,4,0,2,0,0,1,0
3,FixStart,Radial,4,31,29.1144,6,6,0,0,0,0,0,0
3,FixStart,Radial,4,32,25.4548,6,6,0,0,0,0,0,0
3,FixStart,Radial,4,33,24.1798,7,7,0,0,0,0,0,0
3,FixStart,Radial,4,34,25.3262,7,7,0,0,0,0,0,0
3,FixStart,Radial,4,35,27.7331,4,4,0,0,0,0,0,0
3,FixStart,Radial,4,36,29.3798,5,5,0,0,0,0,0,0
3,FixStart,Radial,4,37,33.785,4,4,0,0,0,0,0,0
3,FixStart,Radial,4,38,20.2748,5,5,0,1,0,0,0,0
3,FixStart,Radial,4,39,23.915,5,5,0,0,0,0,0,0
3,FixStart,Radial,4,40,26.3326,3,3,0,0,0,0,0,0
3,Basic,Radial,1,1,16.1622,6,6,0,2,1,0,0,0
3,Basic,Radial,1,2,13.8298,6,6,0,4,1,0,3,1
3,Basic,Radial,1,3,18.3303,4,4,0,1,0,0,1,0
3,Basic,Radial,1,4,21.1629,5,4,1,1,0,0,0,0
3,Basic,Radial,1,5,14.0891,5,5,0,1,0,1,1,0
3,Basic,Radial,1,6,14.589,6,6,0,2,0,0,1,0
3,Basic,Radial,1,7,11.8585,6,6,0,2,0,1,2,0
3,Basic,Radial,1,8,24.0326,5,5,0,0,0,0,0,0
3,Basic,Radial,1,9,22.5847,3,3,0,0,0,0,0,0
3,Basic,Radial,1,10,14.6038,5,5,0,1,0,1,1,0
3,Basic,Radial,2,11,24.6224,6,6,0,0,0,0,0,0
3,Basic,Radial,2,12,22.9762,5,5,0,0,0,0,0,0
3,Basic,Radial,2,13,23.0204,6,6,0,0,0,0,0,0
3,Basic,Radial,2,14,11.926,5,5,0,2,0,0,0,0
3,Basic,Radial,2,15,22.2131,7,7,0,0,0,0,0,0
3,Basic,Radial,2,16,25.9796,5,5,0,0,0,0,0,0
3,Basic,Radial,2,17,29.7876,5,5,0,0,0,0,0,0
3,Basic,Radial,2,18,18.8513,6,6,0,0,0,0,0,0
3,Basic,Radial,2,19,24.707,6,6,0,0,0,0,0,0
3,Basic,Radial,2,20,24.6174,5,5,0,0,0,0,0,0
3,Basic,Radial,3,21,29.9169,6,6,0,0,0,0,0,0
3,Basic,Radial,3,22,26.8345,5,5,0,0,0,0,0,0
3,Basic,Radial,3,23,24.4111,6,6,0,0,0,0,0,0
3,Basic,Radial,3,24,21.2909,5,5,0,0,0,0,0,0
3,Basic,Radial,3,25,25.2611,4,4,0,0,0,0,0,0
3,Basic,Radial,3,26,26.8511,6,6,0,0,0,0,0,0
3,Basic,Radial,3,27,12.0796,5,5,0,2,0,1,1,0
3,Basic,Radial,3,28,16.4663,6,6,0,1,1,0,1,1
3,Basic,Radial,3,29,21.7693,4,4,0,0,0,0,0,0
3,Basic,Radial,3,30,18.8898,8,8,0,0,0,0,0,0
3,Basic,Radial,4,31,21.8347,6,6,0,0,0,0,0,0
3,Basic,Radial,4,32,24.8143,5,5,0,0,0,0,0,0
