id,mode,cand,block,part(#/50),GestureSpeed(keyW/s)
1,FixStart,Radial,2,1,32.279
1,FixStart,Radial,2,2,36.1658
1,FixStart,Radial,2,3,37.659
1,FixStart,Radial,2,4,35.7809
1,FixStart,Radial,2,5,37.341
1,FixStart,Radial,2,6,36.8574
1,FixStart,Radial,2,7,35.1537
1,FixStart,Radial,2,8,36.2967
1,FixStart,Radial,2,9,36.7343
1,FixStart,Radial,2,10,38.9926
1,FixStart,Radial,2,11,41.7248
1,FixStart,Radial,2,12,43.1789
1,FixStart,Radial,2,13,43.3219
1,FixStart,Radial,2,14,39.1857
1,FixStart,Radial,2,15,38.3083
1,FixStart,Radial,2,16,40.58
1,FixStart,Radial,2,17,41.8119
1,FixStart,Radial,2,18,45.727
1,FixStart,Radial,2,19,44.6516
1,FixStart,Radial,2,20,45.5201
1,FixStart,Radial,2,21,45.3641
1,FixStart,Radial,2,22,41.9201
1,FixStart,Radial,2,23,46.4446
1,FixStart,Radial,2,24,45.7916
1,FixStart,Radial,2,25,44.134
1,FixStart,Radial,2,26,43.6155
1,FixStart,Radial,2,27,39.7083
1,FixStart,Radial,2,28,41.5261
1,FixStart,Radial,2,29,43.1527
1,FixStart,Radial,2,30,41.5077
1,FixStart,Radial,2,31,41.2347
1,FixStart,Radial,2,32,39.5345
1,FixStart,Radial,2,33,37.6664
1,FixStart,Radial,2,34,39.3005
1,FixStart,Radial,2,35,40.5025
1,FixStart,Radial,2,36,41.8408
1,FixStart,Radial,2,37,41.846
1,FixStart,Radial,2,38,42.3313
1,FixStart,Radial,2,39,43.5353
1,FixStart,Radial,2,40,42.8185
1,FixStart,Radial,2,41,41.1302
1,FixStart,Radial,2,42,39.5344
1,FixStart,Radial,2,43,37.6105
1,FixStart,Radial,2,44,38.9975
1,FixStart,Radial,2,45,38.5329
1,FixStart,Radial,2,46,35.3461
1,FixStart,Radial,2,47,31.1977
1,FixStart,Radial,2,48,25.7149
1,FixStart,Radial,2,49,18.7853
1,FixStart,Radial,2,50,7.87873
1,FixStart,Radial,3,1,30.9595
1,FixStart,Radial,3,2,35.074
1,FixStart,Radial,3,3,35.6721
1,FixStart,Radial,3,4,35.0328
1,FixStart,Radial,3,5,33.8237
1,FixStart,Radial,3,6,38.1218
1,FixStart,Radial,3,7,40.8974
1,FixStart,Radial,3,8,43.7333
1,FixStart,Radial,3,9,46.7285
1,FixStart,Radial,3,10,48.347
1,FixStart,Radial,3,11,46.8097
1,FixStart,Radial,3,12,45.0304
1,FixStart,Radial,3,13,44.7478
1,FixStart,Radial,3,14,44.4808
1,FixStart,Radial,3,15,44.0906
1,FixStart,Radial,3,16,46.6092
1,FixStart,Radial,3,17,46.5801
1,FixStart,Radial,3,18,44.2733
1,FixStart,Radial,3,19,44.1789
1,FixStart,Radial,3,20,46.3635
1,FixStart,Radial,3,21,49.0256
1,FixStart,Radial,3,22,48.9926
1,FixStart,Radial,3,23,48.5271
1,FixStart,Radial,3,24,47.8681
1,FixStart,Radial,3,25,46.1579
1,FixStart,Radial,3,26,46.0799
1,FixStart,Radial,3,27,42.7444
1,FixStart,Radial,3,28,43.0427
1,FixStart,Radial,3,29,41.7192
1,FixStart,Radial,3,30,39.6036
1,FixStart,Radial,3,31,39.584
1,FixStart,Radial,3,32,43.5649
1,FixStart,Radial,3,33,44.7356
1,FixStart,Radial,3,34,45.2598
1,FixStart,Radial,3,35,44.9249
1,FixStart,Radial,3,36,42.2595
1,FixStart,Radial,3,37,42.5688
1,FixStart,Radial,3,38,41.7237
1,FixStart,Radial,3,39,41.2937
1,FixStart,Radial,3,40,41.0974
1,FixStart,Radial,3,41,39.638
1,FixStart,Radial,3,42,35.4503
1,FixStart,Radial,3,43,34.4075
1,FixStart,Radial,3,44,33.0586
1,FixStart,Radial,3,45,32.0852
1,FixStart,Radial,3,46,32.9211
1,FixStart,Radial,3,47,30.45
1,FixStart,Radial,3,48,24.9826
1,FixStart,Radial,3,49,18.8899
1,FixStart,Radial,3,50,7.68274
1,FixStart,Radial,4,1,32.6666
1,FixStart,Radial,4,2,35.7387
1,FixStart,Radial,4,3,37.2883
1,FixStart,Radial,4,4,36.4386
1,FixStart,Radial,4,5,39.0987
1,FixStart,Radial,4,6,40.9411
1,FixStart,Radial,4,7,40.9935
1,FixStart,Radial,4,8,40.4092
1,FixStart,Radial,4,9,38.7842
1,FixStart,Radial,4,10,40.1527
1,FixStart,Radial,4,11,40.3135
1,FixStart,Radial,4,12,42.0554
1,FixStart,Radial,4,13,40.951
1,FixStart,Radial,4,14,40.9236
1,FixStart,Radial,4,15,40.6073
1,FixStart,Radial,4,16,40.6249
1,FixStart,Radial,4,17,40.1012
1,FixStart,Radial,4,18,42.8699
1,FixStart,Radial,4,19,42.2655
1,FixStart,Radial,4,20,43.5058
1,FixStart,Radial,4,21,46.5739
1,FixStart,Radial,4,22,43.9619
1,FixStart,Radial,4,23,39.8624
1,FixStart,Radial,4,24,43.5388
1,FixStart,Radial,4,25,45.331
1,FixStart,Radial,4,26,43.3125
1,FixStart,Radial,4,27,41.7024
1,FixStart,Radial,4,28,40.4258
1,FixStart,Radial,4,29,41.6726
1,FixStart,Radial,4,30,40.0385
1,FixStart,Radial,4,31,41.4613
1,FixStart,Radial,4,32,42.885
1,FixStart,Radial,4,33,44.121
1,FixStart,Radial,4,34,41.9014
1,FixStart,Radial,4,35,42.4004
1,FixStart,Radial,4,36,43.0971
1,FixStart,Radial,4,37,41.7322
1,FixStart,Radial,4,38,42.6973
1,FixStart,Radial,4,39,43.5323
1,FixStart,Radial,4,40,43.966
1,FixStart,Radial,4,41,44.0737
1,FixStart,Radial,4,42,42.366
1,FixStart,Radial,4,43,36.6795
1,FixStart,Radial,4,44,34.1475
1,FixStart,Radial,4,45,34.0503
1,FixStart,Radial,4,46,33.9168
1,FixStart,Radial,4,47,31.7538
1,FixStart,Radial,4,48,25.6309
1,FixStart,Radial,4,49,17.1605
1,FixStart,Radial,4,50,6.58544
1,Basic,Radial,1,1,22.1857
1,Basic,Radial,1,2,32.1772
1,Basic,Radial,1,3,38.6682
1,Basic,Radial,1,4,43.1511
1,Basic,Radial,1,5,44.2358
1,Basic,Radial,1,6,44.9694
1,Basic,Radial,1,7,42.9673
1,Basic,Radial,1,8,42.5738
1,Basic,Radial,1,9,41.539
1,Basic,Radial,1,10,38.9498
1,Basic,Radial,1,11,37.9711
1,Basic,Radial,1,12,38.7363
1,Basic,Radial,1,13,38.9357
1,Basic,Radial,1,14,38.2657
1,Basic,Radial,1,15,39.1476
1,Basic,Radial,1,16,39.0207
1,Basic,Radial,1,17,37.8231
1,Basic,Radial,1,18,37.9564
