user_id,Basic_precision,FixStart_precision
1,0.723615,0.607945
2,0.656818,0.547918
3,0.946977,0.72547
4,0.771948,0.631932
5,0.759485,0.596672
6,0.924932,0.747387
7,1.1353,0.874517
8,0.731363,0.690258
9,1.00069,0.730942
10,0.868556,0.550706
11,0.998854,0.740619
12,1.00918,0.743715
13,0.688859,0.63933
14,0.780904,0.551417
15,1.05962,0.994104
16,0.783797,0.720241
17,0.570148,0.55136
18,0.98708,0.733426
19,0.984413,0.650806
20,1.10101,0.838482
21,0.734297,0.654431
22,0.759925,0.605171
23,0.851611,0.686061
24,0.718197,0.635515
,,
Mean,0.856149125,0.685351042
SD,0.150530746,0.107026066
