id,scale,size,type,key,x,y
1,1x1,1.25,start,t,-0.0451389,0.0911459,
1,1x1,1.25,end,e,-0.217014,0.0989939,
1,1x1,1.25,start,q,-0.414931,0.0625,
1,1x1,1.25,end,k,0.252667,0.061198,
1,1x1,1.25,start,b,0.104167,-0.0885416,
1,1x1,1.25,end,n,0.203125,-0.0703125,
1,1x1,1.25,start,f,0.0677083,0.0221354,
1,1x1,1.25,end,x,-0.279514,-0.0989583,
1,1x1,1.25,start,j,0.182292,-0.0104167,
1,1x1,1.25,end,s,-0.340278,0.00260421,
1,1x1,1.25,start,o,0.362847,0.0598958,
1,1x1,1.25,end,r,-0.0868056,0.0846355,
1,1x1,1.25,start,t,0.0399306,0.0924479,
1,1x1,1.25,end,e,-0.227431,0.0805237,
1,1x1,1.25,start,l,0.293403,-0.0208333,
1,1x1,1.25,end,y,0.130183,0.0979771,
1,1x1,1.25,start,d,-0.140625,0.015625,
1,1x1,1.25,end,g,-0.0538195,0.0227865,
1,1x1,1.25,start,y,0.0138889,0.104167,
1,1x1,1.25,end,u,0.171875,0.118897,
1,1x1,1.25,start,m,0.255208,-0.03125,
1,1x1,1.25,end,t,-0.0347222,0.109375,
1,1x1,1.25,start,b,0.046875,-0.10026,
1,1x1,1.25,end,e,-0.255208,0.116918,
1,1x1,1.25,start,g,0.0173611,0.0299479,
1,1x1,1.25,end,g,-0.0277778,0.0397425,
1,1x1,1.25,start,o,0.262153,0.13151,
1,1x1,1.25,end,d,-0.203125,0.0351563,
1,1x1,1.25,start,t,-0.0329861,0.111979,
1,1x1,1.25,end,e,-0.293403,0.0859375,
1,1x1,1.25,start,f,-0.123264,-0.0195313,
1,1x1,1.25,end,e,-0.293403,0.119792,
1,1x1,1.25,start,b,-0.0121528,-0.0768229,
1,1x1,1.25,end,g,-0.0364583,0.0178525,
1,1x1,1.25,start,w,-0.260417,0.106771,
1,1x1,1.25,end,s,-0.338542,0.0195313,
1,1x1,1.25,start,j,0.164931,-0.0455729,
1,1x1,1.25,end,p,0.427083,0.0768229,
1,1x1,1.25,start,q,-0.435764,0.0507813,
1,1x1,1.25,end,y,-0.0338502,0.136071,
1,1x1,1.25,start,w,-0.348958,0.10026,
1,1x1,1.25,end,e,-0.103299,0.108724,
1,1x1,1.25,start,r,-0.0885417,0.0898438,
1,1x1,1.25,end,n,0.137153,-0.101562,
1,1x1,1.25,start,t,0.0642361,0.0429688,
1,1x1,1.25,end,e,-0.243056,0.0902277,
1,1x1,1.25,start,r,-0.114583,0.0377604,
1,1x1,1.25,end,k,0.307912,-0.0273438,
1,1x1,1.25,start,o,0.39757,0.101563,
1,1x1,1.25,end,f,-0.144097,0.0104167,
1,1x1,1.25,start,f,-0.0572916,0.0221354,
1,1x1,1.25,end,e,-0.241319,0.0729167,
1,1x1,1.25,start,t,-0.0798611,0.141927,
1,1x1,1.25,end,e,-0.237847,0.104167,
1,1x1,1.25,start,f,-0.140625,-0.00781246,
1,1x1,1.25,end,e,-0.227431,0.0976563,
1,1x1,1.25,start,i,0.206597,0.0481771,
1,1x1,1.25,end,s,-0.324653,-0.0227865,
1,1x1,1.25,start,w,-0.336806,0.0520834,
1,1x1,1.25,end,h,0.102761,0.00651042,
1,1x1,1.25,start,y,0.0850695,0.136719,
1,1x1,1.25,end,u,0.185764,0.0950521,
1,1x1,1.25,start,l,0.378472,-0.00781246,
1,1x1,1.25,end,e,-0.260417,0.081389,
1,1x1,1.25,start,m,0.166667,-0.0377604,
1,1x1,1.25,end,s,-0.335069,0.0117188,
1,1x1,1.25,start,m,0.223958,-0.0390625,
1,1x1,1.25,end,y,-0.0104167,0.102932,
1,1x1,1.25,start,t,-0.123264,0.102865,
1,1x1,1.25,end,s,-0.338542,-0.00195317,
1,1x1,1.25,start,t,-0.128472,0.132813,
1,1x1,1.25,end,e,-0.253472,0.104167,
1,1x1,1.25,start,t,-0.0746528,0.16276,
1,1x1,1.25,end,o,0.411458,0.126302,
1,1x1,1.25,start,g,-0.0364583,0.0703125,
1,1x1,1.25,end,o,0.376229,0.134115,
1,1x1,1.25,start,s,-0.197917,0.0677084,
1,1x1,1.25,end,g,-0.0173611,-0.0247396,
1,1x1,1.25,start,p,0.388889,0.136719,
1,1x1,1.25,end,e,-0.204861,0.105469,
1,1x1,1.25,start,p,0.361111,0.0976563,
1,1x1,1.25,end,e,-0.258681,0.121745,
1,1x1,1.25,start,y,-0.0225695,0.0690104,
1,1x1,1.25,end,r,-0.151042,0.0989583,
1,1x1,1.25,start,d,-0.147569,0.0442709,
1,1x1,1.25,end,e,-0.269097,0.119792,
1,1x1,1.25,start,o,0.230903,0.0859375,
1,1x1,1.25,end,f,-0.121528,0.0175761,
1,1x1,1.25,start,b,0.0208333,-0.0611979,
1,1x1,1.25,end,h,0.142678,0.0130208,
1,1x1,1.25,start,m,0.253472,-0.106771,
1,1x1,1.25,end,y,-0.0277778,0.104167,
1,1x1,1.25,start,f,-0.0885417,0.00390625,
1,1x1,1.25,end,e,-0.25,0.077474,
1,1x1,1.25,start,p,0.420139,0.0625,
1,1x1,1.25,end,e,-0.192708,0.11849,
1,1x1,1.25,start,t,0.0364583,0.0976563,
1,1x1,1.25,end,o,0.376736,0.111979,
1,1x1,1.25,start,v,-0.0017361,-0.0664062,
1,1x1,1.25,end,t,-0.112847,0.0846355,
1,1x1,1.25,start,t,-0.046875,0.13151,
1,1x1,1.25,end,e,-0.307292,0.13151,
1,1x1,1.25,start,w,-0.335069,0.0872396,
1,1x1,1.25,end,d,-0.232639,0.0338542,
1,1x1,1.25,start,i,0.199653,0.130208,
1,1x1,1.25,end,s,-0.380208,0.0299189,
1,1x1,1.25,start,a,-0.368056,0.0260417,
1,1x1,1.25,end,a,-0.368056,0.0260417,
1,1x1,1.25,start,s,-0.223958,-0.00390621,
1,1x1,1.25,end,e,-0.227431,0.0813802,
1,1x1,1,start,b,-0.0162037,-0.135417,
1,1x1,1,end,g,0.00231485,0.00577651,
1,1x1,1,start,i,0.263889,0.0989584,
