id,scale,size,algorithm,sampleNum,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
1,1x1,0.5,standard,32,0.5,0.571429,0.625,0.678571,0.714286,0.767857,0.803571,0.803571,0.821429,0.821429
1,1x1,0.5,DTW,32,0.553571,0.714286,0.839286,0.892857,0.892857,0.910714,0.928571,0.928571,0.928571,0.928571
1,1x1,0.75,standard,32,0.509091,0.618182,0.727273,0.781818,0.8,0.8,0.818182,0.818182,0.818182,0.818182
1,1x1,0.75,DTW,32,0.654545,0.763636,0.818182,0.872727,0.927273,0.927273,0.945455,0.945455,0.945455,0.963636
1,1x1,1,standard,32,0.563636,0.709091,0.763636,0.818182,0.818182,0.836364,0.890909,0.909091,0.909091,0.909091
1,1x1,1,DTW,32,0.581818,0.727273,0.818182,0.854545,0.854545,0.854545,0.854545,0.890909,0.890909,0.927273
1,1x3,0.5,standard,32,0.5,0.642857,0.696429,0.767857,0.803571,0.821429,0.857143,0.892857,0.892857,0.892857
1,1x3,0.5,DTW,32,0.482143,0.696429,0.785714,0.803571,0.821429,0.857143,0.875,0.892857,0.910714,0.928571
1,1x3,0.75,standard,32,0.709091,0.872727,0.872727,0.890909,0.909091,0.927273,0.927273,0.927273,0.927273,0.927273
1,1x3,0.75,DTW,32,0.727273,0.872727,0.927273,0.981818,0.981818,0.981818,1,1,1,1
1,1x3,1,standard,32,0.527273,0.672727,0.763636,0.854545,0.890909,0.890909,0.909091,0.927273,0.927273,0.927273
1,1x3,1,DTW,32,0.636364,0.763636,0.836364,0.854545,0.872727,0.890909,0.909091,0.909091,0.909091,0.909091
