id,scale,size,algorithm,sampleNum,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
4,1x1,0.5,standard,32,0.421053,0.526316,0.561404,0.614035,0.614035,0.631579,0.649123,0.701754,0.701754,0.701754
4,1x1,0.5,DTW,32,0.403509,0.45614,0.526316,0.666667,0.684211,0.684211,0.701754,0.736842,0.754386,0.754386
4,1x1,0.75,standard,32,0.561404,0.631579,0.684211,0.719298,0.789474,0.789474,0.824561,0.842105,0.859649,0.877193
4,1x1,0.75,DTW,32,0.596491,0.684211,0.719298,0.77193,0.807018,0.842105,0.842105,0.859649,0.859649,0.859649
4,1x1,1,standard,32,0.519231,0.730769,0.807692,0.807692,0.807692,0.826923,0.826923,0.826923,0.846154,0.865385
4,1x1,1,DTW,32,0.615385,0.730769,0.865385,0.884615,0.884615,0.884615,0.884615,0.884615,0.884615,0.903846
4,1x3,0.5,standard,32,0.45614,0.596491,0.701754,0.719298,0.736842,0.789474,0.807018,0.824561,0.859649,0.859649
4,1x3,0.5,DTW,32,0.578947,0.684211,0.77193,0.824561,0.842105,0.859649,0.859649,0.877193,0.877193,0.894737
4,1x3,0.75,standard,32,0.545455,0.727273,0.8,0.836364,0.854545,0.890909,0.890909,0.890909,0.890909,0.890909
4,1x3,0.75,DTW,32,0.636364,0.8,0.818182,0.854545,0.872727,0.872727,0.872727,0.872727,0.872727,0.890909
4,1x3,1,standard,32,0.537037,0.666667,0.759259,0.851852,0.851852,0.888889,0.907407,0.925926,0.925926,0.925926
4,1x3,1,DTW,32,0.62963,0.759259,0.814815,0.851852,0.87037,0.87037,0.907407,0.925926,0.944444,0.944444
