id,scale,size,sentence,WPM,words
1,1x3,1,he is just like everyone else,41.4039,6
1,1x3,1,a problem with the engine,42.0168,5
1,1x3,1,the five boxing wizards jump quickly,39.6585,6
1,1x3,1,the power of denial,40.3683,4
1,1x3,0.75,my watch fell in the water,40,6
1,1x3,0.75,all work and no play,34.5821,5
1,1x3,0.75,the quick brown fox jumps over the lazy dog,38.4501,9
1,1x3,0.75,an offer you cannot refuse,45.152,5
1,1x3,0.75,never too rich and never too thin,41.3793,7
1,1x3,0.75,the five boxing wizards jump quickly,41.7391,6
1,1x3,0.75,question that must be answered,47.8723,5
1,1x3,0.75,the facts get in the way,39.7241,6
1,1x3,0.75,the world is a stage,41.0256,5
1,1x3,0.75,my favorite place to visit,38.4236,5
2,1x3,1.25,the power of denial,26.1639,4
2,1x3,1.25,breathing is difficult,26.0014,3
2,1x3,1.25,the five boxing wizards jump quickly,26.81,6
2,1x3,1.25,one heck of a question,26.5676,5
2,1x3,1.25,the quick brown fox jumps over the lazy dog,27.7312,9
2,1x3,1.25,if at first you do not succeed,29.5758,7
2,1x3,1.25,love means many things,24.8106,4
2,1x3,1.25,are you talking to me,24.7161,5
2,1x3,1.25,never too rich and never too thin,26.5314,7
2,1x3,1.25,the facts get in the way,29.0648,6
2,1x3,1,time to go shopping,29.2008,4
2,1x3,1,watch out for low flying objects,27.7096,6
2,1x3,1,the five boxing wizards jump quickly,26.1628,6
2,1x3,1,my watch fell in the water,29.9971,6
2,1x3,1,please provide your date of birth,29.1434,6
2,1x3,1,a problem with the engine,33.0106,5
2,1x3,1,the quick brown fox jumps over the lazy dog,29.4353,9
2,1x3,1,the world is a stage,28.7977,5
2,1x3,1,question that must be answered,35.9138,5
2,1x3,1,all work and no play,28.7666,5
2,1x3,0.75,the five boxing wizards jump quickly,32.1046,6
2,1x3,0.75,we run the risk of failure,31.6366,6
2,1x3,0.75,an offer you cannot refuse,32.8594,5
2,1x3,0.75,you must be getting old,27.8901,5
2,1x3,0.75,my favorite place to visit,27.218,5
2,1x3,0.75,do not say anything,30.7402,4
2,1x3,0.75,the quick brown fox jumps over the lazy dog,27.2742,9
2,1x3,0.75,he is just like everyone else,30.3268,6
2,1x3,0.75,the force is with you,28.3465,5
2,1x3,0.75,yes you are very smart,30.8051,5
2,1x1,1.25,the power of denial,27.3535,4
2,1x1,1.25,breathing is difficult,39.0868,3
2,1x1,1.25,the five boxing wizards jump quickly,36.1044,6
2,1x1,1.25,one heck of a question,30.6346,5
2,1x1,1.25,the quick brown fox jumps over the lazy dog,29.5721,9
2,1x1,1.25,if at first you do not succeed,29.6369,7
2,1x1,1.25,love means many things,29.7535,4
2,1x1,1.25,are you talking to me,31.3456,5
2,1x1,1.25,never too rich and never too thin,33.369,7
2,1x1,1.25,the facts get in the way,37.9262,6
2,1x1,1,time to go shopping,31.8196,4
2,1x1,1,watch out for low flying objects,29.5879,6
2,1x1,1,the five boxing wizards jump quickly,27.1751,6
2,1x1,1,my watch fell in the water,39.0244,6
2,1x1,1,please provide your date of birth,31.5971,6
2,1x1,1,a problem with the engine,31.0177,5
2,1x1,1,the quick brown fox jumps over the lazy dog,32.8084,9
2,1x1,1,the world is a stage,30.8527,5
2,1x1,1,question that must be answered,37.5869,5
2,1x1,1,all work and no play,25.949,5
2,1x1,0.75,the five boxing wizards jump quickly,23.5589,6
2,1x1,0.75,we run the risk of failure,21.0421,6
2,1x1,0.75,an offer you cannot refuse,26.0434,5
2,1x1,0.75,you must be getting old,26.4502,5
2,1x1,0.75,my favorite place to visit,21.9292,5
2,1x1,0.75,do not say anything,24.152,4
2,1x1,0.75,the quick brown fox jumps over the lazy dog,26.4811,9
2,1x1,0.75,he is just like everyone else,23.6071,6
2,1x1,0.75,the force is with you,29.0708,5
2,1x1,0.75,yes you are very smart,28.474,5
3,1x1,1,the five boxing wizards jump quickly,32.3989,6
3,1x1,1,you must be getting old,32.3826,5
3,1x1,1,my favorite place to visit,32.0043,5
3,1x1,1,the power of denial,33.0277,4
3,1x1,1,question that must be answered,32.1722,5
3,1x1,1,the quick brown fox jumps over the lazy dog,27.0571,9
3,1x1,1,my watch fell in the water,25.2826,6
3,1x1,1,watch out for low flying objects,29.4931,6
3,1x1,1,time to go shopping,33.3022,4
3,1x1,1,an offer you cannot refuse,30.1121,5
3,1x1,0.75,he is just like everyone else,30.7298,6
3,1x1,0.75,the world is a stage,29.2808,5
3,1x1,0.75,a problem with the engine,29.0793,5
3,1x1,0.75,the five boxing wizards jump quickly,33.6119,6
3,1x1,0.75,question that must be answered,34.9176,5
3,1x1,0.75,the power of denial,32.0765,4
3,1x1,0.75,watch out for low flying objects,28.8874,6
3,1x1,0.75,my watch fell in the water,27.3756,6
3,1x1,0.75,the quick brown fox jumps over the lazy dog,26.3131,9
3,1x1,0.75,the facts get in the way,28.5431,6
3,1x1,1.25,yes you are very smart,36.6013,5
3,1x1,1.25,you must be getting old,41.6976,5
3,1x1,1.25,the five boxing wizards jump quickly,36.9569,6
3,1x1,1.25,if at first you do not succeed,35.4062,7
3,1x1,1.25,time to go shopping,33.1338,4
3,1x1,1.25,do not say anything,34.9126,4
3,1x1,1.25,the force is with you,34.5404,5
3,1x1,1.25,the quick brown fox jumps over the lazy dog,34.4834,9
3,1x1,1.25,please provide your date of birth,32.6895,6
3,1x1,1.25,an offer you cannot refuse,35.3081,5
3,1x3,1,we run the risk of failure,36.4239,6
3,1x3,1,breathing is difficult,44.9936,3
3,1x3,1,love means many things,36.9536,4
3,1x3,1,all work and no play,35.5951,5
3,1x3,1,are you talking to me,33.2748,5
