id,scale,size,word,algorithm,distance
1,1x1,1.25,of,DTW,0.135593
1,1x1,1.25,birth,SHARK2,0.665185
1,1x1,1.25,birth,DTW,0.31301
1,1x1,1.25,my,SHARK2,0.414148
1,1x1,1.25,my,DTW,0.378693
1,1x1,1.25,favorite,SHARK2,0.624115
1,1x1,1.25,favorite,DTW,0.472759
1,1x1,1.25,place,SHARK2,0.763937
1,1x1,1.25,place,DTW,0.48807
1,1x1,1.25,to,SHARK2,0.577627
1,1x1,1.25,to,DTW,0.112429
1,1x1,1.25,visit,SHARK2,0.518924
1,1x1,1.25,visit,DTW,0.188685
1,1x1,1.25,the,SHARK2,0.386899
1,1x1,1.25,the,DTW,0.321182
1,1x1,1.25,world,SHARK2,0.72241
1,1x1,1.25,world,DTW,0.403094
1,1x1,1.25,is,SHARK2,0.772919
1,1x1,1.25,is,DTW,0.408281
1,1x1,1.25,stage,SHARK2,0.649627
1,1x1,1.25,stage,DTW,0.48374
1,1x1,1,breathing,SHARK2,0.505917
1,1x1,1,breathing,DTW,0.438439
1,1x1,1,is,SHARK2,0.221293
1,1x1,1,is,DTW,0.182677
1,1x1,1,difficult,SHARK2,0.586037
1,1x1,1,difficult,DTW,0.502331
1,1x1,1,the,SHARK2,0.509732
1,1x1,1,the,DTW,0.191745
1,1x1,1,five,SHARK2,0.331307
1,1x1,1,five,DTW,0.26339
1,1x1,1,boxing,SHARK2,0.501631
1,1x1,1,boxing,DTW,0.37202
1,1x1,1,wizards,SHARK2,0.799492
1,1x1,1,wizards,DTW,0.421671
1,1x1,1,jump,SHARK2,0.540284
1,1x1,1,jump,DTW,0.288528
1,1x1,1,quickly,SHARK2,0.665276
1,1x1,1,quickly,DTW,0.307393
1,1x1,1,one,SHARK2,0.449118
1,1x1,1,one,DTW,0.431951
1,1x1,1,heck,SHARK2,0.514275
1,1x1,1,heck,DTW,0.36041
1,1x1,1,of,SHARK2,0.339536
1,1x1,1,of,DTW,0.200673
1,1x1,1,question,SHARK2,0.653379
1,1x1,1,question,DTW,0.489453
1,1x1,1,yes,SHARK2,0.230811
1,1x1,1,yes,DTW,0.183644
1,1x1,1,you,SHARK2,0.434714
1,1x1,1,you,DTW,0.2732
1,1x1,1,are,SHARK2,1.02875
1,1x1,1,are,DTW,0.633279
1,1x1,1,very,SHARK2,0.2355
1,1x1,1,very,DTW,0.176609
1,1x1,1,smart,SHARK2,0.909297
1,1x1,1,smart,DTW,0.337966
1,1x1,1,watch,SHARK2,0.362381
1,1x1,1,watch,DTW,0.23727
1,1x1,1,out,SHARK2,0.345996
1,1x1,1,out,DTW,0.210553
1,1x1,1,for,SHARK2,0.847304
1,1x1,1,for,DTW,0.427272
1,1x1,1,low,SHARK2,0.47783
1,1x1,1,low,DTW,0.296303
1,1x1,1,flying,SHARK2,0.648726
1,1x1,1,flying,DTW,0.300762
1,1x1,1,objects,SHARK2,1.11658
1,1x1,1,objects,DTW,0.564778
1,1x1,1,the,SHARK2,0.428134
1,1x1,1,the,DTW,0.158159
1,1x1,1,quick,SHARK2,0.376102
1,1x1,1,quick,DTW,0.307453
1,1x1,1,brown,SHARK2,0.369897
1,1x1,1,brown,DTW,0.257022
1,1x1,1,fox,SHARK2,0.302029
1,1x1,1,fox,DTW,0.186974
1,1x1,1,jumps,SHARK2,0.944372
1,1x1,1,jumps,DTW,0.536174
1,1x1,1,over,SHARK2,0.951326
1,1x1,1,over,DTW,0.278442
1,1x1,1,the,SHARK2,0.414646
1,1x1,1,the,DTW,0.359446
1,1x1,1,lazy,SHARK2,0.679735
