id,scale,size,algorithm,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
1,1x1,0.5,SHARK2,0.79661,0.932203,0.949153,1,1,1,1,1,1,1
1,1x1,0.5,DTW,0.864407,0.949153,0.983051,0.983051,0.983051,1,1,1,1,1
1,1x1,0.5,DTW*freq,0.847458,0.932203,1,1,1,1,1,1,1,1
1,1x1,0.75,SHARK2,0.679245,0.754717,0.773585,0.849057,0.90566,0.924528,0.924528,0.924528,0.924528,0.924528
1,1x1,0.75,DTW,0.811321,0.867925,0.886792,0.90566,0.943396,0.962264,0.981132,0.981132,0.981132,0.981132
1,1x1,0.75,DTW*freq,0.792453,0.943396,0.962264,0.981132,0.981132,0.981132,0.981132,0.981132,0.981132,0.981132
1,1x1,1,SHARK2,0.518519,0.759259,0.814815,0.851852,0.907407,0.944444,0.944444,0.962963,0.962963,0.962963
1,1x1,1,DTW,0.703704,0.87037,0.888889,0.944444,0.944444,0.962963,0.962963,0.962963,0.962963,0.981481
1,1x1,1,DTW*freq,0.740741,0.851852,0.944444,0.944444,0.944444,0.962963,0.962963,0.962963,0.962963,0.981481
1,1x3,0.5,SHARK2,0.793103,0.913793,0.948276,0.965517,0.965517,0.965517,0.965517,0.965517,0.982759,0.982759
1,1x3,0.5,DTW,0.793103,0.87931,0.913793,0.948276,0.982759,0.982759,0.982759,0.982759,0.982759,0.982759
1,1x3,0.5,DTW*freq,0.827586,0.87931,0.948276,0.948276,0.965517,0.965517,0.982759,0.982759,0.982759,0.982759
1,1x3,0.75,SHARK2,0.827586,0.862069,0.896552,0.982759,1,1,1,1,1,1
1,1x3,0.75,DTW,0.827586,0.862069,0.87931,0.913793,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517
1,1x3,0.75,DTW*freq,0.844828,0.896552,0.913793,0.931034,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517
1,1x3,1,SHARK2,0.8,0.88,0.9,0.9,0.92,0.92,0.92,0.92,0.94,0.96
1,1x3,1,DTW,0.82,0.82,0.88,0.9,0.92,0.92,0.92,0.94,0.94,0.96
1,1x3,1,DTW*freq,0.82,0.84,0.9,0.9,0.92,0.92,0.94,0.96,0.96,0.96
2,1x1,0.5,SHARK2,0.696429,0.767857,0.839286,0.892857,0.892857,0.946429,0.946429,0.946429,0.946429,0.946429
2,1x1,0.5,DTW,0.839286,0.964286,0.964286,0.964286,0.964286,1,1,1,1,1
2,1x1,0.5,DTW*freq,0.857143,0.982143,1,1,1,1,1,1,1,1
2,1x1,0.75,SHARK2,0.709091,0.781818,0.872727,0.872727,0.909091,0.909091,0.909091,0.909091,0.927273,0.927273
2,1x1,0.75,DTW,0.854545,0.945455,0.963636,0.963636,0.963636,0.981818,0.981818,0.981818,0.981818,0.981818
2,1x1,0.75,DTW*freq,0.854545,0.927273,0.963636,0.963636,0.981818,0.981818,0.981818,0.981818,0.981818,0.981818
2,1x1,1,SHARK2,0.745455,0.8,0.890909,0.927273,0.945455,0.945455,0.945455,0.945455,0.945455,0.963636
2,1x1,1,DTW,0.781818,0.890909,0.909091,0.927273,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636
2,1x1,1,DTW*freq,0.727273,0.909091,0.927273,0.927273,0.945455,0.963636,0.981818,0.981818,0.981818,0.981818
2,1x3,0.5,SHARK2,0.803571,0.928571,0.946429,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286
2,1x3,0.5,DTW,0.803571,0.892857,0.946429,0.946429,1,1,1,1,1,1
2,1x3,0.5,DTW*freq,0.821429,0.928571,0.946429,0.964286,1,1,1,1,1,1
2,1x3,0.75,SHARK2,0.909091,0.927273,0.963636,0.981818,0.981818,1,1,1,1,1
2,1x3,0.75,DTW,0.945455,0.963636,0.981818,0.981818,1,1,1,1,1,1
2,1x3,0.75,DTW*freq,0.909091,0.963636,0.981818,0.981818,1,1,1,1,1,1
2,1x3,1,SHARK2,0.781818,0.927273,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
2,1x3,1,DTW,0.727273,0.872727,0.927273,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
2,1x3,1,DTW*freq,0.745455,0.872727,0.927273,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
3,1x1,0.5,SHARK2,0.428571,0.5,0.553571,0.660714,0.678571,0.714286,0.732143,0.732143,0.767857,0.785714
3,1x1,0.5,DTW,0.553571,0.696429,0.714286,0.821429,0.875,0.875,0.892857,0.910714,0.946429,0.946429
3,1x1,0.5,DTW*freq,0.660714,0.75,0.785714,0.821429,0.875,0.910714,0.946429,0.964286,0.964286,0.964286
3,1x1,0.75,SHARK2,0.636364,0.727273,0.8,0.836364,0.854545,0.872727,0.890909,0.890909,0.890909,0.909091
3,1x1,0.75,DTW,0.818182,0.927273,0.945455,0.945455,0.945455,0.981818,0.981818,0.981818,0.981818,0.981818
3,1x1,0.75,DTW*freq,0.836364,0.909091,0.909091,0.927273,0.945455,0.981818,0.981818,0.981818,0.981818,0.981818
3,1x1,1,SHARK2,0.517857,0.625,0.714286,0.785714,0.803571,0.857143,0.875,0.892857,0.892857,0.910714
3,1x1,1,DTW,0.732143,0.803571,0.875,0.875,0.892857,0.892857,0.928571,0.928571,0.946429,0.964286
3,1x1,1,DTW*freq,0.696429,0.892857,0.910714,0.928571,0.928571,0.928571,0.928571,0.946429,0.946429,0.982143
3,1x3,0.5,SHARK2,0.535714,0.696429,0.714286,0.767857,0.785714,0.785714,0.857143,0.875,0.892857,0.928571
3,1x3,0.5,DTW,0.803571,0.857143,0.946429,0.946429,0.946429,0.946429,0.964286,0.964286,0.964286,0.964286
3,1x3,0.5,DTW*freq,0.803571,0.928571,0.946429,0.946429,0.946429,0.946429,0.964286,0.964286,0.964286,0.964286
3,1x3,0.75,SHARK2,0.648148,0.740741,0.814815,0.851852,0.87037,0.87037,0.87037,0.888889,0.888889,0.888889
3,1x3,0.75,DTW,0.740741,0.87037,0.907407,0.907407,0.907407,0.907407,0.925926,0.962963,0.962963,0.981481
3,1x3,0.75,DTW*freq,0.740741,0.888889,0.907407,0.907407,0.907407,0.925926,0.962963,0.962963,0.962963,0.981481
3,1x3,1,SHARK2,0.678571,0.821429,0.892857,0.946429,0.946429,0.946429,0.946429,0.964286,0.964286,0.964286
