id,scale,size,type,key,x,y
1,1x1,0.75,start,a,-0.448495,-0.0199653
1,1x1,0.75,end,a,-0.340278,-0.0260416
1,1x1,0.75,start,b,0.0358796,-0.12066
1,1x1,0.75,start,d,-0.171296,-0.0182291
1,1x1,0.75,end,d,-0.165799,0.0270183
1,1x1,0.75,start,e,-0.241898,0.110243
1,1x1,0.75,end,e,-0.245727,0.104292
1,1x1,0.75,start,f,-0.0815972,-0.0201823
1,1x1,0.75,end,f,-0.114583,-0.0145173
1,1x1,0.75,end,g,0.00868052,-0.0169271
1,1x1,0.75,start,h,0.131944,0.0234376
1,1x1,0.75,end,h,0.120845,-0.00242623
1,1x1,0.75,start,i,0.269676,0.140625
1,1x1,0.75,start,j,0.170139,-0.0199652
1,1x1,0.75,end,k,0.279464,-0.00520825
1,1x1,0.75,start,l,0.467014,4.05e-008
1,1x1,0.75,end,l,0.399735,0.0105777
1,1x1,0.75,start,m,0.314236,-0.14974
1,1x1,0.75,end,m,0.236111,-0.078125
1,1x1,0.75,start,n,0.0911458,-0.126953
1,1x1,0.75,end,n,0.159288,-0.123698
1,1x1,0.75,start,o,0.317708,0.113281
1,1x1,0.75,end,o,0.353299,0.0865886
1,1x1,0.75,start,p,0.491898,0.130208
1,1x1,0.75,end,p,0.475694,0.121094
1,1x1,0.75,start,q,-0.496528,0.0980903
1,1x1,0.75,start,r,-0.142361,0.0911459
1,1x1,0.75,end,r,-0.125936,0.0979432
1,1x1,0.75,start,s,-0.392361,-0.0208333
1,1x1,0.75,end,s,-0.31713,2.7e-008
1,1x1,0.75,start,t,-0.0513889,0.132292
1,1x1,0.75,end,t,-0.00578704,0.116319
1,1x1,0.75,end,u,0.128472,0.0989583
1,1x1,0.75,start,w,-0.330556,0.0750001
1,1x1,0.75,end,x,-0.220486,-0.0911458
1,1x1,0.75,start,y,0,0.0755208
1,1x1,0.75,end,y,0.0217014,0.114583
1,1x1,1.0,start,a,-0.386574,-0.0107639
1,1x1,1.0,end,a,-0.467593,-0.0416667
1,1x1,1.0,start,b,-0.00694444,-0.105324
1,1x1,1.0,start,c,-0.0810185,-0.109375
1,1x1,1.0,start,d,-0.271605,-0.0138889
1,1x1,1.0,end,e,-0.25175,0.118892
1,1x1,1.0,start,f,-0.132407,-0.00659721
1,1x1,1.0,end,f,-0.131944,0.0434028
1,1x1,1.0,start,g,0.011574,-0.0416667
1,1x1,1.0,end,g,0.00964506,0.0326158
1,1x1,1.0,start,h,0.0277778,0.00694444
1,1x1,1.0,end,h,0.116017,0.0157634
1,1x1,1.0,start,i,0.243056,0.0963542
1,1x1,1.0,start,j,0.143519,-0.0225694
1,1x1,1.0,end,k,0.295743,0.0183801
1,1x1,1.0,start,l,0.34838,-0.00694445
1,1x1,1.0,start,m,0.162037,-0.0572917
1,1x1,1.0,start,n,0.025463,-0.128472
1,1x1,1.0,end,n,0.170139,-0.0915798
1,1x1,1.0,start,o,0.354938,0.104456
1,1x1,1.0,end,o,0.351852,0.101128
1,1x1,1.0,end,p,0.382938,0.0935038
1,1x1,1.0,start,q,-0.422068,0.0983796
1,1x1,1.0,start,r,-0.0902778,0.100694
1,1x1,1.0,end,r,-0.144767,0.115436
1,1x1,1.0,start,s,-0.217593,-0.0190972
1,1x1,1.0,end,s,-0.309221,0.00148203
1,1x1,1.0,start,t,-0.0753968,0.12624
1,1x1,1.0,end,t,-0.0287423,0.104068
1,1x1,1.0,end,u,0.125,0.109954
1,1x1,1.0,start,v,-0.0416667,-0.116319
1,1x1,1.0,start,w,-0.296296,0.112269
1,1x1,1.0,end,w,-0.344907,0.125386
1,1x1,1.0,end,x,-0.26913,-0.078125
1,1x1,1.0,start,y,-0.0127315,0.0711806
1,1x1,1.0,end,y,0.0430003,0.109477
1,1x1,1.25,start,a,-0.368056,0.0260417
1,1x1,1.25,end,a,-0.368056,0.0260417
1,1x1,1.25,start,b,0.0399305,-0.0817057
1,1x1,1.25,start,d,-0.144097,0.0299479
1,1x1,1.25,end,d,-0.217882,0.0345052
1,1x1,1.25,end,e,-0.240177,0.100909
1,1x1,1.25,start,f,-0.0684028,0.00416667
1,1x1,1.25,end,f,-0.132812,0.0139964
1,1x1,1.25,start,g,-0.00954861,0.0501302
1,1x1,1.25,end,g,-0.0338542,0.0139105
1,1x1,1.25,end,h,0.122719,0.00976563
1,1x1,1.25,start,i,0.203125,0.0891927
1,1x1,1.25,start,j,0.173611,-0.0279948
1,1x1,1.25,end,k,0.280289,0.0169271
1,1x1,1.25,start,l,0.335938,-0.0143229
1,1x1,1.25,start,m,0.224826,-0.053711
1,1x1,1.25,end,n,0.170139,-0.0859375
1,1x1,1.25,start,o,0.313368,0.0947266
1,1x1,1.25,end,o,0.388141,0.124132
1,1x1,1.25,start,p,0.390046,0.0989583
1,1x1,1.25,end,p,0.427083,0.0768229
1,1x1,1.25,start,q,-0.425347,0.0566407
1,1x1,1.25,start,r,-0.101562,0.0638021
1,1x1,1.25,end,r,-0.118924,0.0917969
1,1x1,1.25,start,s,-0.210938,0.0319011
1,1x1,1.25,end,s,-0.342882,0.0065056
1,1x1,1.25,start,t,-0.0390625,0.110807
1,1x1,1.25,end,t,-0.0737847,0.0970053
1,1x1,1.25,end,u,0.178819,0.106974
1,1x1,1.25,start,v,-0.0017361,-0.0664062
1,1x1,1.25,start,w,-0.320313,0.0865886
1,1x1,1.25,end,x,-0.279514,-0.0989583
1,1x1,1.25,start,y,0.025463,0.103299
1,1x1,1.25,end,y,0.0145347,0.110287
1,1x3,0.75,start,a,-0.415509,0.0951287
1,1x3,0.75,end,a,-0.329861,0.0661766
1,1x3,0.75,start,b,0.099537,-0.266085
1,1x3,0.75,start,c,-0.0381944,-0.252298
1,1x3,0.75,start,d,-0.180556,-0.0248161
1,1x3,0.75,end,d,-0.181283,-0.0205941
1,1x3,0.75,end,e,-0.267762,0.297118
1,1x3,0.75,start,f,-0.0138889,0.00827212
1,1x3,0.75,start,g,0.0416666,0.0413603
1,1x3,0.75,end,g,-0.0295139,-0.0351562
1,1x3,0.75,end,h,0.148438,0.0299863
1,1x3,0.75,start,i,0.287037,0.343291
1,1x3,0.75,start,j,0.217014,-0.00413599
1,1x3,0.75,end,k,0.334202,0.0703124
1,1x3,0.75,start,l,0.46875,-0.0206801
1,1x3,0.75,end,l,0.460938,0.00206807
1,1x3,0.75,start,m,0.336806,-0.376379
1,1x3,0.75,start,n,0.261574,-0.51011
1,1x3,0.75,end,n,0.132455,-0.356256
1,1x3,0.75,start,o,0.345486,0.287454
1,1x3,0.75,end,o,0.399618,0.292624
1,1x3,0.75,start,p,0.467014,0.254366
1,1x3,0.75,end,p,0.375,0.322676
1,1x3,0.75,start,q,-0.510417,0.28125
1,1x3,0.75,start,r,-0.159722,0.310202
1,1x3,0.75,end,r,-0.132016,0.295875
1,1x3,0.75,start,s,-0.239583,-0.0124081
1,1x3,0.75,end,s,-0.27691,-0.0382209
1,1x3,0.75,start,t,-0.0309607,0.269531
1,1x3,0.75,end,t,-0.021477,0.319302
1,1x3,0.75,end,u,0.0610472,0.314338
1,1x3,0.75,start,v,-0.135417,-0.132353
1,1x3,0.75,start,w,-0.304977,0.305377
1,1x3,0.75,end,x,-0.274306,-0.359834
1,1x3,0.75,start,y,-0.0104167,0.256434
1,1x3,0.75,end,y,0.0506366,0.356482
1,1x3,1.0,start,a,-0.409722,-0.00367646
1,1x3,1.0,end,a,-0.439815,0.00275736
1,1x3,1.0,start,b,0.0640433,-0.222426
1,1x3,1.0,start,d,-0.175926,-0.00965072
1,1x3,1.0,end,d,-0.173611,0
1,1x3,1.0,start,e,-0.208333,0.373162
1,1x3,1.0,end,e,-0.245885,0.3019
1,1x3,1.0,start,f,-0.0821759,-0.037684
1,1x3,1.0,end,f,-0.115741,-0.023897
1,1x3,1.0,end,g,-0.0480324,0.0498902
1,1x3,1.0,start,h,0.00694444,-0.148897
1,1x3,1.0,end,h,0.113313,0.0220589
1,1x3,1.0,start,i,0.278549,0.183824
1,1x3,1.0,start,j,0.180555,-0.054228
