id,scale,size,algorithm,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12
1,1x1,0.75,SHARK2,0.616667,0.716667,0.783333,0.833333,0.85,0.866667,0.883333,0.916667,0.916667,0.95,0.966667,0.966667
1,1x1,0.75,DTW,0.766667,0.883333,0.9,0.9,0.916667,0.916667,0.95,0.95,0.95,0.95,0.966667,0.983333
1,1x1,0.75,SHARK2*freq,0.75,0.783333,0.85,0.866667,0.866667,0.916667,0.933333,0.933333,0.966667,0.966667,0.983333,0.983333
1,1x1,0.75,DTW*freq,0.75,0.833333,0.916667,0.95,0.95,0.966667,0.983333,0.983333,1,1,1,1
1,1x1,0.75,SHARK2(cut),0.6,0.716667,0.783333,0.816667,0.85,0.866667,0.883333,0.916667,0.933333,0.95,0.95,0.95
1,1x1,0.75,DTW(cut),0.733333,0.85,0.866667,0.883333,0.9,0.9,0.933333,0.933333,0.933333,0.933333,0.95,0.966667
1,1x1,1.0,SHARK2,0.555556,0.648148,0.685185,0.703704,0.703704,0.722222,0.759259,0.759259,0.759259,0.777778,0.833333,0.833333
1,1x1,1.0,DTW,0.685185,0.777778,0.777778,0.814815,0.833333,0.833333,0.833333,0.833333,0.833333,0.87037,0.87037,0.888889
1,1x1,1.0,SHARK2*freq,0.611111,0.722222,0.796296,0.833333,0.833333,0.833333,0.851852,0.851852,0.851852,0.87037,0.87037,0.87037
1,1x1,1.0,DTW*freq,0.722222,0.87037,0.907407,0.925926,0.944444,0.944444,0.944444,0.944444,0.944444,0.962963,0.962963,0.962963
1,1x1,1.0,SHARK2(cut),0.537037,0.62963,0.666667,0.685185,0.685185,0.703704,0.740741,0.740741,0.740741,0.759259,0.814815,0.814815
1,1x1,1.0,DTW(cut),0.666667,0.759259,0.759259,0.796296,0.814815,0.814815,0.814815,0.814815,0.814815,0.851852,0.851852,0.87037
1,1x1,1.25,SHARK2,0.363636,0.454545,0.563636,0.636364,0.654545,0.654545,0.672727,0.709091,0.745455,0.745455,0.781818,0.781818
1,1x1,1.25,DTW,0.454545,0.636364,0.727273,0.818182,0.854545,0.872727,0.890909,0.890909,0.909091,0.909091,0.909091,0.927273
1,1x1,1.25,SHARK2*freq,0.563636,0.618182,0.672727,0.709091,0.727273,0.763636,0.781818,0.818182,0.854545,0.872727,0.890909,0.909091
1,1x1,1.25,DTW*freq,0.709091,0.836364,0.872727,0.890909,0.927273,0.945455,0.945455,0.945455,0.945455,0.945455,0.945455,0.963636
1,1x1,1.25,SHARK2(cut),0.363636,0.454545,0.563636,0.636364,0.636364,0.636364,0.654545,0.709091,0.745455,0.745455,0.781818,0.781818
