id,scale,size,algorithm,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
3,1x3,0.5,DTW*freq,0.571429,0.696429,0.785714,0.839286,0.875,0.910714,0.910714,0.910714,0.910714,0.928571
3,1x3,0.75,SHARK2,0.388889,0.462963,0.537037,0.592593,0.592593,0.62963,0.685185,0.685185,0.740741,0.740741
3,1x3,0.75,DTW,0.5,0.685185,0.759259,0.796296,0.796296,0.833333,0.851852,0.87037,0.87037,0.87037
3,1x3,0.75,DTW*freq,0.648148,0.759259,0.87037,0.87037,0.87037,0.888889,0.888889,0.907407,0.907407,0.907407
3,1x3,1,SHARK2,0.339286,0.535714,0.625,0.696429,0.75,0.767857,0.767857,0.803571,0.803571,0.821429
3,1x3,1,DTW,0.553571,0.714286,0.857143,0.910714,0.928571,0.928571,0.928571,0.946429,0.964286,0.964286
3,1x3,1,DTW*freq,0.696429,0.857143,0.928571,0.946429,0.946429,0.946429,0.946429,0.946429,0.964286,0.964286
4,1x1,0.5,SHARK2,0.6,0.709091,0.763636,0.781818,0.854545,0.854545,0.872727,0.890909,0.890909,0.890909
4,1x1,0.5,DTW,0.690909,0.836364,0.854545,0.872727,0.890909,0.909091,0.909091,0.927273,0.927273,0.945455
4,1x1,0.5,DTW*freq,0.872727,0.927273,0.927273,0.927273,0.945455,0.945455,0.945455,0.945455,0.981818,0.981818
4,1x1,0.75,SHARK2,0.551724,0.689655,0.810345,0.827586,0.827586,0.827586,0.844828,0.844828,0.844828,0.844828
4,1x1,0.75,DTW,0.672414,0.810345,0.844828,0.87931,0.896552,0.896552,0.896552,0.913793,0.931034,0.931034
4,1x1,0.75,DTW*freq,0.741379,0.844828,0.862069,0.87931,0.913793,0.931034,0.948276,0.948276,0.948276,0.948276
4,1x1,1,SHARK2,0.509434,0.603774,0.679245,0.735849,0.773585,0.792453,0.792453,0.849057,0.867925,0.90566
4,1x1,1,DTW,0.735849,0.830189,0.849057,0.867925,0.867925,0.867925,0.867925,0.867925,0.90566,0.924528
4,1x1,1,DTW*freq,0.754717,0.90566,0.943396,0.943396,0.962264,0.962264,0.962264,0.981132,0.981132,0.981132
4,1x3,0.5,SHARK2,0.690909,0.818182,0.872727,0.927273,0.963636,0.981818,1,1,1,1
4,1x3,0.5,DTW,0.709091,0.781818,0.854545,0.909091,0.945455,0.945455,0.945455,0.981818,0.981818,0.981818
