ID,Age,Gender,Dominant,Thumb(mm),Index(mm),Phone,Usage,X,Y,Height,Width,Height(mm),Width(mm),Dist2Right(mm)
2,21,Male,Right,65,73,720P,Index,0.516639,0.76875,0.370312,0.822078,35.2512,44.019,25.882
2,21,Male,Right,65,73,1440P,Index,0.536146,0.785139,0.315566,0.743805,35.6287,47.2376,29.4584
2,21,Male,Right,65,73,720P,Index,0.590381,0.826172,0.327344,0.588222,31.1608,31.4969,21.9335
2,21,Male,Right,65,73,1440P,Index,0.423581,0.814715,0.259086,0.734658,29.2518,46.6566,36.6072
2,21,Male,Right,65,73,720P,Index,0.422176,0.791328,0.277969,0.807053,26.4607,43.2145,30.9402
2,21,Male,Right,65,73,1440P,Index,0.42072,0.799809,0.333422,0.75688,37.6447,48.068,36.7889
3,21,Male,Right,63,68,720P,Thumb,0.545085,0.775734,0.261189,0.603951,24.8634,32.3392,24.3589
3,21,Male,Right,63,68,1440P,Thumb,0.46862,0.749281,0.290492,0.701997,32.7977,44.5824,33.7469
3,21,Male,Right,63,68,720P,Thumb,0.564685,0.814564,0.239622,0.476592,22.8103,25.5196,23.3094
3,21,Male,Right,63,68,1440P,Thumb,0.482654,0.71858,0.329223,0.673317,37.1706,42.761,32.8556
3,21,Male,Right,63,68,720P,Thumb,0.59468,0.814617,0.266078,0.475471,25.3288,25.4596,21.7033
3,21,Male,Right,63,68,1440P,Thumb,0.516298,0.74332,0.35407,0.68839,39.976,43.7182,30.7189
3,21,Male,Right,63,68,720P,Thumb,0.56201,0.829274,0.260202,0.582194,24.7694,31.1742,23.4526
3,21,Male,Right,63,68,1440P,Thumb,0.506489,0.7755,0.32532,0.701522,36.73,44.5523,31.3419
3,21,Male,Right,63,68,720P,Index,0.549564,0.852752,0.242871,0.561206,23.1196,30.0503,24.1191
3,21,Male,Right,63,68,1440P,Index,0.502989,0.784533,0.293879,0.645799,33.1801,41.0134,31.5642
3,21,Male,Right,63,68,720P,Index,0.552083,0.711003,0.366556,0.559722,34.8936,29.9709,23.9841
3,21,Male,Right,63,68,1440P,Index,0.437898,0.783861,0.413105,0.672245,46.6413,42.6929,35.698
3,21,Male,Right,63,68,720P,Index,0.494556,0.732586,0.355797,0.669572,33.8694,35.8529,27.0645
3,21,Male,Right,63,68,1440P,Index,0.435241,0.726607,0.33516,0.61924,37.8409,39.3267,35.8667
3,21,Male,Right,63,68,720P,Index,0.516639,0.76875,0.370312,0.822078,35.2512,44.019,25.882
3,21,Male,Right,63,68,1440P,Index,0.52204,0.789127,0.363215,0.726824,41.0084,46.1591,30.3543
3,21,Male,Right,63,68,720P,Index,0.590381,0.826172,0.327344,0.588222,31.1608,31.4969,21.9335
3,21,Male,Right,63,68,1440P,Index,0.485004,0.770361,0.351645,0.794756,39.7021,50.4734,32.7064
3,21,Male,Right,63,68,720P,Index,0.422176,0.791328,0.277969,0.807053,26.4607,43.2145,30.9402
3,21,Male,Right,63,68,1440P,Index,0.50286,0.775637,0.35657,0.789627,40.2582,50.1476,31.5724
4,21,Male,Right,65,76,720P,Thumb,0.562727,0.702734,0.352344,0.771185,33.5407,41.2939,23.4142
4,21,Male,Right,65,76,1440P,Thumb,0.583216,0.740008,0.317641,0.729847,35.8629,46.3511,26.4691
4,21,Male,Right,65,76,720P,Thumb,0.572176,0.656125,0.32475,0.808665,30.9139,43.3008,22.9083
4,21,Male,Right,65,76,1440P,Thumb,0.600428,0.689727,0.30275,0.703712,34.1817,44.6914,25.376
4,21,Male,Right,65,76,720P,Thumb,0.55867,0.699993,0.328841,0.85766,31.3034,45.9242,23.6314
4,21,Male,Right,65,76,1440P,Thumb,0.556628,0.692221,0.30509,0.708272,34.4459,44.981,28.1577
4,21,Male,Right,65,76,720P,Thumb,0.530677,0.701562,0.364063,0.797686,34.6562,42.7129,25.1304
4,21,Male,Right,65,76,1440P,Thumb,0.571163,0.665074,0.346023,0.716215,39.0674,45.4854,27.2346
4,21,Male,Right,65,76,720P,Index,0.549615,0.660937,0.35,0.868089,33.3175,46.4827,24.1163
4,21,Male,Right,65,76,1440P,Index,0.595298,0.668168,0.291977,0.669029,32.9653,42.4887,25.7018
4,21,Male,Right,65,76,720P,Index,0.540972,0.670501,0.36253,0.840278,34.5103,44.9935,24.5791
4,21,Male,Right,65,76,1440P,Index,0.45659,0.653748,0.275082,0.829876,31.0579,52.7038,34.5109
4,21,Male,Right,65,76,720P,Index,0.53997,0.676691,0.373695,0.843095,35.5732,45.1444,24.6327
4,21,Male,Right,65,76,1440P,Index,0.511397,0.693656,0.313641,0.823719,35.4113,52.3128,31.0302
4,21,Male,Right,65,76,720P,Index,0.535071,0.651785,0.370758,0.856799,35.2935,45.8782,24.8951
4,21,Male,Right,65,76,1440P,Index,0.510329,0.666266,0.330906,0.807175,37.3606,51.2621,31.098
