questioning the wisdom of the courts
questioning the wisdom of the courts
Basic
0.6 0.6
432 326.4
Moved 1633.814 503.497 454.787 0.332169 0.2658915
Moved 1633.861 512.7932 441.8102 0.3536878 0.2261343
Moved 1633.907 517 437.3057 0.3634259 0.2123336
Moved 1633.953 518 435.351 0.3657407 0.2063451
Moved 1634 506.1694 429.0847 0.3383551 0.1871468
Moved 1634.048 472.522 417.1606 0.2604676 0.1506147
Moved 1634.096 407.0208 396.9389 0.1088444 0.08866087
Moved 1634.143 376.5 387.5 0.03819446 0.0597427
Moved 1634.191 335.1106 375.0443 -0.05761434 0.02158165
Moved 1634.239 320.1477 371 -0.0922507 0.009191177
Moved 1634.286 314.7801 369 -0.1046756 0.003063726
Moved 1634.331 311.737 369 -0.11172 0.003063726
Ended 1634.41 307.5098 367 -0.1215052 -0.003063632
Candidates 1634.503 5 of off pg old pd
Began 1634.887 357 337 -0.006944438 -0.0949754
Moved 1634.945 357 430.4522 -0.006944438 0.1913364
Ended 1634.994 316.5 570 -0.1006944 0.6188726
Accept 1635.039 of
Began 1635.397 302 380 -0.1342593 0.0367648
Ended 1635.449 302 380 -0.1342593 0.0367648
Began 1635.493 333 395 -0.06249999 0.08272064
SingleKey 1635.493 f
Stationary 1635.538 333 395 -0.06249999 0.08272064
Stationary 1635.582 333 395 -0.06249999 0.08272064
Stationary 1635.627 333 395 -0.06249999 0.08272064
Moved 1635.672 333 385.9544 -0.06249999 0.05500738
Moved 1635.719 333 381.6303 -0.06249999 0.04175963
Moved 1635.765 333 380.5 -0.06249999 0.03829657
Moved 1635.813 333 388.3506 -0.06249999 0.06234875
Moved 1635.872 333 427.1759 -0.06249999 0.1812987
Moved 1635.919 333 448.3036 -0.06249999 0.2460283
Moved 1635.971 333 459.5687 -0.06249999 0.2805413
Moved 1636.018 333 468.1555 -0.06249999 0.306849
Moved 1636.064 333 472.5 -0.06249999 0.3201594
Moved 1636.111 333 473 -0.06249999 0.3216912
Stationary 1636.157 333 473 -0.06249999 0.3216912
Moved 1636.202 348.5961 450.9568 -0.0263979 0.254157
Moved 1636.251 367.6588 401.9099 0.01772871 0.1038907
Moved 1636.299 375.8161 379.1036 0.03661126 0.0340184
Moved 1636.375 379 366.0353 0.04398147 -0.006019368
Moved 1636.422 380 364.0372 0.04629632 -0.01214102
Moved 1636.48 381.5 363 0.04976849 -0.01531863
Moved 1636.525 381 361.751 0.04861106 -0.01914511
Stationary 1636.57 381 362 0.04861106 -0.01838226
Stationary 1636.614 381 362 0.04861106 -0.01838226
Moved 1636.658 344.0315 406.6246 -0.03696407 0.1183353
Moved 1636.703 316.0833 438.0477 -0.1016591 0.2146069
Moved 1636.747 294.5196 463.5764 -0.151575 0.2928199
Moved 1636.793 283.1901 478.2148 -0.1778006 0.3376679
Moved 1636.872 278 486.2028 -0.1898148 0.3621409
Moved 1636.919 275.5054 490 -0.1955894 0.3737745
Moved 1636.966 275 493.4641 -0.1967592 0.3843877
Ended 1637.014 275 500 -0.1967592 0.4044118
Candidates 1637.092 5 the further degree huge where
Began 1637.612 291 444 -0.1597222 0.2328433
Moved 1637.676 291 460.549 -0.1597222 0.2835448
Moved 1637.723 306 592.7891 -0.125 0.688692
Ended 1637.77 306 604 -0.125 0.7230393
Accept 1637.815 the
Began 1638.367 285 254 -0.1736111 -0.3492646
Stationary 1638.416 285 254 -0.1736111 -0.3492646
Stationary 1638.458 285 254 -0.1736111 -0.3492646
Stationary 1638.501 285 254 -0.1736111 -0.3492646
Stationary 1638.552 285 254 -0.1736111 -0.3492646
Stationary 1638.597 285 254 -0.1736111 -0.3492646
Stationary 1638.643 285 254 -0.1736111 -0.3492646
Stationary 1638.687 285 254 -0.1736111 -0.3492646
Stationary 1638.731 285 254 -0.1736111 -0.3492646
Moved 1638.782 330.0264 315.8828 -0.06938328 -0.1596729
Moved 1638.831 397.529 394.529 0.08687268 0.0812776
Moved 1638.882 458.4296 453.9374 0.2278462 0.2632886
Moved 1638.931 483.2042 483.834 0.2851949 0.3548836
Moved 1638.979 492.7331 503.4661 0.3072525 0.415031
Moved 1639.026 493 508.0322 0.3078704 0.4290201
Stationary 1639.072 493 508 0.3078704 0.4289215
Moved 1639.144 480.3334 508 0.2785495 0.4289215
Moved 1639.19 467.5011 496.8337 0.248845 0.3947111
Moved 1639.235 451.6681 492.5336 0.2121946 0.381537
Moved 1639.282 427.1028 489.5861 0.1553305 0.3725065
Moved 1639.331 405.8831 489 0.106211 0.3707108
Moved 1639.378 395.6262 489 0.08246799 0.3707108
Moved 1639.423 383.0423 487.0106 0.05333861 0.3646157
Moved 1639.47 371.1186 487 0.02573739 0.3645834
Moved 1639.515 349.3007 486 -0.02476687 0.3615196
Moved 1639.559 323.2332 486 -0.08510827 0.3615196
Moved 1639.63 303.1021 495.9745 -0.1317082 0.3920788
Moved 1639.683 294.705 497 -0.1511458 0.3952206
Moved 1639.73 294 497 -0.1527778 0.3952206
Moved 1639.778 301.9452 497 -0.1343862 0.3952206
Moved 1639.826 314.8076 497 -0.104612 0.3952206
Moved 1639.873 322.4521 497 -0.08691639 0.3952206
Moved 1639.918 324 486.5 -0.08333336 0.3630515
Moved 1639.963 308.9088 466.4202 -0.1182665 0.3015325
Moved 1640.01 266.6807 436.1204 -0.216017 0.2087022
Moved 1640.057 226.4062 414.7031 -0.3092448 0.1430856
Moved 1640.13 202.1538 398.1538 -0.3653847 0.092383
Moved 1640.176 196.069 389.2069 -0.37947 0.0649722
Moved 1640.22 195 383.7785 -0.3819444 0.04834101
Ended 1640.266 195 383.7785 -0.3819444 0.04834101
Candidates 1640.34 5 courts cited cites copies cities
Began 1640.93 320 331 -0.09259259 -0.1133578
Moved 1640.986 320 356.5 -0.09259259 -0.03523285
Ended 1641.034 339.5113 506.7805 -0.04742756 0.4251853
Accept 1641.085 courts
Backspace 1646.513
Began 1647.958 208 400 -0.3518518 0.09803927
Stationary 1648.014 208 400 -0.3518518 0.09803927
Moved 1648.063 189.4953 400 -0.3946868 0.09803927
Moved 1648.109 173.0264 403.4539 -0.4328093 0.1086209
Moved 1648.155 158.672 408.776 -0.466037 0.1249266
Moved 1648.2 146.8778 410.7074 -0.4933385 0.1308438
Moved 1648.248 136.9785 415.0215 -0.5162534 0.1440609
Moved 1648.296 133 418.9989 -0.5254629 0.1562466
Moved 1648.347 127.3932 425.6068 -0.5384417 0.1764915
Moved 1648.393 125 444 -0.5439815 0.2328433
Moved 1648.438 128.9133 470.2362 -0.5349229 0.3132237
Moved 1648.484 141.577 480.859 -0.5056089 0.345769
Moved 1648.54 182.4247 486 -0.4110538 0.3615196
Moved 1648.585 303.602 481.2566 -0.130551 0.3469872
Moved 1648.64 378.334 474 0.0424399 0.324755
Moved 1648.684 416.3876 474 0.1305269 0.324755
Moved 1648.729 423.8593 474 0.1478224 0.324755
Moved 1648.774 424 474 0.1481481 0.324755
Moved 1648.845 286.666 506.853 -0.1697545 0.4254076
Moved 1648.891 247.5128 507 -0.2603871 0.4258579
Moved 1648.937 230.5 495 -0.2997685 0.3890932
Moved 1648.985 222 488 -0.3194444 0.3676471
Moved 1649.03 212.1867 444.8008 -0.3421603 0.2352966
Moved 1649.076 212 388.0903 -0.3425926 0.06155112
Moved 1649.135 229.2058 337.074 -0.3027644 -0.09474868
Moved 1649.184 236 308 -0.287037 -0.1838235
Moved 1649.233 238.8072 306 -0.2805389 -0.189951
Moved 1649.282 267.9674 342.7827 -0.2130384 -0.07725894
Moved 1649.36 354.4534 447.3753 -0.01283934 0.2431841
Moved 1649.408 372.665 468.5533 0.02931704 0.3080677
Moved 1649.455 383.3785 478.1893 0.05411694 0.3375897
Moved 1649.5 402.4797 480 0.09833276 0.3431373
Moved 1649.545 445.7392 464.1437 0.1984704 0.2945581
Moved 1649.596 489.0002 444.9999 0.2986115 0.2359065
Moved 1649.645 521.8495 428.4903 0.3746516 0.1853257
Moved 1649.693 532.9504 418.5744 0.4003481 0.1549461
Moved 1649.739 535 403.2582 0.4050927 0.1080214
Moved 1649.787 513.3665 341.996 0.3550151 -0.07966902
Moved 1649.859 470.8572 258.1788 0.256614 -0.3364619
Moved 1649.904 462.1707 242.3413 0.2365063 -0.3849837
Moved 1649.948 451 236.5 0.2106482 -0.4028798
Moved 1649.993 442.3035 283.5374 0.1905173 -0.2587703
Moved 1650.039 457.0715 373.2716 0.2247024 0.01615076
Moved 1650.085 476.7637 427.3857 0.2702863 0.1819414
Moved 1650.141 487.6884 470.4418 0.2955749 0.3138535
Moved 1650.192 488 479 0.2962963 0.3400736
Moved 1650.236 488 480.1151 0.2962963 0.34349
Moved 1650.281 473.2939 423.5681 0.2622543 0.1702455
Moved 1650.353 410.3828 251.9016 0.1166269 -0.3556935
Moved 1650.399 398.7941 212.4509 0.08980116 -0.4765597
Moved 1650.448 392.6299 199.2598 0.07553209 -0.5169738
Moved 1650.494 389.5 200 0.06828706 -0.5147059
Moved 1650.539 379.0204 252.5167 0.04402886 -0.3538091
Moved 1650.584 364.1003 329.5653 0.009491445 -0.1177533
Moved 1650.633 352.2577 380.9692 -0.01792202 0.039734
Moved 1650.678 344.5883 444.7054 -0.03567526 0.2350044
Ended 1650.725 344.5883 444.7054 -0.03567526 0.2350044
Candidates 1650.824 5 questioning staining retailing stealing wrestling
Began 1651.37 327 363 -0.07638887 -0.01531863
Moved 1651.43 334.1925 438.4581 -0.0597395 0.2158641
Ended 1651.478 308 593.5 -0.1203704 0.69087
Accept 1651.527 questioning
Began 1651.802 313 488 -0.1087963 0.3676471
Stationary 1651.856 313 488 -0.1087963 0.3676471
Stationary 1651.902 313 488 -0.1087963 0.3676471
Stationary 1651.946 313 488 -0.1087963 0.3676471
Moved 1651.991 313 471.5884 -0.1087963 0.3173663
Moved 1652.035 313 467.8972 -0.1087963 0.3060575
Moved 1652.086 313 464.7793 -0.1087963 0.2965052
Moved 1652.131 313 462.5 -0.1087963 0.2895221
Moved 1652.177 323.8769 460.2808 -0.08361821 0.282723
Moved 1652.227 341.0986 456.9753 -0.04375318 0.272596
Moved 1652.274 358.253 448.1647 -0.004044026 0.2456025
Moved 1652.319 368.4281 424.8596 0.0195094 0.1742023
Moved 1652.367 379.1363 392.879 0.04429698 0.07622257
Moved 1652.413 387.0188 365.9059 0.06254355 -0.006415517
Moved 1652.459 389 353.3571 0.06712963 -0.04486196
Moved 1652.509 389 349.8522 0.06712963 -0.05559987
Moved 1652.581 327.3437 377.4376 -0.07559329 0.0289141
Moved 1652.629 296.1718 406.8282 -0.1477506 0.1189591
Moved 1652.675 275.8923 431.8103 -0.1946938 0.1954973
Moved 1652.723 266.653 453.041 -0.216081 0.2605423
Ended 1652.769 263.7885 462.7403 -0.2227119 0.2902583
Candidates 1652.869 5 the there threw egfr rubber
Began 1653.264 354 385 -0.01388888 0.05208334
Moved 1653.321 361 525.4558 0.002314846 0.4824015
Ended 1653.367 361 530 0.002314846 0.4963235
Accept 1653.415 the
Began 1653.811 225 492 -0.3125 0.379902
Stationary 1653.854 225 492 -0.3125 0.379902
Moved 1653.9 213.1311 492 -0.3399743 0.379902
Moved 1653.95 200.3968 492 -0.3694519 0.379902
Moved 1654.003 193.9004 492 -0.3844898 0.379902
Moved 1654.052 190.8981 492 -0.3914396 0.379902
Moved 1654.098 189.5 492 -0.3946759 0.379902
Moved 1654.144 190 492 -0.3935185 0.379902
Moved 1654.193 216.2129 492 -0.3328405 0.379902
Moved 1654.24 335.5192 475.0627 -0.05666852 0.3280107
Moved 1654.287 396.1111 459.2667 0.08359045 0.279616
Moved 1654.335 441.5926 450 0.1888718 0.2512255
Moved 1654.384 452.2505 450 0.2135427 0.2512255
Moved 1654.432 456.5 450 0.2233796 0.2512255
Moved 1654.479 456 450 0.2222222 0.2512255
Moved 1654.524 422.5524 439.0586 0.1447972 0.2177041
Moved 1654.57 329.1157 394.5579 -0.0714914 0.0813661
Moved 1654.614 271.6693 356.6385 -0.2044691 -0.03480827
Moved 1654.692 225 337 -0.3125 -0.0949754
Moved 1654.746 221.5 337 -0.3206019 -0.0949754
Moved 1654.794 222 345.8602 -0.3194444 -0.06783027
Moved 1654.841 258.4645 362.9242 -0.2350358 -0.01555088
Moved 1654.891 315.5696 377.3924 -0.1028482 0.02877572
Moved 1654.941 403.909 410.0802 0.1016412 0.1289221
Moved 1654.988 455.7702 435.1392 0.2216902 0.205696
Moved 1655.034 476.5163 452.5163 0.2697136 0.2589347
Moved 1655.08 486.2465 458.1232 0.2922372 0.2761129
Moved 1655.127 490.5 459 0.3020833 0.2787991
Moved 1655.199 498 413.3965 0.3194444 0.1390824
Moved 1655.245 472 306.5 0.2592593 -0.1884191
Moved 1655.291 452.1041 243.733 0.2132038 -0.3807199
Moved 1655.337 441.1207 195.845 0.1877794 -0.5274358
Ended 1655.382 432.3293 176.494 0.167429 -0.5867218
Candidates 1655.425 5 wisdom equation wilson question fusion
Began 1655.844 352 301 -0.01851852 -0.2052697
Moved 1655.899 352 327.5004 -0.01851852 -0.1240797
Moved 1655.946 363 496.9549 0.006944438 0.3950824
Ended 1655.993 347.7949 566.7243 -0.02825255 0.6088368
Accept 1656.038 wisdom
Began 1656.481 405 482 0.1041667 0.3492648
Stationary 1656.531 405 482 0.1041667 0.3492648
Stationary 1656.574 405 482 0.1041667 0.3492648
Moved 1656.618 435.724 482 0.175287 0.3492648
Moved 1656.665 458.9295 482 0.2290035 0.3492648
Moved 1656.712 470.9718 482 0.2568791 0.3492648
Moved 1656.758 480.2775 482 0.2784202 0.3492648
Moved 1656.804 491.7635 482 0.305008 0.3492648
Moved 1656.851 504.6718 494.1145 0.3348883 0.3863802
Moved 1656.907 516.2995 501.2995 0.3618044 0.4083931
Moved 1656.953 518.5 501 0.3668982 0.4074755
Moved 1656.999 519 501 0.3680556 0.4074755
Stationary 1657.052 519 501 0.3680556 0.4074755
Moved 1657.1 468.6783 453.3436 0.2515702 0.2614693
Moved 1657.15 394.7941 389.2668 0.08054187 0.06515559
Moved 1657.219 337.29 353.116 -0.05256936 -0.04560031
Moved 1657.265 323.0667 349 -0.08549377 -0.05821069
Moved 1657.31 313.4767 348 -0.1076929 -0.06127451
Moved 1657.356 308.4319 347 -0.1193706 -0.06433815
Moved 1657.401 307 347 -0.1226852 -0.06433815
Ended 1657.445 307 355.4536 -0.1226852 -0.03843869
Candidates 1657.505 5 tough todd ups tips tops
Began 1658.384 319 407 -0.09490739 0.1194853
Ended 1658.446 319 407 -0.09490739 0.1194853
Cancel 1658.491
Began 1658.832 528 509 0.3888889 0.4319853
Stationary 1658.885 528 509 0.3888889 0.4319853
Stationary 1658.933 528 509 0.3888889 0.4319853
Stationary 1658.985 528 509 0.3888889 0.4319853
Moved 1659.032 516.5201 497.2601 0.3623151 0.3960174
Moved 1659.082 498.9448 483.667 0.3216315 0.3543719
Moved 1659.13 467.8235 459.8487 0.2495914 0.2813993
Moved 1659.177 444.0663 442.053 0.1945978 0.2268782
Moved 1659.222 415.2937 421.8624 0.1279946 0.1650196
Moved 1659.268 394.0479 409.8192 0.07881473 0.1281224
Moved 1659.314 376.63 399.2225 0.03849536 0.09565723
Moved 1659.359 362.1901 390.1901 0.005069574 0.06798427
Ended 1659.41 356 388 -0.009259283 0.06127456
Candidates 1659.5 5 pig of off oh igg
Began 1660.003 329 367 -0.07175927 -0.003063632
Moved 1660.057 323.827 367 -0.0837338 -0.003063632
Moved 1660.105 238.8122 367 -0.2805274 -0.003063632
Ended 1660.151 126 392.5 -0.5416667 0.07506133
Accept 1660.195 of
Began 1660.739 395 480 0.08101851 0.3431373
Stationary 1660.792 395 480 0.08101851 0.3431373
Stationary 1660.839 395 480 0.08101851 0.3431373
Stationary 1660.885 395 480 0.08101851 0.3431373
Moved 1660.931 395 492.0439 0.08101851 0.3800367
Moved 1660.977 395 494.9877 0.08101851 0.3890554
Moved 1661.029 386.5251 497 0.06140063 0.3952206
Moved 1661.075 373.0452 497 0.03019731 0.3952206
Moved 1661.121 354.8746 497 -0.01186435 0.3952206
Moved 1661.168 342.3148 497 -0.04093806 0.3952206
Moved 1661.217 338.8448 497 -0.04897033 0.3952206
Moved 1661.263 336.7961 497 -0.05371272 0.3952206
Stationary 1661.308 337 497 -0.05324075 0.3952206
Moved 1661.37 365.6397 471.087 0.01305491 0.3158302
Moved 1661.417 394.9482 433.6602 0.08089861 0.2011648
Moved 1661.464 408.1851 400.4448 0.1115395 0.0994018
Moved 1661.511 412 386.02 0.1203704 0.0552083
Moved 1661.557 413 380.1593 0.1226852 0.03725277
Moved 1661.604 413 377.5 0.1226852 0.02910539
Moved 1661.652 392.6633 388.3367 0.07560948 0.06230602
Moved 1661.701 294.4628 442.2686 -0.1517065 0.2275386
Moved 1661.746 263.1482 459.2345 -0.2241939 0.2795175
Moved 1661.795 244.6936 481.9193 -0.266913 0.3490174
Ended 1661.865 244 496.5 -0.2685185 0.3936888
Candidates 1661.925 5 the other threw there urge
Began 1662.385 328 423 -0.07407407 0.1685049
Moved 1662.437 352.1287 497.0956 -0.01822064 0.3955134
Ended 1662.479 362.5824 561.6009 0.00597775 0.5931401
Accept 1662.521 the
Began 1663.096 307 308 -0.1226852 -0.1838235
Stationary 1663.147 307 308 -0.1226852 -0.1838235
Stationary 1663.193 307 308 -0.1226852 -0.1838235
Stationary 1663.237 307 308 -0.1226852 -0.1838235
Stationary 1663.289 307 308 -0.1226852 -0.1838235
Moved 1663.335 307 296.1803 -0.1226852 -0.2200359
Moved 1663.383 307 296 -0.1226852 -0.2205883
Moved 1663.431 307 294.5 -0.1226852 -0.2251838
Moved 1663.48 307 295 -0.1226852 -0.223652
Moved 1663.526 325.9016 327.8524 -0.0789314 -0.1230013
Moved 1663.575 376.6736 394.4963 0.03859639 0.08117756
Moved 1663.63 420.6862 442.5607 0.1404773 0.2284337
Moved 1663.676 437.6352 458.5136 0.1797111 0.2773089
Moved 1663.729 454.552 470.368 0.2188704 0.3136274
Moved 1663.782 463.5909 476.5909 0.2397939 0.3326929
Moved 1663.827 468.8848 478.8848 0.2520481 0.3397205
Moved 1663.895 474.5 480 0.2650462 0.3431373
Moved 1663.945 476.1888 480 0.2689555 0.3431373
Moved 1663.991 477 481.5 0.2708333 0.347733
Moved 1664.036 477 481 0.2708333 0.3462009
Stationary 1664.081 477 481 0.2708333 0.3462009
Moved 1664.125 456.1988 481 0.2226824 0.3462009
Moved 1664.172 433.6949 481 0.1705902 0.3462009
Moved 1664.217 407.226 481 0.1093193 0.3462009
Moved 1664.264 382.7715 481 0.05271186 0.3462009
Moved 1664.309 356.935 472.9907 -0.007094989 0.3216628
Moved 1664.378 324.8544 470.5709 -0.08135547 0.314249
Moved 1664.422 294.8302 471 -0.1508561 0.3155637
Moved 1664.474 275.7621 471 -0.1949951 0.3155637
Moved 1664.519 273.626 471 -0.1999397 0.3155637
Stationary 1664.57 274 471 -0.199074 0.3155637
Moved 1664.618 299.898 478.7245 -0.139125 0.3392294
Moved 1664.664 310.394 480 -0.1148286 0.3431373
Moved 1664.71 318.9996 481 -0.09490833 0.3462009
Moved 1664.755 328.6096 482 -0.07266308 0.3492648
Moved 1664.802 335.2431 482 -0.05730758 0.3492648
Moved 1664.875 338 482 -0.05092591 0.3492648
Moved 1664.919 306.4305 430.2407 -0.1240034 0.1906884
Moved 1664.964 268.0359 392.7451 -0.2128799 0.07581206
Moved 1665.01 233.0243 372.0121 -0.2939251 0.01229211
Moved 1665.056 218.0426 365 -0.3286052 -0.009191177
Ended 1665.1 213.8014 363.6005 -0.3384227 -0.01347897
Candidates 1665.175 5 courts fits shirts diets cited
Began 1665.629 325 329 -0.08101851 -0.1194852
Moved 1665.685 344.0029 410.2114 -0.03703028 0.1293242
Ended 1665.732 351 497 -0.02083332 0.3952206
Accept 1665.792 courts
PhraseEnd 1666.664
