questioning the wisdom of the courts
questioning the wisdom of the courts
Basic
0.6 0.6
432 326.4
Moved 1599.651 340 482.4087 -0.04629632 0.3505169
Moved 1599.698 350 476.5 -0.02314816 0.3324143
Moved 1599.742 351 476 -0.02083332 0.3308824
Moved 1599.787 351 473.0174 -0.02083332 0.3217445
Moved 1599.834 351 465.4132 -0.02083332 0.2984474
Moved 1599.884 369.8856 436.6335 0.02288332 0.2102742
Moved 1599.932 399.6233 384.5795 0.09172053 0.05079522
Moved 1599.978 408.692 351.924 0.112713 -0.04925232
Moved 1600.041 409 344.657 0.113426 -0.0715166
Moved 1600.086 386.3654 353.4519 0.06103098 -0.04457128
Moved 1600.132 352.9435 375.7547 -0.0163346 0.02375827
Moved 1600.177 310.8367 404.9143 -0.1138038 0.1130954
Moved 1600.221 277.0734 427.6514 -0.1919597 0.1827555
Moved 1600.266 261.4427 442.6687 -0.2281418 0.2287644
Moved 1600.311 254.0028 454.9915 -0.2453638 0.2665182
Moved 1600.358 252 466.6702 -0.25 0.3022985
Moved 1600.405 252 475.2484 -0.25 0.3285797
Ended 1600.453 252 479 -0.25 0.3400736
Candidates 1600.545 5 the there threw rubber tube
Began 1600.933 349 404 -0.02546296 0.1102942
Moved 1600.987 349 447.5895 -0.02546296 0.2438404
Moved 1601.032 323.4997 625.0843 -0.08449152 0.7876358
Ended 1601.076 323.4997 625.0843 -0.08449152 0.7876358
Accept 1601.119 the
Began 1601.473 265 526 -0.2199074 0.4840686
Stationary 1601.525 265 526 -0.2199074 0.4840686
Moved 1601.568 241.9208 512.1906 -0.2733315 0.4417605
Moved 1601.612 228.3196 504.5464 -0.3048158 0.4183407
Moved 1601.658 216.369 497.4563 -0.3324792 0.3966185
Moved 1601.704 208.5226 493 -0.350642 0.3829657
Moved 1601.749 205.6548 491.6548 -0.3572806 0.3788443
Moved 1601.798 205 492 -0.3587963 0.379902
Moved 1601.842 205 488.9329 -0.3587963 0.3705053
Moved 1601.889 205 477.9312 -0.3587963 0.3367988
Moved 1601.933 221.2147 467.089 -0.3212622 0.3035815
Moved 1601.977 265.0388 463 -0.2198176 0.291054
Moved 1602.032 356.6407 468.5469 -0.007776171 0.308048
Moved 1602.077 425.838 471 0.1524027 0.3155637
Moved 1602.119 454.9754 471 0.2198504 0.3155637
Moved 1602.163 461.1639 471 0.2341756 0.3155637
Stationary 1602.205 461 471 0.2337964 0.3155637
Moved 1602.248 435.6921 455.346 0.1752131 0.2676041
Moved 1602.296 297.6281 400.3141 -0.1443794 0.09900154
Moved 1602.341 235.1661 358.0135 -0.2889673 -0.03059574
Moved 1602.387 208.8148 339.9074 -0.3499658 -0.08606799
Moved 1602.432 198.2956 336 -0.3743157 -0.09803922
Moved 1602.503 194 336 -0.3842593 -0.09803922
Moved 1602.55 206.867 352.9003 -0.3544745 -0.04626143
Moved 1602.597 252.1001 373.6295 -0.2497682 0.0172472
Moved 1602.642 320.4632 400.7357 -0.09152031 0.1002932
Moved 1602.697 413.9568 433.1562 0.1249001 0.1996207
Moved 1602.745 458.5578 459.7347 0.2281431 0.2810499
Moved 1602.795 488.6749 480.4357 0.2978586 0.3444721
Moved 1602.843 504.3516 490.1758 0.3341473 0.3743131
Moved 1602.894 511.9594 492 0.351758 0.379902
Moved 1602.942 521.8309 492 0.3746087 0.379902
Moved 1603.011 518.6911 408.3822 0.3673405 0.1237199
Moved 1603.056 483.4456 345.0298 0.2857537 -0.07037443
Moved 1603.1 448.1694 287.6891 0.2040958 -0.2460504
Moved 1603.145 426.5148 243.4158 0.1539694 -0.3816919
Moved 1603.19 417.8332 215.3328 0.1338731 -0.4677305
Moved 1603.234 415.9591 205.8364 0.129535 -0.4968247
