jumping right out of the water
jumping right out of the water
FixStart
0.6 0.6
432 326.4
Stationary 1106.478 461 244 0.2337964 -0.379902
Moved 1106.526 504.354 271.064 0.3341528 -0.2969854
Moved 1106.578 547.3213 304.704 0.433614 -0.1939216
Moved 1106.628 570.6561 331.3982 0.48763 -0.1121378
Moved 1106.682 582.7813 346.6719 0.5156975 -0.06534324
Moved 1106.733 591.619 360.238 0.5361551 -0.02378052
Moved 1106.789 594 364.5766 0.5416667 -0.01048827
Moved 1106.836 595 366.436 0.5439815 -0.004791559
Moved 1106.884 587.0719 368 0.5256294 0
Moved 1106.941 566.5921 369 0.4782225 0.003063726
Moved 1106.994 545.9707 369 0.4304877 0.003063726
Moved 1107.045 534.3871 369 0.403674 0.003063726
Moved 1107.095 522.5 369 0.3761573 0.003063726
Moved 1107.146 507.0684 369 0.3404361 0.003063726
Moved 1107.196 490.8957 356.4479 0.3029993 -0.03539254
Moved 1107.247 476.2333 349.4888 0.2690585 -0.05671314
Moved 1107.3 461.0192 344.0064 0.2338409 -0.07350969
Moved 1107.35 454.0569 341.0569 0.2177242 -0.08254622
Ended 1107.402 451 341 0.2106482 -0.08272059
Candidates 1107.519 5 out got our or hit
Began 1107.969 478 249 0.2731481 -0.3645833
Stationary 1108.026 478 249 0.2731481 -0.3645833
Moved 1108.077 478 287.3178 0.2731481 -0.2471881
Moved 1108.126 487.6797 320.4453 0.2955548 -0.1456947
Moved 1108.178 489 343.3648 0.2986111 -0.07547548
Moved 1108.227 490 349.1021 0.300926 -0.05789794
Ended 1108.277 491 349 0.3032407 -0.05821069
Accept 1108.327 out
Began 1108.736 457 280 0.2245371 -0.2696078
Stationary 1108.796 457 280 0.2245371 -0.2696078
Moved 1108.844 499 315 0.3217593 -0.1623775
Moved 1108.896 534.2048 338.8781 0.4032519 -0.08922157
Moved 1108.948 572.9916 367.9916 0.4930362 -2.561831E-05
Moved 1109.003 591.7969 389.2461 0.5365669 0.06509225
Moved 1109.054 601.7502 401.5005 0.559607 0.1026363
Moved 1109.106 609 411.174 0.576389 0.1322731
Moved 1109.158 611 414.4715 0.5810185 0.142376
Moved 1109.208 611 415 0.5810185 0.1439951
Moved 1109.259 536.7412 362.6538 0.4091232 -0.01637917
Moved 1109.316 468 302.5 0.25 -0.200674
Moved 1109.367 444.8836 287.5302 0.1964899 -0.2465373
Moved 1109.413 430.6087 278.4058 0.1634462 -0.2744919
Moved 1109.482 418 271.5 0.1342593 -0.2956494
Moved 1109.53 412.3226 268.6613 0.121117 -0.3043467
Moved 1109.579 405.7997 266 0.1060179 -0.3125
Moved 1109.628 402.9132 264 0.0993361 -0.3186274
Ended 1109.678 401.5 263 0.0960648 -0.3216912
Candidates 1109.767 5 of off good god odd
Began 1110.136 449 227 0.2060185 -0.4319853
Stationary 1110.2 449 227 0.2060185 -0.4319853
Moved 1110.247 449 286 0.2060185 -0.2512255
Moved 1110.296 449 311.6943 0.2060185 -0.1725051
Moved 1110.343 449 321.7502 0.2060185 -0.1416965
Moved 1110.395 449 326.115 0.2060185 -0.1283242
Ended 1110.443 449 327 0.2060185 -0.1256128
Accept 1110.491 of
Began 1110.905 462 254 0.2361111 -0.3492646
Stationary 1110.961 462 254 0.2361111 -0.3492646
Moved 1111.01 451.6218 260.202 0.2120875 -0.3302636
Moved 1111.061 444.0844 291.4937 0.1946398 -0.2343942
Moved 1111.116 442 324.3989 0.1898148 -0.1335818
Moved 1111.165 442 359.2179 0.1898148 -0.02690586
Moved 1111.215 442 371.7144 0.1898148 0.01137995
Moved 1111.267 442 376.8555 0.1898148 0.02713101
Moved 1111.318 442 379 0.1898148 0.03370108
Moved 1111.367 466.7972 358.6434 0.2472157 -0.02866614
Moved 1111.429 492.8948 315.9122 0.3076268 -0.1595828
Moved 1111.48 499.2221 290.6675 0.3222734 -0.2369254
Moved 1111.531 501 262.1686 0.3263889 -0.3242382
Moved 1111.58 501 246.3124 0.3263889 -0.3728175
Moved 1111.629 501 235.522 0.3263889 -0.4058763
Moved 1111.678 492.5 232 0.306713 -0.4166667
Moved 1111.729 474.5827 231 0.2652377 -0.4197304
Moved 1111.784 425.9129 283.0871 0.1525762 -0.2601498
Moved 1111.835 400.1411 313.2883 0.09291927 -0.1676217
Moved 1111.886 384.0912 336.8633 0.0557666 -0.09539437
Moved 1111.966 372.221 350.558 0.02828936 -0.05343755
Ended 1112.015 370 354 0.02314816 -0.04289207
Candidates 1112.099 5 the there threw tiger trigger
Began 1112.431 447 217 0.2013889 -0.4626225
Stationary 1112.485 447 217 0.2013889 -0.4626225
Moved 1112.536 447 262.4939 0.2013889 -0.3232418
Moved 1112.588 447 292.1513 0.2013889 -0.2323796
Moved 1112.642 447 314.6738 0.2013889 -0.1633767
Moved 1112.697 447 320.8383 0.2013889 -0.1444905
Ended 1112.748 447 322 0.2013889 -0.1409313
Accept 1112.804 the
Began 1113.073 426 268 0.1527777 -0.3063726
Stationary 1113.135 426 268 0.1527777 -0.3063726
Moved 1113.184 411.6637 268 0.1195918 -0.3063726
Moved 1113.235 383.1122 289.6501 0.05350053 -0.2400423
Moved 1113.291 354.8516 308.4323 -0.01191755 -0.1824992
Moved 1113.339 335.4348 321.3391 -0.05686392 -0.1429561
Moved 1113.39 320.7525 336.2475 -0.09085064 -0.09728096
Moved 1113.438 310.2996 349.7004 -0.1150473 -0.05606483
Moved 1113.486 304 359.0853 -0.1296296 -0.0273122
Moved 1113.534 302 362.0568 -0.1342593 -0.01820845
Moved 1113.59 301 364.1805 -0.1365741 -0.01170187
Moved 1113.639 298.2555 364 -0.1429271 -0.01225481
Moved 1113.687 290.9004 322.4024 -0.1599528 -0.1396984
Moved 1113.74 283.9618 292.7325 -0.1760143 -0.230599
Moved 1113.801 277.2147 265.6441 -0.1916327 -0.3135904
Moved 1113.851 274 256.3708 -0.199074 -0.3420013
Moved 1113.903 271.9467 250.9468 -0.203827 -0.358619
Moved 1113.974 289.3362 259.4749 -0.1635737 -0.3324912
Moved 1114.025 354.5499 310.1416 -0.01261592 -0.1772623
Moved 1114.074 376.8329 332.8329 0.03896505 -0.1077425
Moved 1114.15 405.2336 361.2336 0.1047075 -0.02073026
Moved 1114.198 414.352 369.676 0.1258149 0.005134882
Moved 1114.252 421.9761 376.9521 0.1434631 0.02742683
Moved 1114.301 426.324 380.324 0.1535279 0.03775746
Moved 1114.353 426 381.1395 0.1527777 0.0402559
Stationary 1114.404 426 381 0.1527777 0.03982843
Moved 1114.457 408.9369 381 0.1132799 0.03982843
Moved 1114.51 385.5 369 0.05902777 0.003063726
Moved 1114.562 349.5567 360.9113 -0.02417435 -0.02171778
Moved 1114.613 329.4512 357.6128 -0.0707149 -0.03182346
Moved 1114.69 311.7737 357 -0.1116349 -0.03370098
Moved 1114.739 308.8971 357 -0.1182937 -0.03370098
Moved 1114.789 308 357 -0.1203704 -0.03370098
Moved 1114.841 341.3985 367.9332 -0.04305894 -0.0002047595
Moved 1114.891 365.846 369 0.01353244 0.003063726
Moved 1114.94 373.5126 370 0.03127922 0.006127451
Ended 1114.989 378.5 370 0.04282405 0.006127451
Candidates 1115.097 5 water greater feature gesture faster
Began 1115.431 416 234 0.1296297 -0.4105392
Stationary 1115.486 416 234 0.1296297 -0.4105392
Moved 1115.537 416 302 0.1296297 -0.2022059
Moved 1115.595 422.0848 341.4771 0.1437149 -0.08125904
Moved 1115.646 424 350.1708 0.1481481 -0.05462375
Ended 1115.693 424 351.2096 0.1481481 -0.0514412
Accept 1115.74 water
PhraseEnd 1116.476
