id,QWERTY,GK,usage,block,sentence,word,part(#/10),GestureSpeed(keyW/s),Time(s)
1,5,5,Indirect,1,1,the,1,8.71267,0.0956319
1,5,5,Indirect,1,1,the,2,23.4249,0.0355694
1,5,5,Indirect,1,1,the,3,15.2756,0.0545449
1,5,5,Indirect,1,1,the,4,5.44841,0.152927
1,5,5,Indirect,1,1,the,5,40.4305,0.0206084
1,5,5,Indirect,1,1,the,6,37.0508,0.0224883
1,5,5,Indirect,1,1,the,7,33.0834,0.0251851
1,5,5,Indirect,1,1,the,8,28.2057,0.0295404
1,5,5,Indirect,1,1,the,9,19.7965,0.0420886
1,5,5,Indirect,1,1,the,10,7.87934,0.105746
1,5,5,Indirect,1,1,quick,1,24.7641,0.0801024
1,5,5,Indirect,1,1,quick,2,43.9378,0.0451471
1,5,5,Indirect,1,1,quick,3,27.0127,0.0734344
1,5,5,Indirect,1,1,quick,4,13.1362,0.151008
1,5,5,Indirect,1,1,quick,5,97.398,0.0203666
1,5,5,Indirect,1,1,quick,6,88.8888,0.0223162
1,5,5,Indirect,1,1,quick,7,15.1461,0.130968
1,5,5,Indirect,1,1,quick,8,38.5766,0.0514214
1,5,5,Indirect,1,1,quick,9,34.7979,0.0570052
1,5,5,Indirect,1,1,quick,10,11.8251,0.167751
1,5,5,Indirect,1,1,brown,1,15.955,0.138785
1,5,5,Indirect,1,1,brown,2,31.7295,0.0697872
1,5,5,Indirect,1,1,brown,3,16.4237,0.134824
1,5,5,Indirect,1,1,brown,4,41.1379,0.0538266
1,5,5,Indirect,1,1,brown,5,14.0373,0.157744
1,5,5,Indirect,1,1,brown,6,52.1711,0.0424433
1,5,5,Indirect,1,1,brown,7,20.8405,0.10625
1,5,5,Indirect,1,1,brown,8,15.82,0.139969
1,5,5,Indirect,1,1,brown,9,31.8039,0.0696239
1,5,5,Indirect,1,1,brown,10,13.5842,0.163007
1,5,5,Indirect,1,1,fox,1,20.6646,0.071692
1,5,5,Indirect,1,1,fox,2,43.9087,0.0337402
1,5,5,Indirect,1,1,fox,3,30.7462,0.0481844
1,5,5,Indirect,1,1,fox,4,8.82596,0.167856
1,5,5,Indirect,1,1,fox,5,51.4839,0.0287757
1,5,5,Indirect,1,1,fox,6,102.615,0.0144374
1,5,5,Indirect,1,1,fox,7,65.189,0.022726
1,5,5,Indirect,1,1,fox,8,55.9804,0.0264644
1,5,5,Indirect,1,1,fox,9,46.5393,0.031833
1,5,5,Indirect,1,1,fox,10,10.6904,0.138581
1,5,5,Indirect,1,1,jumps,1,17.7101,0.121438
1,5,5,Indirect,1,1,jumps,2,10.3871,0.207055
1,5,5,Indirect,1,1,jumps,3,48.1226,0.0446919
1,5,5,Indirect,1,1,jumps,4,32.5561,0.0660609
1,5,5,Indirect,1,1,jumps,5,15.2533,0.140998
1,5,5,Indirect,1,1,jumps,6,34.6763,0.0620219
1,5,5,Indirect,1,1,jumps,7,11.5004,0.18701
1,5,5,Indirect,1,1,jumps,8,53.1602,0.0404568
1,5,5,Indirect,1,1,jumps,9,44.7617,0.0480475
1,5,5,Indirect,1,1,jumps,10,16.8443,0.12768
1,5,5,Indirect,1,1,over,1,19.0702,0.0656888
1,5,5,Indirect,1,1,over,2,70.3367,0.01781
1,5,5,Indirect,1,1,over,3,59.01,0.0212285
1,5,5,Indirect,1,1,over,4,35.9938,0.0348031
1,5,5,Indirect,1,1,over,5,7.86444,0.159286
1,5,5,Indirect,1,1,over,6,20.578,0.0608757
1,5,5,Indirect,1,1,over,7,22.0092,0.056917
1,5,5,Indirect,1,1,over,8,16.5637,0.0756293
1,5,5,Indirect,1,1,over,9,7.14203,0.175398
