usage,type,key,x,y
Indirect,start,a,-0.391204,-0.0486111
Indirect,start,a,-0.462963,-0.0231482
Indirect,start,a,-0.212963,0.173611
Indirect,start,a,-0.12037,-0.152778
Indirect,start,a,-0.456018,-0.287037
Indirect,start,a,-0.412037,-0.171296
Indirect,start,a,-0.525463,-0.185185
Indirect,start,a,-0.474537,-0.168982
Indirect,start,a,-0.525463,-0.185185
Indirect,start,a,-0.372685,-0.148148
Indirect,start,a,-0.430556,-0.0949074
Indirect,start,a,-0.131944,-0.0324074
Indirect,start,a,-0.185185,-0.0925926
Indirect,start,a,-0.490741,-0.125
Indirect,start,a,-0.0879629,-0.247685
Indirect,start,a,-0.372685,-0.0578704
Indirect,start,a,-0.270833,-0.0625001
Indirect,start,a,-0.337963,0.0185184
Indirect,start,a,-0.215278,-0.115741
Indirect,start,a,-0.409722,-0.141204
Indirect,start,a,-0.388889,0.0648147
Indirect,start,a,-0.391204,-0.171296
Indirect,start,a,-0.393518,-0.0787037
Indirect,start,a,-0.328704,0.194444
Indirect,start,a,-0.412037,-0.025463
Indirect,start,a,-0.358796,-0.0740741
Indirect,start,a,-0.263889,0.131944
Indirect,start,a,-0.513889,0.141204
Indirect,start,a,-0.173611,0.00694437
Indirect,start,a,-0.476852,-0.136574
Indirect,start,a,-0.493056,-0.168982
Indirect,start,a,-0.305556,-0.224537
Indirect,start,a,-0.349537,-0.0231482
Indirect,start,a,-0.0486111,0.115741
Indirect,start,a,-0.0462963,0.270833
Indirect,start,a,-0.222222,-0.0324074
Indirect,start,a,-0.0879629,-0.0416667
Indirect,start,a,-0.247685,-0.0416667
Indirect,start,a,-0.328704,0.0601852
Indirect,start,a,-0.1875,-0.0555556
Indirect,start,a,-0.291667,0.101852
Indirect,start,a,-0.141204,0.127315
Indirect,start,a,-0.259259,-0.0578704
Indirect,start,a,-0.5625,0.0624999
Indirect,start,a,-0.375,0.180555
Indirect,start,a,-0.490741,-0.013889
Indirect,start,a,-0.486111,0.037037
Indirect,start,a,-0.513889,-0.0763889
Indirect,start,a,-0.474537,0.168981
Indirect,start,a,-0.599537,0.0254629
Indirect,start,a,-0.569444,0.0393518
Indirect,start,a,-0.525463,0.150463
Indirect,start,a,-0.5,-0.0648149
Indirect,start,a,-0.456018,-0.19213
Indirect,start,a,-0.673611,0.0717593
Indirect,start,a,-0.49537,0.0462962
Indirect,start,a,-0.574074,0.118056
Indirect,start,a,-0.490741,-0.0763889
Indirect,start,a,-0.587963,-0.152778
