id,QWERTY,GK,usage,block,sentence,Gesture,Prepare,Gesture(%),Prepare(%),Gesture(M),Prepare(M),GestureSpeed(keyW/s)
1,5,5,Indirect,1,1,7.1341,2.18322,0.765682,0.234318,0.792678,0.272903,18.6699
1,5,5,Indirect,1,2,5.78097,1.35312,0.81033,0.18967,0.963495,0.270624,20.9157
1,5,5,Indirect,1,3,4.0593,1.07624,0.790433,0.209567,0.81186,0.26906,15.2904
1,5,5,Indirect,1,4,3.04432,0.95338,0.761518,0.238482,0.76108,0.317793,18.5534
1,5,5,Indirect,1,5,7.31898,1.90664,0.793332,0.206668,1.04557,0.317773,12.4254
1,5,5,Indirect,1,6,4.1514,1.13782,0.784879,0.215121,0.83028,0.284455,10.0972
1,5,5,Indirect,1,7,6.24274,2.18334,0.740883,0.259117,0.89182,0.36389,15.8896
1,5,5,Indirect,1,8,5.96605,1.10712,0.843476,0.156524,1.49151,0.36904,12.788
1,5,5,Indirect,1,9,5.22796,1.10714,0.825237,0.174763,1.30699,0.369047,16.0841
1,5,5,Indirect,1,10,5.8126,1.6605,0.777803,0.222197,0.968767,0.3321,10.8153
1,5,5,Indirect,2,11,3.3831,1.6606,0.670758,0.329242,0.56385,0.33212,16.3211
1,5,5,Indirect,2,12,4.0903,1.5992,0.718921,0.281079,0.81806,0.3998,13.9605
1,5,5,Indirect,2,13,4.9512,1.3841,0.781526,0.218474,0.99024,0.346025,14.8422
1,5,5,Indirect,2,14,7.2275,1.968,0.785982,0.214018,1.0325,0.328,13.5376
1,5,5,Indirect,2,15,6.3969,1.015,0.863058,0.136942,1.27938,0.25375,16.1423
1,5,5,Indirect,2,16,7.258,1.1073,0.867632,0.132368,1.8145,0.3691,11.9848
1,5,5,Indirect,2,17,5.5665,1.1686,0.826491,0.173509,1.39162,0.389533,12.8394
1,5,5,Indirect,2,18,5.5665,1.9991,0.735765,0.264235,0.92775,0.39982,14.8432
1,5,5,Indirect,2,19,5.9358,1.7223,0.775101,0.224899,1.18716,0.430575,17.0479
1,5,5,Indirect,2,20,4.8593,1.4148,0.774502,0.225498,0.97186,0.3537,13.4399
1,5,5,Indirect,3,21,7.5041,1.0457,0.877693,0.122307,1.87602,0.348567,20.2614
1,5,5,Indirect,3,22,3.4139,1.4147,0.707017,0.292983,0.68278,0.353675,16.0856
