id,scale,size,word,time,time/length
1,1x3,1,the,0.58433,0.194777
1,1x3,1,quick,0.79952,0.159904
1,1x3,1,brown,1.07626,0.215252
1,1x3,1,fox,0.61512,0.20504
1,1x3,1,jumps,1.04546,0.209092
1,1x3,1,over,0.89175,0.222937
1,1x3,1,the,0.55344,0.18448
1,1x3,1,lazy,0.86101,0.215252
1,1x3,1,dog,0.70721,0.235737
1,1x3,1,the,0.55352,0.184507
1,1x3,1,five,0.86099,0.215247
1,1x3,1,boxing,1.19925,0.199875
1,1x3,1,wizards,1.13769,0.162527
1,1x3,1,jump,0.86098,0.215245
1,1x3,1,quickly,1.16854,0.166934
1,1x3,1,thank,1.13789,0.227578
1,1x3,1,you,0.64572,0.21524
1,1x3,1,for,0.61506,0.20502
1,1x3,1,your,0.70729,0.176823
1,1x3,1,help,0.95334,0.238335
1,1x3,1,take,0.83029,0.207573
1,1x3,1,a,0.06149,0.06149
1,1x3,1,coffee,0.9532,0.158867
1,1x3,1,break,1.19934,0.239868
1,1x3,1,do,0.67656,0.33828
1,1x3,1,you,0.79958,0.266527
1,1x3,1,get,0.70735,0.235783
1,1x3,1,nervous,2.09109,0.298727
1,1x3,1,when,0.95329,0.238323
1,1x3,1,you,0.76882,0.256273
1,1x3,1,speak,1.32229,0.264458
1,1x3,1,sad,0.861,0.287
1,1x3,1,to,0.43053,0.215265
1,1x3,1,hear,0.95332,0.23833
1,1x3,1,that,0.95323,0.238307
1,1x3,1,news,0.95332,0.23833
1,1x3,1,a,0.03074,0.03074
1,1x3,1,much,0.73806,0.184515
1,1x3,1,higher,1.23003,0.205005
1,1x3,1,risk,0.9841,0.246025
1,1x3,1,of,0.49213,0.246065
1,1x3,1,getting,1.23006,0.175723
1,1x3,1,cancer,1.53762,0.25627
1,1x3,1,please,1.44537,0.240895
1,1x3,1,follow,1.32237,0.220395
1,1x3,1,the,0.67659,0.22553
1,1x3,1,guidelines,2.52172,0.252172
1,1x3,1,world,1.07634,0.215268
1,1x3,1,population,1.99897,0.199897
1,1x3,1,is,0.46131,0.230655
1,1x3,1,growing,1.69134,0.24162
1,1x3,1,reading,1.4455,0.2065
1,1x3,1,week,0.7381,0.184525
1,1x3,1,is,0.7996,0.3998
1,1x3,1,just,0.9534,0.23835
1,1x3,1,about,0.9841,0.19682
1,1x3,1,here,0.8919,0.222975
1,1x3,1,this,0.7996,0.1999
1,1x3,1,is,0.3383,0.16915
1,1x3,1,a,0.0308,0.0308
1,1x3,1,very,0.6458,0.16145
1,1x3,1,good,0.7074,0.17685
1,1x3,1,idea,0.8612,0.2153
1,1x3,1,do,0.5535,0.27675
1,1x3,1,not,0.8612,0.287067
1,1x3,1,walk,0.9534,0.23835
1,1x3,1,too,0.6151,0.205033
1,1x3,1,quickly,1.1071,0.158157
1,1x3,1,express,1.3225,0.188929
1,1x3,1,delivery,1.6299,0.203738
1,1x3,1,is,0.3997,0.19985
1,1x3,1,very,0.7073,0.176825
1,1x3,1,fast,0.8918,0.22295
1,1x3,1,my,0.4614,0.2307
1,1x3,1,car,0.6766,0.225533
1,1x3,1,always,1.7532,0.2922
1,1x3,1,breaks,1.1994,0.1999
1,1x3,1,in,0.5844,0.2922
1,1x3,1,the,0.7996,0.266533
1,1x3,1,winter,1.7529,0.29215
1,1x3,1,question,1.5377,0.192213
1,1x3,1,that,0.6766,0.16915
1,1x3,1,must,0.7688,0.1922
1,1x3,1,be,0.5228,0.2614
1,1x3,1,answered,2.891,0.361375
1,1x3,1,interesting,2.6756,0.243236
1,1x3,1,observation,2.6757,0.243245
1,1x3,1,was,0.7073,0.235767
1,1x3,1,made,1.1994,0.29985
1,1x3,1,bad,0.7687,0.256233
1,1x3,1,for,0.6459,0.2153
1,1x3,1,the,0.5536,0.184533
1,1x3,1,environment,3.5983,0.327118
1,1x3,1,is,0.4613,0.23065
1,1x3,1,there,1.1072,0.22144
1,1x3,1,any,0.7689,0.2563
1,1x3,1,indication,1.8761,0.18761
1,1x3,1,of,0.3997,0.19985
1,1x3,1,this,0.9533,0.238325
1,1x3,1,file,1.0149,0.253725
1,1x3,1,all,0.4921,0.164033
1,1x3,1,complaints,2.2759,0.22759
1,1x3,1,in,0.7381,0.36905
1,1x3,1,writing,1.4148,0.202114
1,1x3,1,our,0.9535,0.317833
1,1x3,1,fax,0.6151,0.205033
1,1x3,1,number,1.3225,0.220417
1,1x3,1,has,0.6151,0.205033
1,1x3,1,changed,1.3531,0.1933
1,1x3,1,construction,2.6756,0.222967
1,1x3,1,makes,1.0764,0.21528
1,1x3,1,traveling,2.0299,0.225544
1,1x3,1,difficult,1.7222,0.191356
1,1x3,1,a,0.0923,0.0923
1,1x3,1,quarter,1.261,0.180143
1,1x3,1,of,0.4306,0.2153
1,1x3,1,a,0.0615,0.0615
1,1x3,1,century,1.5685,0.224071
1,1x3,1,our,0.5228,0.174267
1,1x3,1,silver,1.4147,0.235783
1,1x3,1,anniversary,1.9991,0.181736
1,1x3,1,is,0.492,0.246
1,1x3,1,coming,1.2916,0.215267
1,1x3,1,watch,0.8919,0.17838
1,1x3,1,out,0.5536,0.184533
1,1x3,1,for,0.615,0.205
1,1x3,1,low,0.8612,0.287067
1,1x3,1,flying,1.4147,0.235783
1,1x3,1,objects,1.5685,0.224071
1,1x3,1,the,0.5843,0.194767
1,1x3,1,location,1.63,0.20375
1,1x3,1,of,0.369,0.1845
1,1x3,1,the,0.6151,0.205033
1,1x3,1,crime,1.261,0.2522
1,1x3,1,want,0.8304,0.2076
1,1x3,1,to,0.3383,0.16915
1,1x3,1,join,1.0149,0.253725
1,1x3,1,us,0.5228,0.2614
1,1x3,1,for,0.6304,0.210133
1,1x3,1,lunch,1.3225,0.2645
1,1x3,1,travel,1.384,0.230667
1,1x3,1,at,0.3998,0.1999
1,1x3,1,the,0.615,0.205
1,1x3,1,speed,0.8919,0.17838
1,1x3,1,of,0.3691,0.18455
1,1x3,1,light,1.0149,0.20298
1,1x3,1,,0.0616,inf
1,1x3,1,,0.5536,inf
1,1x3,1,can,0.5843,0.194767
1,1x3,1,still,0.7381,0.14762
1,1x3,1,feel,0.7996,0.1999
