id,algorithm,block,mode,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,all,top1(ratio),top2(ratio),top3(ratio),top4(ratio),top5(ratio),top6(ratio),top7(ratio),top8(ratio),top9(ratio),top10(ratio),top11(ratio),top12(ratio)
3,DTW,5,FixStart,17,23,24,25,26,27,28,28,28,28,28,28,28,0.607143,0.821429,0.857143,0.892857,0.928571,0.964286,1,1,1,1,1,1
3,DTW,6,FixStart,26,30,30,30,30,31,31,32,32,32,32,32,32,0.8125,0.9375,0.9375,0.9375,0.9375,0.96875,0.96875,1,1,1,1,1
3,DTW,7,FixStart,27,31,32,32,32,32,32,32,32,33,33,33,33,0.818182,0.939394,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,1,1,1
3,DTW,8,FixStart,29,32,32,32,32,33,33,34,34,34,34,34,34,0.852941,0.941176,0.941176,0.941176,0.941176,0.970588,0.970588,1,1,1,1,1
3,DTW,1,Basic,24,26,28,29,30,31,31,31,31,31,32,32,33,0.727273,0.787879,0.848485,0.878788,0.909091,0.939394,0.939394,0.939394,0.939394,0.939394,0.969697,0.969697
3,DTW,2,Basic,19,23,28,29,29,29,32,32,32,33,33,33,34,0.558824,0.676471,0.823529,0.852941,0.852941,0.852941,0.941176,0.941176,0.941176,0.970588,0.970588,0.970588
3,DTW,3,Basic,18,23,28,30,30,31,32,32,32,32,32,32,32,0.5625,0.71875,0.875,0.9375,0.9375,0.96875,1,1,1,1,1,1
3,DTW,4,Basic,18,26,29,30,30,30,30,31,31,32,32,33,37,0.486486,0.702703,0.783784,0.810811,0.810811,0.810811,0.810811,0.837838,0.837838,0.864865,0.864865,0.891892
3,DTW,5,Basic,22,23,26,28,29,30,30,30,32,32,33,33,34,0.647059,0.676471,0.764706,0.823529,0.852941,0.882353,0.882353,0.882353,0.941176,0.941176,0.970588,0.970588
3,DTW,6,Basic,21,24,28,28,28,28,28,28,28,28,28,29,31,0.677419,0.774194,0.903226,0.903226,0.903226,0.903226,0.903226,0.903226,0.903226,0.903226,0.903226,0.935484
3,DTW,7,Basic,24,26,26,28,29,29,30,31,31,31,31,31,31,0.774194,0.83871,0.83871,0.903226,0.935484,0.935484,0.967742,1,1,1,1,1
3,DTW,8,Basic,27,28,30,31,32,32,32,32,33,33,33,33,35,0.771429,0.8,0.857143,0.885714,0.914286,0.914286,0.914286,0.914286,0.942857,0.942857,0.942857,0.942857
4,DTW,1,FixStart,20,25,29,30,30,31,31,31,31,31,31,31,33,0.606061,0.757576,0.878788,0.909091,0.909091,0.939394,0.939394,0.939394,0.939394,0.939394,0.939394,0.939394
4,DTW,2,FixStart,28,31,32,35,36,36,36,36,36,36,36,36,37,0.756757,0.837838,0.864865,0.945946,0.972973,0.972973,0.972973,0.972973,0.972973,0.972973,0.972973,0.972973
4,DTW,3,FixStart,25,30,31,33,34,34,34,34,34,34,34,34,36,0.694444,0.833333,0.861111,0.916667,0.944444,0.944444,0.944444,0.944444,0.944444,0.944444,0.944444,0.944444
4,DTW,4,FixStart,23,28,31,32,32,33,33,33,33,33,33,33,33,0.69697,0.848485,0.939394,0.969697,0.969697,1,1,1,1,1,1,1
4,DTW,5,FixStart,20,25,27,28,28,28,28,28,28,29,29,29,29,0.689655,0.862069,0.931035,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517,1,1,1
4,DTW,6,FixStart,25,30,32,33,34,34,34,34,34,35,35,35,35,0.714286,0.857143,0.914286,0.942857,0.971429,0.971429,0.971429,0.971429,0.971429,1,1,1
4,DTW,7,FixStart,22,30,32,32,32,32,32,32,32,32,32,32,32,0.6875,0.9375,1,1,1,1,1,1,1,1,1,1
4,DTW,8,FixStart,27,31,31,31,32,32,32,32,32,32,32,32,32,0.84375,0.96875,0.96875,0.96875,1,1,1,1,1,1,1,1
4,DTW,1,Basic,23,29,33,35,35,36,36,36,36,36,36,36,43,0.534884,0.674419,0.767442,0.813953,0.813953,0.837209,0.837209,0.837209,0.837209,0.837209,0.837209,0.837209
4,DTW,2,Basic,21,24,24,25,27,29,30,30,30,31,31,31,33,0.636364,0.727273,0.727273,0.757576,0.818182,0.878788,0.909091,0.909091,0.909091,0.939394,0.939394,0.939394
4,DTW,3,Basic,23,28,29,30,30,30,30,30,30,30,30,31,35,0.657143,0.8,0.828571,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.885714
4,DTW,4,Basic,20,26,29,30,30,32,33,33,33,34,34,34,39,0.512821,0.666667,0.74359,0.769231,0.769231,0.820513,0.846154,0.846154,0.846154,0.871795,0.871795,0.871795
4,DTW,5,Basic,20,25,26,28,28,29,29,30,30,30,30,31,35,0.571429,0.714286,0.742857,0.8,0.8,0.828571,0.828571,0.857143,0.857143,0.857143,0.857143,0.885714
4,DTW,6,Basic,28,33,34,35,35,35,35,35,35,35,35,35,39,0.717949,0.846154,0.871795,0.897436,0.897436,0.897436,0.897436,0.897436,0.897436,0.897436,0.897436,0.897436
4,DTW,7,Basic,27,29,30,32,32,32,32,32,32,33,33,33,33,0.818182,0.878788,0.909091,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,1,1,1
4,DTW,8,Basic,26,29,34,34,34,34,34,34,34,34,34,34,34,0.764706,0.852941,1,1,1,1,1,1,1,1,1,1
5,DTW,1,FixStart,22,28,28,29,29,31,32,33,33,33,33,33,36,0.611111,0.777778,0.777778,0.805556,0.805556,0.861111,0.888889,0.916667,0.916667,0.916667,0.916667,0.916667
5,DTW,2,FixStart,26,29,30,30,30,31,31,31,31,31,31,31,33,0.787879,0.878788,0.909091,0.909091,0.909091,0.939394,0.939394,0.939394,0.939394,0.939394,0.939394,0.939394
5,DTW,3,FixStart,26,28,29,29,29,29,30,31,31,31,31,32,33,0.787879,0.848485,0.878788,0.878788,0.878788,0.878788,0.909091,0.939394,0.939394,0.939394,0.939394,0.969697
5,DTW,4,FixStart,23,26,28,29,30,30,30,30,30,30,30,30,30,0.766667,0.866667,0.933333,0.966667,1,1,1,1,1,1,1,1
5,DTW,5,FixStart,28,28,30,30,30,30,30,30,30,30,30,30,30,0.933333,0.933333,1,1,1,1,1,1,1,1,1,1
5,DTW,6,FixStart,24,28,31,31,32,32,32,32,32,32,33,33,34,0.705882,0.823529,0.911765,0.911765,0.941176,0.941176,0.941176,0.941176,0.941176,0.941176,0.970588,0.970588
5,DTW,7,FixStart,24,31,32,32,33,35,35,35,35,35,35,35,37,0.648649,0.837838,0.864865,0.864865,0.891892,0.945946,0.945946,0.945946,0.945946,0.945946,0.945946,0.945946
5,DTW,8,FixStart,27,30,30,33,33,33,34,34,34,35,35,35,36,0.75,0.833333,0.833333,0.916667,0.916667,0.916667,0.944444,0.944444,0.944444,0.972222,0.972222,0.972222
5,DTW,1,Basic,22,25,27,29,29,30,30,32,32,33,33,33,36,0.611111,0.694444,0.75,0.805556,0.805556,0.833333,0.833333,0.888889,0.888889,0.916667,0.916667,0.916667
5,DTW,2,Basic,23,26,27,28,28,28,29,29,29,30,30,30,34,0.676471,0.764706,0.794118,0.823529,0.823529,0.823529,0.852941,0.852941,0.852941,0.882353,0.882353,0.882353
5,DTW,3,Basic,23,27,28,31,32,32,33,34,34,34,34,34,36,0.638889,0.75,0.777778,0.861111,0.888889,0.888889,0.916667,0.944444,0.944444,0.944444,0.944444,0.944444
5,DTW,4,Basic,19,21,22,23,23,25,27,27,27,28,30,30,33,0.575758,0.636364,0.666667,0.69697,0.69697,0.757576,0.818182,0.818182,0.818182,0.848485,0.909091,0.909091
5,DTW,5,Basic,22,25,27,29,29,29,29,29,29,30,30,30,32,0.6875,0.78125,0.84375,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.9375,0.9375,0.9375
5,DTW,6,Basic,26,30,31,32,32,32,32,32,32,32,32,32,34,0.764706,0.882353,0.911765,0.941176,0.941176,0.941176,0.941176,0.941176,0.941176,0.941176,0.941176,0.941176
5,DTW,7,Basic,27,30,30,30,30,31,32,32,32,32,32,32,33,0.818182,0.909091,0.909091,0.909091,0.909091,0.939394,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697
5,DTW,8,Basic,25,26,28,28,29,29,29,32,32,33,33,33,35,0.714286,0.742857,0.8,0.8,0.828571,0.828571,0.828571,0.914286,0.914286,0.942857,0.942857,0.942857
6,DTW,1,FixStart,24,27,28,29,29,30,30,31,31,31,31,31,32,0.75,0.84375,0.875,0.90625,0.90625,0.9375,0.9375,0.96875,0.96875,0.96875,0.96875,0.96875
6,DTW,2,FixStart,28,29,30,30,30,30,30,30,30,30,30,30,30,0.933333,0.966667,1,1,1,1,1,1,1,1,1,1
6,DTW,3,FixStart,27,32,32,33,33,33,33,33,33,33,33,33,34,0.794118,0.941176,0.941176,0.970588,0.970588,0.970588,0.970588,0.970588,0.970588,0.970588,0.970588,0.970588
6,DTW,4,FixStart,25,27,28,29,29,29,29,29,30,30,30,30,30,0.833333,0.9,0.933333,0.966667,0.966667,0.966667,0.966667,0.966667,1,1,1,1
6,DTW,5,FixStart,26,26,29,29,29,30,30,30,30,30,30,30,30,0.866667,0.866667,0.966667,0.966667,0.966667,1,1,1,1,1,1,1
6,DTW,6,FixStart,31,34,35,36,37,37,37,37,37,37,37,37,37,0.837838,0.918919,0.945946,0.972973,1,1,1,1,1,1,1,1
6,DTW,7,FixStart,24,26,29,30,30,30,30,30,30,30,30,30,30,0.8,0.866667,0.966667,1,1,1,1,1,1,1,1,1
6,DTW,8,FixStart,21,27,28,29,29,29,29,30,30,30,30,30,30,0.7,0.9,0.933333,0.966667,0.966667,0.966667,0.966667,1,1,1,1,1
6,DTW,1,Basic,27,31,31,32,32,32,32,32,33,33,33,33,34,0.794118,0.911765,0.911765,0.941176,0.941176,0.941176,0.941176,0.941176,0.970588,0.970588,0.970588,0.970588
6,DTW,2,Basic,24,29,30,30,31,31,31,31,31,32,32,32,34,0.705882,0.852941,0.882353,0.882353,0.911765,0.911765,0.911765,0.911765,0.911765,0.941176,0.941176,0.941176
6,DTW,3,Basic,26,27,30,31,32,32,32,32,32,32,32,32,33,0.787879,0.818182,0.909091,0.939394,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697
6,DTW,4,Basic,28,29,30,31,31,32,32,32,32,32,32,32,32,0.875,0.90625,0.9375,0.96875,0.96875,1,1,1,1,1,1,1
6,DTW,5,Basic,26,28,28,30,30,30,32,32,32,32,32,33,34,0.764706,0.823529,0.823529,0.882353,0.882353,0.882353,0.941176,0.941176,0.941176,0.941176,0.941176,0.970588
6,DTW,6,Basic,23,28,30,30,31,31,31,31,31,31,31,32,32,0.71875,0.875,0.9375,0.9375,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,1
6,DTW,7,Basic,19,22,22,22,22,23,24,24,27,29,29,29,29,0.655172,0.758621,0.758621,0.758621,0.758621,0.793103,0.827586,0.827586,0.931035,1,1,1
6,DTW,8,Basic,20,24,26,28,28,29,29,31,31,31,31,31,31,0.645161,0.774194,0.83871,0.903226,0.903226,0.935484,0.935484,1,1,1,1,1
7,DTW,1,Basic,27,28,31,32,32,32,32,32,32,32,32,32,32,0.84375,0.875,0.96875,1,1,1,1,1,1,1,1,1
7,DTW,2,Basic,29,32,33,34,34,34,34,35,35,35,35,35,36,0.805556,0.888889,0.916667,0.944444,0.944444,0.944444,0.944444,0.972222,0.972222,0.972222,0.972222,0.972222
7,DTW,3,Basic,24,29,31,32,32,33,33,33,33,33,33,33,34,0.705882,0.852941,0.911765,0.941176,0.941176,0.970588,0.970588,0.970588,0.970588,0.970588,0.970588,0.970588
