id,algorithm,block,mode,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,all,top1(ratio),top2(ratio),top3(ratio),top4(ratio),top5(ratio),top6(ratio),top7(ratio),top8(ratio),top9(ratio),top10(ratio),top11(ratio),top12(ratio)
9,DTW,8,FixStart,26,29,31,31,31,32,32,32,32,32,32,32,34,0.764706,0.852941,0.911765,0.911765,0.911765,0.941176,0.941176,0.941176,0.941176,0.941176,0.941176,0.941176
10,DTW,1,FixStart,24,25,25,26,26,26,27,28,28,28,28,28,28,0.857143,0.892857,0.892857,0.928571,0.928571,0.928571,0.964286,1,1,1,1,1
10,DTW,2,FixStart,27,32,32,33,34,34,34,34,34,34,34,34,34,0.794118,0.941176,0.941176,0.970588,1,1,1,1,1,1,1,1
10,DTW,3,FixStart,23,27,28,28,28,28,28,28,28,28,28,28,28,0.821429,0.964286,1,1,1,1,1,1,1,1,1,1
10,DTW,4,FixStart,28,28,29,29,29,29,29,29,29,29,29,29,29,0.965517,0.965517,1,1,1,1,1,1,1,1,1,1
10,DTW,5,FixStart,28,31,32,35,35,35,35,35,35,35,35,35,35,0.8,0.885714,0.914286,1,1,1,1,1,1,1,1,1
10,DTW,6,FixStart,28,32,33,34,34,34,35,35,35,35,35,35,35,0.8,0.914286,0.942857,0.971429,0.971429,0.971429,1,1,1,1,1,1
10,DTW,7,FixStart,25,30,31,31,32,32,32,33,33,33,33,33,33,0.757576,0.909091,0.939394,0.939394,0.969697,0.969697,0.969697,1,1,1,1,1
10,DTW,8,FixStart,27,32,34,34,34,34,34,35,35,35,35,35,35,0.771429,0.914286,0.971429,0.971429,0.971429,0.971429,0.971429,1,1,1,1,1
10,DTW,1,Basic,28,30,32,32,32,33,34,34,34,34,34,34,34,0.823529,0.882353,0.941176,0.941176,0.941176,0.970588,1,1,1,1,1,1
10,DTW,2,Basic,28,32,33,33,33,33,33,33,33,33,33,33,33,0.848485,0.969697,1,1,1,1,1,1,1,1,1,1
10,DTW,3,Basic,22,25,26,29,29,29,29,31,31,31,32,32,32,0.6875,0.78125,0.8125,0.90625,0.90625,0.90625,0.90625,0.96875,0.96875,0.96875,1,1
10,DTW,4,Basic,24,25,26,28,28,29,30,30,30,30,30,30,30,0.8,0.833333,0.866667,0.933333,0.933333,0.966667,1,1,1,1,1,1
10,DTW,5,Basic,31,33,35,38,39,39,39,39,39,39,40,40,40,0.775,0.825,0.875,0.95,0.975,0.975,0.975,0.975,0.975,0.975,1,1
10,DTW,6,Basic,20,24,24,26,28,28,28,28,28,28,28,28,28,0.714286,0.857143,0.857143,0.928571,1,1,1,1,1,1,1,1
10,DTW,7,Basic,27,32,32,33,34,34,34,34,34,34,34,34,34,0.794118,0.941176,0.941176,0.970588,1,1,1,1,1,1,1,1
10,DTW,8,Basic,26,30,31,31,31,31,31,31,31,31,32,32,32,0.8125,0.9375,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,1,1
11,DTW,1,Basic,24,25,25,26,27,27,28,28,29,29,29,29,32,0.75,0.78125,0.78125,0.8125,0.84375,0.84375,0.875,0.875,0.90625,0.90625,0.90625,0.90625
11,DTW,2,Basic,23,29,29,31,31,31,32,32,33,33,33,33,39,0.589744,0.74359,0.74359,0.794872,0.794872,0.794872,0.820513,0.820513,0.846154,0.846154,0.846154,0.846154
11,DTW,3,Basic,27,31,32,33,34,34,34,34,34,34,34,34,37,0.72973,0.837838,0.864865,0.891892,0.918919,0.918919,0.918919,0.918919,0.918919,0.918919,0.918919,0.918919
11,DTW,4,Basic,18,22,22,23,23,26,27,27,28,28,28,28,29,0.62069,0.758621,0.758621,0.793103,0.793103,0.896552,0.931035,0.931035,0.965517,0.965517,0.965517,0.965517
11,DTW,5,Basic,25,29,29,29,31,31,32,32,32,32,32,32,36,0.694444,0.805556,0.805556,0.805556,0.861111,0.861111,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889
11,DTW,6,Basic,17,26,26,29,30,30,31,31,31,31,31,31,33,0.515152,0.787879,0.787879,0.878788,0.909091,0.909091,0.939394,0.939394,0.939394,0.939394,0.939394,0.939394
11,DTW,7,Basic,23,28,28,30,31,31,31,31,31,31,32,32,34,0.676471,0.823529,0.823529,0.882353,0.911765,0.911765,0.911765,0.911765,0.911765,0.911765,0.941176,0.941176
11,DTW,8,Basic,23,29,31,34,35,35,35,36,36,36,36,36,41,0.560976,0.707317,0.756098,0.829268,0.853659,0.853659,0.853659,0.878049,0.878049,0.878049,0.878049,0.878049
11,DTW,1,FixStart,17,24,25,25,26,26,26,26,26,26,26,27,36,0.472222,0.666667,0.694444,0.694444,0.722222,0.722222,0.722222,0.722222,0.722222,0.722222,0.722222,0.75
11,DTW,2,FixStart,33,37,38,39,40,40,40,40,40,40,40,40,46,0.717391,0.804348,0.826087,0.847826,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565
11,DTW,3,FixStart,23,27,27,27,28,28,28,28,28,29,29,29,32,0.71875,0.84375,0.84375,0.84375,0.875,0.875,0.875,0.875,0.875,0.90625,0.90625,0.90625
11,DTW,4,FixStart,23,28,30,30,30,30,30,30,31,31,31,31,35,0.657143,0.8,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.885714,0.885714,0.885714,0.885714
11,DTW,5,FixStart,22,27,27,29,30,30,30,30,30,30,30,30,33,0.666667,0.818182,0.818182,0.878788,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091
11,DTW,6,FixStart,22,25,25,27,28,28,28,28,28,28,28,28,29,0.758621,0.862069,0.862069,0.931035,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517
11,DTW,7,FixStart,30,35,36,36,37,38,38,38,38,38,38,38,41,0.731707,0.853659,0.878049,0.878049,0.902439,0.926829,0.926829,0.926829,0.926829,0.926829,0.926829,0.926829
11,DTW,8,FixStart,26,29,29,29,29,30,30,30,30,31,31,31,35,0.742857,0.828571,0.828571,0.828571,0.828571,0.857143,0.857143,0.857143,0.857143,0.885714,0.885714,0.885714
12,DTW,1,FixStart,25,30,30,33,33,34,34,34,34,34,34,34,35,0.714286,0.857143,0.857143,0.942857,0.942857,0.971429,0.971429,0.971429,0.971429,0.971429,0.971429,0.971429
12,DTW,2,FixStart,22,24,27,28,28,28,28,28,28,28,28,28,33,0.666667,0.727273,0.818182,0.848485,0.848485,0.848485,0.848485,0.848485,0.848485,0.848485,0.848485,0.848485
12,DTW,3,FixStart,29,32,33,33,34,35,35,35,35,35,35,35,38,0.763158,0.842105,0.868421,0.868421,0.894737,0.921053,0.921053,0.921053,0.921053,0.921053,0.921053,0.921053
12,DTW,4,FixStart,25,28,29,29,29,29,30,30,30,30,31,31,37,0.675676,0.756757,0.783784,0.783784,0.783784,0.783784,0.810811,0.810811,0.810811,0.810811,0.837838,0.837838
12,DTW,5,FixStart,25,26,29,31,31,31,31,31,32,32,32,32,34,0.735294,0.764706,0.852941,0.911765,0.911765,0.911765,0.911765,0.911765,0.941176,0.941176,0.941176,0.941176
12,DTW,6,FixStart,21,26,27,27,30,30,30,31,31,31,31,31,33,0.636364,0.787879,0.818182,0.818182,0.909091,0.909091,0.909091,0.939394,0.939394,0.939394,0.939394,0.939394
12,DTW,7,FixStart,23,25,27,28,29,29,29,29,29,30,30,30,34,0.676471,0.735294,0.794118,0.823529,0.852941,0.852941,0.852941,0.852941,0.852941,0.882353,0.882353,0.882353
12,DTW,8,FixStart,22,25,26,28,28,29,29,30,30,30,30,30,37,0.594595,0.675676,0.702703,0.756757,0.756757,0.783784,0.783784,0.810811,0.810811,0.810811,0.810811,0.810811
12,DTW,1,Basic,24,27,27,29,29,30,30,30,30,30,30,30,37,0.648649,0.72973,0.72973,0.783784,0.783784,0.810811,0.810811,0.810811,0.810811,0.810811,0.810811,0.810811
12,DTW,2,Basic,22,27,31,31,33,33,33,33,33,33,33,34,51,0.431373,0.529412,0.607843,0.607843,0.647059,0.647059,0.647059,0.647059,0.647059,0.647059,0.647059,0.666667
12,DTW,3,Basic,21,25,26,29,29,29,29,30,30,30,30,30,36,0.583333,0.694444,0.722222,0.805556,0.805556,0.805556,0.805556,0.833333,0.833333,0.833333,0.833333,0.833333
12,DTW,4,Basic,16,19,22,24,25,26,27,28,29,29,30,30,38,0.421053,0.5,0.578947,0.631579,0.657895,0.684211,0.710526,0.736842,0.763158,0.763158,0.789474,0.789474
12,DTW,5,Basic,24,28,29,31,32,33,33,33,34,34,35,35,42,0.571429,0.666667,0.690476,0.738095,0.761905,0.785714,0.785714,0.785714,0.809524,0.809524,0.833333,0.833333
12,DTW,6,Basic,20,26,27,27,28,29,30,31,31,32,32,32,40,0.5,0.65,0.675,0.675,0.7,0.725,0.75,0.775,0.775,0.8,0.8,0.8
12,DTW,7,Basic,21,30,31,31,31,31,31,31,32,33,34,34,42,0.5,0.714286,0.738095,0.738095,0.738095,0.738095,0.738095,0.738095,0.761905,0.785714,0.809524,0.809524
12,DTW,8,Basic,23,27,29,32,32,32,32,32,32,33,33,34,38,0.605263,0.710526,0.763158,0.842105,0.842105,0.842105,0.842105,0.842105,0.842105,0.868421,0.868421,0.894737
