user_id,Direct,Indirect
1,0.490531,0.595776
2,0.446485,0.643027
3,0.4922,0.582812
4,0.665581,0.726297
5,0.509144,0.811843
6,0.694152,0.927812
7,0.619776,0.925789
8,0.472457,0.502338
9,0.625344,0.769457
10,0.501242,0.795238
11,0.72877,0.902871
12,0.401265,0.644603
13,0.834314,0.827047
14,0.857006,0.929268
Mean,0.5955905,0.756012714
SD,0.139490256,0.137812519
