user_id,usage,phrase_id,word_id,precision
1,Indirect,31,1,0.510354
1,Indirect,31,2,0.345667
1,Indirect,31,3,0.489661
1,Indirect,31,4,0.51435
1,Indirect,31,5,0.654761
1,Indirect,31,6,0.34469
1,Indirect,31,7,0.179862
1,Indirect,32,1,0.388496
1,Indirect,32,2,0.750787
1,Indirect,32,3,0.500986
1,Indirect,32,4,0.462157
1,Indirect,32,5,0.14689
1,Indirect,32,6,0.884616
1,Indirect,33,1,0.576629
1,Indirect,33,2,0.474549
1,Indirect,33,3,0.673609
1,Indirect,33,4,0.957528
1,Indirect,33,5,0.244934
1,Indirect,33,6,0.509567
1,Indirect,34,1,0.690108
1,Indirect,34,2,0.539726
1,Indirect,34,3,0.47627
1,Indirect,34,4,0.225602
1,Indirect,34,5,0.797835
1,Indirect,35,1,0.87877
1,Indirect,35,2,0.4978
1,Indirect,35,3,1.16592
1,Indirect,35,4,0.282781
1,Indirect,35,5,0.57497
1,Indirect,36,1,0.47415
1,Indirect,36,2,1.35094
1,Indirect,36,3,0.585813
1,Indirect,36,4,0.633421
1,Indirect,36,5,0.815985
1,Indirect,37,1,0.727646
1,Indirect,37,2,0.717656
1,Indirect,37,3,0.917918
1,Indirect,37,4,0.572204
1,Indirect,38,1,0.607056
1,Indirect,38,2,0.895366
1,Indirect,38,3,0.979996
1,Indirect,38,4,0.253212
1,Indirect,38,5,0.636434
1,Indirect,39,1,0.706146
1,Indirect,39,2,0.400772
1,Indirect,39,3,0.316412
1,Indirect,39,4,0.758009
1,Indirect,39,5,0.261152
1,Indirect,39,6,0.766147
1,Indirect,40,1,0.275534
1,Indirect,40,2,0.764915
1,Indirect,40,3,0.906246
1,Indirect,40,4,0.705059
1,Indirect,40,5,0.768354
1,Indirect,40,6,0.422856
1,Indirect,40,7,0.588057
1,Direct,41,1,0.268357
1,Direct,41,2,0.688045
1,Direct,41,3,0.599976
1,Direct,41,4,0.297278
1,Direct,41,5,0.422873
1,Direct,41,6,0.65939
1,Direct,41,7,0.331676
1,Direct,41,8,0.929978
1,Direct,41,9,0.504283
1,Direct,42,1,0.33194
1,Direct,42,2,0.430526
1,Direct,42,3,0.617732
1,Direct,42,4,0.657887
1,Direct,42,5,0.505301
1,Direct,42,6,0.593368
1,Direct,43,1,0.403886
1,Direct,43,2,0.550457
1,Direct,43,3,0.306026
1,Direct,43,4,0.440032
1,Direct,43,5,0.343242
1,Direct,43,6,0.686947
1,Direct,44,1,0.327194
1,Direct,44,2,0.590519
1,Direct,44,3,0.438396
1,Direct,44,4,0.430503
1,Direct,45,1,0.384136
1,Direct,45,2,0.714196
1,Direct,45,3,0.56431
1,Direct,45,4,0.732347
1,Direct,45,5,0.534019
1,Direct,46,1,0.430631
1,Direct,46,2,0.594397
1,Direct,46,3,0.512126
1,Direct,46,4,0.457432
1,Direct,47,1,0.398595
1,Direct,47,2,0.424934
1,Direct,47,3,0.418453
1,Direct,47,4,0.343827
1,Direct,47,5,0.352898
1,Direct,47,6,0.432143
1,Direct,47,7,0.500239
1,Direct,48,1,0.53507
1,Direct,48,2,0.508469
1,Direct,48,3,0.486499
1,Direct,48,4,0.48753
1,Direct,48,5,0.437517
1,Direct,48,6,0.512167
1,Direct,49,1,0.478444
1,Direct,49,2,0.428729
1,Direct,49,3,0.732665
1,Direct,49,4,0.467829
1,Direct,49,5,0.626671
1,Direct,50,1,0.571697
1,Direct,50,2,0.492627
1,Direct,50,3,0.452854
1,Direct,50,4,0.257353
1,Direct,50,5,0.362826
1,Direct,50,6,0.362768
1,Direct,51,1,0.512099
1,Direct,51,2,0.697906
