id,usage,type,key,x,y
1,Indirect,end,g,-0.0277778,-0.0114264,
1,Indirect,start,r,-0.155093,0.222222,
1,Indirect,end,g,-0.0509259,-0.00115744,
1,Indirect,start,w,-0.30787,0.162037,
1,Indirect,end,k,0.253472,-0.0266204,
1,Indirect,start,i,0.229167,0.268519,
1,Indirect,end,s,-0.333333,-0.0231482,
1,Indirect,start,j,0.219907,-0.0231482,
1,Indirect,end,t,-0.0821759,0.302083,
1,Indirect,start,a,-0.266204,0.118056,
1,Indirect,end,t,-0.0920043,0.243055,
1,Indirect,start,h,0.0694445,-0.025463,
1,Indirect,end,e,-0.252315,0.231481,
1,Indirect,start,t,0.00694444,0.25,
1,Indirect,end,s,-0.296296,0.0231481,
1,Indirect,start,i,0.175926,0.270833,
1,Indirect,end,s,-0.354167,-0.0324074,
1,Indirect,start,a,-0.395833,0.00462956,
1,Indirect,end,a,-0.395833,0.00462956,
1,Indirect,start,v,-0.113426,-0.277778,
1,Indirect,end,y,0.0395307,0.280003,
1,Indirect,start,g,-0.122685,-0.0694445,
1,Indirect,end,d,-0.252315,-0.0810186,
1,Indirect,start,i,0.212963,0.243055,
1,Indirect,end,a,-0.451389,0.0347222,
1,Indirect,start,d,-0.203704,-0.0416667,
1,Indirect,end,o,0.355324,0.300926,
1,Indirect,start,n,0.0972222,-0.303241,
1,Indirect,end,t,-0.100694,0.196759,
1,Indirect,start,w,-0.231482,0.303241,
1,Indirect,end,k,0.296296,-0.013889,
1,Indirect,start,t,-0.189815,0.180555,
1,Indirect,end,o,0.412037,0.266204,
1,Indirect,start,q,-0.4375,0.164352,
1,Indirect,end,y,0.0138889,0.262731,
1,Indirect,start,e,-0.173611,0.263889,
1,Indirect,end,s,-0.358796,-0.0601852,
1,Indirect,start,d,-0.180556,-0.0578704,
1,Indirect,end,y,0.0532408,0.212963,
1,Indirect,start,i,0.194444,0.284722,
1,Indirect,end,s,-0.347222,-0.0393519,
1,Indirect,start,v,0.0185186,-0.229167,
1,Indirect,end,y,0.0535524,0.291589,
1,Indirect,start,f,-0.0972222,-0.0740741,
1,Indirect,end,t,0.0555556,0.326389,
1,Indirect,start,m,0.201389,-0.296296,
1,Indirect,end,y,0.0324074,0.293981,
1,Indirect,start,c,-0.171296,-0.266204,
1,Indirect,end,r,-0.00925928,0.217593,
1,Indirect,start,a,-0.435185,0.104167,
1,Indirect,end,s,-0.268518,0.0254629,
1,Indirect,start,b,-0.00925928,-0.351852,
1,Indirect,end,s,-0.377315,-0.013889,
1,Indirect,start,i,0.31713,0.342592,
1,Indirect,end,n,0.12037,-0.319444,
1,Indirect,start,t,0.0347222,0.314815,
1,Indirect,end,e,-0.270833,0.233796,
1,Indirect,start,w,-0.393518,0.277778,
1,Indirect,end,r,-0.0902778,0.303241,
1,Indirect,start,q,-0.402778,0.212963,
1,Indirect,end,n,0.037037,-0.271328,
1,Indirect,start,t,-0.0949074,0.229167,
1,Indirect,end,t,0.0724431,0.294255,
1,Indirect,start,m,0.168981,-0.256945,
1,Indirect,end,t,-0.0115741,0.365741,
1,Indirect,start,b,-0.00694444,-0.351852,
1,Indirect,end,e,-0.25463,0.283565,
1,Indirect,start,a,-0.430556,0.037037,
1,Indirect,end,d,-0.0782759,-0.0240623,
1,Indirect,start,i,0.189815,0.226852,
1,Indirect,end,g,-0.0324074,0.0125962,
1,Indirect,start,o,0.25,0.180555,
1,Indirect,end,n,0.0648148,-0.337963,
1,Indirect,start,w,-0.171296,0.219907,
1,Indirect,end,s,-0.214769,0.00925923,
1,Indirect,start,m,0.224537,-0.238426,
1,Indirect,end,e,-0.280093,0.268519,
1,Indirect,start,b,-0.0231482,-0.335648,
1,Indirect,end,d,-0.162294,0.0462962,
1,Indirect,start,f,-0.134259,-0.0787037,
1,Indirect,end,r,-0.173611,0.247685,
1,Indirect,start,t,-0.099537,0.291667,
1,Indirect,end,e,-0.215278,0.270833,
1,Indirect,start,e,-0.155093,0.381944,
1,Indirect,end,t,0.011574,0.315972,
1,Indirect,start,i,0.155093,0.303241,
1,Indirect,end,s,-0.342701,0.00925923,
1,Indirect,start,t,0.0393519,0.368055,
1,Indirect,end,e,-0.30787,0.25463,
1,Indirect,start,a,-0.412037,0.0185184,
1,Indirect,end,y,-0.0555556,0.273148,
1,Indirect,start,i,0.143518,0.304221,
1,Indirect,end,n,0.0347222,-0.305556,
1,Indirect,start,o,0.293981,0.252315,
1,Indirect,end,f,-0.1875,-0.104167,
1,Indirect,start,t,-0.12963,0.247685,
1,Indirect,end,s,-0.351852,0.00231481,
1,Indirect,start,f,-0.152778,-0.0648149,
1,Indirect,end,e,-0.291667,0.256944,
1,Indirect,start,a,-0.527778,0.0439814,
1,Indirect,end,l,0.430556,0.0787037,
1,Indirect,start,c,-0.194444,-0.324074,
1,Indirect,end,s,-0.347222,-0.0141876,
1,Indirect,start,i,0.326389,0.340278,
1,Indirect,end,n,0.164352,-0.259259,
1,Indirect,start,w,-0.409722,0.0810184,
1,Indirect,end,g,0.025463,0.067177,
1,Indirect,start,o,0.375,0.280093,
1,Indirect,end,r,-0.194444,0.256944,
1,Indirect,start,f,-0.12963,-0.0300927,
1,Indirect,end,x,-0.215278,-0.275463,
1,Indirect,start,n,-0.0462963,-0.3125,
1,Indirect,end,r,-0.0641289,0.309499,
1,Indirect,start,h,-0.025463,0.0532407,
1,Indirect,end,s,-0.137732,0.0601852,
1,Indirect,start,c,-0.363426,-0.226852,
1,Indirect,end,d,-0.157407,-0.0347223,
1,Indirect,start,c,-0.19213,-0.391204,
1,Indirect,end,n,0.0821759,-0.269676,
1,Indirect,start,m,0.224537,-0.263889,
1,Indirect,end,s,-0.282407,0.00925923,
1,Indirect,start,t,0.0393519,0.238426,
1,Indirect,end,g,0.0162037,0.0639901,
1,Indirect,start,d,-0.231482,-3.53213e-008,
1,Indirect,end,t,-0.100694,0.33912,
1,Indirect,start,a,-0.386574,-0.0324074,
1,Indirect,end,a,-0.386574,-0.0324074,
1,Indirect,start,q,-0.49537,0.175926,
1,Indirect,end,r,-0.145833,0.261574,
1,Indirect,start,o,0.293981,0.222222,
1,Indirect,end,f,-0.131944,-0.0416667,
1,Indirect,start,a,-0.444444,0.0231481,
1,Indirect,end,a,-0.444444,0.0231481,
1,Indirect,start,c,-0.101852,-0.368056,
1,Indirect,end,y,0.023525,0.259134,
1,Indirect,start,o,0.358796,0.208333,
1,Indirect,end,r,-0.212963,0.206338,
1,Indirect,start,s,-0.418982,-0.164352,
1,Indirect,end,r,-0.0386449,0.203704,
1,Indirect,start,a,-0.474537,0.0648147,
1,Indirect,end,y,0.0340595,0.266204,
1,Indirect,start,i,0.210648,0.303241,
1,Indirect,end,s,-0.270833,-0.0162038,
1,Indirect,start,c,-0.215278,-0.31713,
1,Indirect,end,g,-0.0509259,-0.0804982,
1,Indirect,start,w,-0.261574,0.199074,
1,Indirect,end,h,0.111446,0.0541241,
1,Indirect,start,o,0.416667,0.337963,
1,Indirect,end,t,-0.0730861,0.310185,
1,Indirect,start,f,-0.18287,-0.0833334,
1,Indirect,end,r,-0.122685,0.25463,
1,Indirect,start,l,0.282407,-0.0902777,
1,Indirect,end,w,-0.324074,0.215278,
1,Indirect,start,f,-0.231482,-0.050926,
1,Indirect,end,g,0.0277778,0.0271729,
1,Indirect,start,o,0.243056,0.222222,
1,Indirect,end,s,-0.244213,-0.0601852,
1,Indirect,start,t,-0.0879629,0.266204,
1,Indirect,end,e,-0.194444,0.280093,
1,Indirect,start,l,0.363426,0.037037,
1,Indirect,end,n,0.0416666,-0.273148,
1,Indirect,start,o,0.219907,0.261574,
1,Indirect,end,f,-0.18287,0.0439814,
1,Indirect,start,t,-0.0115741,0.337963,
1,Indirect,end,e,-0.236111,0.284552,
