traveling requires a lot of fuel
Direct
0.6 0.6
432 388.8
Began 893.0978 348 508 -0.0277778 0.3086419
Stationary 893.1285 348 508 -0.0277778 0.3086419
Stationary 893.1592 348 508 -0.0277778 0.3086419
Stationary 893.19 348 508 -0.0277778 0.3086419
Moved 893.2207 336.6954 508 -0.05394588 0.3086419
Moved 893.2514 317.4857 508 -0.09841263 0.3086419
Moved 893.2822 304.5276 508 -0.1284084 0.3086419
Moved 893.3129 297.0598 508 -0.145695 0.3086419
Moved 893.3435 292.5224 508 -0.1561982 0.3086419
Moved 893.3744 287.6469 508 -0.167484 0.3086419
Moved 893.4052 271.1315 491.3651 -0.2057142 0.2658565
Moved 893.4359 240.9995 453.4993 -0.2754643 0.1684653
Moved 893.4666 218.4521 418.2036 -0.3276572 0.07768415
Moved 893.4973 203.8932 393.7864 -0.3613583 0.01488273
Moved 893.5281 196.1802 378.9504 -0.3792125 -0.0232757
Moved 893.5588 192.0673 372.1346 -0.3887331 -0.04080611
Moved 893.5895 190.1883 369.1883 -0.3930826 -0.04838402
Moved 893.6202 190 367.7602 -0.3935185 -0.05205711
Moved 893.651 189 365.5 -0.3958333 -0.05787045
Moved 893.6817 189 366 -0.3958333 -0.05658444
Moved 893.7125 189 365 -0.3958333 -0.05915646
Moved 893.7432 215.7438 354.7994 -0.3339263 -0.08539254
Moved 893.7739 252.9561 324.6634 -0.2477867 -0.1629029
Moved 893.8047 306.8615 280.0296 -0.1230058 -0.2777017
Moved 893.8354 333.445 261.0969 -0.06146997 -0.3263969
Moved 893.8661 346.1624 252.8375 -0.03203144 -0.3476402
Moved 893.8969 352.1326 250 -0.0182115 -0.3549383
Moved 893.9276 356.4377 247.5623 -0.008246054 -0.3612083
Moved 893.9583 357 248 -0.006944438 -0.3600824
Stationary 893.9891 357 248 -0.006944438 -0.3600824
Moved 894.0198 333.3408 303.8044 -0.06171107 -0.2165525
Moved 894.0505 284.7213 391.9902 -0.1742563 0.01026275
Moved 894.0813 244.7505 442.6917 -0.2667813 0.1406679
Moved 894.112 232.9682 458.053 -0.2940551 0.1801774
Moved 894.1428 227.112 465.776 -0.3076111 0.200041
Moved 894.1735 225 470.5251 -0.3125 0.2122558
Moved 894.2042 225 473.5 -0.3125 0.2199073
Moved 894.2349 262.3866 476 -0.2259569 0.2263374
Moved 894.2657 359.4906 445.6221 -0.001179228 0.148205
Moved 894.2964 434.5002 406.3461 0.172454 0.04718631
Moved 894.3271 475.136 380.915 0.2665186 -0.01822279
Moved 894.3579 506.5083 363.4407 0.3391395 -0.06316691
Moved 894.3886 518.7917 358.7361 0.3675735 -0.07526735
Moved 894.4194 526.3083 358 0.384973 -0.07716057
Moved 894.4501 527 363.8235 0.3865741 -0.06218231
Moved 894.4808 502.2042 409.993 0.3291763 0.05656646
Moved 894.5115 462.2347 477.545 0.2366545 0.230311
Moved 894.5423 446.2242 498.6862 0.1995929 0.2846867
Moved 894.573 440.1788 507.6423 0.1855991 0.307722
Moved 894.6038 437.2968 510 0.1789279 0.3137859
Moved 894.6345 436 473.6954 0.1759259 0.2204098
Moved 894.6652 435 384.9229 0.1736111 -0.007914398
Moved 894.696 435 335.2484 0.1736111 -0.135678
Moved 894.7267 435 307.0058 0.1736111 -0.2083184
Moved 894.7574 435 291.5 0.1736111 -0.2481996
Moved 894.7882 435 283.0819 0.1736111 -0.2698511
Moved 894.8188 429.2636 277.8159 0.1603324 -0.2833953
Moved 894.8497 406.447 293.8295 0.1075162 -0.2422082
Moved 894.8804 373.8246 343.7528 0.03200154 -0.1138046
Moved 894.9111 358.5594 380.8021 -0.003334731 -0.01851321
Ended 894.9418 357 390 -0.006944438 0.005143954
Began 895.8331 301 502 -0.1365741 0.2932098
Stationary 895.8639 301 502 -0.1365741 0.2932098
Moved 895.8945 287.1604 502 -0.1686103 0.2932098
Moved 895.9253 279.6498 502 -0.1859958 0.2932098
Moved 895.956 272.0174 502 -0.2036634 0.2932098
Moved 895.9868 265.3942 502 -0.2189949 0.2932098
Moved 896.0175 261.5 502 -0.2280093 0.2932098
Moved 896.0482 256.6995 495 -0.2391216 0.2752057
Moved 896.079 253.8261 494 -0.2457728 0.2726337
Moved 896.1097 250.9445 493 -0.2524434 0.2700616
Moved 896.1405 249.4244 492 -0.255962 0.2674896
