players must know all the rules
Direct
0.6 0.6
432 388.8
Moved 1202.923 429 497.3528 0.1597223 0.2812572
Moved 1202.954 428.0114 500.9886 0.1574339 0.2906084
Moved 1202.984 427.4919 503.5081 0.1562311 0.2970887
Moved 1203.015 425.8059 505.1941 0.1523285 0.301425
Moved 1203.046 422.7412 507.2587 0.1452344 0.3067353
Moved 1203.077 417.2718 507 0.1325736 0.3060699
Moved 1203.107 403.8561 507 0.1015187 0.3060699
Moved 1203.138 388.149 494.2894 0.06515969 0.2733781
Moved 1203.169 362.3818 475.0416 0.005513529 0.2238723
Moved 1203.199 350.1503 465.1202 -0.02280022 0.1983544
Moved 1203.23 328.9872 446.8461 -0.07178892 0.1513531
Moved 1203.261 308.1739 428.9022 -0.1199679 0.105201
Moved 1203.292 288.5 409.5 -0.1655093 0.05529835
Moved 1203.322 271.2494 394.3566 -0.2054413 0.01634916
Moved 1203.353 258.0689 383.0516 -0.2359517 -0.01272735
Moved 1203.384 249.2841 374.4261 -0.2562868 -0.03491217
Moved 1203.414 244.3896 369.3895 -0.2676167 -0.04786644
Moved 1203.445 242 366.7192 -0.2731481 -0.05473446
Moved 1203.476 241 365.9246 -0.275463 -0.05677839
Moved 1203.507 239.5 366 -0.2789352 -0.05658444
Moved 1203.537 240 366 -0.2777777 -0.05658444
Moved 1203.568 254.9999 396.5999 -0.2430557 0.02211892
Moved 1203.599 285.7511 441.4017 -0.1718725 0.1373501
Moved 1203.629 302.1373 462.0141 -0.1339414 0.1903653
Moved 1203.66 315.1401 477.1401 -0.1038424 0.2292697
Moved 1203.691 324.7836 485.1891 -0.08151939 0.2499719
Moved 1203.721 330.9216 491.9216 -0.06731113 0.267288
Moved 1203.752 336.0098 496.0098 -0.0555329 0.277803
Moved 1203.783 346.2714 506.3928 -0.03177926 0.3045082
Ended 1203.814 350 509.5 -0.02314816 0.3124999
Began 1205.257 491 389 0.3032407 0.002572016
Stationary 1205.288 491 389 0.3032407 0.002572016
Stationary 1205.318 491 389 0.3032407 0.002572016
Stationary 1205.349 491 389 0.3032407 0.002572016
Stationary 1205.38 491 389 0.3032407 0.002572016
Stationary 1205.411 491 389 0.3032407 0.002572016
Moved 1205.441 477.9568 368.2326 0.2730483 -0.05084206
Moved 1205.472 469.2724 351.7267 0.2529453 -0.09329563
Moved 1205.503 459.5996 332.3994 0.2305546 -0.1430057
Moved 1205.533 446.1443 308.2021 0.1994082 -0.2052415
Moved 1205.564 430.2249 283.3936 0.1625576 -0.2690495
Moved 1205.595 424.549 273.4608 0.1494191 -0.2945967
Moved 1205.626 419.7657 263.2971 0.1383465 -0.3207379
Moved 1205.656 415.8975 255.6924 0.1293922 -0.3402974
Moved 1205.687 415 253.2515 0.1273148 -0.3465755
Moved 1205.718 414 251.4512 0.125 -0.3512058
Moved 1205.749 414 250.5 0.125 -0.3536523
Moved 1205.779 425.4507 268.176 0.1515062 -0.3081894
Moved 1205.81 445.1239 306.5889 0.1970461 -0.2093908
Moved 1205.841 468.2229 347.4457 0.2505159 -0.1043062
Moved 1205.871 487.3683 393.9823 0.2948342 0.01538657
Moved 1205.902 502.2209 429.33 0.3292149 0.1063014
Moved 1205.933 510.7609 450.4023 0.3489836 0.1604996
Moved 1205.964 517.6417 466.1042 0.3649112 0.2008852
Moved 1205.994 521.6905 475.762 0.3742836 0.2257253
Moved 1206.025 523 482.3582 0.3773148 0.2426908
Moved 1206.056 524 487.113 0.3796296 0.2549201
Moved 1206.086 524 491.968 0.3796296 0.2674073
Moved 1206.117 515.4519 496.7096 0.3598423 0.2796028
Moved 1206.148 482.3549 501.7527 0.2832288 0.2925738
Moved 1206.178 426.2018 502 0.153245 0.2932098
Moved 1206.209 381.1339 502 0.04892091 0.2932098
Moved 1206.24 331.4854 492.7082 -0.06600598 0.2693112
Moved 1206.271 287.9017 484.4335 -0.1668943 0.2480286
Moved 1206.301 265.349 481.5582 -0.2190995 0.240633
Moved 1206.332 256.3844 480 -0.239851 0.2366254
Moved 1206.363 248.4293 478 -0.2582655 0.2314814
Moved 1206.393 247.2719 478 -0.2609448 0.2314814
Moved 1206.424 244.4065 478 -0.2675776 0.2314814
Moved 1206.455 241.5341 478 -0.2742267 0.2314814
Stationary 1206.486 242 478 -0.2731481 0.2314814
Ended 1206.516 242 478 -0.2731481 0.2314814
Began 1207.223 184 357 -0.4074074 -0.07973259
Stationary 1207.253 184 357 -0.4074074 -0.07973259
Stationary 1207.284 184 357 -0.4074074 -0.07973259
Moved 1207.315 200.8759 362.8759 -0.3683428 -0.06461971
Moved 1207.346 254.7537 383.8717 -0.2436258 -0.01061812
Moved 1207.376 328.6995 400.7708 -0.07245481 0.03284654
Moved 1207.407 387.5081 404.0212 0.06367604 0.0412067
Moved 1207.438 434.9219 406 0.1734302 0.04629618
Moved 1207.468 476.4615 406 0.2695868 0.04629618
Moved 1207.499 501.0225 406 0.3264409 0.04629618
Moved 1207.53 515.6457 406 0.3602909 0.04629618
Moved 1207.56 524.1935 406 0.3800777 0.04629618
Moved 1207.591 529.1942 406 0.3916532 0.04629618
Moved 1207.622 532.472 406 0.3992409 0.04629618
Moved 1207.653 536.3481 406 0.4082131 0.04629618
Moved 1207.683 537.8829 406 0.4117658 0.04629618
Moved 1207.714 539.3169 406 0.4150853 0.04629618
Moved 1207.745 541.6304 406 0.4204406 0.04629618
Ended 1207.776 543.0672 406 0.4237667 0.04629618
Began 1208.635 343 513 -0.03935183 0.321502
Stationary 1208.666 343 513 -0.03935183 0.321502
Stationary 1208.697 343 513 -0.03935183 0.321502
Moved 1208.728 355.6699 496.9612 -0.01002346 0.2802499
Moved 1208.758 375.6563 464.5728 0.03624151 0.1969463
Moved 1208.789 394.2951 424.2908 0.07938693 0.09334037
Moved 1208.82 401.384 397.464 0.09579629 0.0243415
Moved 1208.85 405.5 377.5 0.1053241 -0.02700625
Moved 1208.881 407 366.7371 0.1087963 -0.05468863
Moved 1208.912 407 361.0678 0.1087963 -0.06927011
Moved 1208.943 407 360 0.1087963 -0.07201654
Moved 1208.973 386.9888 371.7713 0.06247411 -0.04174048
Moved 1209.004 335.5803 414.2787 -0.05652701 0.06758913
Moved 1209.035 299.1528 438.3854 -0.14085 0.129592
Moved 1209.065 279.8756 452.0889 -0.1854732 0.1648375
Moved 1209.096 269.3188 463.2417 -0.2099103 0.1935228
Moved 1209.127 263.5628 473.7487 -0.2232342 0.220547
Ended 1209.158 262 479.6338 -0.2268519 0.2356835
Began 1210.54 267 458 -0.2152778 0.180041
Stationary 1210.57 267 458 -0.2152778 0.180041
Stationary 1210.601 267 458 -0.2152778 0.180041
Stationary 1210.632 267 458 -0.2152778 0.180041
Stationary 1210.662 267 458 -0.2152778 0.180041
Moved 1210.693 290.5799 458 -0.1606946 0.180041
Moved 1210.724 326.0594 468.706 -0.07856632 0.207577
Moved 1210.755 357.0948 477.3284 -0.006725043 0.2297541
Moved 1210.785 374.7962 482.2654 0.03425042 0.2424521
Moved 1210.816 392 489.5 0.07407407 0.2610596
Moved 1210.847 408.2766 494.3795 0.1117514 0.2736097
Moved 1210.877 419.8307 498.9153 0.1384969 0.285276
Moved 1210.908 426.638 501 0.1542547 0.2906378
Moved 1210.939 435.0842 501 0.173806 0.2906378
Moved 1210.97 450.7043 480.5845 0.2099636 0.2381288
Moved 1211 480.7968 446.0834 0.2796221 0.1493915
Moved 1211.031 509.8111 414.2078 0.3467849 0.06740672
Moved 1211.062 526.2874 397.7126 0.3849246 0.02498093
Moved 1211.093 535.5 388.5 0.40625 0.00128589
Moved 1211.123 539.239 382.5221 0.414905 -0.01408934
Moved 1211.154 540 377.7963 0.4166667 -0.0262441
Moved 1211.185 496.3891 372 0.3157155 -0.04115226
Moved 1211.215 427.3067 404.3933 0.1558025 0.04216382
Moved 1211.246 395.314 423.1326 0.08174538 0.09036162
Moved 1211.277 343.7287 454.4026 -0.03766497 0.1707885
Moved 1211.307 311.6608 473.8035 -0.1118963 0.220688
Moved 1211.338 293.0556 488.287 -0.1549639 0.2579397
Moved 1211.369 283.9428 496.5286 -0.1760583 0.2791371
Moved 1211.4 279.1892 501.8107 -0.187062 0.292723
Moved 1211.43 277.022 502.978 -0.1920788 0.2957253
Moved 1211.461 272.4465 497.0419 -0.20267 0.2804576
Moved 1211.492 258.3831 464.3193 -0.2352244 0.1962943
Moved 1211.522 242.4652 412.861 -0.2720712 0.06394269
Moved 1211.553 238.5973 399.6578 -0.2810247 0.02998391
Moved 1211.584 235.993 386.972 -0.2870532 -0.00264415
Ended 1211.615 235 382 -0.2893518 -0.01543218
PhraseEnd 1213.058
