the postal service is very slow
Direct
0.6 0.6
432 388.8
Began 127.895 357 513 -0.006944438 0.321502
Stationary 127.9257 357 513 -0.006944438 0.321502
Stationary 127.9565 357 513 -0.006944438 0.321502
Moved 127.9873 364.2296 491.4277 0.009790658 0.2660176
Moved 128.018 384.821 461.5926 0.05745599 0.1892813
Moved 128.0487 401.4865 424.2325 0.09603342 0.09319066
Moved 128.0795 408.2988 398.4542 0.1118028 0.02688836
Moved 128.1102 410 382.9131 0.1157407 -0.01308363
Moved 128.1409 411 379.2735 0.1180555 -0.02244478
Moved 128.1717 381.8341 383.3161 0.05054196 -0.01204706
Moved 128.2024 332.9115 413.1858 -0.06270478 0.06477823
Moved 128.2332 304.628 439.5348 -0.1281759 0.1325483
Moved 128.2639 287.3807 454.6193 -0.1681001 0.1713458
Moved 128.2947 280.4051 462.8924 -0.1842476 0.1926243
Ended 128.3254 280 466 -0.1851852 0.2006171
Began 128.5714 546 538 0.4305556 0.3858024
Stationary 128.6022 546 538 0.4305556 0.3858024
Stationary 128.6329 546 538 0.4305556 0.3858024
Moved 128.6636 528.5 538 0.3900464 0.3858024
Moved 128.6944 502.7673 528.9741 0.3304798 0.3625877
Moved 128.7251 474.6033 522.6508 0.2652855 0.3463241
Moved 128.7559 449.1353 514.8958 0.2063317 0.326378
Moved 128.7866 430.9009 507.9504 0.1641224 0.3085144
Moved 128.8174 398.5894 485.9421 0.08932739 0.2519085
Moved 128.8481 358.8087 450.3547 -0.002757758 0.1603773
Moved 128.8788 322.1803 412.1803 -0.08754561 0.06219205
Moved 128.9096 304.6263 393.6263 -0.1281798 0.01447089
Moved 128.9403 288.9877 377.9877 -0.1643804 -0.02575195
Moved 128.9711 278.2479 367.2479 -0.1892409 -0.05337476
Moved 129.0018 270.0086 361.0057 -0.2083135 -0.06942976
Moved 129.0326 265.1938 358.5969 -0.2194587 -0.07562527
Moved 129.0633 261.8487 357 -0.2272022 -0.07973259
Moved 129.0941 260 356 -0.2314815 -0.0823046
Moved 129.1248 259 356 -0.2337963 -0.0823046
Moved 129.1556 291.2254 409.791 -0.1592004 0.05604681
Moved 129.1863 330.5634 456.4198 -0.06814019 0.1759768
Moved 129.217 343.8344 472.8344 -0.03742034 0.2181954
Moved 129.2477 346.0249 476.0249 -0.03234982 0.2264014
Moved 129.2785 339.6217 477 -0.04717191 0.2289094
Moved 129.3092 300.3184 460.3781 -0.138152 0.1861575
Moved 129.34 239.0363 420.6909 -0.2800085 0.08408149
Moved 129.3708 210.246 393.4502 -0.3466527 0.01401795
Moved 129.4015 191.8408 371.301 -0.3892574 -0.04295019
Moved 129.4323 187.6949 363.3898 -0.3988544 -0.06329784
Moved 129.463 206.8596 354.809 -0.3544916 -0.08536798
Moved 129.4937 265.1339 353 -0.2195976 -0.09002065
Moved 129.5245 321.714 353 -0.0886251 -0.09002065
Moved 129.5552 369.1462 361.0731 0.02117167 -0.06925661
Moved 129.586 402 366 0.09722222 -0.05658444
Moved 129.6167 431.5239 370.1693 0.1655646 -0.0458609
Moved 129.6475 445.7684 371.9421 0.198538 -0.04130132
Moved 129.6782 453.1341 372 0.2155881 -0.04115226
Ended 129.7089 456.1794 373.0897 0.2226374 -0.03834964
Began 130.0471 204 361 -0.3611111 -0.06944452
Stationary 130.0779 204 361 -0.3611111 -0.06944452
Moved 130.1087 231.9699 402.0998 -0.2963661 0.03626486
Moved 130.1394 268.1871 459.8687 -0.2125298 0.1848473
Moved 130.1701 286.0742 487.6298 -0.1711246 0.2562495
Moved 130.2009 293.5798 498.8698 -0.1537505 0.2851588
Moved 130.2317 300.162 504.108 -0.1385138 0.2986317
Moved 130.2624 309.1575 504 -0.117691 0.2983539
Moved 130.2931 327.0458 483.3697 -0.07628287 0.2452923
Moved 130.3239 340.1024 435.4108 -0.04605914 0.1219414
Moved 130.3546 340 371.7991 -0.04629632 -0.04166897
Moved 130.3854 325.1345 307.7249 -0.08070727 -0.2064691
Moved 130.4161 319.0912 269.4561 -0.09469624 -0.3048969
Moved 130.4469 317 247.799 -0.09953702 -0.3605995
Moved 130.4776 317 239.0852 -0.09953702 -0.3830114
Moved 130.5084 317 237.2716 -0.09953702 -0.3876759
Moved 130.5391 362.0403 317.8273 0.004722972 -0.1804852
Moved 130.5698 414.3935 409.5305 0.1259108 0.05537661
