insurance is important for bad drivers
Direct
0.6 0.6
432 388.8
Began 877.2183 483 528 0.2847222 0.3600822
Stationary 877.2491 483 528 0.2847222 0.3600822
Stationary 877.2797 483 528 0.2847222 0.3600822
Stationary 877.3105 483 528 0.2847222 0.3600822
Moved 877.3412 483 515.1541 0.2847222 0.3270424
Moved 877.3719 468.5808 486.3232 0.2513444 0.2528887
Moved 877.4027 459.7841 453.7309 0.2309816 0.1690609
Moved 877.4335 450.0717 418.2151 0.2084992 0.07771366
Moved 877.4642 444.7059 396.8235 0.1960784 0.02269423
Moved 877.4949 437.4854 363.1842 0.1793643 -0.06382672
Moved 877.5257 432.4084 344.9295 0.167612 -0.1107781
Moved 877.5564 428.1431 328.7155 0.1577386 -0.1524809
Moved 877.5872 423.811 312.3384 0.1477105 -0.194603
Moved 877.6179 420.3195 300.2783 0.1396285 -0.2256219
Moved 877.6487 417.7705 292.3116 0.133728 -0.2461122
Moved 877.6794 415.2186 285.4371 0.1278208 -0.2637934
Moved 877.7101 414 280.9615 0.125 -0.2753048
Moved 877.7409 412.4239 276.8477 0.1213515 -0.2858855
Moved 877.7716 410.8642 273.8642 0.1177412 -0.2935592
Moved 877.8024 409.3064 272.3064 0.1141351 -0.2975659
Moved 877.8331 406.0209 272 0.1065298 -0.2983539
Moved 877.8638 396 272 0.08333336 -0.2983539
Moved 877.8946 379.4447 285.3967 0.04501084 -0.2638975
Moved 877.9253 364.1938 296.5375 0.009707808 -0.2352431
Moved 877.9561 349.6427 306.6328 -0.02397532 -0.209278
Moved 877.9868 332.2893 318.8071 -0.06414502 -0.1779652
Moved 878.0176 314.0282 329.9839 -0.1064163 -0.1492184
Moved 878.0483 296.5 341.5 -0.1469907 -0.1195988
Moved 878.079 284.6909 348.4819 -0.1743267 -0.1016413
Moved 878.1097 268.0968 356.9516 -0.2127388 -0.07985699
Moved 878.1405 255.4971 362.7515 -0.241905 -0.06493965
Moved 878.1713 245.2841 367.858 -0.2655461 -0.0518057
Moved 878.202 234.9423 372.7644 -0.2894854 -0.03918628
Moved 878.2328 228.4864 376.2568 -0.3044296 -0.03020377
Moved 878.2635 224.1903 379 -0.3143744 -0.02314815
Moved 878.2942 222.6387 381.3613 -0.3179659 -0.01707493
Moved 878.325 223 383.5 -0.3171296 -0.01157415
Moved 878.3557 223 386.1588 -0.3171296 -0.004735758
Moved 878.3864 223 389.6978 -0.3171296 0.00436669
Moved 878.4172 235.9512 396.7134 -0.2871499 0.02241107
Moved 878.4479 246.5 404.5 -0.2627315 0.04243823
Moved 878.4787 262.3356 412.1678 -0.226075 0.06215986
Moved 878.5094 280.2632 419.8271 -0.184576 0.08185967
Moved 878.5401 303.6026 429.7285 -0.1305496 0.1073263
Moved 878.5708 337 451.5 -0.05324075 0.163323
Moved 878.6017 360.5774 465.6981 0.001336535 0.1998408
Moved 878.6324 373.443 472.9772 0.03111809 0.2185628
Moved 878.6631 380.1092 477.0364 0.04654894 0.2290029
Moved 878.6938 387.5 482 0.06365737 0.2417695
Moved 878.7246 393.4858 485.8286 0.07751345 0.2516167
Moved 878.7554 398.7497 489.3748 0.08969832 0.2607376
Moved 878.7861 405.7873 494.8582 0.1059891 0.2748409
Moved 878.8168 412.4351 501.4351 0.1213774 0.2917567
Moved 878.8476 416.4685 504.7343 0.1307142 0.3002424
Moved 878.8783 419.3014 508.3014 0.1372718 0.3094171
Moved 878.9091 421.5 509.5 0.1423611 0.3124999
Moved 878.9398 421 511.3976 0.1412037 0.3173806
Moved 878.9706 415.9727 513.6284 0.1295663 0.3231183
Moved 879.0013 398.5425 516.1822 0.08921882 0.3296866
Moved 879.032 379.8598 517 0.04597187 0.33179
Moved 879.0627 360.2611 518 0.0006043912 0.3343621
Moved 879.0935 345.1111 518.5778 -0.03446494 0.3358481
Moved 879.1243 332.3446 520.131 -0.06401703 0.3398431
Moved 879.155 319.6008 520 -0.09351666 0.3395061
Moved 879.1857 310.3466 520 -0.1149384 0.3395061
Moved 879.2164 303.5546 520 -0.1306606 0.3395061
Moved 879.2472 297.8963 520 -0.1437586 0.3395061
Moved 879.278 291.2189 507.6252 -0.1592156 0.3076779
Moved 879.3087 279.2395 488.7833 -0.1869456 0.2592161
Moved 879.3394 265.8416 467.4026 -0.2179593 0.2042248
