a very traditional way to dress
Direct
0.6 0.6
432 388.8
Began 1274.002 173 374 -0.4328704 -0.03600823
Ended 1274.033 173 374 -0.4328704 -0.03600823
Began 1274.924 349 233 -0.02546296 -0.3986626
Stationary 1274.954 349 233 -0.02546296 -0.3986626
Stationary 1274.985 349 233 -0.02546296 -0.3986626
Moved 1275.016 339.5 248.5 -0.04745369 -0.3587964
Moved 1275.047 330.0331 264.9338 -0.06936778 -0.3165284
Moved 1275.077 320.3974 283.2051 -0.09167263 -0.2695341
Moved 1275.108 309.7114 307.6493 -0.1164087 -0.2066633
Moved 1275.139 296.7802 336.0834 -0.146342 -0.1335302
Moved 1275.17 281.6726 370.0512 -0.1813134 -0.04616467
Moved 1275.2 272.1898 399.7005 -0.2032643 0.0300938
Moved 1275.231 262.5547 429.4843 -0.2255679 0.1066983
Moved 1275.262 256.6208 444.448 -0.2393037 0.1451851
Moved 1275.292 250.8814 458.2372 -0.2525894 0.1806513
Moved 1275.323 246.1375 469.725 -0.2635706 0.2101979
Moved 1275.354 244.0371 475.9257 -0.2684326 0.2261463
Moved 1275.385 242 480.8204 -0.2731481 0.2387355
Moved 1275.415 240.3007 483.6993 -0.2770816 0.24614
Moved 1275.446 240 485.1317 -0.2777777 0.2498243
Moved 1275.477 240 488.1236 -0.2777777 0.2575195
Moved 1275.507 240 489.5 -0.2777777 0.2610596
Moved 1275.538 240 491.8727 -0.2777777 0.2671624
Moved 1275.569 240 493.3744 -0.2777777 0.2710246
Moved 1275.599 240 494.0788 -0.2777777 0.2728363
Moved 1275.63 248.1409 495 -0.2589332 0.2752057
Moved 1275.661 256.0449 496 -0.2406368 0.2777777
Moved 1275.692 267.957 497 -0.2130624 0.2803498
Moved 1275.722 279.8687 498.4672 -0.1854891 0.2841233
Moved 1275.753 289.3765 499.3441 -0.1634802 0.2863788
Moved 1275.784 301.0569 501.2114 -0.1364422 0.2911814
Moved 1275.815 313.7723 503.7545 -0.1070086 0.2977223
Moved 1275.845 325.5375 506.6343 -0.07977436 0.3051293
Moved 1275.876 336.0345 508 -0.05547558 0.3086419
Moved 1275.907 345.0293 509 -0.03465449 0.3112139
Moved 1275.938 351.8943 509 -0.01876324 0.3112139
Moved 1275.968 356.7666 509 -0.007484704 0.3112139
Moved 1275.999 363.5777 510.6444 0.008281668 0.3154434
Ended 1276.03 365 511 0.01157403 0.3163579
Began 1277.566 341 510 -0.04398147 0.3137859
Stationary 1277.596 341 510 -0.04398147 0.3137859
Stationary 1277.627 341 510 -0.04398147 0.3137859
Stationary 1277.658 341 510 -0.04398147 0.3137859
Stationary 1277.688 341 510 -0.04398147 0.3137859
Moved 1277.719 325.9178 510 -0.07889384 0.3137859
Moved 1277.75 318.1656 510 -0.09683877 0.3137859
Moved 1277.781 308.5266 510 -0.1191515 0.3137859
Moved 1277.811 295.5432 499.2716 -0.1492056 0.2861924
Moved 1277.842 286.5278 495.7639 -0.1700746 0.2771706
Moved 1277.873 281.2249 493.2249 -0.1823499 0.27064
Moved 1277.903 275.6976 491.3488 -0.1951445 0.2658148
Moved 1277.934 269.9592 487.4796 -0.2084277 0.2558632
Moved 1277.965 262.9148 481.9361 -0.2247342 0.2416051
Moved 1277.996 247.6372 466.6372 -0.2600991 0.2022561
Moved 1278.026 229.5991 445.5991 -0.3018539 0.1481459
Moved 1278.057 212.7316 425.0779 -0.3408992 0.09536488
Moved 1278.088 199.8321 408.6374 -0.3707591 0.05307962
Moved 1278.119 191.8077 396.7436 -0.3893341 0.02248858
Moved 1278.149 185.1074 389.1074 -0.404844 0.002848307
Moved 1278.18 182.5 385.5 -0.4108796 -0.006430119
Moved 1278.211 180.6745 382.6744 -0.4151054 -0.01369751
Moved 1278.241 179.9009 380.9009 -0.416896 -0.01825913
Moved 1278.272 178.9131 380 -0.4191827 -0.02057613
Moved 1278.303 179 378.5028 -0.4189815 -0.02442701
Moved 1278.334 179 377.9767 -0.4189815 -0.02578013
Moved 1278.364 177.6245 376.6245 -0.4221655 -0.02925818
Moved 1278.395 178 375.8129 -0.4212963 -0.03134558
Moved 1278.426 176.7761 374.7761 -0.4241293 -0.03401211
Stationary 1278.456 176.7761 374.7761 -0.4241293 -0.03401211
Moved 1278.487 177 373.8129 -0.4236111 -0.03648962
Moved 1278.518 177 372.9888 -0.4236111 -0.03860905
