healthy food is good for you
Direct
0.6 0.6
432 388.8
Moved 1426.289 433 337.5 0.1689814 -0.1298869
Moved 1426.319 433 338 0.1689814 -0.1286009
Moved 1426.35 425.6882 338 0.152056 -0.1286009
Moved 1426.381 410.2953 356.9205 0.1164245 -0.0799369
Moved 1426.412 396.9582 371.2501 0.08555144 -0.04308104
Moved 1426.442 384.4975 392.0051 0.05670707 0.0103011
Moved 1426.473 375.8983 409.1696 0.0368015 0.05444832
Moved 1426.504 370.1756 430.4731 0.02355466 0.1092415
Moved 1426.535 366.526 448.3177 0.0151066 0.155138
Moved 1426.565 363.6526 461.7372 0.008455018 0.1896532
Moved 1426.596 361.7877 475.0613 0.004138251 0.2239231
Moved 1426.627 360.1868 482.6264 0.0004324317 0.2433806
Moved 1426.657 359 489.2211 -0.002314796 0.2603422
Moved 1426.688 358 494.9766 -0.004629641 0.2751455
Moved 1426.719 356.6306 498.3694 -0.007799566 0.2838719
Moved 1426.75 357 500.5 -0.006944438 0.2893518
Moved 1426.78 357 501 -0.006944438 0.2906378
Ended 1426.811 357 501 -0.006944438 0.2906378
Began 1427.764 302 334 -0.1342593 -0.1388889
Stationary 1427.795 302 334 -0.1342593 -0.1388889
Stationary 1427.825 302 334 -0.1342593 -0.1388889
Stationary 1427.856 302 334 -0.1342593 -0.1388889
Stationary 1427.887 302 334 -0.1342593 -0.1388889
Stationary 1427.918 302 334 -0.1342593 -0.1388889
Moved 1427.948 314.5049 349.002 -0.1053126 -0.1003036
Moved 1427.979 337.9482 371.2009 -0.05104572 -0.04320772
Moved 1428.01 410.7754 437.1574 0.1175356 0.1264336
Moved 1428.041 456.3502 477.3732 0.2230327 0.2298694
Moved 1428.071 475.2288 498.6003 0.2667333 0.2844656
Moved 1428.102 483.8422 506.7632 0.2866717 0.3054609
Moved 1428.133 487.7951 511.5903 0.295822 0.3178761
Moved 1428.164 490.6665 514.6664 0.3024687 0.3257881
Moved 1428.194 492.0791 516.079 0.3057385 0.3294213
Moved 1428.225 493 517 0.3078704 0.33179
Moved 1428.256 494.5 518 0.3113426 0.3343621
Moved 1428.286 495.5 519 0.3136574 0.3369341
Moved 1428.317 496.3965 520 0.3157325 0.3395061
Moved 1428.348 497.2657 521 0.3177446 0.3420781
Moved 1428.379 498 522.1394 0.3194444 0.3450086
Moved 1428.41 498 523.374 0.3194444 0.348184
Moved 1428.44 499.0503 523 0.3218756 0.3472221
