we run the risk of failure
Direct
0.6 0.6
432 388.8
Moved 765.2771 452.0885 487.5443 0.2131679 0.2560294
Moved 765.3078 405.7477 459.0486 0.1058974 0.182738
Moved 765.3385 365.2083 430.162 0.01205613 0.1084412
Moved 765.3693 345.2968 414.0374 -0.03403525 0.06696854
Moved 765.4 334.0096 405.5072 -0.06016284 0.04502877
Moved 765.4307 325.1548 399.1548 -0.08066028 0.02869021
Moved 765.4615 320.2947 395.2947 -0.09191031 0.01876207
Moved 765.4922 317.5263 393 -0.0983188 0.01285996
Moved 765.5229 317 392 -0.09953702 0.01028803
Ended 765.5536 317 392 -0.09953702 0.01028803
Began 766.568 339 412 -0.04861111 0.06172835
Stationary 766.5988 339 412 -0.04861111 0.06172835
Stationary 766.6295 339 412 -0.04861111 0.06172835
Stationary 766.6602 339 412 -0.04861111 0.06172835
Stationary 766.6909 339 412 -0.04861111 0.06172835
Moved 766.7217 320.1917 400.3833 -0.09214898 0.03185001
Moved 766.7524 294.47 392.9458 -0.1516899 0.0127206
Moved 766.7832 268.3768 386.7923 -0.2120907 -0.00310627
Moved 766.8139 232.7751 379.155 -0.294502 -0.02274941
Moved 766.8447 206.6262 370.4848 -0.355032 -0.04504937
Moved 766.8754 183.3739 363.1246 -0.4088567 -0.06398001
Moved 766.9061 171.9998 357.4999 -0.4351857 -0.07844681
Moved 766.9368 159.6633 351.9158 -0.4637423 -0.09280915
Moved 766.9676 154.1499 349.1498 -0.476505 -0.09992333
Moved 766.9984 153 349 -0.4791667 -0.1003086
Stationary 767.0291 153 349 -0.4791667 -0.1003086
Moved 767.0596 193.6882 359.8653 -0.384981 -0.07236292
Moved 767.0905 242.2482 366.9735 -0.2725736 -0.05408055
Moved 767.1213 294.5985 368 -0.1513923 -0.05144041
Moved 767.152 343.5119 368 -0.03816684 -0.05144041
Moved 767.1822 384.7267 368 0.05723774 -0.05144041
Moved 767.2134 417.4408 368 0.1329647 -0.05144041
Moved 767.2442 438.4367 359.4467 0.1815665 -0.07343975
Moved 767.275 459.3148 354.0529 0.2298953 -0.08731245
Moved 767.3057 480.6633 352 0.2793132 -0.09259266
Moved 767.3364 494.9895 349.0021 0.3124757 -0.1003034
Moved 767.3671 512.0554 347.1889 0.3519801 -0.1049669
Moved 767.3979 517.7643 345.8089 0.3651953 -0.1085162
Moved 767.4286 526.8207 346 0.3861591 -0.1080248
Moved 767.4594 532.4548 346 0.399201 -0.1080248
Moved 767.4901 536.1341 346 0.4077178 -0.1080248
Moved 767.5208 538.9015 346 0.4141238 -0.1080248
Stationary 767.5515 539 346 0.4143518 -0.1080248
Moved 767.5823 540 346 0.4166667 -0.1080248
Stationary 767.613 540 346 0.4166667 -0.1080248
Stationary 767.6437 540 346 0.4166667 -0.1080248
Stationary 767.6744 540 346 0.4166667 -0.1080248
Stationary 767.7053 540 346 0.4166667 -0.1080248
Stationary 767.736 540 346 0.4166667 -0.1080248
Stationary 767.7667 540 346 0.4166667 -0.1080248
Moved 767.7974 540 353.2902 0.4166667 -0.08927419
Stationary 767.8282 540 353.2902 0.4166667 -0.08927419
Stationary 767.8589 540 353.2902 0.4166667 -0.08927419
Moved 767.8896 540 354.099 0.4166667 -0.08719393
Stationary 767.9203 540 354.099 0.4166667 -0.08719393
Moved 767.9512 540 355.1137 0.4166667 -0.08458408
Moved 767.9819 540 356.0287 0.4166667 -0.08223082
Stationary 768.0126 540 356.0287 0.4166667 -0.08223082
