this is a non profit organization
Direct
0.6 0.6
432 388.8
Moved 354.5004 202.4938 355 -0.3645976 -0.08487654
Moved 354.5312 200 355 -0.3703704 -0.08487654
Stationary 354.5619 200 355 -0.3703704 -0.08487654
Moved 354.5927 200 363.6545 -0.3703704 -0.06261692
Moved 354.6234 210.527 367 -0.3460023 -0.05401234
Moved 354.654 213.0365 369.0364 -0.3401934 -0.04877467
Moved 354.6848 214.9244 370 -0.3358232 -0.04629637
Moved 354.7155 215.5 370 -0.3344907 -0.04629637
Moved 354.7462 216 370 -0.3333333 -0.04629637
Stationary 354.7769 216 370 -0.3333333 -0.04629637
Stationary 354.8076 216 370 -0.3333333 -0.04629637
Stationary 354.8384 216 370 -0.3333333 -0.04629637
Stationary 354.8691 216 370 -0.3333333 -0.04629637
Stationary 354.8999 216 370 -0.3333333 -0.04629637
Stationary 354.9306 216 370 -0.3333333 -0.04629637
Stationary 354.9613 216 370 -0.3333333 -0.04629637
Stationary 354.9919 216 370 -0.3333333 -0.04629637
Moved 355.0227 218.5208 370 -0.3274982 -0.04629637
Moved 355.0535 222.7891 370 -0.3176178 -0.04629637
Moved 355.0842 231.0868 370 -0.2984102 -0.04629637
Moved 355.1149 261.8829 356.0585 -0.2271229 -0.08215406
Moved 355.1457 311.1947 335.9588 -0.1129752 -0.1338509
Moved 355.1764 378.0477 299.5714 0.0417771 -0.2274398
Moved 355.2071 422.7389 273.6021 0.1452289 -0.2942333
Moved 355.2378 447.6975 256.2017 0.2030035 -0.3389875
Moved 355.2686 455.6709 253 0.2214604 -0.3472223
Moved 355.2993 478.008 313.5279 0.2731666 -0.1915435
Moved 355.33 503.7373 394.4857 0.3327253 0.01668118
Moved 355.3607 516.6084 428.3689 0.3625194 0.1038295
Moved 355.3914 524.0214 461.1284 0.3796791 0.1880872
Moved 355.4221 525 476.6686 0.3819444 0.228057
Moved 355.4529 525 488.2949 0.3819444 0.2579601
Moved 355.4836 507.204 490 0.3407499 0.2623456
Moved 355.5143 457.7066 464.1378 0.2261728 0.1958275
Moved 355.5451 330.8365 334.6373 -0.06750807 -0.1372499
Moved 355.5758 296.3398 292.7847 -0.1473617 -0.2448953
Moved 355.6065 263.933 258.4997 -0.2223772 -0.333077
Moved 355.6372 244.6057 243.2042 -0.2671165 -0.3724171
Moved 355.6679 225.8752 231.2917 -0.3104741 -0.4030564
Moved 355.6987 206.609 228 -0.3550718 -0.4115227
Moved 355.7294 177.4812 251.1272 -0.4224971 -0.3520392
Moved 355.7602 149.9579 288.421 -0.4862085 -0.2561188
Moved 355.7909 126.9794 341.0565 -0.5393994 -0.1207394
Moved 355.8216 125.6566 355.7779 -0.5424616 -0.08287586
Moved 355.8523 131.1624 377.6373 -0.5297167 -0.02665304
Moved 355.8831 158.3259 406.7079 -0.4668383 0.04811691
Moved 355.9138 210.7316 439.9641 -0.3455286 0.1336524
Moved 355.9445 271.4939 466.5432 -0.2048752 0.2020143
Moved 355.9752 309.4474 476.0895 -0.1170199 0.2265675
Moved 356.006 350.4769 481.4626 -0.02204423 0.2403874
Moved 356.0367 400.7536 486.6754 0.09433706 0.2537945
Moved 356.0674 479.9372 493.4241 0.2776324 0.2711523
Moved 356.0981 507.5815 494 0.3416238 0.2726337
Moved 356.1289 527.3756 494 0.3874435 0.2726337
Moved 356.1595 532.4743 494 0.3992461 0.2726337
Moved 356.1903 506.3936 445.4827 0.3388742 0.1478464
Moved 356.221 437.1275 336.1422 0.1785358 -0.1333792
Moved 356.2518 424.7141 301.3802 0.1498011 -0.2227875
Moved 356.2825 419.3598 276.2384 0.137407 -0.2874527
Moved 356.3132 416.883 260.1807 0.1316735 -0.3287533
Moved 356.3439 415 245.8945 0.1273148 -0.3654976
Ended 356.3746 415 244 0.1273148 -0.3703704
PhraseEnd 356.8355
