in sharp contrast to your words
Direct
0.6 0.6
432 388.8
Began 1204.772 493 533 0.3078704 0.3729423
Stationary 1204.803 493 533 0.3078704 0.3729423
Stationary 1204.834 493 533 0.3078704 0.3729423
Moved 1204.865 477.5027 500.0497 0.271997 0.2881937
Moved 1204.895 453.1284 399.4749 0.2155749 0.02951347
Moved 1204.926 429.1647 316.7854 0.1601035 -0.1831652
Moved 1204.957 413.2855 266.3423 0.123346 -0.3129057
Moved 1204.987 405.5886 243.3544 0.1055291 -0.372031
Moved 1205.018 402 232.6772 0.09722222 -0.3994928
Ended 1205.049 402 231.5 0.09722222 -0.4025207
Began 1205.694 225 395 -0.3125 0.01800408
Stationary 1205.725 225 395 -0.3125 0.01800408
Stationary 1205.756 225 395 -0.3125 0.01800408
Stationary 1205.786 225 395 -0.3125 0.01800408
Moved 1205.817 262.6832 405.3156 -0.2252704 0.044536
Moved 1205.848 342.3335 426.0834 -0.0408946 0.09795098
Moved 1205.879 384.6811 432.7802 0.05713204 0.1151752
Moved 1205.909 410.3739 437.7677 0.1166062 0.1280033
Moved 1205.94 422.2891 439 0.1441876 0.1311728
Moved 1205.971 427.3915 440 0.1559988 0.1337448
Moved 1206.001 428 440 0.1574074 0.1337448
Moved 1206.032 408.0822 430.8864 0.1113012 0.1103043
Moved 1206.063 331.0851 403.6781 -0.06693254 0.04032421
Moved 1206.094 279.299 389.5748 -0.1868079 0.004050251
Moved 1206.124 244.5299 384.5509 -0.2672919 -0.008871212
Moved 1206.155 224.3952 378.3986 -0.3139001 -0.0246949
Moved 1206.186 209.9521 373.3173 -0.3473332 -0.03776409
Moved 1206.217 202.4528 371.4528 -0.3646926 -0.04255962
Moved 1206.247 198.5757 371 -0.3736674 -0.04372435
Moved 1206.278 197.0322 371 -0.3772402 -0.04372435
Moved 1206.309 197 397.9448 -0.3773148 0.02557801
Moved 1206.339 223.005 446.1549 -0.3171182 0.1495753
Moved 1206.37 241.1702 480.3405 -0.2750689 0.2375011
Moved 1206.401 253.2854 502.4757 -0.2470245 0.2944333
Moved 1206.432 265.8494 517.8192 -0.2179413 0.3338971
Moved 1206.462 324.2527 553.6531 -0.08274834 0.4260623
Moved 1206.493 424.2198 581.3426 0.1486571 0.4972802
Moved 1206.524 470.9606 592.1344 0.2568532 0.5250369
Moved 1206.554 505.8292 597.5829 0.3375675 0.5390505
Moved 1206.585 516.7689 598 0.3628911 0.5401233
Moved 1206.616 532.6522 599 0.3996578 0.5426954
Ended 1206.647 547.6876 599 0.4344621 0.5426954
Began 1207.261 304 284 -0.1296296 -0.2674897
Stationary 1207.292 304 284 -0.1296296 -0.2674897
Stationary 1207.323 304 284 -0.1296296 -0.2674897
Stationary 1207.353 304 284 -0.1296296 -0.2674897
Moved 1207.384 304 304.264 -0.1296296 -0.2153703
Moved 1207.415 336.033 361.0632 -0.05547925 -0.06928212
Moved 1207.445 398.0086 466.3883 0.0879829 0.201616
Moved 1207.476 453.5 541.5 0.2164352 0.3948044
Moved 1207.507 472.0269 563.3165 0.2593215 0.4509167
Moved 1207.538 484.6557 576.4918 0.2885548 0.4848039
Moved 1207.568 490.0704 582.0352 0.301089 0.4990617
Moved 1207.599 492.5428 584.5427 0.3068119 0.505511
Moved 1207.63 494.5 586.5 0.3113426 0.5105452
Moved 1207.661 495 587.5 0.3125 0.5131172
Moved 1207.691 496.37 587 0.3156711 0.5118312
Moved 1207.722 488.7114 556.694 0.2979431 0.4338837
Moved 1207.753 459.7283 470.7952 0.2308526 0.2129505
Moved 1207.783 440.0826 409.7342 0.1853765 0.05590061
Moved 1207.814 427.9573 375.904 0.1573087 -0.03111113
Moved 1207.845 422.1171 356.5857 0.1437896 -0.08079819
Moved 1207.876 417.2328 339.1643 0.1324834 -0.1256063
Moved 1207.906 414.3558 329.0673 0.1258235 -0.1515759
Moved 1207.937 413 322.5696 0.1226852 -0.168288
Moved 1207.968 411 318.9098 0.1180555 -0.1777012
Moved 1207.999 409.0366 316.0366 0.1135106 -0.1850912
Moved 1208.029 409 314.5928 0.113426 -0.1888047
Moved 1208.06 408 312.5 0.1111111 -0.1941873
Moved 1208.091 406.5 312 0.1076389 -0.1954732
Moved 1208.121 407 310.65 0.1087963 -0.1989456
Moved 1208.152 406 309.3491 0.1064815 -0.2022916
