I will meet you at noon
Direct
0.6 0.6
432 388.8
Began 1014.632 472 532 0.2592593 0.3703703
Stationary 1014.662 472 532 0.2592593 0.3703703
Ended 1014.693 472 532 0.2592593 0.3703703
Began 1015.677 211 486 -0.3449074 0.2520575
Stationary 1015.707 211 486 -0.3449074 0.2520575
Moved 1015.738 230.4713 486 -0.299835 0.2520575
Moved 1015.769 263.2658 492.0084 -0.2239217 0.2675113
Moved 1015.8 304.5762 498.8768 -0.1282958 0.285177
Moved 1015.83 337.2764 504.1897 -0.052601 0.2988417
Moved 1015.861 367.6241 509.9165 0.01764844 0.3135711
Moved 1015.892 395.643 513.6072 0.08250693 0.3230636
Moved 1015.922 421.1292 518.1613 0.1415029 0.3347769
Moved 1015.953 434.713 520.9282 0.1729467 0.3418935
Moved 1015.984 445.0853 522 0.1969567 0.3446501
Moved 1016.015 454.389 522 0.218493 0.3446501
Moved 1016.045 465.5941 509.6766 0.2444307 0.3129541
Moved 1016.076 476.9004 486.9322 0.2706028 0.2544551
Moved 1016.107 489.6164 459.7672 0.3000381 0.1845862
Moved 1016.138 505.0687 430.397 0.3358071 0.1090458
Moved 1016.168 521.668 405.7207 0.3742314 0.0455779
Moved 1016.199 535.5024 391.4976 0.4062555 0.008995857
Moved 1016.23 543.3447 385.3276 0.4244091 -0.006873401
Ended 1016.261 552 381 0.4444444 -0.01800419
Began 1016.967 493 242 0.3078704 -0.3755144
Stationary 1016.998 493 242 0.3078704 -0.3755144
Stationary 1017.029 493 242 0.3078704 -0.3755144
Stationary 1017.06 493 242 0.3078704 -0.3755144
Stationary 1017.091 493 242 0.3078704 -0.3755144
Moved 1017.121 493 265.258 0.3078704 -0.3156945
Moved 1017.152 475.6285 291.2858 0.2676587 -0.2487506
Moved 1017.183 455.2171 318.7237 0.2204099 -0.1781799
Moved 1017.213 424.1927 348.1664 0.1485941 -0.1024527
Moved 1017.244 384.2304 386.7696 0.05608896 -0.003164668
Moved 1017.275 367.3538 402.6462 0.01702269 0.03767037
Moved 1017.306 350.1277 417.1762 -0.02285242 0.07504164
Moved 1017.336 333.121 430.7691 -0.0622199 0.1100028
Moved 1017.367 312.901 450.9489 -0.1090255 0.1619055
Moved 1017.398 294.6889 467.6953 -0.1511831 0.2049774
Moved 1017.429 280.0697 478.1582 -0.1850239 0.2318882
Moved 1017.459 268.6724 485.4957 -0.2114065 0.2507605
Moved 1017.49 261.8347 488 -0.2272343 0.2572016
Moved 1017.521 258.6566 489 -0.2345911 0.2597736
Moved 1017.552 257.5 489 -0.2372685 0.2597736
Moved 1017.582 256.6927 489 -0.2391373 0.2597736
Moved 1017.613 257 490 -0.2384259 0.2623456
Moved 1017.644 265.5289 492.0661 -0.218683 0.2676597
Moved 1017.674 275.1605 494 -0.1963878 0.2726337
Moved 1017.705 285.2024 495 -0.1731427 0.2752057
Moved 1017.736 293.1825 496 -0.1546701 0.2777777
Moved 1017.767 299.6453 496 -0.13971 0.2777777
Moved 1017.797 305.7724 496 -0.1255268 0.2777777
Ended 1017.828 308 496 -0.1203704 0.2777777
Began 1018.689 410 496 0.1157407 0.2777777
Stationary 1018.72 410 496 0.1157407 0.2777777
Stationary 1018.75 410 496 0.1157407 0.2777777
Stationary 1018.781 410 496 0.1157407 0.2777777
Stationary 1018.812 410 496 0.1157407 0.2777777
Stationary 1018.843 410 496 0.1157407 0.2777777
Stationary 1018.873 410 496 0.1157407 0.2777777
Stationary 1018.904 410 496 0.1157407 0.2777777
Moved 1018.935 437.4617 496 0.1793094 0.2777777
Moved 1018.965 459.0184 508.0026 0.2292093 0.3086487
Moved 1018.996 475.8655 513.5462 0.2682073 0.3229069
Moved 1019.027 487 515 0.2939814 0.326646
Moved 1019.058 493.9224 516 0.3100055 0.329218
Moved 1019.088 500.4519 516.726 0.3251202 0.3310852
Moved 1019.119 504.4854 517 0.3344571 0.33179
Moved 1019.15 508.9359 517 0.344759 0.33179
Moved 1019.181 512.7178 517 0.3535134 0.33179
Moved 1019.211 514.0993 517 0.3567114 0.33179
Stationary 1019.242 514 517 0.3564815 0.33179
Moved 1019.273 498.8081 517 0.3213151 0.33179
Moved 1019.304 473.939 517 0.2637477 0.33179
Moved 1019.334 453.4921 517 0.2164168 0.33179
Moved 1019.365 443.114 509.0285 0.1923937 0.3112873
