taking the train is usually faster
Direct
0.6 0.6
432 388.8
Began 698.7355 356 526 -0.009259283 0.3549381
Stationary 698.7663 356 526 -0.009259283 0.3549381
Stationary 698.7971 356 526 -0.009259283 0.3549381
Moved 698.8278 345.5 511 -0.03356482 0.3163579
Moved 698.8585 330.2498 496.2498 -0.06886612 0.2784202
Moved 698.8892 298.791 463.6532 -0.1416876 0.1945811
Moved 698.92 254.9658 420.3386 -0.2431348 0.08317538
Moved 698.9507 212.8626 377.908 -0.3405958 -0.02595674
Moved 698.9815 163.7695 329.7695 -0.4542372 -0.1497698
Moved 699.0122 149.1852 312.7314 -0.4879972 -0.193592
Moved 699.043 143.7927 307.7927 -0.5004798 -0.2062944
Moved 699.0737 142.3553 306 -0.5038071 -0.2109054
Moved 699.1045 141.5 306 -0.505787 -0.2109054
Moved 699.1352 142 306 -0.5046296 -0.2109054
Moved 699.166 155.6627 306 -0.4730029 -0.2109054
Moved 699.1967 178.0634 322.0317 -0.4211496 -0.1696717
Moved 699.2275 206.0857 336.5922 -0.3562832 -0.1322218
Moved 699.2582 238.233 348.3574 -0.2818681 -0.1019614
Moved 699.2889 268 360 -0.212963 -0.07201654
Moved 699.3197 300.8616 370.2872 -0.1368944 -0.04555753
Moved 699.3504 336.5656 378.5131 -0.05424634 -0.02440056
Moved 699.381 370.6801 385.8218 0.02472251 -0.005602307
Moved 699.4119 396.3307 392.0992 0.08409888 0.0105432
Moved 699.4427 420.519 395.8149 0.1400903 0.0201
Moved 699.4734 437.4676 397.5779 0.1793231 0.02463458
Moved 699.5042 449.0118 398 0.2060459 0.02572008
Moved 699.5349 458.2392 399 0.2274054 0.02829214
Moved 699.5657 465 400 0.2430555 0.03086416
Moved 699.5964 469.2773 402.2773 0.2529567 0.03672145
Moved 699.6272 473.0395 404.0395 0.2616655 0.04125379
Moved 699.6579 478.4462 413.4103 0.2741811 0.06535577
Moved 699.6886 483.4871 435.7049 0.2858498 0.1226977
Moved 699.7194 487.0162 459.1132 0.2940189 0.1829041
Moved 699.7502 488 483.5 0.2962963 0.2456274
Moved 699.7809 489 498.007 0.2986111 0.2829397
Moved 699.8116 489 506.8951 0.2986111 0.3058002
Moved 699.8423 489 510.7328 0.2986111 0.3156708
Moved 699.8731 489 512.1079 0.2986111 0.3192075
Stationary 699.9039 489 512 0.2986111 0.31893
Moved 699.9346 470.0348 490.0522 0.2547101 0.2624798
Moved 699.9654 447.468 448.4223 0.2024723 0.1554071
Moved 699.9961 431.2798 395.1658 0.1649995 0.01843056
Moved 700.0269 424.5686 345.4022 0.1494644 -0.1095624
Moved 700.0576 420.5205 302.8076 0.1400938 -0.2191164
Moved 700.0884 420 267.1073 0.1388889 -0.310938
Moved 700.119 418 247.4556 0.1342593 -0.3614827
Moved 700.1498 415.5761 231.4568 0.1286485 -0.4026318
Moved 700.1806 413.8175 224.6351 0.1245776 -0.4201772
Moved 700.2114 413 219.2815 0.1226852 -0.4339467
Moved 700.2421 412 216.6178 0.1203704 -0.4407978
Moved 700.2728 409.924 217 0.1155647 -0.4398148
Moved 700.3036 394.609 237.217 0.0801134 -0.3878163
Moved 700.3343 380.4722 260.8009 0.04738947 -0.3271582
Moved 700.3651 367.693 285.7163 0.01780788 -0.2630753
Moved 700.3958 358.4004 305.9322 -0.00370274 -0.2110798
Moved 700.4265 351.7307 325.1733 -0.01914203 -0.1615913
Moved 700.4573 350 337.5101 -0.02314816 -0.129861
Moved 700.488 349 347.4857 -0.02546296 -0.1042036
Moved 700.5188 349 353.2757 -0.02546296 -0.08931156
Moved 700.5496 349 356.4039 -0.02546296 -0.08126584
Ended 700.5803 349 356 -0.02546296 -0.0823046
Began 701.3489 345 504 -0.03472224 0.2983539
Stationary 701.3797 345 504 -0.03472224 0.2983539
Stationary 701.4104 345 504 -0.03472224 0.2983539
Moved 701.4411 360.351 480.2385 0.0008124113 0.2372387
Moved 701.4719 381.1935 444.2546 0.04905889 0.1446878
Moved 701.5026 399.4917 407.375 0.09141593 0.04983274
Moved 701.5333 414.0623 370.6379 0.1251443 -0.04465566
Moved 701.5641 420.3198 347.8809 0.1396291 -0.1031872
Moved 701.5948 422 340.2224 0.1435185 -0.1228849
Moved 701.6256 422 336.6522 0.1435185 -0.1320677
Moved 701.6563 406.1713 344.3867 0.106878 -0.1121742
