is there any indication of this
Direct
0.6 0.6
432 388.8
Began 1405.019 452 507 0.2129629 0.3060699
Stationary 1405.05 452 507 0.2129629 0.3060699
Stationary 1405.081 452 507 0.2129629 0.3060699
Stationary 1405.111 452 507 0.2129629 0.3060699
Stationary 1405.142 452 507 0.2129629 0.3060699
Stationary 1405.173 452 507 0.2129629 0.3060699
Stationary 1405.203 452 507 0.2129629 0.3060699
Stationary 1405.234 452 507 0.2129629 0.3060699
Stationary 1405.265 452 507 0.2129629 0.3060699
Moved 1405.296 423.8622 489.1457 0.1478292 0.2601483
Moved 1405.326 392.9791 469.8049 0.07634054 0.2104034
Moved 1405.357 361.5829 450.34 0.003664196 0.1603396
Moved 1405.388 330.4911 431.8284 -0.06830762 0.1127272
Moved 1405.419 303.5797 414.0064 -0.1306027 0.06688887
Moved 1405.449 285.5905 399.7919 -0.1722441 0.030329
Moved 1405.48 265.2879 385.4303 -0.219241 -0.006609394
Moved 1405.511 252.9612 374.9612 -0.2477749 -0.03353598
Moved 1405.542 244.2048 368.2048 -0.2680444 -0.05091373
Moved 1405.572 239.1637 363.1636 -0.2797137 -0.06387953
Moved 1405.603 235.7055 358.7055 -0.2877187 -0.07534592
Ended 1405.634 235 359 -0.2893518 -0.07458848
Began 1406.679 331 531 -0.06712963 0.3677982
Stationary 1406.71 331 531 -0.06712963 0.3677982
Stationary 1406.74 331 531 -0.06712963 0.3677982
Stationary 1406.771 331 531 -0.06712963 0.3677982
Stationary 1406.802 331 531 -0.06712963 0.3677982
Stationary 1406.832 331 531 -0.06712963 0.3677982
Stationary 1406.863 331 531 -0.06712963 0.3677982
Stationary 1406.894 331 531 -0.06712963 0.3677982
Moved 1406.925 347.7347 492.898 -0.02839193 0.2697994
Moved 1406.955 364.5815 462.1533 0.01060526 0.1907235
Moved 1406.986 383.1918 425.2192 0.05368471 0.09572829
Moved 1407.017 394.9877 401.0245 0.08099008 0.03349932
Moved 1407.048 402.8469 384.3062 0.09918272 -0.009500715
Moved 1407.078 407.4787 372.0851 0.1099045 -0.0409335
Moved 1407.109 411.001 365.998 0.1180579 -0.05658954
Moved 1407.14 412 361.1273 0.1203704 -0.06911729
Moved 1407.171 412 357.2479 0.1203704 -0.07909492
Moved 1407.201 412 353.756 0.1203704 -0.08807609
Moved 1407.232 395.6293 353 0.08247535 -0.09002065
Moved 1407.263 374.4116 360.5884 0.03336012 -0.07050322
Moved 1407.294 350.3667 370.7963 -0.02229929 -0.04424829
Moved 1407.324 333.5 382.5 -0.06134262 -0.01414617
Moved 1407.355 308.9902 402.6335 -0.1180782 0.03763771
Moved 1407.386 291.3413 418.4218 -0.1589322 0.07824513
Moved 1407.417 272.3242 439.7884 -0.2029531 0.1332006
Moved 1407.447 258.891 455.7308 -0.2340487 0.1742047
Moved 1407.478 248.0585 469.4268 -0.2591237 0.209431
Moved 1407.509 243.261 479.1085 -0.2702291 0.2343324
Moved 1407.539 240.7625 484.2375 -0.2760129 0.2475245
Moved 1407.57 239.2088 487 -0.2796091 0.2546296
Moved 1407.601 239 489.6672 -0.2800926 0.2614896
Moved 1407.632 239 491.542 -0.2800926 0.2663116
Moved 1407.662 251.2259 493.0452 -0.2517918 0.2701778
Moved 1407.693 269.7021 494 -0.2090228 0.2726337
Moved 1407.724 285.0701 494 -0.1734488 0.2726337
Moved 1407.755 292.3729 494 -0.1565443 0.2726337
Moved 1407.785 296.2618 494 -0.1475421 0.2726337
Moved 1407.816 298 494 -0.1435185 0.2726337
Moved 1407.847 299.375 494 -0.1403356 0.2726337
Stationary 1407.878 299 494 -0.1412037 0.2726337
Moved 1407.908 281.9796 494 -0.1806029 0.2726337
Moved 1407.939 266.5364 485.7073 -0.2163509 0.2513046
Moved 1407.97 257.6642 484 -0.2368885 0.2469135
Moved 1408 253.3206 484 -0.246943 0.2469135
Ended 1408.031 253 484 -0.2476852 0.2469135
Began 1408.922 159 374 -0.4652778 -0.03600823
Stationary 1408.953 159 374 -0.4652778 -0.03600823
Stationary 1408.984 159 374 -0.4652778 -0.03600823
Stationary 1409.015 159 374 -0.4652778 -0.03600823
Stationary 1409.046 159 374 -0.4652778 -0.03600823
Moved 1409.076 169.6246 374 -0.4406838 -0.03600823
Moved 1409.107 178.784 374 -0.4194815 -0.03600823
