why do you ask silly questions
Direct
0.6 0.6
432 388.8
Moved 668.7799 291.2191 496.5842 -0.1592151 0.2792804
Moved 668.8107 277.6405 465.8652 -0.190647 0.2002706
Moved 668.8414 266.8984 444.8172 -0.2155128 0.1461347
Moved 668.8721 257.2152 425.2341 -0.2379278 0.09576675
Moved 668.903 246.6149 408.8199 -0.2624654 0.05354924
Moved 668.9337 240.3231 399.9846 -0.27703 0.0308244
Moved 668.9644 237.111 395.2219 -0.2844654 0.01857487
Moved 668.9952 235.8637 392.8637 -0.2873525 0.01250942
Moved 669.0259 236 391.5625 -0.287037 0.00916273
Moved 669.0567 245.0122 401.0121 -0.2661756 0.03346741
Moved 669.0874 281.267 433.4772 -0.1822524 0.1169681
Moved 669.1182 301.2362 453.2363 -0.1360272 0.1677887
Moved 669.1489 323.0576 471.478 -0.08551483 0.2147066
Moved 669.1797 334.3997 483.3998 -0.05925983 0.2453697
Moved 669.2104 339.6757 491.3513 -0.04704709 0.2658212
Moved 669.2411 342 494.9163 -0.04166668 0.2749905
Moved 669.272 343 497.4512 -0.03935183 0.2815102
Moved 669.3027 344.9886 498 -0.03474866 0.2829217
Moved 669.3334 358.5 498 -0.003472219 0.2829217
Moved 669.3642 394.5998 492.1201 0.08009215 0.2677986
Moved 669.395 431.964 489 0.1665833 0.2597736
Moved 669.4257 473.1116 488 0.2618325 0.2572016
Moved 669.4564 503.7936 488 0.3328557 0.2572016
Moved 669.4872 522.1125 488 0.3752605 0.2572016
Moved 669.5179 535.9846 497.3939 0.4073716 0.2813628
Moved 669.5486 542.5113 500 0.4224798 0.2880658
Moved 669.5795 545.2987 501 0.4289322 0.2906378
Stationary 669.6102 545.2987 501 0.4289322 0.2906378
Moved 669.641 523.7769 487.3691 0.379113 0.255579
Moved 669.6717 501.1769 460.7653 0.3267984 0.1871535
Moved 669.7025 476.4296 406.6907 0.269513 0.04807284
Moved 669.7332 452.5 325 0.2141203 -0.1620371
Moved 669.764 444.9429 287.629 0.1966272 -0.258156
Moved 669.7947 439.8613 269.1533 0.1848641 -0.3056758
Moved 669.8254 433.7322 258.7322 0.1706764 -0.332479
Moved 669.8562 421 257 0.1412037 -0.3369342
Moved 669.887 380.5069 287.694 0.04746964 -0.2579887
Moved 669.9177 334.9242 330.622 -0.05804579 -0.1475771
Moved 669.9485 296.2071 361.8373 -0.1476688 -0.06729102
Moved 669.9792 271.5 382.5 -0.2048611 -0.01414617
Ended 670.0099 266.2776 385.9446 -0.2169501 -0.005286613
PhraseEnd 670.6557
