electric cars need big fuel cells
Direct
0.6 0.6
432 388.8
Began 1203.267 243 533 -0.2708333 0.3729423
Stationary 1203.298 243 533 -0.2708333 0.3729423
Stationary 1203.329 243 533 -0.2708333 0.3729423
Moved 1203.359 268.7508 523.0827 -0.2112249 0.3474348
Moved 1203.39 299.1412 512.3964 -0.1408769 0.3199494
Moved 1203.421 329.9775 497.809 -0.06949659 0.2824305
Moved 1203.452 361.4557 482.611 0.003369749 0.243341
Moved 1203.482 389 466 0.06712963 0.2006171
Moved 1203.513 408.9518 452.4051 0.1133144 0.1656509
Moved 1203.544 432.0221 436.9843 0.1667178 0.1259882
Moved 1203.575 454.8421 421.6433 0.2195419 0.08653103
Moved 1203.605 476.7508 407.1661 0.2702565 0.04929554
Moved 1203.636 497.7548 393.8301 0.3188768 0.01499517
Moved 1203.667 512.8975 384.5513 0.3539294 -0.008870231
Moved 1203.698 528.155 376.9484 0.3892476 -0.02842507
Moved 1203.728 539.6087 371.9276 0.4157609 -0.0413386
Moved 1203.759 547.8301 367.585 0.434792 -0.05250789
Moved 1203.79 554.5712 364.7144 0.4503964 -0.05989113
Moved 1203.821 556.8755 364 0.4557303 -0.06172839
Moved 1203.851 559 362.2908 0.4606481 -0.06612463
Moved 1203.882 560.1433 362 0.4632947 -0.06687243
Moved 1203.913 561 360.5441 0.4652777 -0.07061703
Moved 1203.943 562.5 361 0.46875 -0.06944452
Moved 1203.974 562 361 0.4675925 -0.06944452
Moved 1204.005 562 359.7155 0.4675925 -0.07274824
Moved 1204.036 540 358.5 0.4166667 -0.07587456
Moved 1204.066 519.9512 358 0.3702575 -0.07716057
Moved 1204.097 503.7025 356.9504 0.3326448 -0.07985998
Moved 1204.128 490.4014 356.0803 0.3018552 -0.08209817
Moved 1204.159 479.3098 354.6619 0.27618 -0.08574606
Moved 1204.189 465.3438 353.6688 0.2438512 -0.08830066
Moved 1204.22 457.5973 353 0.2259197 -0.09002065
Moved 1204.251 447.7281 349.932 0.2030743 -0.0979115
Moved 1204.281 437.6796 344.8398 0.1798138 -0.1110089
Moved 1204.312 426.1865 338.0933 0.1532096 -0.1283609
Moved 1204.343 413.4048 330.0428 0.1236222 -0.1490668
Moved 1204.374 399.4793 320.3834 0.09138732 -0.173911
Moved 1204.404 382.5383 306.2819 0.05217195 -0.2101802
Moved 1204.435 366.9056 291.9056 0.01598517 -0.2471564
Moved 1204.466 355.0259 280.0259 -0.01151408 -0.277711
Moved 1204.497 342.887 267.887 -0.0396135 -0.3089328
Moved 1204.527 331.3214 254.3214 -0.06638557 -0.3438236
Moved 1204.558 324.4865 243.9729 -0.08220728 -0.3704401
Moved 1204.589 320.5 236.5 -0.09143516 -0.3896605
Moved 1204.62 315.8029 229.4086 -0.1023082 -0.4078999
Moved 1204.65 312.9271 223.8542 -0.108965 -0.4221855
Moved 1204.681 311 219.1019 -0.113426 -0.4344086
Moved 1204.712 310 216.6356 -0.1157407 -0.440752
Moved 1204.743 309 213.6431 -0.1180555 -0.4484489
Moved 1204.773 307.7684 213 -0.1209064 -0.4501029
Moved 1204.804 308 211.5 -0.1203704 -0.4539609
Moved 1204.835 308 210.9498 -0.1203704 -0.455376
Moved 1204.865 307 210 -0.1226852 -0.457819
Stationary 1204.896 307 210 -0.1226852 -0.457819
Moved 1204.927 307 208.5 -0.1226852 -0.461677
Stationary 1204.958 307 208.5 -0.1226852 -0.461677
Moved 1204.989 307 209 -0.1226852 -0.4603909
Moved 1205.019 306.4782 209 -0.1238931 -0.4603909
Moved 1205.05 305.5 209 -0.1261574 -0.4603909
Moved 1205.081 306 209 -0.125 -0.4603909
Stationary 1205.111 306 209 -0.125 -0.4603909
Stationary 1205.142 306 209 -0.125 -0.4603909
Stationary 1205.173 306 209 -0.125 -0.4603909
Moved 1205.204 305 209 -0.1273148 -0.4603909
Moved 1205.234 305 217.9801 -0.1273148 -0.437294
Moved 1205.265 305 223.5571 -0.1273148 -0.4229498
Moved 1205.296 304 232.1854 -0.1296296 -0.4007576
Moved 1205.327 304 245.0367 -0.1296296 -0.3677039
Moved 1205.357 304 266.2709 -0.1296296 -0.3130894
Moved 1205.388 304 287.5605 -0.1296296 -0.2583321
Moved 1205.419 312.0414 321.2482 -0.1110153 -0.1716866
Moved 1205.449 320.1721 364.0325 -0.09219423 -0.06164488
