the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Began 454.7811 346 522 -0.03240739 0.3446501
Stationary 454.8118 346 522 -0.03240739 0.3446501
Moved 454.8426 346 506.3685 -0.03240739 0.3044456
Moved 454.8733 365.5941 474.7129 0.01294921 0.223027
Moved 454.9039 380.1026 447.8461 0.04653385 0.153925
Moved 454.9347 396.798 418.0828 0.0851806 0.07737332
Moved 454.9654 407.3136 400.3728 0.1095222 0.03182301
Moved 454.9962 413.9655 390.069 0.1249202 0.005321345
Moved 455.0269 418.6801 381.4799 0.1358334 -0.01676983
Moved 455.0576 421.7157 376.5687 0.1428603 -0.02940158
Moved 455.0883 424.5884 371.4116 0.1495101 -0.04266558
Moved 455.119 426 368.8988 0.1527777 -0.04912867
Moved 455.1498 427 366.0226 0.1550926 -0.05652636
Moved 455.1805 427 364.5884 0.1550926 -0.06021499
Moved 455.2112 428 362.6398 0.1574074 -0.06522676
Moved 455.2419 416.5012 363 0.1307899 -0.06430049
Moved 455.2727 384.0157 389.3737 0.05559196 0.003533148
Moved 455.3034 339.5514 425.3645 -0.04733467 0.09610199
Moved 455.334 298.1583 459.1838 -0.143152 0.1830859
Moved 455.3648 269.5879 484.4122 -0.2092873 0.2479736
Ended 455.3955 248.322 509.9755 -0.2585138 0.3137229
Began 457.3311 299 274 -0.1412037 -0.2932099
Stationary 457.3618 299 274 -0.1412037 -0.2932099
Stationary 457.3925 299 274 -0.1412037 -0.2932099
Stationary 457.4232 299 274 -0.1412037 -0.2932099
Stationary 457.4539 299 274 -0.1412037 -0.2932099
Stationary 457.4847 299 274 -0.1412037 -0.2932099
Moved 457.5154 315.1403 274 -0.1038419 -0.2932099
Moved 457.5461 341.3867 288.3867 -0.04308621 -0.256207
Moved 457.5769 372.3293 301.2405 0.0285399 -0.2231468
Moved 457.6076 398.01 313.1472 0.0879861 -0.1925227
Moved 457.6383 416.5264 322.351 0.1308482 -0.1688504
Moved 457.669 431.5034 331.2877 0.1655171 -0.1458651
Moved 457.6998 445.8499 342.8799 0.1987265 -0.1160498
Moved 457.7305 458.2458 354.2458 0.2274208 -0.08681646
Moved 457.7612 467.847 362.847 0.2496457 -0.06469405
Moved 457.7919 476.059 372.059 0.2686551 -0.04100054
Moved 457.8226 485.3876 391.9044 0.290249 0.01004207
Moved 457.8534 495.0172 412.0458 0.3125398 0.06184621
Moved 457.8841 504.2992 434.8975 0.3340258 0.120621
Moved 457.9148 509.7935 453.3806 0.3467443 0.1681598
Moved 457.9456 514.272 470.0882 0.3571112 0.2111321
Moved 457.9762 518.1456 485.8737 0.3660778 0.2517327
Moved 458.007 521.4459 497.3378 0.3737174 0.2812184
Moved 458.0377 523.5966 508.7897 0.3786957 0.3106731
Moved 458.0685 524 518.3854 0.3796296 0.3353533
Moved 458.0992 525 524.665 0.3819444 0.3515046
Moved 458.1299 525 528.746 0.3819444 0.3620008
Moved 458.1606 525 530.3024 0.3819444 0.3660039
Moved 458.1913 525 531.374 0.3819444 0.3687602
Stationary 458.2221 525 531.374 0.3819444 0.3687602
Stationary 458.2528 525 531.374 0.3819444 0.3687602
Moved 458.2835 517.4958 531 0.3645737 0.3677982
Stationary 458.3142 516.8445 531 0.3630661 0.3677982
Moved 458.3449 514.7083 531 0.358121 0.3677982
Moved 458.3756 514 522.8333 0.3564815 0.3467932
Moved 458.4063 511.957 518.9139 0.3517523 0.3367128
Moved 458.4371 511 513.9661 0.349537 0.3239867
Moved 458.4679 508.5447 507.0895 0.3438535 0.3063
Moved 458.4985 506.6741 500.0222 0.3395233 0.2881229
Moved 458.5293 506 493.645 0.337963 0.2717204
Moved 458.56 505 485.7372 0.3356481 0.2513817
Moved 458.5907 505 474.1049 0.3356481 0.2214632
Moved 458.6215 505 462.9695 0.3356481 0.1928228
Moved 458.6521 505 452.8703 0.3356481 0.1668474
Moved 458.6829 505 443.3534 0.3356481 0.1423697
Moved 458.7136 505 433.4222 0.3356481 0.1168265
Moved 458.7444 509.6116 423.0236 0.346323 0.09008121
Moved 458.7751 514.124 417.752 0.3567685 0.07652247
Moved 458.8058 516.0417 411.9166 0.3612078 0.06151376
Moved 458.8365 517.9125 407.175 0.3655381 0.04931854
Moved 458.8672 518.7824 404.2176 0.3675518 0.04171191
Moved 458.898 519 402.855 0.3680556 0.03820726
