the union will go on strike
Direct
0.6 0.6
432 388.8
Began 642.5521 239 361 -0.2800926 -0.06944452
Stationary 642.5828 239 361 -0.2800926 -0.06944452
Stationary 642.6136 239 361 -0.2800926 -0.06944452
Stationary 642.6443 239 361 -0.2800926 -0.06944452
Stationary 642.675 239 361 -0.2800926 -0.06944452
Moved 642.7057 247.3611 381.3611 -0.2607382 -0.01707532
Moved 642.7365 257.2704 400.5407 -0.2378001 0.0322548
Moved 642.7672 267.063 417.5013 -0.2151319 0.07587786
Moved 642.798 277.3392 432.7856 -0.1913444 0.1151892
Moved 642.8287 286.9505 448.2674 -0.169096 0.1550087
Moved 642.8595 297.5289 461.7053 -0.144609 0.189571
Moved 642.8901 304.4587 471.188 -0.1285679 0.2139608
Moved 642.9209 311.2057 479.8086 -0.1129497 0.2361331
Moved 642.9517 318.4164 488.4164 -0.09625837 0.2582724
Moved 642.9824 320.3456 491.6912 -0.09179254 0.2666954
Moved 643.0131 323.8612 494.8613 -0.08365452 0.2748488
Moved 643.0439 326.7368 496.7368 -0.07699817 0.2796728
Moved 643.0746 330.2181 498.6091 -0.06893948 0.2844883
Moved 643.1053 335.2732 500.1366 -0.0572379 0.2884171
Moved 643.1361 340.052 502.052 -0.04617592 0.2933435
Moved 643.1668 344.8445 503 -0.03508215 0.2957818
Moved 643.1976 346.3538 503 -0.03158842 0.2957818
Moved 643.2283 349.3239 504.3239 -0.02471318 0.299187
Moved 643.259 350.0661 504 -0.02299508 0.2983539
Stationary 643.2898 350.0661 504 -0.02299508 0.2983539
Moved 643.3204 351 504 -0.02083332 0.2983539
Stationary 643.3513 351 504 -0.02083332 0.2983539
Moved 643.382 337.7254 504 -0.05156164 0.2983539
Moved 643.4127 316.6842 504 -0.1002681 0.2983539
Moved 643.4435 297.3587 504 -0.145003 0.2983539
Moved 643.4742 280.2149 504 -0.1846877 0.2983539
Moved 643.5049 272.0372 504 -0.2036175 0.2983539
Moved 643.5357 266.6573 504 -0.216071 0.2983539
Moved 643.5664 265.141 504 -0.2195811 0.2983539
Moved 643.5972 265 504 -0.2199074 0.2983539
Stationary 643.6279 265 504 -0.2199074 0.2983539
Moved 643.6587 287.5377 504 -0.1677368 0.2983539
Moved 643.6894 338.8307 496.694 -0.04900302 0.2795626
Moved 643.7202 379.9564 497 0.04619529 0.2803498
Moved 643.7509 409.8885 497 0.1154826 0.2803498
Moved 643.7816 426.9237 497 0.1549159 0.2803498
Moved 643.8123 437.7528 497 0.1799834 0.2803498
Moved 643.8431 445.1963 505.0654 0.1972137 0.3010941
Moved 643.8738 450.3703 506 0.2091906 0.3034978
Moved 643.9046 454.4399 507 0.218611 0.3060699
Moved 643.9353 458.3185 507 0.2275891 0.3060699
Moved 643.9661 462.1882 507 0.2365468 0.3060699
Moved 643.9968 466.2042 501.8569 0.2458429 0.2928418
Moved 644.0275 478.4401 464.2398 0.2741669 0.19609
Moved 644.0582 486 398.1364 0.2916667 0.02607098
Moved 644.089 487.3345 380.9863 0.2947557 -0.01803952
Moved 644.1197 488 361.691 0.2962963 -0.06766723
Moved 644.1505 488 351.5297 0.2962963 -0.09380238
Moved 644.1812 488 347.387 0.2962963 -0.1044573
Moved 644.2119 488 344.9274 0.2962963 -0.1107836
Moved 644.2427 457.249 355.5364 0.2251133 -0.08349697
Moved 644.2734 402.668 390.8324 0.09876847 0.007284972
Moved 644.3042 363.152 422.0581 0.007296305 0.08759793
Moved 644.3349 330.3953 449.618 -0.0685294 0.1584824
Moved 644.3657 310.6313 467.1732 -0.1142795 0.2036348
Moved 644.3964 302.7962 474.2039 -0.1324163 0.2217177
Moved 644.4271 298.313 478.687 -0.142794 0.2332484
Moved 644.4578 295.5563 481.4437 -0.1491753 0.2403387
Ended 644.4885 296 483 -0.1481481 0.2443414
PhraseEnd 644.9804
