a good response to the question
Direct
0.6 0.6
432 388.8
Began 614.2018 184 382 -0.4074074 -0.01543218
Stationary 614.2325 184 382 -0.4074074 -0.01543218
Ended 614.2632 184 382 -0.4074074 -0.01543218
Began 615.6457 360 348 0 -0.1028807
Stationary 615.6763 360 348 0 -0.1028807
Stationary 615.7071 360 348 0 -0.1028807
Moved 615.7378 365.6993 359.4426 0.01319289 -0.07345027
Moved 615.7686 381.3845 375.3845 0.04950116 -0.0324473
Moved 615.7992 404.9902 401.2113 0.104144 0.03397965
Moved 615.83 442.6984 442.2267 0.1914314 0.1394718
Moved 615.8607 451.977 452.7242 0.2129098 0.1664716
Moved 615.8914 467.6686 471.6686 0.2492329 0.215197
Moved 615.9221 483.9085 487.493 0.2868253 0.2558977
Moved 615.9529 495.1682 498.1682 0.3128892 0.2833542
Moved 615.9836 501.6605 503.6605 0.3279178 0.2974806
Moved 616.0143 505.7055 507.7055 0.3372813 0.3078844
Moved 616.045 508 510.5858 0.3425926 0.3152925
Moved 616.0757 509 512.4575 0.3449074 0.3201067
Moved 616.1064 510 513.5 0.3472221 0.3227879
Moved 616.1371 510 513 0.3472221 0.321502
Moved 616.1679 479.0694 501.0347 0.2756235 0.2907269
Moved 616.1986 446.1763 485.5881 0.1994821 0.2509983
Moved 616.2292 396.0123 455.7222 0.08336176 0.1741824
Moved 616.2601 362.7898 434.8599 0.006457865 0.1205242
Moved 616.2908 340.733 418.6283 -0.04459962 0.07877644
Moved 616.3215 322.0347 405.882 -0.08788258 0.04599265
Moved 616.3522 310.7988 395.7988 -0.1138916 0.02005863
Moved 616.383 303.6534 391.8267 -0.1304318 0.009842311
Moved 616.4137 301.5 389.5 -0.1354167 0.003857946
Moved 616.4444 302 389.3719 -0.1342593 0.003528634
Ended 616.4751 302 389 -0.1342593 0.002572016
Began 617.9344 304 488 -0.1296296 0.2572016
Stationary 617.9652 304 488 -0.1296296 0.2572016
Stationary 617.9959 304 488 -0.1296296 0.2572016
Stationary 618.0266 304 488 -0.1296296 0.2572016
Stationary 618.0573 304 488 -0.1296296 0.2572016
Stationary 618.088 304 488 -0.1296296 0.2572016
Moved 618.1188 293.4518 488 -0.1540467 0.2572016
Moved 618.1483 292 488 -0.1574074 0.2572016
Moved 618.1801 282.5089 488 -0.1793775 0.2572016
Moved 618.2109 274.0075 488 -0.1990567 0.2572016
Moved 618.2416 268.2516 488 -0.2123806 0.2572016
Moved 618.2723 265.6812 488 -0.2183305 0.2572016
Moved 618.303 262.7031 488 -0.2252242 0.2572016
Moved 618.3337 262 488 -0.2268519 0.2572016
Moved 618.3642 259.9549 488 -0.2315858 0.2572016
Moved 618.3952 259.4285 488 -0.2328044 0.2572016
Moved 618.4259 258.5 488 -0.2349537 0.2572016
Moved 618.4566 257.5 488 -0.2372685 0.2572016
Moved 618.4874 258 488 -0.2361111 0.2572016
Moved 618.5181 257 477.5 -0.2384259 0.2301954
Moved 618.5488 257 479.8951 -0.2384259 0.2363556
Moved 618.5795 255.4755 474.4266 -0.2419548 0.2222907
Moved 618.6102 252.9305 465.7219 -0.2478462 0.1999018
Moved 618.6409 251.0586 453.2343 -0.2521793 0.1677835
Moved 618.6717 249 441.538 -0.2569445 0.1377006
Moved 618.7024 247.5 429.5 -0.2604167 0.1067386
Moved 618.7332 246 417.185 -0.2638889 0.07506421
Moved 618.7639 242.9275 403.7098 -0.2710013 0.04040588
Moved 618.7946 241.0472 390.2361 -0.2753536 0.005751284
Moved 618.8253 239.6204 380.4817 -0.2786564 -0.0193373
Moved 618.856 238 368.5018 -0.2824074 -0.05014976
Moved 618.8867 237 362.4998 -0.2847222 -0.06558697
Moved 618.9175 236 356.7465 -0.287037 -0.08038477
Moved 618.9482 236 352.3516 -0.287037 -0.09168836
Moved 618.9789 235 349.4783 -0.2893518 -0.0990786
Moved 619.0096 235 346.5978 -0.2893518 -0.1064872
Moved 619.0403 235 345.0219 -0.2893518 -0.1105406
Moved 619.071 235 343.626 -0.2893518 -0.1141306
Moved 619.1018 235 343 -0.2893518 -0.1157408
Moved 619.1325 235 341.7012 -0.2893518 -0.1190812
Stationary 619.1632 235 342 -0.2893518 -0.1183128
Moved 619.194 235 340.5 -0.2893518 -0.1221709
Stationary 619.2247 235 340.5 -0.2893518 -0.1221709
